vo_adv_1159001_002.m4a|ちょっと本気出して作ってみたんや～♪
vo_adv_1231001_073.m4a|でも、こんなこともあるかと思うてお茶会の道具一式、持ってきといてよかったわぁ。
vo_adv_1231001_074.m4a|もし王様に会ったら、ちゃんとご挨拶して森の中で優雅にお茶会するのも素敵やと思いまへん？
vo_adv_1231001_078.m4a|えっと、まずはテントを建てる場所を探すんやね。平らな地面がええて言うてはったけど……
vo_adv_1231001_079.m4a|この辺の岩をどけたらええ感じになりそうやね。よい、しょ……
vo_adv_1231001_080.m4a|ううん、うちのことは大丈夫どす。王子はんも自分の分、用意せなあきまへんやろ？
vo_adv_1231001_081.m4a|うちかて一人でテントくらい張れますさかい。それに……うち、自分の力でやってみたいんどす。
vo_adv_1231001_082.m4a|いつも【自警団（カォン）】のみんなとおる時は、他のみんなが気ぃ利かしてやってくれはるから、こういうのする機会ってあんまりあらへんのよ。
vo_adv_1231001_083.m4a|まあ、ギルドマスターには他に代われへん仕事が山ほどあるさかい、それに専念させてもろてる訳なんやけど。
vo_adv_1231001_084.m4a|でも、ここでは誰も代わりにやってくれへんやろ？それがちょっと新鮮で楽しいんよ。
vo_adv_1231001_085.m4a|こんな機会あんまりあらへんから、自分でできることは目一杯やってみたいんどす。
vo_adv_1231001_086.m4a|おおきにな、王子はん。あ、でもやり方は教えてもろてもええ？それに、うちの応援もしてくれはったらうれしいわぁ♪
vo_adv_1231001_087.m4a|やりましたえ、王子はん！うち、自分の力でテント張れましたえ♪
vo_adv_1231001_089.m4a|それなら、みんなでお茶するんはいかがどす？うち、お気に入りのティーセットを持ってきてますさかい。
vo_adv_1231001_090.m4a|テントの脇に置いといたはず……あら？見当たりまへん。王子はん、どこかに動かさはりました？
vo_adv_1231001_091.m4a|うーん、どこ行ったん……？まさか、鞄がひとりでに動くわけあらへんし……
vo_adv_1231001_092.m4a|あ！　ありましたわぁ。せやけど、うちキャンプのこんな端の方に置いたやろか？
vo_adv_1231001_093.m4a|あら？　うちの鞄の下に何か居はるわ……？
vo_adv_1231001_094.m4a|わ、小さな魔物はんや。こんにちは～
vo_adv_1231001_095.m4a|あの、魔物はん。がっしり掴んではるけど……これはうちの大事な荷物なんよ。このまま渡してくれるとうれしいんやけど……
vo_adv_1231001_096.m4a|あ、分かってくれはった？
vo_adv_1231001_097.m4a|ああっ、魔物はん！うちの鞄、返しておくれやす～！
vo_adv_1231001_098.m4a|はぁ、はぁ……ま、待っとくれやす～！
vo_adv_1231001_099.m4a|はぁ……あきまへん。あの魔物はん、木の上をひょいひょい～って上手に跳んでいかはる。このまま追いかけっこしてても、よう追いつけへんわぁ。
vo_adv_1231001_100.m4a|でも、うちの魔法を当ててまうと鞄ごと中身まで壊してしまうかもしれへん……
vo_adv_1231001_101.m4a|王子はん、ここは連係プレーでいきますえ。
vo_adv_1231001_102.m4a|ほな、うちが魔法で足止めしまひょ。みらくるまほりん、くるりんぱ～♪
vo_adv_1231001_103.m4a|驚かせて堪忍どす。でも、これで鞄を放さはりましたえ──王子はん！
vo_adv_1231001_104.m4a|王子はん、ナイスキャッチや～♪うちの言いたいこと、よう分かってくれはりました。
vo_adv_1231001_105.m4a|なんも言わんでも通じ合える……やっぱり、王子はんはうちの運命のお人どす♪
vo_adv_1231001_106.m4a|荷物も……良かった、中身はぜーんぶ無事や。お菓子を詰め込んでたから、この匂いに惹かれたんかなぁ。
vo_adv_1231001_107.m4a|そうやね、急にキャンプを抜け出してしもうたから心配かけてもうてるやろうし。
vo_adv_1231001_108.m4a|ところで、王子はん。うちな、一つ聞きたいことがあるんやけど……
vo_adv_1231001_109.m4a|……うちらの帰り道、どっちか分からはります？
vo_adv_1231002_000.m4a|王子は～ん、お茶が入りましたえ。
vo_adv_1231002_001.m4a|森の中でお茶会なんておとぎ話みたいで素敵やわぁ♪このティーセット、うちのお気に入りなんよ。
vo_adv_1231002_002.m4a|せやけど、これからどないしまひょ？うちら迷子になってもうたみたいや。
vo_adv_1231002_003.m4a|そうなん？　……って、ちゃうで王子はん。しょうもない冗談言うたみたいになってしもうたけど。
vo_adv_1231002_004.m4a|迷子になった時は、変に焦って歩き回ったりせんといったん落ち着くのが重要なんどす。
vo_adv_1231002_005.m4a|うち、子どもの頃からよう迷子になったりしてなぁ。むかーし、お父はんお母はんに教えてもろたんよ。
vo_adv_1231002_006.m4a|それに手掛かりが全くなしってわけでもあらへんのよ。これが、今回の取材旅行で使う地図なんやけど……ここんとこ見ておくれやす。
vo_adv_1231002_007.m4a|山の頂上の方に目的地が書いてありますやろ？うち、ここを目指して進んだ方がええと思うんよ。
vo_adv_1231002_008.m4a|目的地は山のずいぶん上の方やし、先生も、うちらを探して先に進んでるかもしれまへん。
vo_adv_1231002_009.m4a|それやったら、うちらも山の頂上を目指した方がええと思うんよ。山を登っていけば、いつか頂上にはたどり着きますさかい。
vo_adv_1231002_010.m4a|ほな、このお茶を飲み終わったら行きまひょか。マホマホ探検隊、出発や～♪
vo_adv_1231002_011.m4a|『そうしてマホマホ探検隊は、伝説の魔獣さんと会うために険しい森をすすんでいくのでした』
vo_adv_1231002_012.m4a|王子はん。あまり細かいこと気にしはったらいけまへん。冒険にはこういうのが付き物なんよ？
vo_adv_1231002_013.m4a|『しかし、マホ姫と王子はんの冒険には危険な罠が待ち受けているのでした』
vo_adv_1231002_014.m4a|あの小説家の先生にもらった地図なんやけど、危なそうなとこが色分けされてるんよ。
vo_adv_1231002_015.m4a|えっと、この辺やと……『古代遺跡につながる洞窟を守るため仕掛けられた、たくさんの罠に注意……』やって。
vo_adv_1231002_016.m4a|わ、王子は～ん。大丈夫どすか～？
vo_adv_1231002_017.m4a|言うたそばから落とし穴があるやなんて……すぐロープ下ろしますさかい、ちょっと待っててな～
vo_adv_1231002_018.m4a|王子はんが無事でよかったわぁ。中にクッション敷いててくれるなんて不思議やね。
vo_adv_1231002_019.m4a|こないな感じで罠がぎょうさん仕掛けられてるみたいやし、王子はん、怪我せんよう気ぃつけて進みまひょ。
vo_adv_1231002_020.m4a|でも先生、初めて来るって言うてはったのになんでこない詳しい地図持ってはったんやろ？
vo_adv_1231002_021.m4a|この洞窟を抜けたら、目的地まですぐみたいや。
vo_adv_1231002_022.m4a|中は迷路みたいに入り組んでるさかい、うちから離れたらあきまへんえ。王子はん。
vo_adv_1231002_023.m4a|お姫はんかて、たくましゅうならなあかん時代どす。王子はんのことは、うちが守ってみせますさかい、頼りにしておくれやす♪
vo_adv_1231002_024.m4a|うち、前にカスミはんに教えてもろたんよ。迷路を進む時は、ずっと右手を壁について進むと出口まで迷わんとたどり着けるて──
vo_adv_1231002_025.m4a|あら、なんか押してもうたみたいやわ。すごい揺れてるけど、地震やろか？
vo_adv_1231002_026.m4a|後ろ……？
vo_adv_1231002_027.m4a|あら、遠くの方からえらい大きな岩が転がってきてるなぁ。このままやと、うちらペシャンコにされてしまいそうやわ。
vo_adv_1231002_028.m4a|王子はん、王子はん。こないな時は焦ったらあきまへん。おとぎ話やと、知恵を働かせてピンチを脱出するもんどす。
vo_adv_1231002_029.m4a|まずは周囲を観察することが重要どす。これもカスミはんの受け売りやけど。
vo_adv_1231002_030.m4a|横に抜け道があったりは……せぇへんなぁ。上も下も……逃げ道は見当たらへん。
vo_adv_1231002_031.m4a|うーん……なぁ、王子はん。うち思うんやけど。
vo_adv_1231002_032.m4a|これ、急いで逃げな危ないんとちゃいます？
vo_adv_1231002_033.m4a|わっ、王子はん？そない手ぇ引っ張らんといて～うち、走るの苦手なんよ。ちょっと待っておくれやす～
vo_adv_1231002_034.m4a|あ、王子はん！　そこ！そっちの壁に飛び込めそうな穴がありますえ。
vo_adv_1231002_035.m4a|中にすべり台みたいなんがあるみたいやわ。なんでこないなもんが作られてるんやろ。
vo_adv_1231002_036.m4a|ひゃっ、王子はん？そない急に抱きしめられたら、うち、びっくりしてしまいますえ？
vo_adv_1231002_037.m4a|でも、ちょっと大胆な王子はんもええなぁ♪……もう時間があらへん？ほんまや。のんびりしとる場合とちゃうみたいやね。
vo_adv_1231002_038.m4a|あ、このまま行くん？そんなら一緒に行きまひょか、王子はん。
vo_adv_1231002_039.m4a|王子はん。うちのこと、離さんといてな♪ほな、行きますえ～
vo_adv_1231002_040.m4a|ひゃ～～～～～～～！！
vo_adv_1231002_041.m4a|すっかりびしょびしょになってしもうたわぁ。王子はん、怪我とかしとりまへんか？
vo_adv_1231002_042.m4a|ふぇっ……くしゅん！うぅ、外と違うてこの辺りはずいぶん涼しなぁ。このままやと風邪ひいてしまいそうやわ。
vo_adv_1231002_043.m4a|たき火でもして少し火に当たった方がええね。王子はん、ちょっと待っててな？
vo_adv_1231002_044.m4a|みらくるまほりん、くるりんぱ～♪
vo_adv_1231002_045.m4a|はい、火ぃつきましたえ。薪を集めて、冷えた体を温めまひょ。
vo_adv_1231002_046.m4a|ロープでも張れそうな場所があったら服を乾かせるんやけど……見当たらへんなぁ。このまま火ぃに当たって乾くの待ちまひょか。
vo_adv_1231002_047.m4a|鞄の中に、お菓子入れてましてん。こんな状況やからこそ、栄養補給は重要どす。えっと、ここに……
vo_adv_1231002_048.m4a|はい、ありました。まだ濡れてへんやつがあってよかったわぁ。王子はん、おあがりやす。
vo_adv_1231002_049.m4a|うち？　えっと……うちはまだおなか空いてへんさかいに。遠慮せんと先に食べてもうてええよ。
vo_adv_1231002_050.m4a|……王子はん？そないにうちの鞄見てもあげまへんで。きちんと半分こずつや。
vo_adv_1231002_051.m4a|あっ、王子はん！？人の鞄、勝手に覗いたらあかんて──
vo_adv_1231002_052.m4a|……あらら、バレてしもうた。
vo_adv_1231002_053.m4a|無事やったの、その一個だけやったんよ。さっき水に落ちた時に全部ずぶ濡れになってしもうたみたいで……
vo_adv_1231002_054.m4a|王子はん、うちより体大きいしいざという時に動けへんかったら困りますやろ？
vo_adv_1231002_055.m4a|それに……ほら。うちは動けへんようになっても、王子はんが運んでくれますさかい♪そん時はお姫さま抱っこでお願いしますえ？
vo_adv_1231002_056.m4a|せやから、その……そのお菓子は、うちより王子はんが食べた方がええかなって。そう思うたんよ。
vo_adv_1231002_057.m4a|あの……王子はん、なんか怒ってはる？ずーっと黙ってはるけど……
vo_adv_1231002_058.m4a|あ……王子はん、このお菓子……
vo_adv_1231002_059.m4a|王子はん……
vo_adv_1231002_060.m4a|ううん、うちの方こそ。うち、いつも王子はんに助けられてばっかりや。
vo_adv_1231002_061.m4a|あのな、王子はん。うち、この旅行の話が来た時に決めたことがあるんよ。どんなことがあっても、まず自分の力だけでやってみるって。
vo_adv_1231002_062.m4a|ほら、うちギルドマスターやっとりますやろ。【自警団（カォン）】としてギルドへの依頼を受けたりすると、みんな率先して力仕事をやってくれるんよ。
vo_adv_1231002_063.m4a|それに助けられてることも多いんやけど……でも、ちょっと申し訳なく感じる時もあってなぁ。
vo_adv_1231002_064.m4a|確かに、うちはみんなより体力があらへん。でも……もう少し頼ってほしいって思う時もあるんよ？
vo_adv_1231002_065.m4a|それで、今回の旅行の話が来た時にうちだけで、どこまでできるんか試してみよ～思うて。
vo_adv_1231002_066.m4a|でも、うちにマコトはんやカオリはんみたいに体力あったら、さっきも王子はんを引っ張っていけたんかもしれへん。カスミはんみたいに頭が良かったら、あの罠も見抜いてたやろうし。
vo_adv_1231002_067.m4a|なかなかうまくいかへんもんやなぁ。うち一人やとなーんもできひん。みんなに助けられてばっかりで。
vo_adv_1231002_068.m4a|王子はんも？……このたき火で温まれてるのもうちのおかげ、って？
vo_adv_1231002_069.m4a|これくらい大したことやありまへん。うちかて、王子はんに何度も助けてもろてるし……
vo_adv_1231002_070.m4a|……うち、なんでも自分でできなあかんと思うてたみたいやわ。だーれもそんなこと、言うてへんのになぁ。
vo_adv_1231002_071.m4a|王子はんがいて、うちがおる。一人でなんでもやろうと思わんと、力を合わせて乗り越えていけばええんやね。
vo_adv_1231002_072.m4a|なんでこんな簡単なこと、気づかへんかったんやろ。王子はん、おおきに。
vo_adv_1231002_073.m4a|そろそろ服も乾いてきたし、王子はん、出発の準備は大丈夫どす？
vo_adv_1231002_074.m4a|この先、さっきみたいな罠がぎょうさん待ち受けとるかもしれまへん。
vo_adv_1231002_075.m4a|王子はんのことは、うちがきっちり支えます。せやさかい王子はんもうちのこと、よろしゅう支えたってな♪
vo_adv_1231002_076.m4a|王子はん、王子はん！地図にあった目的地って、あれちゃいます？
vo_adv_1231002_077.m4a|ほんまになぁ……洞窟出たらすぐやと思うたのに、ずいぶん時間かかってしもて。
vo_adv_1231002_078.m4a|途中で道を間違うて迷ったり、突然丸太が転がってきたり……王子はんが底なし沼にずっぷりはまった時は流石にもうあかんかと思いましたえ。
vo_adv_1231002_079.m4a|でも、色んな偶然に助けられて良かったわぁ。狙ったように地図が落ちてたりして。
vo_adv_1231002_080.m4a|この旅行が終わったら、マホマホ王国のみんなにも今回の冒険のこと、ぎょうさん話してあげたいわぁ。
vo_adv_1231002_081.m4a|今度はランスロットたちと一緒に冒険するのもええかもしれへんなぁ。みんなでお揃いの冒険衣装作って。どうやろか、王子はん？
vo_adv_1231002_082.m4a|ほな、合流しに行きまひょ。先生も心配してるやろし、早よ安心させたげな。
vo_adv_1231002_084.m4a|心配かけたみたいでえろすんまへん。けど、先生も無事みたいでよかったわぁ。ここまで来る途中、大変やありませんでした？
vo_adv_1231002_086.m4a|あら、先生も道を間違えはったんどすか？ほなこうやって合流できたのは、ほんまに奇跡みたいやね。
vo_adv_1231002_088.m4a|ほな、お茶でも淹れながらまったりお話ししまひょ♪
vo_adv_1231002_089.m4a|……ついに洞窟にたどり着いたマホ姫と王子はん。そんな愛しの二人に、またしても困難が襲いかかるのでした。
vo_adv_1231002_090.m4a|迫りくる大きい岩を見て、うちは言いました。『ああ、王子はん。いけまへん。ここはうちを置いて、王子はんお一人だけでもお逃げやす～』
vo_adv_1231002_095.m4a|信じるも何もあらへんと思いますけど……先生は信じてはらへん？
vo_adv_1231002_098.m4a|居るに決まっとります。妖精の国もあります。
vo_adv_1231002_100.m4a|仲良うしてた友達なら、ちょっとくらい離れてても、お互いを覚えとるもんどす。
vo_adv_1231002_101.m4a|先生が大事にしてはったお友達なら尚更、妖精はんも同じように思うとるんちゃいます？きっと、また会える日を楽しみに待ってはりますえ。
vo_adv_1231002_103.m4a|そういうもんどす♪
vo_adv_1231002_104.m4a|あら、先生。カップが空になってますえ。お茶のおかわりはいかがどす？すぐに準備しますさかい──
vo_adv_1231003_000.m4a|賑やかどすなぁ。鳥さんも楽しそうに歌ってはりますわぁ。
vo_adv_1231003_001.m4a|この先が、伝説の魔獣さんのおる場所どすか？
vo_adv_1231003_003.m4a|そこの茂みに何かおるみたいや。みなはん、お気を付けやす。
vo_adv_1231003_005.m4a|おお～、ほんまに居はったわ。うちもお姫はんとしてきちんとご挨拶せなあきまへんな。
vo_adv_1231003_007.m4a|魔獣さん、お会いできて光栄どす。うちはマホマホ王国のプリンセスでマホ姫、言いますー
vo_adv_1231003_008.m4a|ほら、王子はんもご挨拶せな……あら？王子はんがいはらへん。
vo_adv_1231003_009.m4a|どこ行かはったんやろ？　王子は～ん？
vo_adv_1231003_010.m4a|あら、魔獣さんがお返事しはりました。
vo_adv_1231003_011.m4a|魔獣さん、なんか戸惑ってはるみたいやわ。それに、この毛並みと手触り……随分もふもふしたはる。うちがぬいぐるみ作りで使うのとよう似てはるね？
vo_adv_1231003_012.m4a|首のとこに繋ぎ目みたいなんが見えるような……魔獣さん、ちょっと失礼しますえ？
vo_adv_1231003_014.m4a|あら、王子はん。こんにちは。こないなとこで会うなんて奇遇やね。魔獣さんの真似なんかしはって、かいらしわぁ♪
vo_adv_1231003_015.m4a|それで……これは一体どういうことか、うちにも分かるよう説明してくれはります？
vo_adv_1231003_029.m4a|そんな……先生だけやなくて、王子はんまでうちのことを騙してたなんて……うちの弄ばれた乙女心、どないしたらええの？　よよよ……
vo_adv_1231003_030.m4a|ふふっ、冗談どす♪
vo_adv_1231003_031.m4a|王子はんがいけずなことするから、うちもちょっとからかってみとうなったんよ。堪忍な、王子はん。
vo_adv_1231003_036.m4a|先生……
vo_adv_1231003_037.m4a|うち、先生に感謝してますえ。この旅行に連れてきてくれはって。
vo_adv_1231003_039.m4a|草木の濃い匂いに、色とりどりの動物さんがおって。湿った土に、罠の待ち受けるジャングルの大冒険……うち、ほんまに胸が躍ったんよ。
vo_adv_1231003_040.m4a|確かに、この冒険は全部が用意されたものかもしれまへん。けれど、うちにとってはほんまもんの大冒険でした。
vo_adv_1231003_041.m4a|この冒険のおかげで、うち……ランスロットたちの気持ちが分かった気ぃがします。今はどんな衣装作ったらええか、なんて悩む事ありまへん。
vo_adv_1231003_042.m4a|うちは来てよかったと思うてます。王子はんはどないでした？
vo_adv_1231003_043.m4a|王子はんも、こう言うてます。せやさかい、うちから何も言うことはありまへん。
vo_adv_1231003_044.m4a|むしろ、うちの悩みを解決してくれたお返しに……今度はうちが恩返しする番どす。
vo_adv_1231003_045.m4a|この旅行が終わったら先生を、マホマホ王国に客人としてご招待させてもらいますえ♪
vo_adv_1231003_046.m4a|うち、考えたんやけど……伝説の魔獣さんが来はらへんかったのは、今日、機嫌が悪かっただけかもしれまへんやろ？
vo_adv_1231003_047.m4a|それか、うちらみたいに迷子になってはるんかもしれまへん。気分良う散歩してはってたり、お昼寝してるんかも。
vo_adv_1231003_049.m4a|先生、言ってはりましたやろ？昔は妖精の国があると思ってはったって。
vo_adv_1231003_050.m4a|今は目に見えへんでも……それは、無くなってしもうたわけやありまへん。
vo_adv_1231003_051.m4a|あるものはあるんどす。妖精の国も、そこに住む妖精はんも、今はちょっと見えへんようになっとるだけ。
vo_adv_1231003_052.m4a|せやさかい、うちはマホマホ王国のプリンセスとして、妖精の国とぜひ交流したいと思うとるんどす♪
vo_adv_1231003_053.m4a|そんな、国際交流の一歩として……先生をマホマホ王国にお招きしたいんどす。この招待、受けてくれますやろか……？
vo_adv_1231003_056.m4a|おおきに。お越しの際は、心を尽くしておもてなししますさかい♪
vo_adv_1231003_058.m4a|そんなら、向こうの人にも声かけてきまひょか。着ぐるみのまま、こっちをじーっと見て待機してはりますえ。
vo_adv_1231003_061.m4a|ほな、あそこにおる魔獣さんは……
vo_adv_1231003_063.m4a|あれが本物の魔獣さん……さっき王子はんが着てはった着ぐるみとそっくりやね。
vo_adv_1231003_065.m4a|でも、あの魔獣さん……なんか怒っとりまへん？
vo_adv_1231003_069.m4a|あかん、魔獣さんが先生の方に向かってはる！みらくるまほりん、くるりんぱ～！
vo_adv_1231003_073.m4a|王子はんの言う通りや。先生、少しだけ待っておくれやす。
vo_adv_1231003_074.m4a|魔獣さんが威嚇したはるわ……あきまへん、みんな動いたらあきまへんえ……
vo_adv_1231003_076.m4a|しーっ……魔獣さん、ごめんやす。うちら驚かすつもりはなかったんよ。
vo_adv_1231003_077.m4a|先生もみんなも、ちょっと驚いてしもうただけどす。出ていくまで少しだけ時間をくれへんやろか……？
vo_adv_1231003_078.m4a|分かってくれはったみたいやわ。やっぱり、まずは話し合いが大事やね。
vo_adv_1231003_079.m4a|王子はんもおおきになぁ。みんながパニックにならんよう、止めてもろて。
vo_adv_1231003_081.m4a|フィーリング、どす。
vo_adv_1231003_083.m4a|ちゃんとお話ししたら分かってくれはる気がしたんよ。なんとなーく、やけど。
vo_adv_1231003_085.m4a|みんな仲良うするのが一番、そう信じとるからどす♪
vo_adv_1231003_086.m4a|でも、先生が言うてはったんよ。純粋な心の持ち主なら大丈夫やって。
vo_adv_1231003_087.m4a|それに、これで分かりました。先生やって純粋な心の持ち主いうことどす。
vo_adv_1231003_089.m4a|どないしたんどす、先生？うち、なんか変なこと言いましたやろか……？
vo_adv_1231003_093.m4a|うちと王子はんを……どすか？
vo_adv_1231003_095.m4a|うちと王子はんの物語なんて夢みたいやわぁ。先生、お話の最後はハッピーエンドでお願いしますえ♪
vo_adv_1231003_096.m4a|王子はんったらノリノリやなぁ♪ほな、マホマホ王国のお姫はんとしてうちのことも、どうぞよろしゅうたのんます～
vo_adv_1231003_098.m4a|ふふっ、いつでもどうぞおこしやす～マホマホ王国は、誰にでも広く門を開いてますさかいに。
vo_adv_1231003_099.m4a|お越しの際は、うちと王子はんの二人で精一杯のおもてなしをさせてもらいます♪
vo_adv_1231004_000.m4a|あら、王子はん。遊びに来てくれはったん？
vo_adv_1231004_001.m4a|ちょっと待っててな。もうすぐできりええとこやさかい。
vo_adv_1231004_002.m4a|こないだお出かけしてからみんなの衣装作りが良う進んでなぁ。
vo_adv_1231004_003.m4a|ちょっとワイルドな感じで作ってみてるんよ。お披露目する時には王子はんも呼ぶさかい、楽しみにしててな。
vo_adv_1231004_004.m4a|あ、そうそう。忘れるとこやった。王子はんに預かり物があったんや。
vo_adv_1231004_005.m4a|先生、あれからすぐにお話を書かはったみたいで。うちと王子はんに読んでほしいって、わざわざ本を届けに来てくれはったんよ。
vo_adv_1231004_006.m4a|こうやって、うちと王子はんのお話が本になるなんてほんま素敵やわぁ……♪
vo_adv_1231004_007.m4a|うち、王子はんが来るまで読むの我慢してたんよ。せっかくやし、今日は一緒にご本読みまひょか♪
vo_adv_1231004_008.m4a|ほな、うちが読み聞かせしまひょか？それとも王子はんが読んでくれはります？
vo_adv_1231004_009.m4a|ほな、王子はん。うちの隣に来とくれやす♪そない遠くやと、うちの声も聞き取りづらいやろし。
vo_adv_1231004_010.m4a|ほんならお願いしまひょか。王子はん。うちの隣へおこしやす♪
vo_adv_1231004_011.m4a|それじゃ、まずは最初のページから……あら、えらい豪華な作りやね。本が光ってますえ。なんやまぶしいわぁ……
vo_adv_1231004_086.m4a|んぁ……眠ってしもてたみたいやね。あら、王子はんも？
vo_adv_1231004_087.m4a|そんなら、目覚ましにお茶でも淹れ直そか。
vo_adv_1231004_088.m4a|どんな夢やったか思い出せへんけど……なんや素敵な夢を見てた気ぃするなぁ。
vo_adv_1231004_089.m4a|物語はめでたしめでたしで終わるけれど……その先も、ずっとずーっと先も、みんなとこうやって穏やかな時間が過ごせたらうれしいわぁ♪
vo_adv_1231004_090.m4a|そん時はもちろん、王子はんもそばにおってな。物語の最後は「末永く幸せに暮らしました」ゆうて結ぶもんどす♪
vo_adv_2110001_001.m4a|カスミはん？蘊蓄は、ひとまず置いといて……
vo_adv_2110001_009.m4a|コッコロはん。もう心配いらへんで。ここは、ぜったい安全やさかい。
vo_adv_2110001_013.m4a|……とはいっても。すんまへんけど……王女はんは、一人で外に出んといてな。あんたはんの考えが覇瞳皇帝とは違うって、知ってる獣人も多いけど……
vo_adv_2110001_021.m4a|まだ手当ても途中やったんやけどねえ。ランドソルに戻るまでのあいだに、行き倒れとかにならへんかったらええけど……
vo_adv_2110001_028.m4a|せやなぁ。この際、国と国がどうとか、固っ苦しいことは抜きにしましょ。どんな話でも秘密にするって、約束するさかい。
vo_adv_2110001_034.m4a|大事にならなかったみたいで、良かったわぁ。……久しぶりやし、ほんまはサレンはんの話とか、聞かせてもらいたいとこやけど。今は……
vo_adv_2110001_050.m4a|ユイはんって確か、マコトはんたちのお友だちの……？
vo_adv_2110001_062.m4a|このクッション使ってな。いま、お茶淹れてあげるさかい。
vo_adv_2110001_069.m4a|うちのクマはん？ええよ。
vo_adv_2110001_076.m4a|い、いきなりそないなこと、言われてもな……
vo_adv_2110001_080.m4a|……カスミはん？
vo_adv_2110001_088.m4a|そうやろけど、でも……
vo_adv_2110001_103.m4a|うちらはまだぽかーんとしてるのに……カスミはん、さすがやわぁ。
vo_adv_2110001_110.m4a|へっ？王子はんを？
vo_adv_2110002_049.m4a|ふぅ……
vo_adv_2110002_052.m4a|まだまだ平気やで、……って言いたいところやけど。……せやねぇ。
vo_adv_2110002_053.m4a|みんな、ひとまず危ないところは乗り越えられたし。魔力が戻るまで、ひとやすみさせてもらいましょ。
vo_adv_2110002_056.m4a|マコトはん。街の様子はどないどす？
vo_adv_2110002_061.m4a|敵が来る、ってことやろか？
vo_adv_2110002_064.m4a|……せやなぁ。ただの里帰りのつもりがえらいことになってもうたなぁ。
vo_adv_2110002_070.m4a|街のみんな、どないしたん？
vo_adv_2110002_080.m4a|ほんま、おおきになー♪
vo_adv_2110002_082.m4a|……もし、王子はんたちの話が全部ほんまで……
vo_adv_2110002_083.m4a|もしほんまに、この世界が全部作り物なら。あの子たちが摘んできてくれたこのお花も……作り物、なんよね。
vo_adv_2110002_094.m4a|タネ明かし、言われてもなぁ。うちとしてはまだ、雲を掴むような話をされてる気分やわ。
vo_adv_2110002_095.m4a|でも……王子はんやペコリーヌはんたちも、『現実』ってのに行く方法はわからへんみたいやし。いったん、そっちは置いといて……
vo_adv_2110002_100.m4a|まともにぶつかるのがあかんかったら、まともにぶつからんで上手いこと解決する手ぇを探すしかないやろなぁ。
vo_adv_2110002_104.m4a|せやね。でも、エリスは『世界を管理する存在』ゆうんでもあって。王子はんに手ぇ出してしもたら、世界が壊れてまう……んやっけ。えらいとんでもない話やわ……
vo_adv_2110002_107.m4a|逃がした王子はんらをすぐに追いかけてこないあたり、ほんまなのかもしれへんなぁ。
vo_adv_2110004_004.m4a|えっと……戻らはるんはペコリーヌはん、キャルはん、シェフィはんと【王宮騎士団（NIGHTMARE）】のひとらなん？王子はんとコッコロはんは……
vo_adv_2110004_019.m4a|【カルミナ】のみなはんは、どうしはります？しばらくゆっくりされはって、構いまへんけど……
vo_adv_2110004_033.m4a|な、ないつう……？
vo_adv_2110004_046.m4a|内通者……なるほどなぁ。それでランドソルに帰りたい言い張る王女はんらを、止めへんかったんやねぇ。
vo_adv_2110004_055.m4a|そろそろおかゆさんとかだけじゃなくて獣人族の手の込んだ料理、王子はんに味わってもらいたいわぁ。
vo_adv_2110004_061.m4a|ふふっ、せやねぇ。はよ元気になってもろて、それで……
vo_adv_2110004_062.m4a|……うちの両親に、挨拶してもらわな。こんな機会、めったにあらへんし……
vo_adv_2110004_064.m4a|な、なんでもあらへんよ～？ほな、お屋敷に戻りましょ。
vo_adv_2110004_069.m4a|レイはん。ヒヨリはん。どないされはったん？
vo_adv_2110004_077.m4a|せやねぇ。屋敷のまわりは、侵入者が来たらわかるように結界を敷いてるし。それをすり抜けられるとしても、大きな魔法を使ったら流石にわかるわ。
vo_adv_2110005_006.m4a|ひょっとしたら、街の外に行ってしまわれたのかもしれへんね……
vo_adv_2110005_025.m4a|えっと……おおきに？で、ええんやろか……
vo_adv_2110005_048.m4a|そないなこと、させまへん！
vo_adv_2110005_063.m4a|待ったって、王子はん！コッコロはん！
vo_adv_2110005_065.m4a|下駄を預けてもろた客分はんに、万一あったら末代までの恥やさかい。ここは、うちらに任せたって。
vo_adv_2110005_076.m4a|カスミはん！安全そうな抜け道を使って、王子はんらを街の外まで案内してあげて！
vo_adv_2110005_086.m4a|行っておくんなはれ、王子はんたち！獣人族の誇り、守らせておくれやす！
vo_adv_2110006_021.m4a|あのオクトーはん、ろくに魔力も使わずに、こんなに自在に魔物らを操るなんて……！
vo_adv_2110006_024.m4a|ひゃん！う、うちを狙っとるんっ！？
vo_adv_2110006_027.m4a|すんまへん！
vo_adv_2110006_035.m4a|そないなこと、させまへんえ！
vo_adv_2110006_049.m4a|魔物たちが、オクトーはんの指揮で動いてるならっ。ノウェムはんも、うちら【自警団（カォン）】に手を貸しておくれやす！
vo_adv_2110009_000.m4a|獣人のみんなっ！あとひと踏ん張りや！
vo_adv_2110009_013.m4a|ちゃう！あれたぶん、召喚魔法の結晶やわ！
vo_adv_2110009_021.m4a|みんな、うちの後ろに！まとめて回復したるさかい！
vo_adv_2110009_043.m4a|うちが守ったる！メルヘンカーテン！
vo_adv_2110009_044.m4a|……くぅぅっ……！しんど～っ……
vo_adv_2110009_046.m4a|ノウェムはん！あのひとの話に、耳を貸したらあきまへんで！
