vo_adv_2109001_052.m4a|みんなーおやつの時間だよーっ！
vo_adv_5100005_045.m4a|木の根っこにつまずいちゃって……大丈夫、怪我はしてないから。……って。
vo_adv_5100005_046.m4a|ねえ、マホさん！あれ……あそこにいる、後姿って。すごく大きいけど……
vo_adv_5100005_050.m4a|私たちも行こう！　ぷうきち、お兄ちゃん！
vo_adv_5100005_062.m4a|この地響きと揺れ……もしかして、昨日のも！？
vo_adv_5100005_063.m4a|ま、待ってってば！私たち、あなたに会いに来たの！
vo_adv_5100005_069.m4a|やっぱりあのおじいさんのこと、なのかな？こんな深い森の奥の奥で木登りするおじいさんは、たぶんそんなにはいないと思うけど……
vo_adv_5100005_071.m4a|３人も！？
vo_adv_5100005_083.m4a|え……じゃあ、どうして……
vo_adv_5100005_085.m4a|ねえ、マホさん！やっぱり、私たち、羊さんとお話をしようよ。
vo_adv_5100005_086.m4a|マホさんが来た理由も、おじいさんがここにいない理由も！ちゃんと話を、したほうがいいよ！わかってもらわなくちゃ！
vo_adv_5100005_088.m4a|きゃああ！
vo_adv_5100005_090.m4a|ぷ、ぷうきち、大丈夫！？
vo_adv_5100005_135.m4a|えっ！？
vo_adv_5100005_152.m4a|マホさん逃げて！
vo_adv_5100006_000.m4a|うう～！……もう、しばらくになるけど……全然話を聞いてもらえる感じじゃない、よね……
vo_adv_5100006_002.m4a|ぷうきち！
vo_adv_5100006_004.m4a|はぁ、はぁ……っでも、まだまだ……っ。
vo_adv_5100006_006.m4a|ぷうきちこそ！綿、寄ってない？　大丈夫？
vo_adv_5100006_015.m4a|そうだよ！みんな、一緒だよ！
vo_adv_5100006_018.m4a|私も！　……まだ、届くって、信じたい！
vo_adv_5100006_020.m4a|私たちの話を聞いて、バロメッツ！迎えに来たんだよ！　一緒に行こう！
vo_adv_5100006_022.m4a|きゃあ！
vo_adv_5100006_024.m4a|…………マホさん。大丈夫かな、羊さん。
vo_adv_5100006_027.m4a|よかった……このまま起きてくれなかったらって……心配になっちゃって……
vo_adv_5100006_029.m4a|あれ……？　小鳥が集まってきた。動物たちも！
vo_adv_5100006_055.m4a|私はアヤネ。
vo_adv_5100006_058.m4a|ううん。捕まえたりなんて、しないよ！私たち、羊さんに会いに来たんだ！　ランドソルっていう遠い街から、あなたに会うために旅をしてきたの。
vo_adv_5100006_075.m4a|じゃあ次はこれ。干し果物！　ランドソルの雑貨屋さんの一押しだよ！それからこっちは、私が住んでるホーム、【サレンディア救護院】で作ってるクッキーね。
vo_adv_5100006_077.m4a|そう、砂糖漬けのしょうがを入れてあるんだ。これがあるとね、ちょっとだけ、大人っぽい味になるんだよ♪ほかにも、救護院ではいろんなお菓子を作っててね……
vo_adv_5100006_078.m4a|それから、それからねえ……
vo_adv_5100006_079.m4a|これは、来る途中に願い竹の村でもらった、星屑の砂糖菓子。食べたら絶対びっくりするんだって！一緒に食べてみようよ！
vo_adv_5100006_080.m4a|せーの……
vo_adv_5100006_084.m4a|羊さん目が真ん丸になってる～！
vo_adv_5100006_085.m4a|あはは、お兄ちゃんも面白い顔になってる！
vo_adv_5100006_087.m4a|私たちもだよ。ね、マホさん、お兄ちゃん。まだ知らないこと、たくさんあるんだって！
vo_adv_5100006_099.m4a|最初はそうだったの。おじいさんの話を聞いたから、とか。伝説の羊が見たいから、とか。
vo_adv_5100006_123.m4a|あっ、マホさんずるい！　私もー！
vo_adv_5100006_126.m4a|……あはは！
vo_adv_5100006_129.m4a|みんな、友達だね。
vo_adv_5100007_000.m4a|楽しかったね！まだここにいたい気もするけど、そろそろランドソルに帰らなくっちゃ。
vo_adv_5100007_010.m4a|あっ！　ちょっと待ってて！
vo_adv_5100007_012.m4a|うん。ほら、出発するときにリマさんにもらった……確かこの辺に入れたはずなんだけど……羊さんに会うなら絶対必要な、お役立ちグッズ！　あ、あった！　これ！
vo_adv_5100007_013.m4a|そうそう、バリカン！これで、伸びすぎた毛を刈れば……
vo_adv_5100007_017.m4a|ねえねえ、帰りはどの町によって帰る？また遊びに行くって約束したところ、ぜーんぶ寄っていこうね！！
vo_adv_5100007_019.m4a|こら、ぷうきちー？　そういう考え方はよくないと思うな！
vo_adv_5100007_024.m4a|ぷうきちは、スーパーぷうきち計画どうするの？羊さんに綿、分けてもらう？
vo_adv_5100007_026.m4a|うんうん！　ぷうきちはいつだってスーパーぷうきち、だもんね！
vo_adv_5100007_029.m4a|わーーーー！　落ちる～～～！！あはは、あははは！　早ーい！
vo_adv_5100007_031.m4a|森についたら、ムーサの町でもらったベルを鳴らして歩こう♪きっと楽しいよ！
vo_adv_5100007_032.m4a|最初は、セントールス！おいしいお茶を飲んで……
vo_adv_5100007_034.m4a|それから、次はどこに行く？
vo_adv_5100007_035.m4a|あれ？　空から何か落ちて……
vo_adv_5100007_037.m4a|ぷうきちは濡れないように気を付けて！
vo_adv_5100007_039.m4a|雷って言うんだよ。これがたくさん鳴ると、作物が良く育つんだって。
vo_adv_5100007_045.m4a|待って待って、私も！
vo_adv_5100007_047.m4a|そして、ここが……私たちの住む街、ランドソル！
vo_adv_5100007_050.m4a|でね、でね！　ママ・サレン！この後がもっとすごいの！　星屑で作った砂糖菓子がね……
vo_adv_5100007_052.m4a|だよね！　お兄ちゃんも目をまんまるにしてたんだよ！それでね……
vo_adv_5100007_054.m4a|ううん、全然！ママ・サレンや救護院のみんなに聞いてほしいことが、まだまだたくさんあるんだよ！
vo_adv_5100007_056.m4a|わあっ、賛成！お兄ちゃんもお茶にしようよ！
vo_adv_5100007_057.m4a|うん！
vo_adv_5100007_058.m4a|あれ？　マホさん！　ちょうどいいところに……そんなに急いで、どうしたの？
vo_adv_5100007_062.m4a|……？　お兄ちゃん……何があったんだろう、マホさん。
vo_adv_5100007_064.m4a|うん！　行こう！
vo_adv_5100007_115.m4a|ねえぷうきち。
vo_adv_5100007_117.m4a|綿、本当に入れてもらわなくてよかったの？スーパーぷうきちになれるチャンスだったのに。
vo_adv_5100007_120.m4a|ううん、そんなことない！私が、私のわがままでぷうきちがスーパーぷうきちになれるチャンスをなくしちゃったのかなって、心配だったの。
vo_adv_5100007_121.m4a|だけど、今のままのぷうきちが……一番最高の、私の相棒だよ。
vo_adv_5100007_123.m4a|あれ？　ぷうきちもしかして、照れてる？
vo_adv_5100007_124.m4a|もう出発するの？
vo_adv_5100007_133.m4a|また、ランドソルに寄ってね！待ってるからね。
vo_adv_5100007_143.m4a|元気でね、羊さん。
vo_adv_5100101_000.m4a|ねえねえ、お兄ちゃん、私たちと一緒に旅に出ようよ♪
vo_adv_5100101_004.m4a|うんうん♪お弁当にお土産、それにおやつ！旅の道具はばっちり準備したよ！
vo_adv_5100101_006.m4a|わかってるわかってる！だけどぷうきちだってうきうきしてるじゃない！
vo_adv_5100101_009.m4a|あっ！　ねえねえ、目的地の方角はどっちかな！？どうしよう、早速迷子ってこと！？
vo_adv_5100203_000.m4a|はぁー……何とかおとなしくなってくれたみたい……あうぅ、私もう、ふらふらだよ……
vo_adv_5100204_000.m4a|な、なにこれ……さっきよりも強そうになってるんだけど……
vo_adv_5100204_001.m4a|まだ話を聞いてくれるつもりはない、のかな？でもこれ以上は暴れさせられないよ！
vo_adv_5100301_000.m4a|ねえ……もしかしてここからが本気なのかな……？お願い落ち着いて！　話を聞いて……って……私たち敵うのかなあ……！？
vo_adv_5100302_000.m4a|まだおとなしくなってくれないよ、マホさん。どうしよう！？
vo_adv_5100302_002.m4a|は、はんなりって、どうやってー！？
vo_adv_5100308_001.m4a|そ、そんなことないってば…………って言いながら私も怖いけど……ここまで来たんだもん！　諦めないよ！
vo_adv_5100321_003.m4a|わわっ魔物がたくさん……！？どうしよう、でもここを乗り越えないと、羊さんのところに行けないよ！
vo_adv_5100322_000.m4a|はあ……ようやく羊さんのところにたどり着いたけど……
vo_adv_5100322_006.m4a|大丈夫！　絶対絶対、私たちが助けるんだから！そうでしょ、ぷうきち！
vo_adv_5100323_004.m4a|マホさん、私たちも……全力でいこう！羊さんに、わかってもらうために！
vo_adv_5100402_000.m4a|な、何とかなった……よね……？良かったぁ……これで、私たちのこと、信じてくれるよね。
vo_adv_5100403_001.m4a|うん！　マホさん！最初から頑張りすぎると疲れちゃうもんね。木登りとおなじ！
vo_adv_5100403_003.m4a|えへん！　当たり前でしょ！
vo_adv_5100403_005.m4a|しゃなりしゃなり……
vo_adv_5100404_000.m4a|よおし！　この調子でいくよー！
vo_adv_5100405_000.m4a|ここまで来たら、あとちょっとー！
vo_adv_5100601_000.m4a|それにしても、まさかぷうきちが音楽劇に出る日が来るなんてね！
vo_adv_5100601_002.m4a|忘れるわけないよ！あの時のぷうきち、かっこよかったもん！
vo_adv_5100601_005.m4a|そうそう、そうなんだよね！音楽劇も楽しみだけど、何より……劇団のみんなにまた会えるのが私はすっごく楽しみなんだ！
vo_adv_5100601_011.m4a|うん。ちょっと前に、次の旅は深い山奥、ってお手紙が届いてたもんね。
vo_adv_5100601_017.m4a|ぷうきち落ち着いて。まだ誰もそんなこと言ってないよ！
vo_adv_5100601_044.m4a|音楽劇を見に行くんだって、ぷうきち。私たちも頑張らなくちゃね！
vo_adv_6100201_000.m4a|ねえお兄ちゃん、ぷうきちがスーパーぷうきちになったでしょ。私もスーパーアヤネになったほうがいいのかな？それってどんな私だと思う？
vo_adv_6100201_001.m4a|むむ～石頭って、スーパーアヤネのイメージじゃないよう！え？　アヤネフルスイングができちゃうかもしれない……？あれっそれはそれで悪くないかも……！
vo_adv_6100201_002.m4a|もっともっと強くなれたら素敵だな！お兄ちゃんと一緒にいろんなところに行けるもん♪えへへ、そうしたら私が守ってあげるね♪
vo_adv_6100202_000.m4a|ねえお兄ちゃん、リマさんの言ってたモフモフ勝負って何だったんだろう？
vo_adv_6100202_001.m4a|ええっ！？　私、モフモフの部分なんてどこにも……あっそうだ、ぷうきちに参加してもらえばいいんだ！ねえねえぷうきち、今度やってもらおうよー！
vo_adv_6100202_002.m4a|なるほど！　どっちがモフモフしてるかを私が判定すればいいってことだよね！なかなか面白そうだよ！　お兄ちゃんも、一緒に審判やろう♪
vo_adv_6100203_000.m4a|もしね、もしもだよ。私がどこかで一人ぼっちで、すっごく寂しくなってたら……お兄ちゃんは来てくれる？
vo_adv_6100203_001.m4a|えへへ……よかったぁ。これでどこかに遊びに行って迷子になっても平気だね！え？　そういうのはだめ？　えへへ、ごめんなさい～！
vo_adv_6100203_002.m4a|うん。お兄ちゃんがそう言ってくれるなら安心だよ。一人っきりの時もちゃんと頑張れる気がする。
vo_adv_6100204_000.m4a|旅するためには、体力をつけないとね！何がいいと思う？
vo_adv_6100204_001.m4a|いっぱい食べるって……そりゃ私も、まだまだ大きくなるつもりだよ！え？　好き嫌いなく……？うーん……食べてるつもり、だけど……苦手なものは、ちょっと……
vo_adv_6100204_002.m4a|えぇ～！　それは確かに、鍛えられそうだけど！　さすがに無理だよー！え？　配達の仕事を一緒にすればそのくらいは軽くこなせる……？わあ……お兄ちゃんって、実はすごいんだね……
vo_adv_9003503_007.m4a|あのチビガキは、前に一回私たちがやっつけてやったもんね！
vo_adv_9004010_006.m4a|毎日食べても食べ飽きない、すっごくおいしいケーキがあるんだよ！
vo_adv_9005005_003.m4a|でもこのみたらし団子、おいしいよ～♪ぷうきちも食べる……？
vo_adv_9005005_012.m4a|ひぃっ！？さっきまでかっこいいお姉さんだったのに……！助けて、ぷうきち～！
