vo_adv_1225001_000.m4a|青い空、白い雲……風は穏やかで、天気は晴朗なれども。さて、どうしたものかな……
vo_adv_1803001_022.m4a|──！　そうか。キミのことだから、「話を聞かせて」、と言ってくれるのかなとも思ったけど……まさかそうくるとはね。
vo_adv_1803001_023.m4a|でも私には、剣を交えるほうが性に合ってる。この剣は、言葉よりも遥かに雄弁だ。
vo_adv_1803001_024.m4a|それにしても、初めてだね。私より先にキミが剣を構えるなんて……
vo_adv_1803001_025.m4a|たとえ大会の後でも、手加減はしないよ！はあっ！
vo_adv_1803001_026.m4a|それっ！　たあっ！
vo_adv_1803001_027.m4a|彼が以前の状態に戻ったというのもあるが、剣の腕が確実に成長しているな。私の攻撃を的確にさばいている……
vo_adv_1803001_028.m4a|それに比べて私は……私は！
vo_adv_1803001_029.m4a|はあぁぁぁっ！！
vo_adv_1803001_030.m4a|……これでも届かないか。やはり足りない。今のままではダメなんだ……！
vo_adv_1803001_031.m4a|キミにも、もう伝わったんじゃないか？
vo_adv_1803001_032.m4a|私は今の自分の強さに、物足りなさを覚えているんだ！この程度……そう言い切ってしまうけれど、この程度では、これからの戦いを切り抜けられるとは思えない！
vo_adv_1803001_033.m4a|ようやく私もプリンセスフォームを得て戦ったというのに、あの結果だ……私はもっと、強くならないといけない！
vo_adv_1803001_034.m4a|こんなところで、止まっていられない！
vo_adv_1803001_035.m4a|……それなのに、私は迷っている。剣を振るう腕が、動かなくなってしまうほどに。
vo_adv_1803001_036.m4a|うん……プリンセスフォームは、キミと私たちの絆、人の絆の力だ。
vo_adv_1803001_037.m4a|そんな力は、家族との絆を断ち切ろうとしている自分が、使っていいものじゃない。
vo_adv_1803001_038.m4a|そう、考えてしまう瞬間があって……強さを求めることに、ひたむきになれない自分がいるんだ。
vo_adv_1803001_039.m4a|……おかしな考えだと思うかもしれない。でも私は、あまり器用な人間じゃない。
vo_adv_1803001_040.m4a|決着をつける必要がある、のかな……家族と。絆を断ち切って、前に進むために。
vo_adv_1803001_041.m4a|それは……
vo_adv_1803001_042.m4a|……分からなくなってきた。
vo_adv_1803001_043.m4a|親から人生を支配されるのが嫌だった。私が拒んだのは、ただそれだけだったから。
vo_adv_1803001_044.m4a|家族の立場も理解はしているし、決して嫌いなわけじゃない……
vo_adv_1803001_045.m4a|ただ自由になりたかった。自由でいてほしかった。自分にも、家族にも……
vo_adv_1803001_046.m4a|……そうか。
vo_adv_1803001_047.m4a|絆の力を使えるようになったからこそ、私はすでに気づいていたんだ。断ち切りたくなかったと。
vo_adv_1803001_048.m4a|そうだったのか……
vo_adv_1803001_049.m4a|……努力してみるよ。
vo_adv_1803001_050.m4a|……ああ、何故だろう。大会で勝った時よりも、今のほうが晴れやかな心持ちだ。
vo_adv_1803001_051.m4a|……キミは、私の迷いに気づいていたの？……そうじゃなかったとしても、キミがいたからこそ、私は自分の中の答えを見つけられた……
vo_adv_1803001_052.m4a|いつもありがとう。キミのおかげだよ。キミがそばにいてくれなかったら、この先もずっと、迷い続けていたに違いない。
vo_adv_1803001_053.m4a|不思議だな……キミになら、全て話せてしまえる気がするよ。私のキミへの思いも……
vo_adv_1803001_054.m4a|な、なんでもない！今のは冗談だから、気にしないで！
vo_adv_1803001_055.m4a|ああ、いや、聞こえてなかったならいいんだ！大した話じゃないから！　うん！
vo_adv_1803001_056.m4a|……一体私は何を言いかけたんだ！？彼への思い！？　何をバカな……！
vo_adv_1803001_057.m4a|……いや、しかし、絆の力というからには、私は彼と絆を深める必要があるわけで……
vo_adv_1803001_058.m4a|待った。そうでなくとも強くなる方法はあるはずだ。まずはそれを探そう……そうだ、そうしよう！
vo_adv_1803001_059.m4a|ねえキミ。実は最近、プリンセスフォームの力を今以上に引き出せる戦い方を身につけたくて、その方法を探しているんだ。
vo_adv_1803001_060.m4a|よかったら、手伝ってほしいんだけど……どうかな？
vo_adv_1803001_061.m4a|ありがとう。キミが一緒に探してくれるなら、すぐにでも見つかりそうな気がするよ。
vo_adv_1803002_000.m4a|ここもダメとはね……
vo_adv_1803002_001.m4a|王宮の書庫にめぼしいものはなかったな。あそこなら何か見つかるかと期待したんだけど……
vo_adv_1803002_002.m4a|すまない。せっかく手伝ってもらっているのに、空振り続きになってしまっているね。
vo_adv_1803002_003.m4a|そういうわけにもいかないよ。キミにも貴重な時間を使ってもらっているんだ。このまま無為に終わらせるつもりはない。
vo_adv_1803002_004.m4a|ただ、闇雲に探しても意味がないのは分かってる。分かってはいるんだけど、体を動かさずにはいられないんだ。
vo_adv_1803002_005.m4a|さて、次はどこを探そうかな……？
vo_adv_1803002_006.m4a|ええっ！？　びっくりした。いきなりだね……
vo_adv_1803002_007.m4a|……キミが言いたいことは分かっているつもりだよ。それでも、【レイジ・レギオン】はいつまたこちらに仕掛けてくるか分からないんだ。
vo_adv_1803002_008.m4a|正直、猶予はあまりないと思う。だからこそ今は……
vo_adv_1803002_009.m4a|ああ、そうか……キミから見て、今の私は根を詰めすぎているのか。
vo_adv_1803002_010.m4a|ありがとう。気にかけてくれて。我を忘れて物事に没頭してしまうのは、私の悪い癖だね。
vo_adv_1803002_011.m4a|しかし休むといっても、どうすればいいのかな？休息をとるなら、何もせず休むのがいいんだろうけど……
vo_adv_1803002_012.m4a|……参ったな。確かに少しは休むべきだね。とりあえず食事をしながら、休み方を考えよう。
vo_adv_1803002_013.m4a|ん？　どうしたの？　さあ、早く店を探そう。自覚した途端、ものすごい勢いでお腹が空いてきたよ。
vo_adv_1803002_014.m4a|いただきます。……うん。美味しい。
vo_adv_1803002_015.m4a|ねえ。キミはさっき私に休めと言ってくれたけど、一体何をすれば休んだことになると思う？
vo_adv_1803002_016.m4a|そうさ。休むのだって行動の一つだよ。気を付け、と言われたら次は？　休め、だろう？学校か何かで教わらなかった？
vo_adv_1803002_017.m4a|何もしないというのもそれはそれで行いになる。そこで、どんな行いが今の私への休みになって、次の行いをより良い結果にするのか……それを考えたいんだ。
vo_adv_1803002_018.m4a|こうして栄養価の高い食事をとって、体を必要以上に動かさない日を過ごす？それとも、精神統一のために瞑想をすべきかな？
vo_adv_1803002_019.m4a|今の私にとっての最適な休息とは、一体……
vo_adv_1803002_020.m4a|私が？　……そんなことはないよ。私はただ、やると決めたことは全力でやれば、なんとかなると思い込んでいるだけさ。
vo_adv_1803002_021.m4a|仕事はもちろん、好きなこと、遊びだって同じだ。釣りに対しても、剣に対しても、ずっとそうしてきて……他の生き方を知らないんだよ、私は。
vo_adv_1803002_022.m4a|家族の元にいた頃は、努力している事実を結果として残し続けないと、人として認めてもらえなかったからね……
vo_adv_1803002_023.m4a|わずかに許されていた自由な時間に遊ぶのも、全力だったな……よく祖父と一緒に釣りをしたんだ。剣の稽古をつけてもらった後にね。懐かしいよ。
vo_adv_1803002_024.m4a|そういえば、しばらく釣りには行けてないな……
vo_adv_1803002_025.m4a|今から？　さすがに海となると泊まりになるけど、近くの川なら大丈夫か……
vo_adv_1803002_026.m4a|いいね。せっかくキミと一緒にいるんだし、のんびり釣りをするのも悪くない。
vo_adv_1803002_027.m4a|食事を終えたら、釣り具を持って川に向かおう。ふふっ、楽しみだな……
vo_adv_1803002_028.m4a|……ふわぁ。それにしても、釣れないね……
vo_adv_1803002_029.m4a|いけないな……少し眠くなってきた…………気のせいだろうか。私は今、彼に寄りかかってしまっているような……
vo_adv_1803002_030.m4a|前に来た時は、大漁とまではいかないにしても、釣れたはずなのに……
vo_adv_1803002_031.m4a|……不思議だな。常に戦いに備えなければと、あれほど思っていたのが、こうして何もせずにいると、こんな時間がもっと続いてほしいと感じる。
vo_adv_1803002_032.m4a|今まではこんな風に時間を過ごしていると、焦りを感じることもあった。
vo_adv_1803002_033.m4a|祖父から教わった釣りを今でも続けているのは、そんな自分を律するためだったのかもしれないな……
vo_adv_1803002_034.m4a|ねえ、キミは退屈じゃない……？
vo_adv_1803002_035.m4a|そう……ならよかった。
vo_adv_1803002_036.m4a|……釣れないね。
vo_adv_1803002_037.m4a|……でも、今はもうしばらく、このままでいたいな……
vo_adv_1803002_038.m4a|もう少しだけ、キミのそばで……
vo_adv_1803002_039.m4a|穏やかな時間を過ごしていたい……
vo_adv_1803002_040.m4a|何もかもを、忘れて……
vo_adv_1803002_041.m4a|……
vo_adv_1803002_042.m4a|……んん……
vo_adv_1803002_043.m4a|……もしかして私、眠って……起こさないでいてくれたんだね。ありがとう。
vo_adv_1803002_044.m4a|ということは、キミも私も釣果はなしか。魚も自然も、人間の思う通りにいくものじゃない。こんな日もあるさ。
vo_adv_1803002_045.m4a|ふふっ、キミならそう言ってくれると思った。……本当に、ありがとう。
vo_adv_1803002_046.m4a|今日はキミのおかげで一息つけたよ。近頃はあまり休みらしい休みもとれていなかったし、しっかりと休めた気がする。
vo_adv_1803002_047.m4a|きっと祖父も、私と同じように休息をとっていたんだろうね。剣の修行や仕事の合間に……
vo_adv_1803002_048.m4a|……そういえば。祖父に貰った技法書は、まだ見返していなかったな。
vo_adv_1803002_049.m4a|なんてことだ。灯台下暗しとはまさにこのことか！キミ、急いで街へ戻ろう！
vo_adv_1803002_050.m4a|祖父から剣を教わっていた頃、秘伝の技法書をもらっていたんだ。それになら、何かヒントが載っているかもしれない。
vo_adv_1803002_051.m4a|ああ、どうしてあの本のことを思い出せなかったんだ……！
vo_adv_1803002_052.m4a|そうだね。自分でも分かるくらい、今は気力も体力も漲っている。キミとゆっくり休めたおかげだよ。
vo_adv_1803002_053.m4a|さあ、早く行こう！　あの本はきっとキミの力にもなる。これからも、二人で更に強くなろう！
vo_adv_1803003_000.m4a|技法書にあった記述を信じると、この山に修練所があるはずだけど……
vo_adv_1803003_001.m4a|これほどの天険の地に、今も昔も、人が暮らしているとは思えないな。
vo_adv_1803003_002.m4a|キミは大丈夫？　寒くない？一応、気休め程度の防寒魔法はかけておいたよ。
vo_adv_1803003_003.m4a|ああ、私は平気だよ。山は天気が変わりやすい。お互いに気を配りながら登ろう。
vo_adv_1803003_004.m4a|ん？　あれは……人なのかな……？
vo_adv_1803003_006.m4a|ええ、山頂にある修練所を目指しています。
vo_adv_1803003_008.m4a|そんな……それは確かな情報ですか？
vo_adv_1803003_011.m4a|そう、ですか……例えそれが事実でも、私はこの目で確かめたい。私たちは山頂へ向かいます。
vo_adv_1803003_013.m4a|ありがとうございます。……先へ進もう。
vo_adv_1803003_014.m4a|……はあ、はあ。空気が、薄くなってきた……こんな所で、剣の修行をしていたなら、その剣士は、間違いなく、強者だったろうね……
vo_adv_1803003_015.m4a|ここが、山頂か……建物なんて、どこにもないな。
vo_adv_1803003_016.m4a|これは……柱の跡だ。確かに、建物はあったんだ……ははっ、とんでもない、無駄足だったね……
vo_adv_1803003_017.m4a|吹雪くといけない。早く下山しよう。事実を確認できただけで、ここに来た、甲斐はあったよ──
vo_adv_1803003_019.m4a|っ！？　誰だ！
vo_adv_1803003_021.m4a|この騎士、どこから現れた！？それに天候が一気に悪化した！幻覚でも見せられているのか……！？
vo_adv_1803003_023.m4a|もう一人いた！？　いや、一人どころじゃない！既に囲まれたか──！
vo_adv_1803003_024.m4a|……私は、剣の道を究めたい。そのために、ここへ来た。
vo_adv_1803003_028.m4a|命は惜しくなどない！この山に、足を踏み入れた時から、覚悟はできている！
vo_adv_1803003_032.m4a|くっ！
vo_adv_1803003_033.m4a|早いっ！　それに重い！　紛れもない剣による攻撃だ！魔物の仕業か何かとも思ったが、違ったな……！とにかく今は、全力で戦うまでだ！
vo_adv_1803003_034.m4a|はあっ！
vo_adv_1803003_036.m4a|なんだとっ！？
vo_adv_1803003_038.m4a|ぐあああっ！
vo_adv_1803003_039.m4a|強い……！！　攻撃を防ぐどころか、見切るのですら精一杯だ！　それに彼らは、明らかにこの地での戦いに慣れている……ならば！
vo_adv_1803003_043.m4a|キミ！　変身だ！
vo_adv_1803003_044.m4a|たあああっ！
vo_adv_1803003_048.m4a|何っ！？　くっ、しのぎきれない……！
vo_adv_1803003_049.m4a|プリンセスフォームに変身した私と対等、いや、それ以上の動きだと……！？ここまでの使い手に会ったのは初めてだ……！
vo_adv_1803003_050.m4a|このままでは……！
vo_adv_1803003_052.m4a|うわああああっ！
vo_adv_1803003_053.m4a|くっ……はあ、はあ、はあ……
vo_adv_1803003_054.m4a|……ああ。まだやれる。だが……
vo_adv_1803003_058.m4a|私は……私が強さを求めるのは……
vo_adv_1803003_059.m4a|……毎日のように思い出す。彼が倒れた時のことを。
vo_adv_1803003_060.m4a|私が、敗れた時のことを……
vo_adv_1803003_061.m4a|彼と出会って、同じ時を過ごすようになってから、ずっと願い続けてきた。もっと強くなりたいと。彼と過ごす、穏やかな時間を守り続けるために。
vo_adv_1803003_062.m4a|私には力が足りない。技術をいくら磨いても、体をいくら鍛えても、プリンセスフォームとしての力には、欠けているものがある……
vo_adv_1803003_063.m4a|……その正体を、私はずっと探してきた。それが今、やっと分かった。
vo_adv_1803003_064.m4a|……ああ、そうだ。彼の思いだ。いつも彼が私にくれる、温かく、強い信頼と、親愛の心。それこそが私の力になっていくんだ。
vo_adv_1803003_065.m4a|でもそれだけでは足りなかった。この力は、私と彼の、二人の思いの力だ。
vo_adv_1803003_066.m4a|だから私も、彼に思いを捧げよう。ずっと胸の奥に秘め続けてきた、この気持ちを……
vo_adv_1803003_067.m4a|そうすればきっと……私たちは、無敵になれる──！
vo_adv_1803003_068.m4a|私は……愛する者と同じ時を過ごすために強くなりたい！
vo_adv_1803003_069.m4a|もう二度と！
vo_adv_1803003_070.m4a|彼を失いたくないんだ！！
vo_adv_1803003_072.m4a|そうだ！　私と彼の、絆の剣だ！
vo_adv_1803003_076.m4a|くらえっ！　これが私たちの、思いの力だ！
vo_adv_1803003_077.m4a|風の剣よ……立ちはだかる全ての敵を薙ぎ払え！
vo_adv_1803003_078.m4a|グロリアステンペスト！！！！
vo_adv_1803003_080.m4a|はあ、はあ……どうだ！
vo_adv_1803003_084.m4a|……不思議だ。今までの戦いよりも体がよく動いた。これが本当の、プリンセスフォームの力なの……？
vo_adv_1803003_089.m4a|消えた……！？
vo_adv_1803003_090.m4a|彼らは一体……
vo_adv_1803003_091.m4a|……それよりも、早く下山しよう。変身している今なら、麓までキミを背負って下りられる。
vo_adv_1803003_092.m4a|いつまた天候が荒れるかも分からないし、また誰かに戦いを仕掛けられては敵わないからね。
vo_adv_1803003_093.m4a|気圧の変化に気を付けながら進まないと……さあ行こう。山は気まぐれだ。こうして晴れているのも、あと少しだけかもしれない。
vo_adv_1803003_094.m4a|……それにしても、強かったな。あんなに強い剣の使い手には、会ったことがなかったよ。
vo_adv_1803003_095.m4a|……きっとあの騎士たちは、山に眠る魂だったんだ……剣の道を究めようとした者たちの念が、あの山にはまだ残っているんだろうね……
vo_adv_1803003_096.m4a|私もだよ。彼らと戦ったおかげで、プリンセスフォームの力が今まで以上に引き出せるようになった気がする。
vo_adv_1803003_097.m4a|私は……愛する者と同じ時を過ごすために強くなりたい！
vo_adv_1803003_098.m4a|……愛する者、か。
vo_adv_1803003_099.m4a|……案外、素直に言ってみたのが良かったのかな？
vo_adv_1803003_100.m4a|な、なんでもないよ！　あれはキミのことでもあるけど、ああっ、えっと、ああっ、そうじゃなくて……！
vo_adv_1803003_101.m4a|愛といっても、まだそういう愛ではないんだ！……まだ！？　な、何を言っているんだ私は！
vo_adv_1803003_102.m4a|ほら、手紙に書いたりするだろう？親愛なるキミへって。そういう愛だよ、愛！分かった！？
vo_adv_1803003_103.m4a|……ありがとう。雪山に眠りし騎士たち。あなたたちとの戦いで得た力で、愛する者を必ず守り抜いてみせるよ。
vo_adv_1803003_104.m4a|いつまでも、どこまでも……
vo_adv_1803004_000.m4a|……吹雪いている山頂で幽霊の類と戦ったなんて、幻でも見たのかと言われそうな体験だったね。
vo_adv_1803004_001.m4a|キミという目撃者がいなかったら、私もいよいよ修行のやりすぎで変になったと思われそうだよ。
vo_adv_1803004_002.m4a|おっと、もうこんな時間か……今日は長い時間付き合ってくれてありがとう。疲れただろうし、ギルドハウスまで送っていくよ。
vo_adv_1803004_003.m4a|プリンセスフォームに変身していたとはいえ、山を急いで下りたからかな？さすがに私もヘトヘトだ……
vo_adv_1803004_004.m4a|……ん？　ねえキミ、そのまぶしい物は一体……？
vo_adv_1803004_005.m4a|いや、物じゃない……？何の、光……なんだ……
vo_adv_1803004_079.m4a|んん……
vo_adv_1803004_080.m4a|朝か……あれ？　キミ、どうしてここに……
vo_adv_1803004_081.m4a|どうやら二人とも疲れて寝てしまったみたいだね……キミ、起きて。ギルドハウスへ帰るんだ。きっとコッコロたちが心配しているよ。
vo_adv_1803004_082.m4a|そうか……ならいいんだ。
vo_adv_1803004_083.m4a|何故だろう……深く眠ったせいか、よく休めた気がする。体も気持ちも、いつも以上にスッキリしている。
vo_adv_1803004_084.m4a|キミはよく休めた？
vo_adv_1803004_085.m4a|私もだ。さあ、支度を整えて朝食にしよう。昨日のお礼に、今日は私がキミの助けになるよ。
vo_adv_1803004_086.m4a|……今日だけじゃない。これから先も、私はキミを助けるよ。夢で見たような、ささやかで……穏やかな時間を過ごすためにも。
vo_adv_1803004_087.m4a|今の私なら、それができる気がするんだ。この先に待つ戦いを乗り越えて、必ずたどり着いてみせるよ。私たちの願う、平和な未来へ。
vo_adv_2102009_005.m4a|騒ぎの元凶が、【レイジ・レギオン】というギルドの仕業かは、まだ不明だが……もしそうなら、キミの力を借りなくてはならない。
vo_adv_2102009_006.m4a|すまないが、少しだけガマンしてくれ……！
vo_adv_2102009_013.m4a|……この静けさ。まるで、墓場のようだな……
vo_adv_2102009_020.m4a|……あれは！【トワイライトキャラバン】の構成員か……！？
vo_adv_2102009_022.m4a|『壊し屋』に『蒐集家』、『隻眼の悪魔』、『歩く竜巻』……いずれも裏社会では名の知られた実力者だ！
vo_adv_2102009_023.m4a|それに、ルカまでっ……！彼女ほどの剣士を、一方的に仕留めたというのか！？
vo_adv_2102009_035.m4a|まさか……この街の人々を消せば、少しは静かになるとでもっ！？
vo_adv_2102009_048.m4a|それだけじゃない！影のような何かが……！
vo_adv_2102009_071.m4a|くっ！シャドウはともかく……この骨のワイバーン、強い！
vo_adv_2102009_077.m4a|すまないが、{player}！その調子で我々にも、強化を頼むっ！
vo_adv_2102009_099.m4a|あの強化能力には、まだ私たちの知らない制限があるんだろうか？
vo_adv_2102010_000.m4a|霧状のブレスっ……毒か！？
vo_adv_2102010_007.m4a|……！？我々の身体の表面にも、緑色の結晶が……！それも、どんどん増えていく！
vo_adv_2102010_009.m4a|【トワイライトキャラバン】は、これにやられたのか！
vo_adv_2102011_025.m4a|いないのか！？もしや、また迷子にっ……？
vo_adv_2102011_029.m4a|{player}、返事をしてくれっ……！……ん……？
vo_adv_2102011_031.m4a|今のは……
vo_adv_2102011_059.m4a|そうだな……あの女、まだまだ底を見せていなかったようだ。あのまま戦っていたら、どうなっていたことやら……
vo_adv_2102011_060.m4a|……あっ、そうだ……！
vo_adv_2102011_062.m4a|さっき、この物陰にシェフィがいた気がしたんだがっ……
vo_adv_2102011_064.m4a|ん…………いない、よな……やはり、気のせいか。
vo_adv_2102011_066.m4a|そうだね。やっぱり、見間違いか……
vo_adv_2102011_074.m4a|ああ。本当に、よく頑張ってくれた……ん？
vo_adv_2102011_075.m4a|……どうした？コッコロ、顔色が悪いようだが……
vo_adv_2102099_009.m4a|『プリンセスフォーム』の反動、か。ラビリスタが言うには、{player}がまだ力を使いこなせてないかららしいけど……
vo_adv_2102099_032.m4a|私としては、もちろん歓迎だが……【美食殿】の皆は、構わないだろうか？
vo_adv_2104098_015.m4a|ふぅっ……やはり、この魔物が辺り一帯の大ボスだったみたいだね。
vo_adv_2104098_020.m4a|……{player}のことが、気になるのかな。
vo_adv_2104098_022.m4a|気がかりなのはわかるけど……旅立つ前にいろいろと用意はしてもらったし。片道だけど、帰還するだけなら魔法で一瞬のはずだよ。
vo_adv_2104098_027.m4a|……
vo_adv_2104098_029.m4a|私もだよ、ヒヨリ。でも……まだユイに、『別の世界の話』は伏せておくって……そう決めただろう？
vo_adv_2104098_031.m4a|あ、あのときはつい……身体が動いてしまって。なぜだか、すごく嫌な予感がしたのと、フィオの言葉が、急に思い出されて……
vo_adv_2104098_035.m4a|……わからない。でも……『別の世界』とやらと、深くかかわっている気がしてならないんだ……
vo_adv_2104098_038.m4a|ああ……だから、{player}とも相談して、約束しただろう？　黙っておくのは、『現実』というものが本当に存在するという証拠を掴めるまで……って。
vo_adv_2104098_042.m4a|少しの間は、私たちのことを信じてほしい。頼むよ……
vo_adv_2104098_046.m4a|ああ。この先で接触する『彼女』に……すんなりと、協力してもらえるといいんだが。
vo_adv_2104098_057.m4a|あなたに頼みがあって来た。『誓約女君』……クリスティーナ。
vo_adv_2104098_063.m4a|あなたのプロデュースしている【カルミナ】のツムギは、私の友だちでね。頼み込んで、行先を教えてもらったんだ。
vo_adv_2104098_067.m4a|そもそも、あなたが【王宮騎士団（NIGHTMARE）】を出奔したのは覇瞳皇帝の不在が原因というウワサだが……
vo_adv_2104098_082.m4a|そ、そういうものか……？
vo_adv_2104098_086.m4a|……そちらの事情は、概ね把握した。では交渉だ、誓約女君。
vo_adv_2104098_088.m4a|あなたが我々の、ソルオーブ集めを手伝ってくれるなら……覇瞳皇帝を、一日だけ釈放させよう。戦いでも、茶飲み話でも、魚釣りでも……好きなことをするといい。
vo_adv_2104098_091.m4a|釈放といっても、一時的なものだし。いざとなれば我々総出で、再び覇瞳皇帝を押さえ込む。
vo_adv_2104098_094.m4a|……どうかな、誓約女君。我々の依頼、聞く気になってくれただろうか？
vo_adv_2104098_097.m4a|……っ！？
vo_adv_2104098_099.m4a|交渉、決裂かっ……！
vo_adv_2104098_108.m4a|──たっ！
vo_adv_2104098_110.m4a|ユイ！
vo_adv_2104098_120.m4a|ナイスパス、ヒヨリ。
vo_adv_2104098_121.m4a|さて、クリスティーナ。いまキャッチしたあなたのコイン……裏か、表か？
vo_adv_2104098_124.m4a|……残念。表だ。
vo_adv_2104098_129.m4a|……くっ……さすがに、七冠か……！
vo_adv_2108001_014.m4a|……ヒヨリ？キミも、ギルドハウスに戻るところ？
vo_adv_2108001_016.m4a|えっと……ヒヨリ。なにかあったの？近頃……悩み事を抱え込んでるみたいだけど。
vo_adv_2108001_020.m4a|ノウェム……ああ、ムイミという少女の別名だったね。彼女とは、どんな話を？
vo_adv_2108001_028.m4a|……ヒヨリが言いたくないなら、無理には聞かないよ。……今の私には、受け止めきれるかわからないしね。
vo_adv_2108001_031.m4a|ああ。家出娘が久しぶりに顔を出したものだから、父親には、ずいぶん皮肉を言われたよ。
vo_adv_2108001_032.m4a|名門貴族の一人としての自覚が足りないとか、冒険者などやめてしまえ、とかね。あとは……早く身を固めて、跡取りを作れだとかも言われたな……
vo_adv_2108001_034.m4a|まったく困ったものさ。そういうのが嫌で、私は家を飛び出したというのにね。
vo_adv_2108001_036.m4a|ああ、心配しないでくれ。向こうの言うことをそのまま聞いてやるつもりはないよ。ネネカやクレジッタたちが、あらかじめ交渉のカードを持たせてくれたからね。
vo_adv_2108001_037.m4a|覇瞳皇帝に剥奪された権力を取り戻すのは、父としても願ってやまないことだ。王宮との繋ぎ役になる私を、これまでのようには無碍にできないはずさ。
vo_adv_2108001_038.m4a|……といっても……顔と顔を突き合わせるだけでも、気持ち的にはかなり難儀だけどね。まったく強情で、堅物な人だよ。私の父親は。
vo_adv_2108001_041.m4a|……？
vo_adv_2108001_044.m4a|えっ？　いきなり何を言うんだい、ヒヨリ？あんな人でも、私にとっては一応、たった一人、の──……
vo_adv_2108001_045.m4a|『父のあんな姿を見て私は気付いたよ。憎くてしょうがない人でも、やっぱり私の肉親で、大切な人なんだと……』
vo_adv_2108001_046.m4a|……っ！くっ……
vo_adv_2108001_047.m4a|なんだ？急に、眩暈が……
vo_adv_2108001_049.m4a|そう、だ……違う、違うんだ……
vo_adv_2108001_050.m4a|私の父は…………ゲームなんてしない。そんな人じゃない……子供の遊びに付き合ってくれるような、普通の父親だったら、私はどんなに……
vo_adv_2108001_051.m4a|だ……だがヒヨリ。それじゃあ、私が父親と思っている……あの魔族の男は……誰だというんだ？
vo_adv_2108001_055.m4a|世界が……作り直された？そんなことが……あるはずが……
vo_adv_2108001_056.m4a|いや、でも……今さっき、私はこう思った……『父はゲームなんてしない』と……だが……ゲーム、とは……なんのことだ？　それにこの違和感は……？
vo_adv_2108001_058.m4a|……すまない。どうやら少し混乱しているみたいだ……
vo_adv_2108001_059.m4a|でも今は……情報が欲しい。もっと詳しく聞かせてくれ、ヒヨリ。ノウェムとキミが交わしたという話について。
vo_adv_2108001_063.m4a|……どうしたんだ？　珍しく慌てて。
vo_adv_2108001_065.m4a|こちらも大事な話をしようと思っていたところだが……わかった、行こう。キミがそれほどに焦るなんて、よほどの事態だろうしね。
vo_adv_2108001_075.m4a|道すがら、コッコロから聞かせてもらったけど……本当なの？あのネネカが、誘拐されてしまったなんて。
vo_adv_2108001_082.m4a|……驚いたな。彼女は『七冠』……指折りの実力者のはずだ。
vo_adv_2108001_087.m4a|仮面の女性……か。それだけでは手がかりが少なすぎるな。
vo_adv_2108001_095.m4a|ふむ……確かに彼らが相手となると、ネネカやマサキが不覚を取らされてしまう可能性も、全く無いとはいえないな。
vo_adv_2108002_002.m4a|そもそも、彼らの拠点の場所はわかっているのか？
vo_adv_2108002_015.m4a|……そうだね。我々に任せて、キミは待っているほうがいいんじゃないかと思う。なにせキミは、この国の指導者なんだから。
vo_adv_2108002_026.m4a|ということは……少人数で、奇襲を仕掛けるわけか。
vo_adv_2108002_029.m4a|ああ、そうだな。私たちでよければ、協力は惜しまない。そうだろう、ヒヨリ？
vo_adv_2108004_040.m4a|なあ、気になっていたんだが、この船の大きさなら、私たち８人が乗っていてももう少しスピードが出るんじゃないか？
vo_adv_2108004_052.m4a|連戦……そうか。プリンセスフォームで戦ったあとは、何か腹に入れないといけないからね。
vo_adv_2108004_075.m4a|まったく。あんなに夕飯を食べた後に、まだ食べるの？
vo_adv_2108004_077.m4a|王宮か……。その……私の父親が戻ったせいで、雰囲気がギクシャクしたりしていないだろうか？あの人は、四角四面を絵に描いたような人だから。
vo_adv_2108004_080.m4a|…………
vo_adv_2108004_082.m4a|……やれやれ。まったく、あの人は……仮にも主に向かって、娘の進路を訴えるなんてね。
vo_adv_2108004_085.m4a|……前にも言ったが、気にしないでくれ。いつまでも、避け続けているわけにもいかない問題だったから……むしろ機会をくれて、良かったと思っているよ。
vo_adv_2108004_086.m4a|それに……
vo_adv_2108004_087.m4a|……あの人は……本当の父親かどうか、わからないからね……
vo_adv_2108004_089.m4a|ああ、いや、なんでもない。忘れてくれ。
vo_adv_2108005_002.m4a|はっ！
vo_adv_2108005_007.m4a|……ふぅ。とりあえず、魔物は片付いたみたいだね。
vo_adv_2108005_013.m4a|だが、奇襲ならばまだ成立するはずだよ。ここからは時間との勝負だ。
vo_adv_2108005_021.m4a|彼らとて、七冠を捜しているわけだし、その可能性は高いと思うが……！
vo_adv_2108005_033.m4a|【レイジ・レギオン】を一人でも多く倒す、ということだな……！
vo_adv_2108005_040.m4a|なっ……なんて奴だ！たった一振りで、ここまでとは……！
vo_adv_2108005_057.m4a|来るかっ……！
vo_adv_2108005_078.m4a|あの男と戦うだけ戦ってみて、倒せるならそれで良し。そうならなかった時は……
vo_adv_2108006_007.m4a|ユイ、キャル！頼む！
vo_adv_2108006_029.m4a|ユイも下がって！誰かが負傷したら、すぐに回復を頼む！
vo_adv_2108006_035.m4a|よし！彼に攻撃へ転じる余裕を与えるな！こちらが常に攻め続けるんだ！
vo_adv_2108006_039.m4a|はっ！
vo_adv_2108006_054.m4a|【レイジ・レギオン】のゼーン……ペコリーヌの言っていた通り、確かに恐ろしい相手だ。だが──！
vo_adv_2108007_014.m4a|だが……あと少し、攻めきれない……！
