vo_adv_1211002_020.m4a|完璧に模倣したはずですが。なぜぺコリーヌではないと気付いたのですか？
vo_adv_7024001_101.m4a|貴方も怪我はないようですね。では、このまま進みますよ。
vo_adv_7024002_000.m4a|ふむ……ルナの塔、というだけのことはありますね。……太陽と月……これはまるで……
vo_adv_7024002_002.m4a|……
vo_adv_7024002_009.m4a|ほう？　ではお手並み拝見といきましょうか。
vo_adv_7024002_013.m4a|なるほど、分からないことが分かった、と？
vo_adv_7024002_015.m4a|ふむ……ここが普通とは違う場所ということくらいは分かるようですね。
vo_adv_7024002_016.m4a|分からない、ということが分かるのは真実への第一歩ですからね。ただの素人、というわけではないでしょう。
vo_adv_7024002_017.m4a|常識に凝り固まった人間であれば、理解できない事実をなにかしら自分の知っている事物に強引に当てはめるものです。それをしないということは、ただの愚者ではなさそうですね。
vo_adv_7024002_018.m4a|ですが……世界の謎に近づくということは、私たちの領域に近づくということでもあります。あまり踏み込んでくるようであれば……
vo_adv_7024002_019.m4a|どうしました？私が怖い顔に見えた？おかしいですね、そんなことがあるはずもありませんが……
vo_adv_7024002_029.m4a|……その程度ですか。俗物ですね。
vo_adv_7024002_031.m4a|生成の仕方も分からないもので何をはしゃいでいるのですか。獲らぬ狸の皮算用など浅はかですよ。
vo_adv_7024002_033.m4a|ここがどういう場所なのか理解していないようですね。こんなもの、迷宮女王でもなければ生成できませんよ。
vo_adv_7024002_035.m4a|はぁ……これ以上は時間の無駄ですね。調査ごっこなら好きに続けていなさい。
vo_adv_7024002_042.m4a|そこの貴方。秘書１号といいましたか。
vo_adv_7024002_044.m4a|こんなところで何をしているのです？無精をする性格とは思えませんが。
vo_adv_7024002_046.m4a|なるほど。合理的な判断ですね。そんな判断のできる貴方が、なぜあんな人物の下についているのです？
vo_adv_7024002_050.m4a|ふむ……まあそれはどちらでもいいでしょう。どうです？　私の下で働きませんか？
vo_adv_7024002_053.m4a|そうとらえていただいて結構です。無論、待遇に関しては現在より遥かに良くさせていただきますよ。それだけの価値がある、有用な人物と見ました。
vo_adv_7024002_056.m4a|ええ。ゆっくり考えるといいでしょう。
vo_adv_7024003_007.m4a|戦闘準備を。貴方は最後方で敵の動きを見ていなさい。
vo_adv_7024003_009.m4a|いきますよ。
vo_adv_7024003_013.m4a|このまま戦線を押し上げます。ついてきなさい。
vo_adv_7024003_022.m4a|まったく……レディの秘密をそう簡単にもらすものではありませんよ？
vo_adv_7024003_024.m4a|包囲される前に突貫します。敵の数の少ない場所は？
vo_adv_7024003_026.m4a|分かりました。消し去りましょう。
vo_adv_7024003_028.m4a|参考までに貴方の仮説とやらを聞かせてもらえますか？私が査定してあげましょう。
vo_adv_7024003_031.m4a|ほう。
vo_adv_7024003_034.m4a|なるほど、及第点はあげましょう。
vo_adv_7024003_036.m4a|……貴方はどうしてだと思います？
vo_adv_7024003_038.m4a|試してみますか？
vo_adv_7024003_043.m4a|ほう……いいですよ、続けなさい。
vo_adv_7024003_045.m4a|まあ、ほぼ正解と言ってもいいでしょう。想像していたよりは賢いようですね。
vo_adv_7024003_047.m4a|それ以上は、やめておきなさい。
vo_adv_7024003_048.m4a|これまでは小物のすることと遊ばせていましたが、無暗に踏み込むのであれば……分かっていますね？
vo_adv_7024003_050.m4a|そもそも、私が何者かなど貴方に何か関係がありますか？
vo_adv_7024003_053.m4a|はぁ……ずいぶんとつまらないことを気にしているのですね。
vo_adv_7024003_055.m4a|忠義などと言っているというのに、なんとも薄っぺらい。貴方の忠義とは誰かと比べないと確立できない程度のものなのですか？
vo_adv_7024003_056.m4a|私に言わせれば、そんな忠義は贋物です。
vo_adv_7024003_058.m4a|自覚はあるのではないですか？だからこそ、ことさら忠義忠義と騒ぎ立てる。
vo_adv_7024003_060.m4a|どうしました？　まさか、彼女を心配しているのですか？まったく、王女といい貴方といい、どうにも甘すぎますね。
vo_adv_7024003_061.m4a|彼女はかつて王女の命を狙った一味と関係があった……簡単に信用してはいけませんよ。
vo_adv_7024003_062.m4a|しかし……わざわざ出向いてきたというのに、つまらないものですね。
vo_adv_7024003_063.m4a|気付いていませんでしたか？塔の調査は、言ってしまえばついでですよ。貴方から話を聞いた時点でいくつか仮説は立っていますので。
vo_adv_7024003_064.m4a|私の本当の目的は、クレジッタ・キャッシュ……彼女の見極めです。
vo_adv_7024003_065.m4a|本人にその気はなくとも、背後で操っている者がいないとも限りません。その上で敵対しないのであればよし。ですが、もしそうでないなら……
vo_adv_7024003_066.m4a|……貴方を守るためなら私は手段は選びませんよ。
vo_adv_7024004_001.m4a|ふむ……
vo_adv_7024004_002.m4a|すっかり覇気がなくなりましたね。ここまでの人物だったということでしょう。
vo_adv_7024004_003.m4a|貴方も、これで心置きなく私の元へ来られますね。
vo_adv_7024004_005.m4a|貴方もそう思うのですか？
vo_adv_7024004_006.m4a|挫けない、ですか。ずいぶんと高く評価しているのですね。
vo_adv_7024004_007.m4a|しぶとい、ですか。それは確かに分かる気がしますが……
vo_adv_7024004_008.m4a|……貴方がそういうのであれば、もうしばらく観察してみましょうか。
vo_adv_7024004_010.m4a|おや？　どうしました？
vo_adv_7024004_013.m4a|己の中の疑念と向き合い、部下のサポートも得られない中で果たしてどう動くのか……見ものではありますね。
vo_adv_7024004_014.m4a|秘書を勧誘した理由ですか？相手の手駒を減らしたいというのもありますが、使えそうな人材なのは事実ですからね。
vo_adv_7024004_016.m4a|あのようにきちんと任務を果たしてくれる。彼女をスカウトしたいというのは本気ですよ。
vo_adv_7024004_017.m4a|気付かれる前にこちらから仕掛けます。貴方はここで強化と援護を。
vo_adv_7024004_019.m4a|貴方たちはそこで大人しくしていなさい。一人では魔物に攻撃も当てられないのですから。
vo_adv_7024004_039.m4a|ほう……
vo_adv_7024004_042.m4a|簡単に信用してはいけないと言ったでしょう。あんなに気安く強化をかけて……
vo_adv_7024004_043.m4a|まったく、貴方は……仕方がないですね。
vo_adv_7024004_050.m4a|はぁ……面白いというよりはおかしい、というべきですね。勝手に落ち込んだかと思えば勝手に持ち直す。まあ、確かに退屈はしなさそうではありますが……
vo_adv_7024004_052.m4a|理由は？
vo_adv_7024004_055.m4a|なるほど。そうですか……理由は分かりました。ただ……なぜこのようなタイミングで返事を？
vo_adv_7024004_057.m4a|……確かに。
vo_adv_7024004_058.m4a|クレジッタ・キャッシュ……単純で愚かな人物ではありますが。貴方の言うように、多少は面白い存在のようですね。
vo_adv_7024005_000.m4a|少々数が多いですね。私が相手をしましょう。皆は下がっていなさい。
vo_adv_7024005_003.m4a|心配しなくても出番はありませんよ。あんな無茶苦茶な動き、使えるとしてもおとりくらいでしょう。邪魔にならないように後ろにいなさい。
vo_adv_7024005_005.m4a|接敵します。下がりなさい。
vo_adv_7024005_006.m4a|ふむ……数だけではなく質も上がっていますね。これほどの魔物、今までの塔の探索で遭遇したことは？
vo_adv_7024005_007.m4a|なるほど……クリスティーナが楽しめる程度には、ですか……
vo_adv_7024005_008.m4a|本気を出して進みすぎて危険な階層に踏み込んだのか、あるいは侵入者にあわせた魔物が現れるのか。まったく……ふざけた塔ですね。
vo_adv_7024005_011.m4a|この程度であれば……
vo_adv_7024005_012.m4a|処理は可能です。
vo_adv_7024005_016.m4a|なにを呆けているのですか。
vo_adv_7024005_019.m4a|そんな場所からも……！油断しすぎたようですね。
vo_adv_7024005_021.m4a|大丈夫、貴方だけは何としても守ります。この分身を失ったとしても……
vo_adv_7024005_028.m4a|いい覚悟です。
vo_adv_7024005_031.m4a|いつまで寝ているのですか？
vo_adv_7024005_033.m4a|彼の強化は今回もぎりぎりで間に合っていたでしょう？貴方のタフさはしっかり理解した上で攻撃していますよ。それに本気であれば原形をとどめてはいません。
vo_adv_7024005_035.m4a|同じわけがないでしょう。彼は貴方と違い特別なのですから。
vo_adv_7024005_038.m4a|まあ、彼を守りきった点だけは評価してあげてもいいでしょう。
vo_adv_7024005_040.m4a|ちょっと待ちなさい。クレジッタ・キャッシュ。その手に持っているものはなんですか？
vo_adv_7024005_043.m4a|これはまさか、記憶のピース……？
vo_adv_7024005_092.m4a|こういうことですか、なるほど……仮説どおりでしたね。いい夢はみられましたか？
vo_adv_7024005_093.m4a|まだゆっくりしていてもいいのですよ？急に立ち上がると危ないですから。
vo_adv_7024005_094.m4a|まだそこで寝ていますよ。おや……
vo_adv_7024005_096.m4a|そこでまだ寝ていますよ。
vo_adv_7024005_104.m4a|寝ぼけている人間の考えることなど知りませんよ。言いたいことがあるのであれば、寝ぼけていない時にきちんと言うべきでしょう。
vo_adv_7024005_112.m4a|やはり、この場にいた全員が同じ夢を見ていたようですね。
vo_adv_9004012_004.m4a|縁起物の食材を探しに、思い出の街を訪れたそうですね。立ち寄ったオーマの町で、再びトゥンヌス釣りに挑戦したとも。
vo_adv_9004012_009.m4a|ほう……？　異存はありません、いいでしょう。貴方の吠え面を一度見てみたいと思っていました。
vo_adv_9005014_020.m4a|さて、情報を撒くのはこの程度で構いませんかね。これで、色々なギルドが彼女の手助けをしに行くことでしょう。
vo_adv_9005014_022.m4a|私の力を随分と気安く使ってくれるものですね。彼女を手伝ってほしかったのなら、貴方自身が手を貸せばよかったのではありませんか？
vo_adv_9005014_024.m4a|なるほど。好きな食べ物を最後まで残すタイプですね、貴方は。
vo_adv_9005014_026.m4a|…………とにかく、やることはやりました。せいぜい明日を楽しみにしていることですね。
vo_adv_9005014_028.m4a|……まぁ、そうですね。
