vo_adv_1162001_000.m4a|テレ女に行くつもりなんてなかった。
vo_adv_5064007_053.m4a|や、そうなんだけどそうじゃないってゆか……
vo_adv_5064007_054.m4a|ま、いっか。どのみち得点勝負で負け確だし。
vo_adv_5064007_056.m4a|や、残り時間もったいないからいい。
vo_adv_5064007_061.m4a|はッ……そーね。折角だし盛大にちぇるっとくかァ。
vo_adv_5064007_063.m4a|マリア。んじゃね。
vo_adv_5064007_070.m4a|ファンサってやつじゃないの。そーいやノゾミン、チエルが逃げ出したの気にしてたもんなァ。戻ってきたのが分かって安心したンじゃない。
vo_adv_5064007_073.m4a|ちょーチエルー、戻ってきーほら、ノゾミン帰っちゃうぞー
vo_adv_5064007_080.m4a|いるか、そんなの？急にどーしたあいつ。頭アイドルか。
vo_adv_5064007_090.m4a|がんばってね。みたいな目ェしてノゾミンこっち凝視してますけど、何すかねアレ。いきなり謎にシリアス視線向けられても超イミフなんすけど。
vo_adv_5064007_091.m4a|てか、ステージ上がれってどゆこと。プロのえげつないパフォーマンスの後で、うちらみたいな素人が出張って何ができるってのよ。なあチエル。
vo_adv_5064007_093.m4a|あ？　なんで。スーパーアイドルに対して侮辱行為じゃなかったの。
vo_adv_5064007_095.m4a|いや、あんたまで……少年向け週刊絵巻かよ、こっから大逆転なんて無理筋だって。ちょー、ユニ先輩もなんか言って──
vo_adv_5064007_097.m4a|あそっかァー……この先輩、たまに頭ちぇるっちゃうンだった……
vo_adv_5064007_104.m4a|つって、この状況からひっくり返すなんて、そんな都合のいい話──
vo_adv_5064007_106.m4a|──や、案外ワンチャンないこともない、か？うん、このガッコ登場人物全員アタオカだしな。
vo_adv_5064007_107.m4a|ぷー……しゃーない、やるだけやっとくかァー
vo_adv_5064007_172.m4a|気のせいじゃね。わりとフツーだぞコレ。
vo_adv_5064007_174.m4a|ユニ先輩……あいつ人生楽しそうっすね……
vo_adv_5064007_177.m4a|てかさ……あの柱の陰で群衆に怖気づきながら出たり引っ込んだりしてる紫の帽子、あれアオイじゃね？
vo_adv_5064007_182.m4a|りょー……もいいわ何でも。
vo_adv_5064101_002.m4a|ちょー、またそーゆー胡散臭めグッズ……マジ勘弁すわ。パイセンのその手のやつ、確定で最後爆発オチじゃん。
vo_adv_5064101_005.m4a|や、アレはだって、ギャグの人じゃん。比べちゃダメよ、うちらリアル系でやらせてもらってンだから。
vo_adv_5064101_008.m4a|いいけどさあ、うちらの周りってなんかギャグの人率、謎に高くない？
vo_adv_5064101_011.m4a|アオイだってまあ、ギャグっつーか、基本コメディの子じゃん。顔芸と絶叫リアクションのバリエーション豊富だし。
vo_adv_5064101_013.m4a|ユニ先輩がこないだ会ったっていう、姉を名乗る狂人はどうなんすか。
vo_adv_5064101_015.m4a|ぷー……リアルなのうちらだけかよ。真面目に生きてんの馬鹿らしくなンな。
vo_adv_5064101_020.m4a|ほら、よその学校だと、体育祭とか文化祭とかってあんじゃん。うちの場合アタオカだから、それオールミックスで一緒にやんのよ。
vo_adv_5064101_023.m4a|あー、理解。要はエグめの活躍すりゃあ奨学金審査のプラス材料になんのね。
vo_adv_5064203_000.m4a|ぷー……終わりでーす。
vo_adv_5064301_001.m4a|さ、さあ、なんだろー……チエル、アレ何。
vo_adv_5064301_003.m4a|それな。それだわ。ほんとそれ。つーわけで、サクッとブッ倒そう謎の暗黒組織コニちゃんズ。
vo_adv_5064301_005.m4a|ほーん。ていうかあれメスなんだ。
vo_adv_5064301_007.m4a|しかもリケ女なんだ。
vo_adv_5064301_012.m4a|パイセン邪魔。どいて。
vo_adv_5064302_001.m4a|てかウケる。コニちゃんズ、完全復活してんじゃん。
vo_adv_5064302_003.m4a|端的に言ってつよつよっすか。
vo_adv_5064302_006.m4a|たしかに。またかよ感ハンパない。具体的には通算３回目ぐらい。
vo_adv_5064308_001.m4a|てかウケる。コニちゃんズ、完全復活してんじゃん。
vo_adv_5064308_003.m4a|や、ちょっと待って。ストップストップ。カメラ止めて。あのさ？　このくだり、さっき一回やってない？
vo_adv_5064308_005.m4a|マジか。あいつ、どんだけ復活すんだよ。復活フェスティバルＩＮテレ女かよ。
vo_adv_5064308_007.m4a|えー、ほんとすかあ？
vo_adv_5064308_009.m4a|「じゃあ自分で倒せ」。ハイ論破。
vo_adv_5064308_013.m4a|あ……なんか、ごめんなさい……ほら、元気出せし。ね、おばちゃんお菓子あげるから。
vo_adv_5064308_016.m4a|あーじゃーほら、コレあげるから。この、前にバ先の魔道具屋でもらった、なんか怪しいポーション。
vo_adv_5064308_019.m4a|あ、や、ちゃーくてボ先よボ先。ボランティア先。
vo_adv_5064308_020.m4a|あヤバ、あいつのこと素で忘れてたわ。なんかやかましいから、とりま黙らすか。
vo_adv_5064321_000.m4a|ハイ出ました緊急事態。コニちゃんズ完全復活～、以下略。
vo_adv_5064321_003.m4a|うっさい。いま大事な話してんだから、ちょ黙れし。
vo_adv_5064321_013.m4a|んヌぉぉぉズォむウィいいいいいいいんん！！
vo_adv_5064321_017.m4a|パイセン、なんか通りすがりのノゾミンが「呼んだ？」って顔でこっち見てる。
vo_adv_5064321_019.m4a|呼んでないってさー
vo_adv_5064321_021.m4a|あヤバ、コニちゃんズ激おこじゃん。チエル行くぞー
vo_adv_5064322_000.m4a|ぷー……どーよコレ、だいぶ追い詰め。
vo_adv_5064322_003.m4a|知んないけど、隙だらけじゃん。今のうちに速攻ボコっちゃえば丸いでしょ。んーじゃ行ってきまァー……
vo_adv_5064322_005.m4a|はあ、まあ、うちの軍師がそう言うなら……
vo_adv_5064322_010.m4a|いや、そーゆーのいいから。つまり端的に言うと？
vo_adv_5064322_012.m4a|へー、ウケる。で？　他に言うことは？
vo_adv_5064323_000.m4a|やーばい。あいつ、またなんか雰囲気変わった。強めのバイブスぶわぁー出てンじゃん。
vo_adv_5064323_003.m4a|や、でもソレって、今のあいつ強さドカ盛りってことじゃん。そんな、大根シナシナしてきたから早いとこ食べちゃってみたいなトーンで言われても。
vo_adv_5064323_005.m4a|ま、そーなんだけど、そこは調理次第よ。煮物とか漬物とかにするなら逆にアドい面あるし。
vo_adv_5064323_007.m4a|パイセン料理しないじゃん。なんなら食事もしないじゃん。
vo_adv_5064323_010.m4a|チエルだけに、これが本当のチエ袋つって？　やかましいわ。
vo_adv_5064323_012.m4a|デフォであんな目だった気もするけど、まあ、うちら知性派だし？　頭脳戦ならヨユーっすわ。
vo_adv_5064323_017.m4a|っしゃあ、どうだ！
vo_adv_5064323_018.m4a|いやグオーじゃねえよ。どうだって聞いてんだよ。話通じないかよ。
vo_adv_5064323_022.m4a|ぷー……あのさあ。ねえ。ちょっと何言ってんのあいつ。聖テレサの三賢者を捕まえて、マジ意味わかんないんだけど。
vo_adv_5064402_001.m4a|終わってる終わってる、もう終わってるから。バーサークやめ。うちらが倒した敵あたかも自分が倒したかのように振る舞うのもやめ。
vo_adv_5064402_005.m4a|あのクエスト発注、断り辛いンだよなァーカリンさん、最初めっちゃ切迫したトーンで入ってくんじゃん。
vo_adv_5064402_007.m4a|似てねー（笑）
vo_adv_5064402_009.m4a|やば、さりげジワんだけど。
vo_adv_5064402_011.m4a|そんでさあ、勢いに呑まれてこっちが思わず引き受けちゃうと、カリンさん急にビジネスライクんなって、「頑張って挑戦してみてください！」とかイイ笑顔で言うんだわ。
vo_adv_5064402_013.m4a|てかカリンねえさん、彼氏とかいんのかな。
vo_adv_5064402_016.m4a|あ、やばっ！噂をすれば、ねえさん走ってくる……！ほら、キリッとして、シリアス用の顔作っとき。
vo_adv_5064405_000.m4a|おー、巨大ユニアート30体討伐。やるじゃん。あ？　キーワード？　何それ、ちょっとよく分かんないけど。
vo_adv_5064405_001.m4a|あー……もしかアレか？そーいや、なんか言ってたな、あの二人。たしか「ぶ」だか「ず」だか……知んないけど、どっちも持ってき。
vo_adv_5064405_002.m4a|ハ？　え、なに突然、こわっ。なんでこの子、自信満々のドヤ顔で急に謎の言語発してんの。こわ。
vo_adv_5064405_003.m4a|あ？　プレゼント？　うちが？　あんたに？
vo_adv_5064406_001.m4a|テンション高。朝イチから何アレ……ユニ先輩って、低血圧極まってたんじゃないの。
vo_adv_5064406_005.m4a|ぷー……ま、いいけど何でも。
vo_adv_5064407_000.m4a|漫画ってあんじゃん。ユニ先輩が言うところの、文字入り絵巻。アレも部活ものなんかだと、廃部の危機って定番の展開なんだよね。そう考えると俄然テンション上がんね？
vo_adv_5064410_000.m4a|あのさ。今更だけどさ。体育祭的なやつと文化祭的なやつ同時にやるって、頭沸いてない？
vo_adv_5064410_002.m4a|てゆか、まず冷静に考えて、時間足りんくない？
vo_adv_5064411_002.m4a|久々再会でチエルの圧は、そりゃあの子にはしんどみでしょ。
vo_adv_5064411_004.m4a|あーね。ギルドの仕事カブってて、行けるかどうか微妙だったみたいよ。まあ、結果そっちはハツネが代わってくれたみたいだけど。
vo_adv_5064411_006.m4a|パイセン、まだあの子らにユニちゃん８歳だと思われてたンすね。
vo_adv_5064411_009.m4a|マリアもとりあえずは諦めてくれたみたいだし？コレもう今回は上出来なんじゃないの。めでたしめでたし、つって？
vo_adv_5064411_010.m4a|……あ。
vo_adv_5064411_016.m4a|ウケる、とりま現状維持ってカンジ？
vo_adv_5064600_003.m4a|ま、いんじゃないすか。それキホン来賓向けだし。実際そこに載ってないシークレット地味競技とかも若干あるし。
vo_adv_5064601_002.m4a|いや、あったわそりゃ。センセーとか知らんおばちゃんとか、結構な長尺でつまんなめの話してたじゃん。
vo_adv_5064602_001.m4a|あ？あー、いや、どうしたっけなァー……え、あんたらは？
vo_adv_5064602_004.m4a|うちは、だから、家族来てたから？合流してわちゃわちゃベントー食べたりとか、そんな。うん、まあ、全然フツーっすよ。
vo_adv_5064602_007.m4a|あー、そーだ、思い出した。そーいや、なんか{player}も一緒だったかも。
vo_adv_5064605_003.m4a|え……あ、なんすか？ぜんぜん聞いてなかった。ちょっと今、目蓋にミフユねえさんの勇姿浮かんでたんで。
vo_adv_5064605_005.m4a|え……あ、なんすか？ぜんぜん聞いてなかった。
vo_adv_5064606_001.m4a|そっすね。トンチキ案件てんこ盛りでしたね。アレがあそこでコレしたり、ソレがこっちでナンだったり。
vo_adv_5064606_004.m4a|いや、一応気ィ遣ってんだけど。あんま思い出したくないでしょ、チエルが逃げ出したりユニ先輩の粘土像が暴れたりとかそんなん。
vo_adv_5064606_010.m4a|あ？　なんだ？うちが夜中に用途不明のフリをコソ練してたら問題あんのか？ああッ？　てめ、やんのかコラ。やんならやんぞ、表出ろコラ。
vo_adv_5064606_012.m4a|シカトしてんじゃねえぞコラ。やんならやんぞ、かかってこいコラ。
vo_adv_5084664_000.m4a|ぷー……え、何なんあいつ。マジ起きないじゃん、ウケる。いや、どこがよ、全然ウケんし。
vo_adv_5084664_001.m4a|あのさあ、いいけど、どーすんのコレ。ぶっちゃけ深刻なやつじゃん。若干引くんですケド。あんたのせいでバイトも休んじゃったよ、金返してくんない。
vo_adv_5084664_002.m4a|てか何、金積んで良い医者連れてくれば治んの。積むけど。すげえ治癒魔法の使い手とかいれば起きんの。呼ぶけど。ねえ。どーすりゃいいの。何でもするけど。マジ何でもするけど。
vo_adv_5084664_003.m4a|……つって、すでに何でもした後なんだよなァーメ団の財力でどーもなんないンじゃ終わってるわ。詰み。
vo_adv_5084664_004.m4a|ま、でも……あいつだし、大丈夫か。そのうちトイレ行きたくなったら起きンでしょ。
vo_adv_5085005_049.m4a|ちょーちょー、パイセンはこっちでしょ。ナチュラルによその子ン家紛れ込んで、ナチュラルにおままごとおっ始めんのやめてあげな。怖いから。
vo_adv_5085005_053.m4a|ちょ、待って待って。いつもの茶番、一旦やめて。あのさ……？思ったんだけど、今コレそういうノリ求められてる空気じゃなくない？
vo_adv_5085005_056.m4a|てか、ヤバくね現状。魔物に立ち向かうあのねえさん方、テンションガチじゃん。漫画とかでいう、最終回直前めの激アツ展開たけなわじゃん。
vo_adv_5085005_059.m4a|いや、みんなバトルに必死でそれどこじゃないンでしょ。まさか、うちら絡みづらいとか思われてるわけないだろうし。
vo_adv_5096001_050.m4a|おー、サレン発見。やっぱ貴族のお嬢は目立つから楽でいいわ。こんだけ人いると、モニカとかソッコー見失って困ンだよね。あの子ロスト率、うちのユニ先輩に勝るとも劣らないわ。
vo_adv_5096001_051.m4a|あれ、あんたもいんじゃん。え、なんしてんの。もしか大会出るとかいわんよね？は？　マジで？　あんた友達いんの。チムメンどこよ？
vo_adv_5096001_053.m4a|うわ、元気な若者きたなおい。テレ女２年のクロエでーす。ちぇるーん。
vo_adv_5096001_055.m4a|えっ、いや、うちら別になかよしっつーか……ねえ？なかよし的な部活ではあるけど、ま、ご学友的なアレよ。うん。そっちは何。どーゆーアレなの。ご関係っていうか。
vo_adv_5096001_173.m4a|まあ、うちの弟ら、菓子とかフツーに喜ぶし？べつにサレンみたいな慈愛の精神的なアレでもないけど。てかママ・サレン流石だわ。思考、母だわ。噂に違わぬ母っぷりだわ。
vo_adv_5096001_179.m4a|ふーん……
vo_adv_5096002_020.m4a|それな。うちらもいんだし、一人で抱えこんでもしゃーないじゃん。てかさ……逆境はねのけて勝つのって、なんかよくない？
vo_adv_5096003_007.m4a|あれ、さっきホテルから持ってきたお菓子もうないんだけど。モニカ、頬袋に隠したもん出しな。おばちゃん怒んないから。ほら、つつけば出んのか？　おら出せ出せ。
vo_adv_5096003_016.m4a|きゃああああっ！
vo_adv_5096003_022.m4a|マジで。ほんとソレ。名誉損なうとこだったわ。
vo_adv_5096003_024.m4a|ふにゃああああ！
vo_adv_5096003_059.m4a|でもさ。ここで相手を蹴落とせるって話でもあんじゃないの。そのための駆け引きとかは別に禁止じゃないみたいだし。
vo_adv_5096003_091.m4a|あーね。テンパる前にもうちょい頑張ってみてもいんじゃないの。なんだっけほら、忠義？　こいつに示したいんでしょ？
vo_adv_5096003_093.m4a|あ？　なんだこのマジレスピンク。面と向かってそーゆーのやめてくんない。ハズいから。……いや、より一層の温かい目で見んな。見んな。
vo_adv_5096003_114.m4a|いや聞き耳立ててンのモロバレだから。少しは忍べ。てか、あんた結構優しンだね。まあ助かったわ。ありがと。
vo_adv_5096004_016.m4a|そこ聞かないんだ。え、結構大事なとこだと思ったのうちだけ？
vo_adv_5096005_121.m4a|こっから先は、うちらがテッペンとらせてもらうんで……！
vo_adv_5096005_139.m4a|スピードだけ勝っててもだめだったってわけか……
vo_adv_5096006_142.m4a|ウケる。誰に言ってんのよ、そんなんないわ。言っとくけどうち、バイトで世界の敵ボコしたことある黒き夜の疾風だからね。
vo_adv_5096007_072.m4a|あ？　迷惑とかウケる。いいよ、うちだって連れてきたい連中いるし──あ、こっちがバチボコ迷惑かけそうな気してきた……
vo_adv_9004004_015.m4a|アオイ──またの名をＭＣ墓地。テレ女サイファーはあんたをクルーとして認めるよ。うちらのソウルとあんたのリアルで、掴もうぜメイクマネー。ビガッ！
vo_adv_9004004_019.m4a|いいけど、この工場ってアレなんでしょ？マイフレンド君？　だっけ？　を作った……アレうちの弟らもめっちゃハマッてたわ。
vo_adv_9004004_027.m4a|自由・反逆・初期衝動──あいつの生き様、ラッパーってよりパンクスだな。
vo_adv_9005006_012.m4a|パイセンのビジュアルに騙される時点で、あの子の方がよっぽど純粋なんだよなァ……ま、詐欺に遭って学ぶこともあるし、いんじゃないの知んないけど。
vo_adv_9005006_017.m4a|でしょうね。あの人の引き出しに純粋って項目ないし。自分オリジナルのネタじゃ怪しい本とか薬物しか出てこないでしょ。
