vo_adv_1164001_000.m4a|続・研究レポート『世界に連なる高次よりの耳目』。
vo_adv_5064005_059.m4a|なかよしＸ校舎ブッ壊し事件のことを言っているなら、あたかも自分は事件に関与していないかのような口ぶりが気になるが、まあいい、よくぞ来てくれた。
vo_adv_5064005_060.m4a|すでに話は聞いていると言ったな。良いのかねミフユ師、秘密裏の代走というこの闇仕事、ぼくらの青春のため引き受けてくれるというのか。
vo_adv_5064005_064.m4a|是非もなし。労働に対価を支払うのは社会の基本骨子だ、至極正論だ。
vo_adv_5064005_065.m4a|だが、正論だけではルピがいくらあっても足りない。領収証はメルクリウス財団に回してしまおう。なに、校舎ブッ壊し事件の賠償に絡めて、適当な理由を付ければいい。
vo_adv_5064005_070.m4a|ふむ、バイトなのにバイトを率いる程度には出世しているようだが、その前にまず、最強の傭兵が工場でバイトしている事実に驚きを禁じ得んな。
vo_adv_5064005_073.m4a|しかしミフユ師は、あのメルクリウス財団に籍を置いていながら、副業にもまた随分と力を入れているのだな。
vo_adv_5064005_079.m4a|待たれい待たれい。御身はぼくの替え玉なのだ、その顔で走られては困る。
vo_adv_5064005_158.m4a|行け……
vo_adv_5064005_169.m4a|ぼくらの青春は守られた……ありがとう……
vo_adv_5064006_002.m4a|うむ、聖学祭を制覇した今、もはや我々に懸案なし。あとはただ悠然と最終結果が発表されるのを待つのみだ。諸君、今宵は勝利の美ポーションに酔いしれよう。
vo_adv_5064007_002.m4a|夢のよう、か……
vo_adv_5064007_003.m4a|その夢のような舞台の向こうで、よもや現実に学院の危機が迫っていたとは、それこそ皆、夢にも思っていないのだろうな。
vo_adv_5064007_006.m4a|ああ、あれだけは救いだったな……
vo_adv_5064007_009.m4a|さては、なかよしＸの事後処理のときか。一流の職人や建築魔導士を集めて、半壊した校舎を一晩で修築せしめたのは君だったな、アキノ君。
vo_adv_5064007_013.m4a|──ふむ、そうだな。最悪の事態が避けられただけ良しとしておくか。なべて世はこともなし。学院の皆が幸せそうで何よりだ。
vo_adv_5064007_018.m4a|おや？　ところでチエル君はどこへ行った。
vo_adv_5064007_023.m4a|ふん、あの進行役は生徒会の手の者か。シスター・マリアめ……この期に及んで、投票権を持ったお偉方へのアピールも忘れないとは小賢しい。
vo_adv_5064007_026.m4a|やあチエル君。現実逃避はもういいのかね。
vo_adv_5064007_030.m4a|かわいいことを言ってくれるじゃあないか、後輩たち。君らのそういうところ、ぼかあ好きだったぜ。
vo_adv_5064007_036.m4a|最後まで大概だぞ、毒婦君。
vo_adv_5064007_044.m4a|泣くな、後輩たち。解散などと言っても、所詮は学内での話だ。ぼくらの青春はこれからも学院の外でしめやかに続いてゆくさ。
vo_adv_5064007_050.m4a|シスター、後にしてくれ。悪いが君と遊んでいる暇はない。
vo_adv_5064007_051.m4a|ぼくらは今、残りわずかな青春を噛みしめている。聖学祭の総得点が公式に開示されるまではその権利があるはずだ。それとも何か危急の用かね。
vo_adv_5064007_058.m4a|是非もなし。我々とてここまで存分に抗った末の結果だ、潔く受け入れよう。シスター、君らにもいろいろ手数をかけさせたな。
vo_adv_5064007_062.m4a|是非もなし。これもまた青春だ。
vo_adv_5064007_069.m4a|うん？　なんだ？いまゾンビアーナ君がこちらに向かって片目を閉じたぞ。
vo_adv_5064007_071.m4a|ふむ、そういうことらしいぞ。良かったな、すこすこ侍くん。すこすこ侍くん？　し、死んでる……
vo_adv_5064007_079.m4a|あいどる？
vo_adv_5064007_096.m4a|ほああ、たしかにこれは熱い展開！努力、友情、勝利！　絆の力で打倒強敵！まさにぼくの焦がれた青春活劇そのものじゃあないか！
vo_adv_5064007_103.m4a|うむ、行くぞクロエ君！この流れに乗れば、逆転の目はまだないこともないかもしれない！端的に言えば、ぼくは青春を続けたい！
vo_adv_5064007_142.m4a|ゆっにちゃんず！　あそれ、ゆっにちゃんず！
vo_adv_5064007_175.m4a|おお、見たまえ諸君！客席にアキノ君やシノブ君の姿があるぞ。満場のユニちゃんズコールを聞きつけて足を運んでくれたのだな！
vo_adv_5064007_180.m4a|で？　で？　チエル君、ぼくらは何をすればいいのだね！
vo_adv_5064007_184.m4a|ユニだ。
vo_adv_5064007_192.m4a|当然だ。我々はまだ青春を諦めない。
vo_adv_5064007_193.m4a|聞いているかね、生徒会長。当初の約定に則れば、今から我々が逆転してみせれば例の件は撤廃となるのだろう？
vo_adv_5064007_196.m4a|端的に換言すれば、ユニちゃんズは永遠に不滅！
vo_adv_5064007_201.m4a|いや後輩たち、今日の青春を続けるにやぶさかではない。だが待ってほしい、ぼくは先の会で胃に固形食物を入れすぎた……これ以上は、うぷ。
vo_adv_5064007_204.m4a|おいおいチエル君、はしたないぞ。ちゃんと「お」を付けたま──
vo_adv_5064007_207.m4a|おやおや、どうしたね鋼の聖女。完敗を喫した相手に、潔く頭でも下げに来たかね。
vo_adv_5064007_218.m4a|シスターすでに結果は出ているが、あえて問おう。
vo_adv_5064007_219.m4a|我々なかよし部──と呼ばれることもあるユニちゃんズは、今から共に下校するところだ。なにか問題はあるかね。
vo_adv_5064007_227.m4a|大方、我々と肩を並べて下校するのが気まずいのだろう。
vo_adv_5064007_231.m4a|ふっ、それはいい。シスター、君には言ってやりたいことが山ほどある。我々が三方を取り囲んでみっちり詰めてやろう。
vo_adv_5064007_235.m4a|シスター、自慢じゃないが我々はちょろいぞ。出すものさえ出せばすべて御破算、昨日の敵は今日の友だ。端的に換言すれば、おごれ。
vo_adv_5064007_244.m4a|まったくだ、いい加減にしたまえ。どこまで我々を過小評価すれば気が済むのだね。
vo_adv_5064007_250.m4a|然り。その看板に偽りなしということを、今宵思い知らせてやる。青春だコノヤロウ！
vo_adv_5064101_001.m4a|ああ、これか。タマキ君の開発レシピを基に、ぼくの魔法理論をもって改修した、高機動万能靴『神速くん』の最終調整だ。
vo_adv_5064101_003.m4a|やめたまえ。一瞬「たしかに」と頷いてしまいそうな風説の流布はやめたまえ。なかよしＸのことを言っているなら、アレは設計も開発も財団だ。
vo_adv_5064101_006.m4a|ギャグの人は無敵だからな。
vo_adv_5064101_010.m4a|ふむ、アオイ君はどうだろうか。
vo_adv_5064101_014.m4a|シズル君か、彼女はサイコサスペンスだ。
vo_adv_5064101_017.m4a|聖学祭が近いからな、ぼくなりの対策手段だ。
vo_adv_5064101_019.m4a|ふむ、一年生のチエル君は今年が初めてか。聖学祭──当学院最大級の年間行事、その名も高き文武の祭典さ。
vo_adv_5064101_022.m4a|うむ、諸君らも備えたまえ。全校生徒は言うに及ばず、父兄や来賓の注目も集まるこの祭典、ここで目覚ましい活躍を披露すれば学院からの覚えも高まるはず。
vo_adv_5064101_024.m4a|然り！我々ユニちゃんズの名を世に知らしめるのだ！
vo_adv_5064203_003.m4a|むっ！　いかん、分裂した彼奴らが逃げるぞ！このまま野放しにしてなるものか！追うのだ諸君、追ってすべての証拠を隠滅するのだ！
vo_adv_5064203_005.m4a|ああいや、もとい。学園の平和を守るため、正義のユニちゃんズは戦いつづけるのだ！
vo_adv_5064204_000.m4a|……撒いたか？
vo_adv_5064204_002.m4a|よし、生徒会の目がなければ存分に戦える。諸君、今のうちに敵を見つけだし殲滅するぞ。
vo_adv_5064301_004.m4a|ああ、だが油断するなよ諸君。あらゆる負の感情に晒されて芽生えた自我は、破壊衝動そのもの。端的に換言すれば、彼女は難敵だ。
vo_adv_5064301_006.m4a|しかし統合とはまた安易な。いかにも理系の考えそうなことだ。
vo_adv_5064301_010.m4a|うむ！同志、学びの時間だ。我々に例の学術的強化を頼む。
vo_adv_5064301_011.m4a|なんか来たァーーー！ほあッ、ほああああーッ！　突撃ィー！　我に続けぇぇぇー！
vo_adv_5064302_002.m4a|ふん、がらくた風情が自己修復とは小癪な真似を。伊達に逃げまわっていたわけではないということか。あまつさえ先程よりも魔力の流れが活性化しているな。
vo_adv_5064302_004.m4a|ああ、端的に言ってつよつよだ。
vo_adv_5064302_007.m4a|まったくだ。世界の定めた法則に踊らされているようで、実に面白くない。
vo_adv_5064308_002.m4a|あまつさえ先程よりも魔力の流れが活性化している。端的に言ってつよつよ──
vo_adv_5064308_006.m4a|さりとて、やつに注がれた魔力も決して無尽蔵ではない。さあ、諦めずに戦うんだクロエ君。こうも修復と強化を繰り返していれば、遠からず果ては来るはず。
vo_adv_5064308_008.m4a|栄えある文系のぼくが導きだした推論に間違いなどない。もし反論できると言うならしてみたまえ。
vo_adv_5064308_010.m4a|ぐっ……そんな論法ずるい……う、ううっ……
vo_adv_5064308_012.m4a|ひっく、だから体育会系は……えぐっ、えぐっ……
vo_adv_5064308_014.m4a|いらないやい、そんな顎が疲れるやつ！
vo_adv_5064308_017.m4a|わあい、怪しいポーションだぁ～！
vo_adv_5064321_001.m4a|ぐぬぬ彼奴め、自己修復と自己進化を以下略。
vo_adv_5064321_004.m4a|まったく、何がグオーだ。そんな蚊の鳴くような声で我々が怯むとでも思っているのか。チエル君、君の魂の叫びというものを聞かせてやるといい。
vo_adv_5064321_006.m4a|舐めているのか。いや、敵に舐められるぞ。カルミナとやらを応援するときのように本意気でいけ。
vo_adv_5064321_008.m4a|鬼気が足りん。２オクターブ下げて。
vo_adv_5064321_010.m4a|クレッシェンド。だんだん強く。
vo_adv_5064321_012.m4a|クロエ君、君もだ。
vo_adv_5064321_018.m4a|呼んでない。
vo_adv_5064322_002.m4a|魔法陣を展開しただと？彼奴め、いったい何をする気だ……
vo_adv_5064322_004.m4a|いや待てクロエ君！用心しろ、トラップを張ったのかもしれん。いま解析する、それまで迂闊に手を出すんじゃあない。
vo_adv_5064322_006.m4a|ややっ、これは……！
vo_adv_5064322_008.m4a|解析が完了した。あの魔法陣は、大気中のマナを取り込み活動源へと変換するもの。すなわち火力・出力・運動性、彼奴のすべてが飛躍的に向上するぞ。
vo_adv_5064322_009.m4a|がらくた風情と侮っていたが、考えてみれば元は一流の芸術品だ。かかる仕儀もさもありなんと言ったところか。ううむ、あれを作りあげたのは、さぞや高名な芸術家なのだろう。
vo_adv_5064322_011.m4a|ぼけっと見ている場合ではなかった。
vo_adv_5064322_013.m4a|えへへごめんね？
vo_adv_5064323_001.m4a|ふむ、残存魔力をすべて攻撃にまわすようだな。どうやら死期を悟る程度の知能はあったと見える。端的に換言すれば、最後のあがきだ。
vo_adv_5064323_002.m4a|翻せば、彼奴はもはや離脱も修復も出来んということ。諸君、勝利は目前だ。長きに渡った戦いに幕を引いてきたまえ。
vo_adv_5064323_006.m4a|ほう。水分が飛んでいれば、かえって煮汁を吸収しやすいという理屈かね。筋は適っているな、メモしておこう。
vo_adv_5064323_009.m4a|なにっ、そんな手もあるのか、めもめも。
vo_adv_5064323_011.m4a|ややっ、見たまえ諸君！人類の叡智を前に、無知なる敵がただただ目を丸くしているぞ！
vo_adv_5064323_014.m4a|大根に多く含まれるジアスターゼやグリコシダーゼには、整腸や解毒の作用が期待できる！おろして食べれば、胃にも優しく顎も疲れないぞ！
vo_adv_5064323_016.m4a|喰らえ、ファイナル叡智！芝居が下手な役者のことを大根役者などと呼ぶのは、大根が食当たりしないこととかけて「当たらない役者」に端を発する！
vo_adv_5064323_019.m4a|ＯＫロゼッタ、彼奴は何と言っているんだ。
vo_adv_5064323_023.m4a|諸君、全力で支援しよう。我らの叡智、存分に思い知らせてくるがいい。聖テレサの三賢者、最終開放だ！
vo_adv_5064402_000.m4a|ほわあああああ！　とどめだーーーっ！ちょいやーーーーー！　ふにゃーーーーーーーっ！
vo_adv_5064402_003.m4a|ふむ……恒例と言うなら、敵もまだまだ終わらんだろう。過去この学園に災厄をもたらしてきた魔物は皆そうだった。
vo_adv_5064402_006.m4a|「このままでは大変なことに！　あなたの力を貸してください！」
vo_adv_5064402_014.m4a|いや、おらんだろアレは。
vo_adv_5064402_017.m4a|「緊急事態です！」
vo_adv_5064404_000.m4a|ゆにゆに～ん♪おめでとうございます！巨大ユニアートを20体倒したあなたに、素敵なプレゼントチャンス！
vo_adv_5064406_000.m4a|いよいよこの日がやって来た！　年に一度の聖・学・祭！
vo_adv_5064406_003.m4a|我々の居場所を守るため、いざ立て諸君！我々ユニちゃんズの名を世に知らしめるのだ！
vo_adv_5064409_000.m4a|ひぃ、ふぅ……疲れた……
vo_adv_5064409_001.m4a|ああいや、運動競技に出たわけではない。当学院の校庭は、立地的に校舎から離れているだろう。
vo_adv_5064410_003.m4a|体力も足らんな。
vo_adv_5064411_000.m4a|ふむ、今回の学びもいよいよ終演か……色々あったが、いざとなれば名残り惜しいものだ。
vo_adv_5064411_003.m4a|とはいえ、はるばるよく来てくれたものだ。招待状に返信がなかったゆえ、彼女も多忙なのかと思っていたが。
vo_adv_5064411_005.m4a|ちなみに、ミミ君らにも久闊を叙したのだがね。「年上のお姉さんたちと一緒にがんばっててえらいねー」とぼかあ頭を撫でられてしまったよ。もほほ。
vo_adv_5064411_008.m4a|そうですね。ユニちゃんズはしあわせズですね。
vo_adv_5064411_013.m4a|マザーめ、どさくさに紛れて約束を反故にする気だな。これは問い詰めねばなるまい、職員室へ殴りこむぞ。
vo_adv_5064411_014.m4a|諸君、武器を取れ！突撃ぃー！　ほあああぁぁぁ……！
vo_adv_5064600_000.m4a|はて……何だね、これは。
vo_adv_5064600_002.m4a|ああ、そういえば昨日『象牙の塔』に教員が何か届けに来たな。どうせ遅れている論文の催促状だろうと、とくに封は解かなかったが。
vo_adv_5064602_003.m4a|ぼくは中庭で、ロゼッタの膝を枕にわちゃわちゃ仮眠していたな。で、クロエ君は誰とわちゃわちゃしていたのだね？
vo_adv_5064602_006.m4a|妙だな……本当に普通だったのだろうか。
vo_adv_5064603_001.m4a|ん？　ああ、まあ、そうだったな……
vo_adv_5064603_003.m4a|いや、それについては考えても詮無きことだ。そも考えようとしたところで、不思議なぐらい「ま、どうでもいいや」と気が逸れてしまうからな。
vo_adv_5064603_004.m4a|ぼくが思案していたのは、それではなく芸術出展の方だ。
vo_adv_5064603_006.m4a|うむ、例の好事家たちは『名もなき芸術』などと称していたが、ぼくは今、制作者としてあれに『青春』という銘を打ちたい。
vo_adv_5064603_007.m4a|かつて想い焦がれた風景。そして今そこに身を浸している感慨。取るに足らん毎日こそが、ぼくの年表に燦然と輝くその二文字なのだ。
vo_adv_5064603_009.m4a|……な、なんだね急に。さんざん不細工だの呪われし異形だのとこき下ろしてきた君が、急にどうしたというのだ。
vo_adv_5064604_001.m4a|「きよらか」側は不正の温床だったがな。結果として来賓の覚えは高かったようだが、そりゃあそうだろうとしか言いようがない。
vo_adv_5064604_003.m4a|ふむ、他には？
vo_adv_5064604_005.m4a|やれやれ、来年はすべての店にクロエ君を派遣するか。
vo_adv_5064605_000.m4a|聖学祭の花形、全員参加の総合リレーか。いま目を閉じれば、嗚呼、あのときの光景が目蓋によみがえる。風となって走るぼく、視界を流れてゆく景色、耳朶を打つ歓声……
vo_adv_5064605_001.m4a|…………
vo_adv_5064605_002.m4a|お、おいクロエ君、なぜツッコんでくれないんだ。ユニ先輩走ってないじゃん、と殺し屋のような目で言ってくれ。このままでは、まるでぼくの虚言癖ないし妄想癖みたいじゃあないか。
vo_adv_5064605_004.m4a|おいおいおい、ぼかあ寂しいぞ。君はいつだってユニ先輩ユニ先輩と懐いていたじゃあないか。遠慮などいらん、この小さな胸にとびこんでくるんだ。さあ、おいで。
vo_adv_5064606_000.m4a|閉会式か……ふむ、あのときも色々あったな。
vo_adv_5064606_002.m4a|指示代名詞ばかりで要点の定まらぬ陳述だな。
vo_adv_5064606_006.m4a|はて、とんと覚えておらぬが。
vo_adv_5064606_008.m4a|そうだな。クロエ君が意外と華麗なステップを踏んでいたことは覚えている。
vo_adv_5064606_014.m4a|そうだな。ユニちゃんズは永遠に不滅──
vo_adv_5084666_000.m4a|依然として彼の意識は戻らぬままか……
vo_adv_5084666_001.m4a|是も非もない。すでに知り得る限りの手は尽くした。門外漢のぼくに、これ以上できることなどあろうものか。
vo_adv_5084666_002.m4a|ふん……何が名誉博士だ、厚かましい。学院創立以来の才媛などと囃されていても、いざ有事にあってはたかだか後輩の一人も救ってやれんとはな。
vo_adv_5084666_003.m4a|…………ふう、今少し足掻いてみるか。
vo_adv_5085005_048.m4a|それじゃあユニは、ミミちゃんママにナデナデしてもらうんだ～♪
vo_adv_5085005_051.m4a|不本意だが仕方あるまい。純真な子供たちのためだ、ぼくは恥を忍んで道化を演じよう。
vo_adv_5085005_054.m4a|ふむ、何やら勇敢な少女たちが魔物の大群に対峙しているな。端的に換言すれば、運命の一大決戦だ。
vo_adv_5085005_058.m4a|おい諸君、そんなことより妙だぞ。この場には我々の見知った顔もちらほら見受けられるが、何故だか誰一人こちらと目を合わせようとしない。
vo_adv_5085005_061.m4a|そうか、きっと戦況は切迫しているのだな。よし、ならば征くぞ後輩たち！親愛なる同志のため、我々ユニちゃんズも力を貸すのだ！
vo_adv_9004004_013.m4a|うむ、聴衆の共感を呼ぶ良き詞であったぞアオイ君。もとい──ヘッズのバイヴスぶちアゲるドープなリリック喰らったぜマイメン。
vo_adv_9004004_018.m4a|おいミフユ師、横で迷惑そうな顔をするんじゃあない。我々はいまアオイ君と話をしている。
vo_adv_9004004_025.m4a|然り。いつまでも『なかよし部の皆さん』などと仰々しい。彼女には『私たちユニちゃんズ』と胸を張ってほしいものだ。
vo_adv_9004004_029.m4a|ほああああ！　なにそれ楽しそう！
vo_adv_9005006_010.m4a|うん？　どうした、ドラゴン族の娘。まるで幼児にでも語りかけるような膝を折った姿勢で。……ほう、世話になっている少年への贈りもので悩んでいると？
vo_adv_9005006_014.m4a|いや失敬、実は君とミミ君らとの会話は漏れ聞こえていた。こう見えてぼくもリトルリリカルの名誉メンバーだ。子供らしい純粋な意見には事欠かない、いくらでも捻り出せる。
vo_adv_9005006_015.m4a|たとえば、そうさな……これはぼくならではの純粋かつ独創的な発想だが、野に咲く花で作った手製の冠などはどうだろうか。
vo_adv_9005006_018.m4a|ユニもおにいちゃんにプレゼントあげたいなぁ～♪ねぇお姉ちゃん、ユニたちに手伝えることがあったらなんでもいってね！ユニたちなんでもお手伝いするからねっ！
