vo_adv_1211001_031.m4a|誰だ、とはずいぶんご挨拶だな、キャル。
vo_adv_5084663_001.m4a|坊や、いつまで眠れば気が済むんだ……？　全く笑えないぞ……？さっさと起きてワタシを楽しませてくれ……！
vo_adv_5084663_002.m4a|こうなったら、どんな手段を使ってでも、絶対に起こしてみせようじゃないか……！
vo_adv_7017000_000.m4a|鬱蒼とした森を抜け、どこへ向かうのかと思えば……こんなところに遺跡があったとはな。
vo_adv_7017000_001.m4a|なんだ、物言いたげな顔をして。こんなとびきりの美女とデートだぞ？もっとうれしそうにするがいいよ♪
vo_adv_7017000_002.m4a|いつも色んな事件に巻き込まれる坊やのことだ。付いて回れば、きっと面白いことに出会えるだろうと思ってな。
vo_adv_7017000_003.m4a|ましてや、この遺跡には坊やの記憶の鍵とやらが眠っているんだろう？絶対に何か起こるはずだ。ワタシの直感がそう告げている。
vo_adv_7017000_004.m4a|まあ、有り体に言えばそうなるが……そう冷めることを言ってくれるなよ。せっかくのデートだ。口にするなら、情熱的な言葉の一つでも囁いてほしいものだな。
vo_adv_7017000_009.m4a|なんだ？　いきなり現れて、誰だオマエは。坊やの知り合いか？
vo_adv_7017000_011.m4a|……このクリスティーナ様を無視するとはいい度胸をしているな。
vo_adv_7017000_013.m4a|……ふっ！
vo_adv_7017000_014.m4a|おや、いい反応速度だな。坊や。
vo_adv_7017000_015.m4a|はっはっは☆　いやなに、このワタシのことが目に入っていないのかと思ってな。
vo_adv_7017000_016.m4a|寝ぼけているなら目を覚まさせてやろうと思っただけだよ。クリスティーナさんのおちゃめな冗談さ♪
vo_adv_7017000_017.m4a|ああ、しかしこのままだと、うっかり手を滑らせてしまいそうだ……♪ワタシとしては、それはそれで一向に構わないけれど。
vo_adv_7017000_019.m4a|よし、斬ってやろう。
vo_adv_7017000_023.m4a|ほう、コイツ……喉元に剣を突き付けられた状況で、動じないだと？
vo_adv_7017000_024.m4a|面白い……少し試してみるか。
vo_adv_7017000_025.m4a|どうした、嫌ならオマエも武器を抜くといい。あまり焦らしてくれるなよ、体が火照ってくるじゃあないか……♪
vo_adv_7017000_027.m4a|なんだ？　ワタシをその気にさせた責任、取ってくれるんだろうな？
vo_adv_7017000_029.m4a|興が乗ってきたか？いいぞ。さあ、どんな手を見せてくれるんだ？ここまで盛り上げてくれたんだ。つまらん真似など──
vo_adv_7017000_031.m4a|────は？
vo_adv_7017000_034.m4a|なあ、坊や……このお嬢ちゃんは、いつもこうなのか？
vo_adv_7017000_036.m4a|ふむ。このお嬢ちゃんも、坊やとは違った意味で面白い。しばらく観察するのも暇つぶし程度にはなりそうだ。
vo_adv_7017000_037.m4a|それに……もし見定める価値もない輩ならば、その時は別の愉しみ方もあるというもの……♪
vo_adv_7017000_038.m4a|……頼むから、ワタシを退屈させてくれるなよ？
vo_adv_7017001_001.m4a|ああ、坊やに関わると聞いて期待していたが……ただ、延々と階段を上り続けるだけとはな。このまま退屈で死んでしまったらどうする？
vo_adv_7017001_002.m4a|これはレディを愉しませるエスコートの仕方を手ほどきする必要があるかな？
vo_adv_7017001_003.m4a|ん、どうした？　そんなに遠慮しなくてもいい。ワタシと坊やの仲じゃないか♪
vo_adv_7017001_004.m4a|さあ、刹那の刺激的な一時を──んん？
vo_adv_7017001_005.m4a|ようやくお出迎えか。ずいぶんとお寝坊だな。ゲストを迎える心意気がなっていないんじゃないか？
vo_adv_7017001_006.m4a|ちょうど退屈を持て余していたところだよ。少しは愉しませてもらうとしよう。
vo_adv_7017001_007.m4a|そら、踊ってみせろ！
vo_adv_7017001_008.m4a|なんだ、歯ごたえがないな？抗え！　立ち向かってみせないか！でなければ食らい尽くしてやるぞ！
vo_adv_7017001_010.m4a|新手のご登場か。いいぞ、盛り上がってきたじゃないか♪
vo_adv_7017001_011.m4a|そういえば、オマエ……ユキと言ったか？ずいぶんと自分のことを高く評価しているようだな。
vo_adv_7017001_012.m4a|ならば、この程度は相手にもならんだろう？是非お手並みを拝見させてもらおうじゃないか。
vo_adv_7017001_016.m4a|なぜ魔物を倒さなかった。仲間を呼ばれて苦戦するのはオマエだぞ？
vo_adv_7017001_017.m4a|まさか、このワタシが助けるなどと期待していたわけではないだろうな。
vo_adv_7017001_021.m4a|ずいぶん酔狂な考えを持っているようだが……何を言っているのかさっぱり分からんな。
vo_adv_7017001_022.m4a|確かに、今回は危機を切り抜けたが……お嬢ちゃんの言う通り、天性の美貌によるものか？それとも、ただの誇大妄想狂か……
vo_adv_7017002_000.m4a|次から次へと歓迎が止まないな。……しかし魔物を魅了するとは、あのお嬢ちゃんも面白いことをする。
vo_adv_7017002_001.m4a|どれ、試してみるか。このワタシの美貌をもってすれば容易いこと。なに、魔物の一匹や二匹、容易く服従させてやるとも。
vo_adv_7017002_002.m4a|さあ、オマエたち。このワタシの美貌に見惚れるがいいよ☆
vo_adv_7017002_003.m4a|どうした、魔物ども。なぜ震えている？ワタシの美しさにそれほど感動しているのか？
vo_adv_7017002_004.m4a|……おい、なぜキサマらは歯を剥き出しにしている？唸り声をあげる理由がわからんぞ！
vo_adv_7017002_005.m4a|なるほどな？　魔物すら震え上がらせるとは、ワタシの美貌もなかなか大したものじゃあないか……♪
vo_adv_7017002_006.m4a|だが、その反抗的な態度は許しがたいな。大人しくワタシに魅了され、頭を垂れるもよし。捻じ伏せられねば納得できないというなら、それもまた良し。
vo_adv_7017002_007.m4a|いずれにせよ、キサマらには一つの道しかない……ワタシに服従を誓うという道だけだ。そら、踊れ！
vo_adv_7017002_014.m4a|そら！　こっちの美女が手持ち無沙汰だぞ！
vo_adv_7017002_015.m4a|ふん……コイツらにはまだワタシの美貌と魅力を理解することができんようだな。もっと審美眼を磨くがいいよ、魔物ども。
vo_adv_7017002_016.m4a|きちんとお礼を言えるところは褒めてやるぞ☆だが、坊やも坊やだ。男の子ならこの程度、あっさり切り抜けてみせろ。
vo_adv_7017002_020.m4a|……ああ、好きなだけそこで鏡を眺めているといい。今度やってきた魔物には、オマエのその美貌をとことん満足するまで拝ませてやるがいいとも。
vo_adv_7017003_001.m4a|それだけ見ていて、よく飽きもしないな。いくら自分の顔でもうんざりしそうなものを。
vo_adv_7017003_003.m4a|まあ確かに、その見た目の良さだけは認めんこともない。魔物を魅了する程度には素質も持っているようだしな。
vo_adv_7017003_004.m4a|ワタシが磨けばもっと光るだろうに。オマエにその気があるならプロデュースしてやろうか？
vo_adv_7017003_006.m4a|ああ。これでもワタシは色々手広くやらせてもらっていてね。ギルドの財政を支える一大事業を手掛けたこともあるし、とある牧場を観光名所としてプロデュースしたこともある。
vo_adv_7017003_007.m4a|それに今を時めくアイドルのプロデューサーとしても活動中だ。
vo_adv_7017003_008.m4a|興味があるならどうだ？ワタシの手にかかれば、ダイヤモンドより輝かしいスターへ育て上げてみせると約束しよう。
vo_adv_7017003_010.m4a|ああ、認めざるを得んが、オマエには華がある。他人に染められない確固たる自分の色を持っている。
vo_adv_7017003_011.m4a|端から見ていて、確かにクセが強すぎるが……それは言い換えれば、誰にも負けない絶対の個性があるということだ。
vo_adv_7017003_012.m4a|想像してみろ。スポットライトが輝くステージで、何百、何千という人間が息を呑んでオマエを見つめているその光景を。
vo_adv_7017003_015.m4a|どういう意味だ？
vo_adv_7017003_020.m4a|このワタシも随分舐められたものだな？オマエの想像できるレベルなどたかが知れている。
vo_adv_7017003_021.m4a|そんな領域は容易く飛び越え、本来なら絶対に手が届かない場所までたどり着いてもらわねば、ワタシが手掛ける意味がないだろう？
vo_adv_7017003_022.m4a|もちろん、ワタシが担当する以上は生半可な出来では世に出さん。
vo_adv_7017003_023.m4a|朝から晩までトレーニングをみっちり詰め込んだクリスティーナ式スパルタ特訓をしてやるぞ。【王宮騎士団（NIGHTMARE）】の新兵も逃げ出すお墨付きだ☆
vo_adv_7017003_024.m4a|そんなに心配そうな顔をするな、坊や。きちんと調整してあるから安心するがいいよ。
vo_adv_7017003_025.m4a|大変だったんだぞ？ひよっこ兵士どもがギリギリ死なん加減を見極めるのはな。訓練の最終日は兵士たちも泣いて感動していたくらいだ☆
vo_adv_7017003_026.m4a|もちろん待遇にも抜かりはない。休暇にはワタシの名を冠したリゾートスパで保養やエステなど行えるように取り計らおう。
vo_adv_7017003_027.m4a|更にツテのある施設など、オマエがトップに立つための最高の環境を用意してやる。ワタシのコネクションを総動員して、な。
vo_adv_7017003_030.m4a|そうだ、オマエのその美貌で！　麗しき瞳で、蠱惑的な声で！ランドソルの……いや、世界中の人間を骨抜きにしてみせろ！
vo_adv_7017003_031.m4a|ただし、条件がある。
vo_adv_7017003_033.m4a|ああ……責任もって育ててやる代わりに売り出し方から衣装まですべてプロデュースさせてもらう。つまり、ワタシの指示に従ってもらうことが絶対条件だ。
vo_adv_7017003_035.m4a|これほどの好条件で首を縦に振らんとは。正直、理解に苦しむところだが……一応、聞いておこう。いいんだな？
vo_adv_7017003_039.m4a|…………
vo_adv_7017003_040.m4a|いいだろう。この話はなかったことにする。
vo_adv_7017003_041.m4a|これが新米の兵士どもなら、地獄の特訓を山盛り追加してやってヒィヒィ言うのを愉しんで眺めるところだが……
vo_adv_7017003_042.m4a|本人にその気がないものを無理に押し進めたところでモノになるまい。
vo_adv_7017003_043.m4a|元々、剣を突き付けても動じなかったお嬢ちゃんだ。力づくで動くはずもなく、財力や権力でも揺さぶれんと分かった。いくら圧力をかけたところで返答は変わらんだろう。
vo_adv_7017003_044.m4a|無駄な労力を割くのは愚か者のすることだ。ここは機が熟すのを待つのが最善……
vo_adv_7017003_045.m4a|それに……確かめてみたくもある。このお嬢ちゃんが己の力のみで殻を破れるか、観察してみるのも、また一興……♪
vo_adv_7017003_047.m4a|どうした。オマエに何か関係があるのか？
vo_adv_7017003_049.m4a|オマエはさっきの話を聞いていたのか？話は白紙に戻すと言ったが。
vo_adv_7017003_051.m4a|やはりコイツはよくわからんな……
vo_adv_7017004_003.m4a|まったく、ご苦労なことだ。よくこんな雑多に集めたものだな。その美しさにかける執念は評価してやろう。
vo_adv_7017004_004.m4a|む……これは鏡か？特に魔力の気配は感じられんが。
vo_adv_7017004_006.m4a|くっ、なんだ……！？　光が……！
vo_adv_7017004_009.m4a|ほう、幻か？ワタシの真似をするとは、面白い……♪
vo_adv_7017004_013.m4a|確かに見た目はワタシそっくりだが……張り子の虎でなければいいがな。
vo_adv_7017004_015.m4a|ふん、ワタシの鏡像にしてはずいぶん好戦的だな？その血の気の多さ、いったい誰に似たんだか……
vo_adv_7017004_017.m4a|はっはっは、面白いことを言うな？　お嬢ちゃん。ワタシの剣の前で、もう一度同じことを言えたら褒めてやるぞ。
vo_adv_7017004_021.m4a|なんだ、どっちが本物かわからないのか？こんなもの見分ける必要のない問題だ。
vo_adv_7017004_022.m4a|簡単だ──切り結んでみればいい！本物のワタシなら、偽物如きに負けるわけないのだから！
vo_adv_7017004_027.m4a|いいや、気遣いは無用だ。ワタシたちが語るにはこの剣さえあれば十分だろう？
vo_adv_7017004_029.m4a|初動は完全に隙を突いた渾身の一撃だったが……ワタシにワタシの能力は通じんということか。
vo_adv_7017004_030.m4a|一瞬目を離せば、ワタシの首は容易く飛ばされるだろう。だが、そうでなくてはな！
vo_adv_7017004_031.m4a|強すぎるワタシに相応しい強敵──それは、やはりワタシ自身に他ならない！
vo_adv_7017004_032.m4a|ああ、なんて愉しい……！やはり命を賭けた戦いでこそ、生きている実感が湧く。願わくばこの強敵と永遠に闘争を続けたい……
vo_adv_7017004_034.m4a|この一撃……避けるには間に合わんな。ちっ、さすがはワタシというべきか。惚れ惚れするほど厄介なタイミングで仕掛けてくれる！
vo_adv_7017004_035.m4a|乱数聖域が打ち消し合うこの状況下では、ヤツとワタシの地力でこそ勝敗が決まる──
vo_adv_7017004_036.m4a|退くか、防ぐか……あるいは肉を切らせて骨を断つか。だが肌で感じる。ここで臆せば、一筋の活路を失うと！
vo_adv_7017004_037.m4a|踏み込め！　あと半歩……半歩でいい。この足が、ヤツの剣閃が届くより先に踏み込めれば──
vo_adv_7017004_038.m4a|これは──坊やの力か！迷ってる暇はない。今はこの力、甘んじて借り受けるとも！
vo_adv_7017004_039.m4a|はあああああっ！
vo_adv_7017004_041.m4a|勝敗の行方は最後まで分からなかった。だが、どんな状況だろうと、何を利用しようとも最後に勝った方が勝者だ。
vo_adv_7017004_042.m4a|結果、ワタシは勝ちオマエは負けた。けれども、さすがはワタシというべきか……認めよう、オマエは強敵だった。
vo_adv_7017004_043.m4a|一時の夢のように、愉しい戦いだった。そして……さらばだ。
vo_adv_7017004_047.m4a|さてな。あまりにも当然すぎてワタシにもわからん。ただ近い答えがあるとするなら、それは……
vo_adv_7017004_048.m4a|おそらく、オマエが美しさを追い求めるのと同じだよ。
vo_adv_7017005_000.m4a|これであらかた斬り終わったか。雑魚ばかりかと思っていたが、なかなか愉しめたな。
vo_adv_7017005_002.m4a|オマエは何も提供していないだろうに。……おや、先ほど倒した魔物が何か落としたようだな。
vo_adv_7017005_004.m4a|ちょっと待て。徐々に光が強くなっていないか？なんだこれは……？
vo_adv_7017005_006.m4a|何かと理由をつけて来国したはいいものの、晶は姿を隠してしまっているようだし。
vo_adv_7017005_007.m4a|やはりワタシのことを察知して逃げているのか？せっかく友達に会いにきたというのに。
vo_adv_7017005_008.m4a|む……？　オマエは晶のお気に入りの坊やじゃないか。こんなところで何をしている？
vo_adv_7017005_009.m4a|ワタシか？　ワタシは友人を驚かせてやろうと海を越えてやってきたはいいが、空回りに終わらせたところだよ。
vo_adv_7017005_010.m4a|それで、坊やは何をしているんだ？
vo_adv_7017005_013.m4a|なんだ、待ち合わせをしていたのか。それは邪魔したな、坊や。ワタシはここらで失礼するとしよう。
vo_adv_7017005_014.m4a|ん？　なんだ、ワタシに話でもあるのか？なに？　疲れてるように見える……？
vo_adv_7017005_015.m4a|まあ確かに、ここしばらくは業務が立て込んでいてな。それでも、今日一日をオフにするためにスケジュールを詰めに詰めたが……
vo_adv_7017005_016.m4a|それも骨折り損に終わり、残ったのは徒労だけだ。肩が凝って仕方がないよ。まったく。晶のヤツ、どこをほっつき歩いているのやら。
vo_adv_7017005_017.m4a|おっと、つまらん愚痴を聞かせてしまったな。これは大人の悪い癖だな、許せよ。
vo_adv_7017005_018.m4a|一緒に……？どこへ行こうと言うんだ？
vo_adv_7017005_019.m4a|ふむ、どうするか。帰国して、このまま仕事に戻ってもいいが……
vo_adv_7017005_020.m4a|せっかく苦労してスケジュールを空けたのに、すぐにとんぼ返りというのも味気ない。せめて気晴らしでもしてから帰りたくはあるな……
vo_adv_7017005_021.m4a|……わかった。その誘い、乗るとしよう。ただし変な場所に連れていったときは、それなりの責任を取ってもらおうか♪
vo_adv_7017005_022.m4a|ほう、これは……
vo_adv_7017005_023.m4a|繁華街のど真ん中にフットバスか。それに、カフェと併設とは面白い。
vo_adv_7017005_026.m4a|ターゲット層の女性客を取り込むため、ドリンクやスイーツにも力を入れているのか。
vo_adv_7017005_027.m4a|ほう……味も悪くないな。
vo_adv_7017005_029.m4a|ん？　ああ、頼む。
vo_adv_7017005_030.m4a|なるほどな……これは、確かにいいかもしれん……溜まった疲れが溶けていくようだ……
vo_adv_7017005_031.m4a|ふむ……これは向こうでもビジネスとして成立するかもしれんな。とすれば、まず考える必要があるのは立地と客層か……
vo_adv_7017005_033.m4a|いかにも、ワタシがクリスティーナだが。
vo_adv_7017005_036.m4a|サインは構わないが……今はプライベートなのでね。写真撮影については遠慮させてもらおう。それで、色紙はどこかな。こちらに渡してくれないか？
vo_adv_7017005_047.m4a|……片腹痛いな。世界一を名乗るには、それではぬるすぎる。
vo_adv_7017005_048.m4a|今のオマエはただ言われたままにポーズを取り、そして撮られているだけ。──そこにオマエの美はあるのか？
vo_adv_7017005_050.m4a|どうしてワタシがオマエと張り合わねばならない。そもそもの土俵が違う……少し待っていろ。
vo_adv_7017005_051.m4a|そこの店員、ここのオーナーを呼べ。少し話をさせてもらうぞ。
vo_adv_7017005_052.m4a|待たせたな。これからはワタシが指示を出す。店員、オマエはワタシの言葉に従って撮影を進めろ。
vo_adv_7017005_054.m4a|もう客ではない。さっきこの店を買収したからな。ワタシがここの新しいオーナーだ。そしてオマエはワタシの部下だ。きりきり働くといい。
vo_adv_7017005_056.m4a|ああ、ワタシが担当する以上、中途半端はあり得ん。完璧で完全無欠なプロデュースをしてやるとも。
vo_adv_7017005_057.m4a|まずは店外の写真から撮影するぞ。撮影助手、ぼさっとするな！　照明を高く！カメラマンは配置につけ！
vo_adv_7017005_059.m4a|よし。ではモデルの雪ちゃん。宣伝用の立ち看板に使えるようなイメージで一枚。ポーズはそちらに任せる。期待しているぞ？
vo_adv_7017005_063.m4a|よし、次はリラクゼーション感のアピールだ。足湯に浸かっている写真を撮るぞ。
vo_adv_7017005_066.m4a|よし、撮影助手！次はマッサージの施術を受けるシーンの撮影だ！
vo_adv_7017005_067.m4a|次はカフェのメニューを撮るぞ。テーブル一杯に店内のメニューを並べていけ！
vo_adv_7017005_068.m4a|だんだん調子が出てきたじゃないか……♪さあ、次の撮影に進むぞ。今日中にすべて撮り切らなければな！
vo_adv_7017005_071.m4a|……眠ってしまっていたか。ワタシともあろう者が、少し油断し過ぎじゃないか？
vo_adv_7017005_072.m4a|しかし、妙な夢だ……思い出そうとすると霧のように霞んでしまう。
vo_adv_7017005_076.m4a|コイツも同じタイミングで眠っていたのか。何者かに睡眠魔法をかけられたか……？
vo_adv_7017005_078.m4a|……というわけではなさそうか。体にも特に異常は見受けられんし。
vo_adv_7017005_080.m4a|おい、いつ誰がオマエに施設を貸し出すと言った？勝手に話を進めてくれるな。
vo_adv_7017005_082.m4a|そんな言葉は、ワタシに絶対後悔させないという確信を持たせられるようになってから吐け。
vo_adv_7017005_083.m4a|今のままでは危なっかしくて、素直に首を縦に振ることなどできんよ。……まだ、今のままではな？
vo_adv_9004012_000.m4a|──よし、団長。ワタシと共に、荒れ狂う大海へと漕ぎ出そうじゃないか！
vo_adv_9004012_002.m4a|オマエ、来ていたのか。いやなに、そこのおチビちゃんから面白い話を耳にしてな。
vo_adv_9004012_005.m4a|そう、そのトゥンヌス釣りだ。美食のため、人跡未踏の秘境を行脚するオマエたちほどではないが、ワタシも大抵の高級食材は食らい尽くしてしまったからな。
vo_adv_9004012_006.m4a|現地でしか味わえない極上の美味。それを、己の力で手に入れるという経験も悪くない。一時の退屈しのぎにはなるだろうよ。そうだ、オマエも──
vo_adv_9005004_017.m4a|──ほう、面白そうな話をしているな？
vo_adv_9005004_019.m4a|特別ライブと言っていたな？飛ぶ鳥を落とす勢いの現役アイドルグループが、たった一人のためにライブか。ワタシとしては全然かまわんぞ？
vo_adv_9005004_021.m4a|ああ……もちろんさ。ではまずは予算の話から始めようか。
vo_adv_9005004_023.m4a|必要なのは舞台、機材、衣装、スタッフ、エトセトラ……無論、この敏腕プロデューサーであるワタシへの依頼料も払ってもらわなくてはな？　まぁ坊やのためだ、それは安くしとくさ。
