vo_adv_1029010_002.m4a|よければ私たちが相談に乗りますけど。
vo_adv_1173003_004.m4a|……なので、今はおとなしく救助を待つのが賢明ですね。
vo_adv_1173003_005.m4a|のんびり、ですか？そうですね……
vo_adv_1173003_006.m4a|……あの、すみませんでした。戦いに巻き込んでしまい、その上遭難まで……
vo_adv_1173003_007.m4a|それに私、一応旅慣れはしていますが、こういう状況で生き抜くような知識には疎くて……
vo_adv_1173003_008.m4a|いつ救助が来るかも分からない状況だし、不安な中でのんびりなんてできるのかな、って……
vo_adv_1173003_009.m4a|無人島！？ご、ごめんなさい……急に予想外のことを言うからつい。でも、無人島ってなかなか行かないですよね？
vo_adv_1173003_010.m4a|道具屋に行ってきたみたいな感覚で言う言葉ではありませんよ。……ふふ、やっぱりあなたは面白い人ですね。
vo_adv_1173003_011.m4a|確かに、これ以上落ち込んだところでここに流れ着いてしまった事実は変わらない……
vo_adv_1173003_012.m4a|それならいっそ楽しんだ方がいいに決まってる。
vo_adv_1173003_013.m4a|こういう気持ちの切り替えや前向きな思考って、以前の私じゃ難しかったと思う。これもあなたのおかげだよね……
vo_adv_1173003_014.m4a|そうですね。一緒に楽しみましょう！
vo_adv_1173003_015.m4a|あ、見てください。あの木、果物がなってますよ。おいしそうですけど、食べられるでしょうか？
vo_adv_1173003_016.m4a|そうなんですね。それじゃあさっそく一つ……採れました！
vo_adv_1173003_017.m4a|採れたてを生でかぶりつくなんて、ちょっとお行儀悪いかもしれませんが、今はいいですよね？
vo_adv_1173003_018.m4a|いただきます……んー、甘くておいしい！お店で買うのもいいですけど、不思議とそれ以上においしく感じますね。自分で探して採るという行為がおいしくさせるんでしょうか。
vo_adv_1173003_019.m4a|なんだか私、ちょっと楽しくなってきました。{player}さん、次は何をしますか？
vo_adv_1173003_020.m4a|む、虫、ですか？　たしかに虫捕りも夏の遊びですが、私、あまり得意では……
vo_adv_1173003_021.m4a|あ、そういえば高値で取引される虫もいると聞いたことがあります。もしかして、その虫を探すのですか？
vo_adv_1173003_022.m4a|……そういうわけではないのですね。わ、分かりました。いい機会ですので私も虫捕りに挑戦しま──
vo_adv_1173003_023.m4a|ひゃあ！　ご、ごめんなさい、やっぱり遠慮します！
vo_adv_1173003_024.m4a|すみません、見苦しいところをお見せしました……次は頑張ってみますね。
vo_adv_1173003_025.m4a|果物を採って魚釣り、いよいよサバイバルっぽい感じですね。釣りなら私にもできそう……でも、釣り竿がありませんね。
vo_adv_1173003_026.m4a|あ、なるほど！木の枝につるを釣り糸代わりにして、即席の釣り竿ですか。すぐにこういうものを作れちゃうなんて……さすがですね。
vo_adv_1173003_027.m4a|それでは頑張って大物を釣りましょう！
vo_adv_1173003_028.m4a|……と、張り切ってみたものの、全然釣れない。釣りってこんなに難しいんだ……でも、{player}さんは落ち着いてる。
vo_adv_1173003_029.m4a|きっと釣りに慣れてるんだろうな。静かに自然と向き合ってる姿、なんだか素敵だな。
vo_adv_1173003_030.m4a|え、あれ、{player}さん、何かかかったみたいです！す、すごい引き……これってかなりの大物じゃないですか！
vo_adv_1173003_031.m4a|は、はい……って、一緒に引っ張るとなると、う、後ろから密着しなきゃいけない、ですよね……？
vo_adv_1173003_032.m4a|で、でも迷ってる場合じゃない……し、失礼します！
vo_adv_1173003_033.m4a|あぁ！　竿が引っ張られるたびに、ど、どうしても密着しちゃう……鼓動が伝わっちゃいそうで、は、恥ずかしい……！
vo_adv_1173003_034.m4a|こ、こんなの、持つわけがな、ああぁ！　ひ、引っ張られて、も、もうダメ……！
vo_adv_1173003_035.m4a|きゃああ～！
vo_adv_1173003_036.m4a|ぷはぁ！　はぁ、はぁ……すみません、こらえ切れずに、海に落とされてしまいました……ああ、せっかくの大物だったのに……
vo_adv_1173003_037.m4a|そういう{player}さんだって。ふふ、あはは、あはははは！
vo_adv_1173003_038.m4a|いい焼け具合ですね。すごくおいしそう。でも結局、あの後釣れたのはこれ一匹……私は大丈夫ですので、どうぞ食べてください。
vo_adv_1173003_039.m4a|は、半分こ……？
vo_adv_1173003_040.m4a|ちゃんと二つに分けてるから間接キスってわけでもないのに、一つの物を分け合ってるだけで、ドキドキする……
vo_adv_1173003_041.m4a|お、おいしい、ですね……？
vo_adv_1173003_042.m4a|あぁ、なんだか味が全然分からないよ……
vo_adv_1173003_043.m4a|陽がだいぶ落ちてきましたね。でも、救助はいまだに来ません……
vo_adv_1173003_044.m4a|潮は大分引きましたけど、それでも歩いて渡るには少々深いですね。暗くなってから動くのも危険です。もうしばらく待ちましょう。
vo_adv_1173003_045.m4a|でも、もし救助が来なかったら？ノゾミとツムギに迷惑がかかるし、ツアーだってどうなるか……
vo_adv_1173003_046.m4a|唱喚士として役目も果たせず、このままここで暮らすことに……
vo_adv_1173003_047.m4a|え、暮らす、の？{player}さんと二人で？
vo_adv_1173003_048.m4a|ど、どうしよう……！　も、もちろんイヤなわけじゃないけど、心の準備もできてないし……！
vo_adv_1173003_049.m4a|でも、悪くないかもって思える自分がいる……
vo_adv_1173003_050.m4a|なにものにも縛られず、二人で自由に生きていく。それも一つの幸せの形、じゃないのかな……？
vo_adv_1173003_051.m4a|あなたもそう思ってくれていたら、うれしいな……
vo_adv_1173003_052.m4a|……あの、もしこのまま救助が来なかったら、わ、わわ私と二人で暮らし──
vo_adv_1173003_054.m4a|あ、あれは昼間の漁師さん！救助、来てくれたんですね……はぁ、よかった……
vo_adv_1173003_055.m4a|あそこで声がかからなかったら、私、何を言っていたか……夏の暑さにあてられて、大胆になりすぎちゃってたかも。
vo_adv_1173003_056.m4a|一歩踏み出す勇気は大事だけど、さすがに進み過ぎだよねっ。危なかった……
vo_adv_1173003_057.m4a|えっ！？な、何でもないです！　何でも……
vo_adv_1173004_000.m4a|ようやく帰ってこれましたね。一時はどうなるかと思いましたが、安心しました。
vo_adv_1173004_001.m4a|でも、あれだけ賑わっていたビーチも、すっかり静かになってしまいましたね。
vo_adv_1173004_002.m4a|それも当然ですね。もうすっかり陽も落ちてしまいましたし。
vo_adv_1173004_003.m4a|手を繋ぎながらビーチを散策して、一緒に魔物退治して、孤島でちょっとしたサバイバル体験して。すごい一日だったな……
vo_adv_1173004_004.m4a|思い出深いけど、せっかく夏の海なんだからもう少し普通のカップルがするようなことをしてみたかった……かも。
vo_adv_1173004_005.m4a|なんて、今日の私、やっぱり大胆かも……
vo_adv_1173004_006.m4a|あの、今日は色々とありがとうございました。そろそろ宿に戻りましょう──
vo_adv_1173004_007.m4a|あれ、月明かりってこんなに明るかった……？どんどんまぶしくなって……きゃあ！
vo_adv_1173004_039.m4a|ん……あれ、私寝ちゃってたの……？色々なことがあったから、疲れが溜まってたのかな。
vo_adv_1173004_040.m4a|でも、いい夢が見れました。あなたと一緒に花火をする夢です。本当に楽しかった……
vo_adv_1173004_041.m4a|え、あなたも同じ夢を？うれしいような恥ずかしいような、不思議な気持ちです……
vo_adv_1173004_042.m4a|でも、夢があんなに楽しかったから、なんだか私も花火をやってみたくなっちゃいました。
vo_adv_1173004_043.m4a|といっても今からじゃお店も多分閉まってますし、無理ですよね。
vo_adv_1173004_044.m4a|あぁ、この人はいつも一生懸命で……それがとても素敵で、まぶしくて……
vo_adv_1173004_045.m4a|でも、それに甘えてばかりじゃダメだよね。胸を張ってあなたの隣にいられるように、私も変わっていかなきゃ。
vo_adv_1173004_046.m4a|待ってください。一人で探しに行くなんてダメです。私も一緒に行きます。
vo_adv_1173004_047.m4a|もし花火が手に入らなくても大丈夫です。夏はまた、来年もやって来ます。ですから──
vo_adv_1173004_048.m4a|これからもずっと、一緒に夏を楽しみましょうね！
vo_adv_2109001_002.m4a|──……
vo_adv_2109001_004.m4a|……やはり、ダメみたいです。一通り、プロデューサーさんがいそうな座標は試してみたんですが……
vo_adv_2109001_007.m4a|では……何か、トラブルに巻き込まれてしまったんでしょうか？
vo_adv_2109001_010.m4a|噂ではここ最近、ランドソル周辺では凶悪なテロリストたちが騒ぎを起こしているそうです。もしかして、それと何か関係が……？
vo_adv_2109001_013.m4a|でも、覇瞳皇帝は以前の戦い以降、王城に幽閉されてるはずですよね？
vo_adv_2109001_025.m4a|……ノゾミ……？
vo_adv_2109001_029.m4a|……そうですね。きっと、そう言われると思います。
vo_adv_2109002_019.m4a|急な開催だったんですけれど……奥の方まで、お客さんいっぱいですね。ふふっ、うれしいです……！
vo_adv_2109002_024.m4a|私たちの歌、聞いてください！せーのっ！
vo_adv_2109002_039.m4a|もしかして、トラブルでしょうか？
vo_adv_2109002_052.m4a|そ、それに今、重要人物の誘拐と言っていませんでしたか？
vo_adv_2109002_069.m4a|私のとは、少し系統が違うようですが。でも……
vo_adv_2109002_080.m4a|……！まだです……！
vo_adv_2109002_083.m4a|ああっ！みんなっ……！！
vo_adv_2109002_088.m4a|くぅっ……歌ならともかく、魔法の勝負となると……！
vo_adv_2109005_052.m4a|お互い、大事な人を取り返したいって気持ちは同じみたいですし。一緒に戦いましょう！
vo_adv_2109005_064.m4a|これは……結界！？
vo_adv_2109005_074.m4a|くぅっ……！なんて魔力……！
vo_adv_2109005_079.m4a|はいっ。歌の力を悪用する彼女を、野放しにはできません！
vo_adv_2109008_085.m4a|良かった……なんとか、なったみたいで……
vo_adv_2109009_003.m4a|私も、手伝います……！
vo_adv_2109009_059.m4a|あとほんの少しずれれば、命が危なかったかもしれません。それほどの傷でした……
vo_adv_2109009_102.m4a|召喚魔法……！？あんな規模のもの、見たことがありません……！
vo_adv_2109010_013.m4a|ただ……魔力の大きさは掛け離れていますが。その波長のようなものが、かなり似ている気がします……
vo_adv_2109010_087.m4a|怪我は、無いようですね……良かった。
vo_adv_2109010_119.m4a|それに、新しい世界を創るって……
vo_adv_2109011_020.m4a|これだけ打ち込んでも、平然としているなんて……
vo_adv_2109011_147.m4a|ツムギ、大丈夫っ……！？
vo_adv_2109012_030.m4a|それも、３人も……
vo_adv_2109012_051.m4a|彼らは敵です、プロデューサーさんっ！危ないですよ、そんな場所にいたら……！
vo_adv_2109012_055.m4a|……ぅ、ぅ……
vo_adv_2110004_021.m4a|私たち、プロデューサーさんにかけられた洗脳魔法を解く方法を探したいんです。
vo_adv_2112006_003.m4a|みなさん、ありがとうございます……！
vo_adv_2112006_006.m4a|ええ。当たり前のことですが、とてもうれしいですね。
vo_adv_2112006_009.m4a|ジュンさん、無事にランドソルに戻っていると良いんですが。『装置』を探してくれるって、約束してくれましたし。
vo_adv_2112006_012.m4a|あの、エリスのとてつもない魔力なら、どれだけ遠くからでも洗脳魔法の力が届きそうですからね。
vo_adv_2112006_016.m4a|ノゾミ？どうしたの？
vo_adv_2112006_018.m4a|あ、この前の……？
vo_adv_2112008_144.m4a|みなさん、少し離れていてください……！
vo_adv_2112009_075.m4a|えっと、それじゃあ……寝やすいように、子守歌でも……？
vo_adv_2112010_039.m4a|洗脳魔法の装置が破壊されたわけではないですから。この結界が失せ、ミソラやエリスから魔力を送り込まれれば……また、意志を奪われてしまうかもしれないのですね。
vo_adv_5072000_001.m4a|はい。撮影の仕事はまだ不慣れで、緊張していたので……{player}さんがいてくれたおかげで、自然体でいることができました。
vo_adv_5072000_004.m4a|……いるのが当たり前のような気がしていました。
vo_adv_5072000_009.m4a|ツムギ？ノゾミは別に{player}さんの名前は出していませんよ？
vo_adv_5072000_011.m4a|そ、そんなことは……！もう、ツムギ……巻き添えにしないでください……
vo_adv_5072000_023.m4a|はい、もちろんです。意識は常に、研ぎ澄ませてあります。
vo_adv_5072000_027.m4a|そういえば聞きそびれていたんですが、どうしてここからなんですか、プロデューサーさん？
vo_adv_5072000_030.m4a|え？そうだったんですか、ノゾミ？
vo_adv_5072000_039.m4a|仕方ありませんね。ノゾミは一度こうなってしまうと、一人だけでも練習してしまいますから……このままライブの事前準備に取り掛かりましょう。
vo_adv_5072002_000.m4a|あ……こんにちは。
vo_adv_5072002_001.m4a|聞かれてしまいましたね。この曲は、今度のライブで初めて歌おうと思っているんです。だから、秘密でお願いしますね？
vo_adv_5072002_002.m4a|ところで私に何か用ですか？メモ帳とペンを持っていますけど……
vo_adv_5072002_003.m4a|インタビュー……というと、今度発売するカルミナの本の……？
vo_adv_5072002_004.m4a|なるほど、あなたが呼ばれた理由は、そういうことだったんですね。
vo_adv_5072002_005.m4a|ふふっ、プロデューサーさんが考えそうなことです。私たちの普段見えない部分を、引き出そうとしているのでしょう。
vo_adv_5072002_006.m4a|では、さっそく始めましょう。……なんだか、こうして改まってあなたに質問をされるのは、恥ずかしくもありますね……
vo_adv_5072002_007.m4a|歌の練習、でしょうか。唱喚士として、訓練を怠るわけにはいきませんから。
vo_adv_5072002_008.m4a|えっ……ボケが足りない？ボケ？　インタビューでボケって、どう答えれば……あ、あの！　少し時間をください、必ず用意しますから……！
vo_adv_5072002_009.m4a|歌うことですね。
vo_adv_5072002_010.m4a|……？あの、なんでしょう？なにを待っているんですか？　私、なにか間違えてしまいましたか？
vo_adv_5072002_011.m4a|えっと……どうでしょう。ちゃんとした答えになっていたでしょうか……
vo_adv_5072002_012.m4a|大丈夫？　私らしい？ほっ、良かった。
vo_adv_5072002_013.m4a|アイドル、ですね。あ……ええっと……なんというか……
vo_adv_5072002_014.m4a|私の中にあるアイドル、という言葉の意味。そのすべてが、ノゾミそのもの、ということです。……伝わりますか？
vo_adv_5072002_015.m4a|ツムギには本当に助けられています。よく気が利いて、少し働きすぎなくらい働いて。なにより、努力家で……出来過ぎていますよね。
vo_adv_5072002_016.m4a|ただそう、一つだけ。衣装のサイズ合わせなどの時に、何かあればすぐに体を触ろうとしてくるんです。それだけは……直してもらいたいです。
vo_adv_5072002_017.m4a|改めて仲間のことを語るというのは、自分を見つめなおすみたいで……難しいですね。
vo_adv_5072002_018.m4a|緊張も少しほぐれてきました。どうぞ、インタビューを続けてください。
vo_adv_5072002_019.m4a|好きな男性……えっと、それは……パス、とかできませんか？あ、ダメですか？
vo_adv_5072002_020.m4a|……私の歌を聞いて、喜んでいただける人。いつもにこやかに微笑んで、いい歌だね、と褒めてくれるような……ふ、深く考えないでくださいね！　今のは、その場の思いつきです！
vo_adv_5072002_021.m4a|告白……とはつまり、そういうことですよね……どんなセリフ……考えたことがありませんでした……
vo_adv_5072002_022.m4a|その。あなたが好きな人に想いを伝えるときは、どんなセリフを言いますか？それを……答えにさせてください。
vo_adv_5072002_023.m4a|……なんというか、ドキドキする質問ですね。もちろん、今までにも取材などで、こういった風な質問をされたことはありますけど……
vo_adv_5072002_024.m4a|あなたに聞かれるというのが……いえ、気にしないでください……！
vo_adv_5072002_025.m4a|つっ、次の質問にいってもらえますか？できれば、なるべく普通のものでお願いできますか……
vo_adv_5072002_026.m4a|どうやって結成されたか、ですか……
vo_adv_5072002_027.m4a|そうですね……私もツムギも、ノゾミに引っ張られる形で強引にというか、あの勢いに圧される形でというか……
vo_adv_5072002_028.m4a|でも、正式にカルミナになったのは、それより少しあとの話。私がノゾミのことをノゾミさん、と呼んでいて……
vo_adv_5072002_029.m4a|私たちがまだ、不揃いなユニットだった頃でしたね──
vo_adv_5072002_030.m4a|歌って踊って戦うメンバー募集。そんなチラシを見て興味を持ったのですが……まさかアイドルのことだったなんて……
vo_adv_5072002_031.m4a|私は唱喚士。この力で人々を守り、平和をもたらすのが使命。アイドルをしている余裕なんてとても……
vo_adv_5072002_033.m4a|あの……ノゾミ、さん。以前はあなたの言葉に乗せられてしまいましたけど、やはり、アイドルというのは……
vo_adv_5072002_034.m4a|私は唱喚士。歌の力で人々を守るのが使命なのです。
vo_adv_5072002_036.m4a|いえ、そうではなく……魔物の脅威から……
vo_adv_5072002_038.m4a|とてつもなく強引ですよね……初めて会うタイプです……
vo_adv_5072002_040.m4a|この子も初めて会うタイプですね……
vo_adv_5072002_042.m4a|は……はい。
vo_adv_5072002_043.m4a|いいのでしょうか、このままで……唱喚士としての使命があるのに……
vo_adv_5072002_046.m4a|はぁ……踊りなど、今までやったことがなかったので。自信なんて……
vo_adv_5072002_049.m4a|楽しく……？
vo_adv_5072002_050.m4a|今も、魔物に苦しめられている人がいるかもしれないのに……？
vo_adv_5072002_051.m4a|私の唱喚士としての使命を手伝う、その代わりに私もアイドルの活動を手伝う。そういう約束だったはずですが……
vo_adv_5072002_052.m4a|本当に、約束を守る気はあるのでしょうか……そもそもノゾミさんは本当に戦えるのでしょうか……？あれがただの、その場の口約束だったとしたら……
vo_adv_5072002_054.m4a|いえ。なんでもありません。レッスンは終わりですよね？私は用があるので、これで失礼します。
vo_adv_5072002_057.m4a|魔物の討伐依頼……こんなにあるんですね。
vo_adv_5072002_058.m4a|このままでは唱喚士としての使命は果たせない。……私の歌は、人を守るために使うもの。
vo_adv_5072002_059.m4a|まずはこうした討伐依頼をこなして──
vo_adv_5072002_061.m4a|……どうしたんですか？
vo_adv_5072002_063.m4a|私が行きます。
vo_adv_5072002_065.m4a|見た目で判断されては困ります。腕に……いえ、声には自信がありますので。
vo_adv_5072002_067.m4a|任せてください！
vo_adv_5072002_068.m4a|そう。これが唱喚士としての使命。平和を脅かされた人々を守り、助け、救う……！
vo_adv_5072002_069.m4a|あなたが平和を脅かすものですか。私の唱喚術……聞いてもらいます……！
vo_adv_5072002_070.m4a|風の精よ、この歌に、今宿り給え……！
vo_adv_5072002_071.m4a|効いていますね。このまま、一気に……！
vo_adv_5072002_072.m4a|なっ、突進──くぅっ！
vo_adv_5072002_073.m4a|しまった、呼吸が乱れて、歌が……！
vo_adv_5072002_074.m4a|まだですっ！
vo_adv_5072002_075.m4a|唱喚術の弱点は、歌う際に無防備になること。それくらいのことは分かっています。
vo_adv_5072002_076.m4a|だからこそ、それを補う仲間を求めたはずが……
vo_adv_5072002_077.m4a|ですが、一人だって私は戦える……！
vo_adv_5072002_078.m4a|くっ……！まとわりついて、歌わせないように……！これだと──
vo_adv_5072002_080.m4a|ノゾミ……さん？
vo_adv_5072002_083.m4a|……は、はい！
vo_adv_5072002_085.m4a|……鋭い攻撃……しかも、あの独特なステップは……私の歌に合わせて、踊っている……？
vo_adv_5072002_087.m4a|……戦えない、と思っていた。
vo_adv_5072002_088.m4a|アイドルが戦えるはずない、と。でも……違ったんですね。ノゾミさんの動きは、アイドルとしてだけじゃない。戦うために訓練もされたもの……
vo_adv_5072002_089.m4a|本気、だったんですね。アイドルをしながら、私を手伝うという約束……
vo_adv_5072002_092.m4a|風の精よ──！
vo_adv_5072002_094.m4a|……あ、ありがとうございます、二人とも。
vo_adv_5072002_097.m4a|……！
vo_adv_5072002_098.m4a|仲間……
vo_adv_5072002_099.m4a|ノゾミさん……あなたはなぜ、ユニットを組もうと思ったのですか？
vo_adv_5072002_101.m4a|あなたはすでに立派なアイドル。歌も踊りも上手く、今のように戦うこともできる。あなたに仲間が必要だとは思えないのですが……
vo_adv_5072002_105.m4a|なるほど……分かりました。
vo_adv_5072002_106.m4a|──カルミナ、はどうでしょう。
vo_adv_5072002_108.m4a|ユニットの名前です……私たちの。この言葉には、歌、という意味が込められています。
vo_adv_5072002_113.m4a|ええ、そうですね……♪
vo_adv_5072002_114.m4a|これが、カルミナの始まりでした。
vo_adv_5072002_115.m4a|私はノゾミの歌い、踊り、戦うというアイドルの姿を見て、ここでやっていこうと決めたんです。
vo_adv_5072002_116.m4a|それからもノゾミには色々と振り回されましたけどね。ですが……
vo_adv_5072002_117.m4a|……ええ。かけがえのないものを見つけたと、思っています。
vo_adv_5072003_055.m4a|初ライブが大成功でしたからね。ノゾミも気がはやっているんですよ。
vo_adv_5072003_058.m4a|ええ。それではレッスンを始めましょうか。
vo_adv_5072003_062.m4a|～♪
vo_adv_5072003_076.m4a|え？　ツムギ……？
vo_adv_5072003_083.m4a|……すみません、ツムギ。あなたにそんなに負担をかけていたなんて……
vo_adv_5072003_086.m4a|ちょっと、ノゾミ？
vo_adv_5072003_096.m4a|えっと、こちらの商品とこちらの商品、合わせて──
vo_adv_5072004_003.m4a|いえ……恐らく、きっとまだ最高潮じゃありませんよ。今回でそれを超えていくつもりなのでは？
vo_adv_5072004_007.m4a|……ふふっ。
vo_adv_5072004_008.m4a|あ……そうですね……それはありがたいお話ですけど、遠慮しておきます。
vo_adv_5072004_009.m4a|やっぱり、{player}さんには出来上がったステージで、万全の状態の私たちを見ていただきたいですから。
vo_adv_5072004_013.m4a|はいっ！
vo_adv_5072004_017.m4a|でも、それだと衣装替えのタイミングが……
vo_adv_5072004_021.m4a|はい。特に問題はないかと……
vo_adv_5072004_024.m4a|これまでより規模が大きく、しかも周りは海……反響がない中でも、できるだけ遠くまで歌を届けたいですね。
vo_adv_5072004_027.m4a|……そうですね。元より歌に妥協はできません。
vo_adv_5072004_029.m4a|ノゾミ。無理は禁物ですよ。ただでさえあなたは無茶しがちなんですから。
vo_adv_5072004_058.m4a|え？　ツムギも知らないんですか？私も最後に歌のアレンジの確認をしておきたくて……
vo_adv_5072004_060.m4a|まさか、まだ練習してるんじゃ……
vo_adv_5072004_068.m4a|風の精よこの歌に今、宿り給え……！
vo_adv_5072004_074.m4a|……何がよかったんですか？
vo_adv_5072004_076.m4a|ライブを目前に控えたアイドルが、ファンを守るためとはいえ、一人で戦うなんて。あまりにも、危険すぎたのではありませんか？
vo_adv_5072004_077.m4a|もし万が一あなたがここで怪我をすれば、たくさんの人に迷惑がかかるところだったんですよ？
vo_adv_5072004_080.m4a|『どうして一人で行っちゃったの？私たち、もう仲間でしょ？』
vo_adv_5072004_082.m4a|ノゾミのアイドルにかける熱意、本気で歌い、踊り、戦おうとする決意、十分に理解しているつもりです。
vo_adv_5072004_083.m4a|後先考えず突っ込んでいくのが、あなたという人です。
vo_adv_5072004_084.m4a|でも。せめて仲間である、……仲間だと言ってくれた私たちを、すぐに頼るべきだったのではありませんか？
vo_adv_5072004_098.m4a|……歌を重ねるのに一番大事なのは、心を一つにすること。
vo_adv_5072004_099.m4a|これでは、多くの観客の前で声を重ねることなど、……できません。
vo_adv_5072004_106.m4a|これは……魔物の毒を受けていますね。
vo_adv_5072004_108.m4a|ええ。回復魔法で治る程度ですし、問題はないでしょう。ライブまでには間に合うはずです。
vo_adv_5072004_109.m4a|これもいい機会でしょう。せっかくですし、ゆっくり体を休めてください。
vo_adv_5072004_111.m4a|残りの準備は、私とツムギでやっておきますから。
vo_adv_5072005_000.m4a|すみません、三曲目、ダンスの立ち位置をもう少し観客寄りにしたいのですが……
vo_adv_5072005_002.m4a|問題ありません。観客の方々に少しでも私たちを見てもらう方が重要です。危険性に関しては、私たちの鍛錬でフォローできますから。
vo_adv_5072005_008.m4a|伴奏の音量なのですが──
vo_adv_5072005_010.m4a|……少し、落ち着きましたね。
vo_adv_5072005_012.m4a|ノゾミはいつだってギリギリまでライブをいいものにしようと努力していましたからね。
vo_adv_5072005_013.m4a|スタッフの方々もそれが分かっているからこそ、最後まで妥協せずに準備を続けてくれているんです。
vo_adv_5072005_015.m4a|お疲れさまです{player}さん。あ、飲み物ですか？　いただきます。んっ……その、じっと見られていると、恥ずかしいのですが……
vo_adv_5072005_017.m4a|それで……ノゾミの様子はどうですか？……大人しくしている？　それはよかった。
vo_adv_5072005_019.m4a|そうだ、ツムギ、{player}さん。これから少し行きたいところがあるので、付き合ってもらえますか？
vo_adv_5072005_021.m4a|では、ついてきてください。
vo_adv_5072005_024.m4a|なまじ一人でなんでもできる分、突っ走ってしまうんですよね。
vo_adv_5072005_026.m4a|なんか……不安になりますね。
vo_adv_5072005_029.m4a|私たちは、ノゾミにとって必要ないのかもしれない──
vo_adv_5072005_050.m4a|……ノゾミ……
vo_adv_5072005_052.m4a|ありがとうございます、{player}さん。ノゾミの気持ちを、伝えてくださって。
vo_adv_5072005_054.m4a|取り繕う意味があったのでしょうか……？
vo_adv_5072005_057.m4a|……薬草を採りに。
vo_adv_5072005_058.m4a|唱喚士はこれまで人々の平和を守るため、戦い続けてきました。魔物の毒に関する知識なども豊富なんですよ。
vo_adv_5072005_060.m4a|あのノゾミが、ライブ前にゆっくり休んでいるわけがないでしょう？
vo_adv_5072005_062.m4a|リーダーが無鉄砲だと、いろいろ苦労させられます。
vo_adv_5072005_064.m4a|毎回、ですよ。もう、いつものことです。
vo_adv_5072005_066.m4a|ええ……だからこそ、カルミナなんです。
vo_adv_5072005_068.m4a|一切、立ち止まったりなんてできませんからね。
vo_adv_5072005_069.m4a|ふふ。信頼がなければ、歌を合わせることなどできません。
vo_adv_5072005_077.m4a|──ノゾミ？
vo_adv_5072005_080.m4a|……はぁ。どうぞ、これを飲んでください。
vo_adv_5072005_084.m4a|ノゾミ、体の具合はどうですか？
vo_adv_5072005_086.m4a|良薬は苦いものです。そこだけは我慢してくださいね。
vo_adv_5072005_092.m4a|では、二度としませんか？
vo_adv_5072005_097.m4a|…………
vo_adv_5072005_102.m4a|……ふぅ。困ったリーダーですね。
vo_adv_5072005_105.m4a|でも、正直で、偽りがないのはあなたのいいところです。昔見たあの輝きは……今も、変わっていませんね、ノゾミ。
vo_adv_5072005_110.m4a|ふふっ、これだけ元気なら、もう一度リハーサルできそうですね。
vo_adv_5072005_112.m4a|どうせ、ゆっくり休んでなんていられないでしょう？
vo_adv_5072006_003.m4a|そうですね。元気になってなによりです。
vo_adv_5072006_009.m4a|行きましょう！
vo_adv_5072006_014.m4a|夏の日差しを浴び、広大な海に包まれながら──
vo_adv_5072006_020.m4a|ふふっ、これはまだまだ始まりですよ。
vo_adv_5072006_025.m4a|そうすれば私たちの歌もさらに大きく、みなさまの元へと届いてゆくでしょう……！
vo_adv_5072006_028.m4a|熱い応援、ありがとうございます。あなたに届くよう心を込めて歌います。この歌に込めた想い……どうか伝わりますように。
vo_adv_5072006_048.m4a|そうですね。あの時は、観客のみなさんとも協力して、魔物を撃退しましたよね。
vo_adv_5072006_049.m4a|ですが今回は、あの時とは規模が違います。観客を避難させるにもこの人数では、混乱に陥るだけでしょう。……どうしますか、ノゾミ。
vo_adv_5072006_055.m4a|ええ！
vo_adv_5072006_060.m4a|ふぅ……ふぅ……
vo_adv_5072006_063.m4a|ええ。出し尽くしました……
vo_adv_5072006_067.m4a|ええ。聞こえてきますね。私たちを呼ぶ声が。
vo_adv_5072006_069.m4a|ツムギ、よく聞き分けてますね？あれだけの歓声の中なのに。
vo_adv_5072007_028.m4a|ええ、そうですね。心が昂っている時にこそ、本心が出せます。
vo_adv_5072007_032.m4a|ふふっ、ツムギにしては素直ですね。
vo_adv_5072007_034.m4a|ふふっ。では次は私が。
vo_adv_5072007_035.m4a|ライブを行い、人々の前で歌うたび、自分の新たな表現の可能性を感じてきましたが……
vo_adv_5072007_036.m4a|今回は、自分だけではなく、ノゾミとツムギ、隣で声を合わせる仲間がいてこその、重なる音の力をより強く感じられました。
vo_adv_5072007_038.m4a|そこはリーダーらしく、決めてくださいね、ノゾミ。
vo_adv_5072007_049.m4a|ええ。前だけを見て突き進むのが、私たちカルミナのリーダーです。
vo_adv_5072007_053.m4a|決まっています。
vo_adv_5072101_001.m4a|カルミナファンのみなさん、いつも私たちを応援してくれてありがとうございます。
vo_adv_5072101_004.m4a|きっとみなさんに喜んでもらえると思います。ね、ツムギ？
vo_adv_5072101_010.m4a|少し、恥ずかしいのですが……夏のライブに相応しい、爽やかなものになればと思います。
vo_adv_5072203_000.m4a|魔物は片付きましたか……？
vo_adv_5072203_003.m4a|そのようですね……では、より歌と踊りに磨きをかけて、先へ進みましょう。
vo_adv_5072204_001.m4a|この重苦しい魔物たちの圧力を感じていれば、仕方がないことかもしれません。
vo_adv_5072301_001.m4a|戦闘の時でさえも笑顔で、ですか。ノゾミは本当に心の底からアイドルですね。
vo_adv_5072301_003.m4a|そう……その通りですね。では、ステージを見事盛り上げてみせましょう！
vo_adv_5072302_002.m4a|ええ、私の出番です。唱喚士の力、お見せします。
vo_adv_5072302_003.m4a|この歌声は人々を守るため、そして……楽しませるためのもの。邪魔するものには、容赦はしません！
