vo_adv_1067007_009.m4a|はいはーい！　入りたい人でーす！失礼しまーす！
vo_adv_2107010_087.m4a|──なるほどね。誰かを最初にプリンセスフォームにするときの、『心の手を伸ばすような感覚』がなくなってるワケか。ふむ……
vo_adv_2107010_088.m4a|……この前も、ちょっと言ったけど。キミのプリンセスナイトとしての力はすでに、アタシの想像を超えちゃってる。
vo_adv_2107010_089.m4a|だからこれは、推測でしかないけれど。とりあえず、そんなに心配しなくてもいいんじゃないかな。今は、力を溜めてる段階なんだと思うよ。
vo_adv_2107010_090.m4a|キミが今度は、どんな奇跡を見せてくれるか……正直言って、興味が尽きない。できればその瞬間に、立ち合いたいところだけど……
vo_adv_2107010_091.m4a|ちょっと野暮用でね。しばらく街を空けることになる。
vo_adv_2107010_092.m4a|うん、ありがと……って言いたいところだけど。そうもいかないかな。【レイジ・レギオン】の連中から、わざと狙われるつもりだから。
vo_adv_2107010_093.m4a|もちろん、リスクはあるよ。でも、それくらいどうってことないほどの価値があるんだよ。少年の、『平穏な日常』ってやつにはさ。
vo_adv_2107010_094.m4a|ああ、キミが気にする必要はないよ。連中は、アタシを釣り出すためにキミを狙ってるみたいだし。
vo_adv_2107010_095.m4a|さらに言うなら。そもそもキミを巻き込んじゃったのは……アタシだからさ。
vo_adv_2107010_096.m4a|もちろん──ちょっと囮役を買って出たくらいじゃ、罪滅ぼしにもならないって、わかってる。ただの自己満足さ、こんなのは。
vo_adv_2107010_099.m4a|こんばんは、コッコロちゃん。
vo_adv_2107010_101.m4a|あーゴメンゴメン。アタシ、そろそろ行かなきゃだからさ。気持ちだけいただいておこうかな。
vo_adv_2107010_103.m4a|……コッコロちゃん。少年のこと、よろしくね。
vo_adv_2107010_105.m4a|うん♪それじゃあね〜……
vo_adv_2107010_106.m4a|んっ？
vo_adv_2107010_107.m4a|…………
vo_adv_2107010_108.m4a|……あはは。力になろうとしたつもりなのに、励まされちゃったね。
vo_adv_2107010_109.m4a|これはお姉さん、頑張らなくっちゃな……
vo_adv_2107010_110.m4a|よーしっ、やるぞー！
vo_adv_2111099_000.m4a|……ってわけでね。いろいろ込み入った相談がしたいから、ちょっと少年たちにはエリザベスパークにまで足を延ばしてもらえたらうれしいなって。
vo_adv_2111099_001.m4a|アタシがオブジェクト変更で空間をゆがめて、地下道を作るから。そこを通れば敵にはバレないし、ショートカットになるよ。ラジラジの空間跳躍ほどじゃないけどね。
vo_adv_2111099_002.m4a|それじゃ、待ってるよー
vo_adv_2112001_065.m4a|……あはは。ごめんね～、ちゃんと扉は直しておくから。
vo_adv_2112001_067.m4a|うん、オイッス。みんな、よく来てくれたね。
vo_adv_2112001_068.m4a|どうにか無事みたいで、本当に安心したよ。とりあえず──
vo_adv_2112001_070.m4a|あっと、ごめんごめん。それじゃお願いね。
vo_adv_2112001_078.m4a|……ふふっ。さて、と。
vo_adv_2112002_000.m4a|……みんな、ごめんね。
vo_adv_2112002_003.m4a|だって……その、さ。アタシは……
vo_adv_2112002_004.m4a|キミたちが、一番危険だったときに。キミたちを、助けに行けなかった。
vo_adv_2112002_005.m4a|……いや、行かなかった。そういう選択をしてしまったから。
vo_adv_2112002_021.m4a|水くさいって言いたくなる気持ちはわかるけど。シズルちゃんとリノちゃんには、大事な任務があったからね。
vo_adv_2112002_031.m4a|うん。ま、そういうことになるかな。
vo_adv_2112002_033.m4a|……いい機会だし。情報交換も兼ねて、ちょっと話を整理しようか。
vo_adv_2112002_037.m4a|そうだね。この世界の住人である以上、無関係でいられる人は一人もいない。これはそういう類の話だ。
vo_adv_2112002_041.m4a|いやいや。真那と戦ってなかったら、アタシだってまだきちんと思い出せていなかったと思うし。自分の正体とかさ。
vo_adv_2112002_042.m4a|それにまだ、解かなきゃいけない謎はたくさん残ってる。……彼女の安全装置が働かなかったこととか……
vo_adv_2112002_049.m4a|そうらしいね。たしかにアタシたちは、世界を創り出した知識と経験を持っている。でもそれは、マストで要るってワケじゃない。
vo_adv_2112002_050.m4a|何せすでに、『創られた世界』っていう解答は足元にあるわけだし。そこから帰納的に考えれば、創る方法だって推測可能なはずだ。全員捕まえなくても、素材さえあれば十分快適な世界ができると思う。
vo_adv_2112002_054.m4a|まあもちろん、向こうさんとしても記憶を取り戻しつつあるアタシたちを野放しにはできなかったんだろうけど。
vo_adv_2112002_055.m4a|だって、世界の創造者……いや。『レジェンドオブアストルム』開発者であるアタシたちが記憶を取り戻したら。
vo_adv_2112002_056.m4a|まず真っ先に考えることは、歪んだ世界を元に戻すこと。プレイヤーの皆を、『現実』の側に帰すことだからさ。
vo_adv_2112002_065.m4a|そうだね。実感はまだないかもしれないけど、ここはかりそめの世界だから。まずは、正常な状態に戻さなくっちゃ。
vo_adv_2112002_067.m4a|色々調べたんだけど。この世界から脱出できない理由──『ミネルヴァの懲役』を解決するためには、二つの課題がある。
vo_adv_2112002_069.m4a|そもそも以前のアストルムには、プレイヤーが『元の世界に戻れる』安全なコマンド──魔法みたいなものがあったんだ。でもその魔法が、『再構築』で無くなっちゃった。だから、それを戻す。
vo_adv_2112002_070.m4a|言うなれば世界の書き換え、アップデートだね。そのためにソルの塔のコントロール室、つまり頂上に行ってちょっとした工事をしなくちゃいけない。
vo_adv_2112002_072.m4a|いやいや。塔の中はつよ～い魔物だらけだし、最上階への扉は塞がってるから、簡単じゃないんだよね。
vo_adv_2112002_074.m4a|うん、それと……プレイヤーアバターが『脱出コマンド』を使えるようにするために世界中のみんなに、それぞれ個別パッチを当てる。
vo_adv_2112002_077.m4a|あっ、ごめん。えっと、わかりやすく言うと……予防接種みたいなものかな。
vo_adv_2112002_084.m4a|うーん。みんなの協力があれば、なんとかなるかなって。今のところ、７割くらいは終わってるから。
vo_adv_2112002_086.m4a|それに何も、皮下注射だけが予防接種ってわけじゃない。効果があるなら、経口投与でもいいわけだ。つまり、お薬だね。
vo_adv_2112002_090.m4a|うん、そうさせてもらったよ。
vo_adv_2112002_092.m4a|みんなに食べてもらってるクレープ。それが薬であり、『個別パッチ』なんだ。
vo_adv_2112003_001.m4a|うん。実はね。
vo_adv_2112003_003.m4a|うん。ひょっとしなくてもね。
vo_adv_2112003_006.m4a|もちろん。さっき言った、課題の一つめ──ソルの塔のほうも攻略しないかぎり、あのクレープは何の効果もないよ。
vo_adv_2112003_011.m4a|…………
vo_adv_2112003_013.m4a|うん。もちろん、そうに決まってるでしょ。
vo_adv_2112003_014.m4a|いや～。二人が手伝ってくれて、ほんとに助かったよ。アタシのレシピをちゃんと守ってたし、用意した材料もそのまま使ってくれたみたいだしね。
vo_adv_2112003_017.m4a|アタシも色々考えたんだけどさ。薬や注射は、たとえ王家の命令だとしても警戒されそうだし。一人一人に無理やり魔法をかけていくとかも、時間かかりそうだし。
vo_adv_2112003_018.m4a|それなら。明るく楽しく、美味しいものを食べてたらいつの間にか嵐が去っている……そんなふうにできれば、一番いいと思ったんだよね。
vo_adv_2112003_025.m4a|うん。食べてもらってない人は、世界中にたくさんいるし。リノちゃんとシズルちゃんには、まだまだクレープ販売を手伝ってもらわないと。
vo_adv_2112003_028.m4a|もちろん♪牛乳に卵にチーズ、どっさりお願いね。
vo_adv_2112003_037.m4a|うーん。さっきも言ったけど、課題は二つあってさ。少年たちには、クレープじゃなくてそっちをお願いしたいんだよね～
vo_adv_2112003_039.m4a|覚えてくれてるかな？　少年。ソルの塔の、頂上へ続く門を開くために必要なのは……
vo_adv_2112003_040.m4a|そっ。新たな冒険への階、世界と世界を繋ぐモノ、困難と試練への報酬──ソルオーブ。
vo_adv_2112003_041.m4a|あれって、実は『長老』のお手製でね。アタシでも、レプリカを作ったりすることはできないんだ。
vo_adv_2112003_049.m4a|じゃ、これであと２個だね。
vo_adv_2112003_052.m4a|旅の途中で、一つ見つけてさ。一応、残り二つも目星はつけてたんだけど片方は困ったことに、誰かが持ち去った後で……
vo_adv_2112003_054.m4a|うん。この世界の『歪み』の解決に、大きく前進するね。
vo_adv_2112003_059.m4a|んっ？
vo_adv_2112003_061.m4a|あはは。たしかに、ちょっと大変だったけど。でも、少年たちも大変だったんだもん。これくらいはしないとね～
vo_adv_2112003_065.m4a|……うーん。それは、買いかぶりすぎってものだよ。
vo_adv_2112003_066.m4a|アタシ一人にできることには、やっぱり限界があるからね。それから……
vo_adv_2112003_069.m4a|それから。アタシはいつだって、少年の味方で。力になりたいと、思ってるんだ。心からね。
vo_adv_2112003_079.m4a|それができたら良いんだけどねぇ。……でも、リスクが高すぎる。何の犠牲も払わずに、どうにかできる相手じゃない……
vo_adv_2112003_080.m4a|犠牲っていうのは、つまり。誰かの命を捨てさせるってことだ。
vo_adv_2112003_082.m4a|でもまあ、最終的にはエリスたちとの対決は避けられないと思う。けどその前に、こうしてやれることはやっておかないと。リノちゃん、こういうのってなんて言うんだっけ。
vo_adv_2112003_087.m4a|『勝兵は先ず勝ちて而る後に戦いを求め、敗兵は先ず戦いて而る後に勝ちを求む』とも言うね。つまり、今は勝つための準備段階ってことだよ。
vo_adv_2112003_088.m4a|……現状、ロストしたらどうなるかわからないしね。アタシだけじゃなく、みんなも。
vo_adv_2112003_090.m4a|それじゃあ……話がまとまったところで、今日はそろそろ休もうか。英気を養うのも、大事な戦いだよ。
vo_adv_2112004_063.m4a|……んっ？
vo_adv_2112004_064.m4a|コッコロちゃん、どうしたの。少年たちは？
vo_adv_2112004_066.m4a|そうだね。コッコロちゃんも、しっかり休んだほうがいいよ。それとも、眠れないのかな？
vo_adv_2112004_070.m4a|……というと？
vo_adv_2112004_076.m4a|……いや、すごいね。カスミちゃんの推理は、正解だ。
vo_adv_2112004_079.m4a|一応言っておくけれど。こっちの情報を流しているのは、彼女自身の意志ってわけじゃない。条件もあるみたいだ。
vo_adv_2112004_080.m4a|彼女の精神が、赤ちゃんみたいになっちゃってるときか。あるいは……普段は休眠しているエリスが、覚醒状態にあるとき。
vo_adv_2112004_081.m4a|……シェフィちゃんは、エリスの『端末』として機能する。真那が魔物やシャドウを、自身の『目』にしてたみたいに……ね。
vo_adv_2112004_083.m4a|今は、とりあえず大丈夫だよ。シェフィちゃんは、とても深い眠りについている。……ちょっとだけ、枕に細工をさせてもらったからね。
vo_adv_2112004_085.m4a|うん。シェフィちゃんが意識を無くしてたからってのはある。アタシの居所がバレるのは時間の問題だとしても、こっちの手の内は、まだ向こうに明かしたくなかったからね。
vo_adv_2112004_087.m4a|……とりあえずは。この話は、アタシとコッコロちゃんの中で納めておこう。みんなには、それとなく口止めをしておくから。
vo_adv_2112004_088.m4a|魔力を遮断する結界を作ったりして、その内側にシェフィちゃんを閉じ込めておくっていう手も、ないわけじゃないけど。それは……
vo_adv_2112004_090.m4a|そうだね。あくまでも、それは最後の手段にしよう。
vo_adv_2112004_091.m4a|だから今は、この秘密を共有するコッコロちゃんだけに次の目的地を教えておくよ。
vo_adv_2112004_093.m4a|ソルオーブは、残り二つ。片方は行方知れずだけど、もう片方は、在り処も持ち主もわかってる。
vo_adv_2112004_095.m4a|その在り処は──キミの故郷。エルフの隠れ里。そして、持ち主は……
vo_adv_2112005_027.m4a|犠牲っていうのは、つまり。誰かの命を捨てさせるってことだ。
vo_adv_2112005_041.m4a|やーれやれ。
vo_adv_2112005_042.m4a|こんなに早く、やさを押さえられちゃうなんて。情報が漏れてるとか以前の問題だね、こりゃ。
vo_adv_2112005_043.m4a|魔力はたくさん使わされちゃったし。少年のほうもトラブってるみたいだし。身体がいくつあっても足りないって感じだな～
vo_adv_2112005_044.m4a|……ねっ、二人もそう思わない？
vo_adv_2112005_047.m4a|やっ、ネネカ。クリスも、久しぶり。
vo_adv_2112005_051.m4a|うーん。ネネカとクリスの二人がかりじゃ、小手先のごまかしも意味がないからね。
vo_adv_2112005_052.m4a|現に牧場の周りに仕掛けておいたトラップは、あっさり破られちゃったみたいだし。
vo_adv_2112005_055.m4a|っ……！
vo_adv_2112005_057.m4a|いやぁ、それでもかなり痛かったよ～ひどいなぁ、クリス。
vo_adv_2112005_060.m4a|ったくもう。仮面越しでも、キミが笑顔なのが伝わってくるよ。……
vo_adv_2112005_061.m4a|誓約女君相手に、正面切っての白兵戦なんて無茶もいいところだ。なんとかしてお引き取り願うか、こっちからお暇したいところだけど──
vo_adv_2112005_063.m4a|！
vo_adv_2112005_065.m4a|……変貌大妃が後詰だもん。やっぱりそうなるよね～
vo_adv_2112005_069.m4a|…………
vo_adv_2112005_072.m4a|前衛にクリス。後衛にネネカ。七冠一人だけでもとんでもなく厄介なのに、それが二人も。
vo_adv_2112005_073.m4a|洗脳魔法にかけられているんじゃ、同士討ちを狙うのも難しいだろう。この先のことを考えたら、魔力を使い果たしちゃうわけにもいかないし。
vo_adv_2112005_074.m4a|しかも、少年のほうも……
vo_adv_2112006_022.m4a|──くぅっ……！
vo_adv_2112006_026.m4a|ホントにね……！ちょっとくらい、手を抜いてくれたっていいんだよっ……！？
vo_adv_2112006_029.m4a|あはは。ゲーム開発者としては、楽しんでもらえるのはいつだってうれしいけど──っと！　あっぶな～
vo_adv_2112006_030.m4a|でもさークリス。キミ、ほんとに操られてるの？なんだかいつも通りって感じじゃない？
vo_adv_2112006_033.m4a|まっ、キミたちを操り人形にするなんて、ミソラはもちろんあのエリスにだって簡単じゃないだろうし。自我は残っちゃったカンジなのかなっ、っと──
vo_adv_2112006_034.m4a|……どこか、かなり遠い場所に洗脳魔法の装置を隠して。しかも、こっちに発生源を辿らせないようにジャミングまでしてる……いやあ、とんでもないなぁ。
vo_adv_2112006_035.m4a|ちゃんと準備すれば、魔力の流れを断つ罠とかも仕掛けられそうだけど──
vo_adv_2112006_037.m4a|わわっと……！
vo_adv_2112006_038.m4a|も～そんな仮面してるのに、ネネカは目端が利くんだから～
vo_adv_2112006_040.m4a|いや～、それはちょっと。ほら、アタシじゃネネカほどは、似合わないと思うしさ？
vo_adv_2112006_042.m4a|あの仮面は魔力の予備タンクかな。装置が壊れちゃったとしても、しばらくは洗脳が解けないと。ったくもう、周到なことで──
vo_adv_2112006_043.m4a|──っ！！
vo_adv_2112006_044.m4a|斬られたっ？今の、どこから……！
vo_adv_2112006_047.m4a|クリスティーナ……！
vo_adv_2112006_050.m4a|剣の軌道が、いきなり『発生』して……っ！
vo_adv_2112006_051.m4a|くぅうっ……！！！
vo_adv_2112006_054.m4a|あいったたたぁ……もちょっと加減してほしいなあ～
vo_adv_2112006_055.m4a|反則じゃない？『絶対攻撃』の演算で、採用しなかったはずの剣の軌道を実体化させるなんて……
vo_adv_2112006_056.m4a|──いや。『振らなかった剣の、当たり判定』を出すなんてさ。
vo_adv_2112006_059.m4a|……！そうか。クリス……
vo_adv_2112006_060.m4a|現実側の記憶が、戻ったんだね。洗脳か、それに抵抗しようとした事か、どちらかがトリガーになって。
vo_adv_2112006_064.m4a|嫌悪どころか、ちゃんとリカバリーしようとするはずだよねえ。『レジェンドオブアストルム』の開発中も、クリスのトラブル解決能力はすごーく頼りになったから。
vo_adv_2112006_068.m4a|いやいや、そんなことは──
vo_adv_2112006_070.m4a|っ……！！
vo_adv_2112006_074.m4a|──……
vo_adv_2112006_075.m4a|しょうがない、か。クリスやネネカ相手に、この手を使うつもりはなかったんだけど……このまま、終わるわけにもいかないし……
vo_adv_2112006_077.m4a|えっ！？リノちゃんっ？
vo_adv_2112006_080.m4a|シズルちゃんも……ずいぶん早起きだね。簡単には目が覚めないくらい、ぐっすりだったと思うんだけどなぁ。
vo_adv_2112006_084.m4a|……あはは。みんなには、かなり無茶させちゃってたから。今日くらいちゃんと休んでもらいたかったんだけど……
vo_adv_2112006_086.m4a|……そうだね。そうかもね。
vo_adv_2112006_087.m4a|それじゃあ。ここからは、いつものアタシらしくしちゃおうかな。
vo_adv_2112006_089.m4a|じゃっ。あとはよろしく、二人ともー
vo_adv_2112007_030.m4a|いーや。いま少年たちがお喋りしてたのは、たしかに本物のミネルヴァだったよ。
vo_adv_2112007_031.m4a|……正確には。『エリスによってエミュレートされたミネルヴァ』だけどね。
vo_adv_2112007_033.m4a|要するに。『ミネルヴァの容姿と性格』で、『エリスの願望』を口にしていたってことさ。
vo_adv_2112007_039.m4a|だから、ミネルヴァが力を貸してくれるって言いたいのかな。それはさすがにミスリードってやつじゃない？
vo_adv_2112007_041.m4a|だってさぁ。キミの『懲役』の終わらせ方って、この世界を破壊し尽くすことでしょう？
vo_adv_2112007_042.m4a|そうでもしないと、キミは彼と結ばれないからね。今のアストルムは『草野優衣ちゃんの願いが叶った世界』で。ミネルヴァと一つになったキミは、その世界の運営装置なわけだから。
vo_adv_2112007_043.m4a|──でも。七冠が作り上げた超AIは。コッコロちゃんが情緒を育て上げたあの子は。
vo_adv_2112007_044.m4a|世界の破滅なんかを、望んだりはしないはずだ。
vo_adv_2112007_046.m4a|にしても──
vo_adv_2112007_047.m4a|やー、まさかね。ミネルヴァが、キミに取り込まれてたなんて。エリス。
vo_adv_2112007_048.m4a|アタシやネネカが一生懸命ミネルヴァを捜しても、そりゃあ見つからないはずだよねー
vo_adv_2112007_052.m4a|……ま、確信を持ったのはキミが少年たちの前に現れた時だけどね。そんなとんでもない力を持ってる理由としちゃ、ミネルヴァを支配下に置いているからとしか考えられない。
vo_adv_2112007_054.m4a|大丈夫。あっちだって、今は本調子じゃない。そもそもホントなら、少年かユイちゃんが『願いを叶えられなくなる』かぎり出てこれないんだもんね。
vo_adv_2112007_055.m4a|特に、夢の中じゃそんなにすごい手出しはできない。わざわざミネルヴァをエミュレートしてたことが、その証拠だよ。
vo_adv_2112007_058.m4a|そりゃあ、力比べならアタシのほうが不利だけど。少なくとも、少年の精神を持ってかれちゃうのは防いであげられるし。それにー？
vo_adv_2112007_059.m4a|喧しいなんて、褒めてもらったし。もっともーっとうるさくしちゃおっかな。
vo_adv_2112007_061.m4a|──ミネルヴァ！聞こえてる！？
vo_adv_2112007_062.m4a|アタシだ、模索路晶だよ！やっと見つけたよ、久しぶり！
vo_adv_2112007_064.m4a|いいかいミネルヴァ！　心を強く持つんだ！たとえ人工の存在だったとしても！そんなことは関係ない！
vo_adv_2112007_065.m4a|なぜならキミには、コッコロちゃんから教わった聡明さがあって！【トゥインクルウィッシュ】から学んだ優しさがあって！{player}が示したあきらめの悪さを、覚えているはずだよ！
vo_adv_2112007_066.m4a|キミが培った心を、無駄にしないためにも！キミはそんなところで、エリスに取り込まれている場合じゃない！
vo_adv_2112007_067.m4a|アタシや少年たちと一緒に、『懲役』を終わらせよう！いいね、ミネルヴァ！
vo_adv_2112007_070.m4a|なーに。ダメ元だろうがなんだろうが、患者に声を掛けるのは医者の基本中の基本だからね。
vo_adv_2112007_071.m4a|それに、アタシはミネルヴァを信じてる。キミの内側で、彼女はきっと聞いている。アタシの、そして、少年の心の声をね。
vo_adv_2112007_073.m4a|言葉の力をあまく見ない方がいいよ、『エリスさま』。なにせこの世界は、人類最強の道具──言語でできてるものなんだから。
vo_adv_2112007_076.m4a|エリス。それは、キミが草野優衣ちゃんの……
vo_adv_2112007_080.m4a|──！
vo_adv_2112009_010.m4a|っ！！
vo_adv_2112009_013.m4a|…………
vo_adv_2112009_055.m4a|もちろん。だってこの『レジェンドオブアストルム』は、どんな姿になったって──アタシたちの創作物だからね。
vo_adv_2112009_057.m4a|一度追い返されたくらいで、少年を諦めると思ったら困っちゃうなー……でも……
vo_adv_2112009_058.m4a|う～ん、痛たたた……一日に二度も、自分の中を『縫う』ことになるなんて。誰かさん、ぜんぜん手加減してくれないんだもんなー
vo_adv_2112009_078.m4a|さーて。どうするのかな、『エリスさま』。リセット覚悟で、もう一戦交えてみる？
vo_adv_2112010_076.m4a|──違うよ。
vo_adv_2112010_079.m4a|シェフィちゃんは──
vo_adv_2112099_001.m4a|いいっていいって。アタシもエリスに集中しすぎて、ちょっと油断してたし。
vo_adv_2112099_007.m4a|シェフィちゃん……
vo_adv_2112099_008.m4a|……ちゃんと時間をかけて、キミのアバターを解析すれば。ひょっとしたら修正する手段を、見つけてあげられるかもしれない。けれど……
vo_adv_2112099_012.m4a|…………
vo_adv_2112099_014.m4a|……行くの？
vo_adv_2112099_017.m4a|…………
vo_adv_2113001_025.m4a|シェフィちゃんは……もう、戻らない。彼女のことは、忘れてあげて。
vo_adv_2113001_026.m4a|「捜さないでほしい」、というのが……彼女からの、伝言だよ。キミたちにとっても、すごくつらいと思うけど……
vo_adv_2113001_028.m4a|……ごめん。でもどうやら、シェフィちゃんの場合……洗脳魔法よりも厄介で。今のアタシじゃ、処置してあげるだけのリソースが足りないんだよね。
vo_adv_2113001_035.m4a|コッコロちゃんを、責めないであげて。アタシたちが確信に至ったのは、ついさっきのことだし……それに……仲間を疑うのがどれほどつらいことか、わかるでしょ。
vo_adv_2113001_037.m4a|相手も結構、周到でさ。シェフィちゃん自身だって、気づいてなかったんだ。エリスに意志を奪われて、アタシに攻撃を仕掛けるまでは……ね……
vo_adv_2113001_039.m4a|いや……うん。やっぱり、きつかったな～……みんな、手加減してくれないんだもん。……あはは……
vo_adv_5084661_000.m4a|寂しいものだね。少年のいない世界というのは。少しだけ……キミと出逢う前を思い出してしまうよ。
vo_adv_5084661_001.m4a|……感傷的になってる場合じゃないんだろうけど。アタシの中の、少年の存在の大きさがそれを許してくれないみたいだ。
vo_adv_5084661_002.m4a|……キミはここに還ってこようとがんばってるんだよね。なら、アタシも手を尽くして、できることをしなくちゃいけない。思い当たるふしはあるんだ……アタシの全てを賭けて助けてみせる。
vo_adv_5084661_003.m4a|きっと、キミなら乗り越えられるはずだ。これまでそうであったように、ね。……面倒ばかりかけて、本当にすまない。
vo_adv_5085002_066.m4a|──向こうで、戦っているのかもしれないね。
vo_adv_5085002_069.m4a|やっ。久しぶりだね。
vo_adv_5085002_071.m4a|本当はクレープの配達に来ました、とか、もっと気軽に来たいところではあるんだけどね。
vo_adv_5085002_073.m4a|まぁそう急かさないでよ、ゆっくり話そう。こっちとしても、不調を抱えててね。そうしてもらえると助かる。
vo_adv_5085002_075.m4a|そうだね、そこから説明しよう。
vo_adv_5085002_076.m4a|まずは、これを見てもらおうかな。
vo_adv_5085002_079.m4a|これは、少年を修復……いや、治療しようとした結果だよ。
vo_adv_5085002_081.m4a|ああ、キミたちが彼の役割を分担して走り回ってる間にちょっとね。簡単に直せるものならよかったんだけど、どうやらそうもいかないみたいでさ。
vo_adv_5085002_083.m4a|少年は今──
vo_adv_5085002_085.m4a|コッコロちゃんは分かってると思うけど、彼の精神は今……夢の中にある。
vo_adv_5085002_087.m4a|そのはず、だったんだけどね。どうやら彼の精神を隔離する際に、予期しない何かが起きたみたいだ。
vo_adv_5085002_088.m4a|今、少年の精神はアタシや、夢を作り出したフィオでさえもとらえきれない場所にある。
vo_adv_5085002_089.m4a|彼の中にある無数の記憶の欠片が、滅茶苦茶に組み合わさった世界に。
vo_adv_5085002_091.m4a|プリンセスナイトの力を一度回収しようともしてみたんだけどね。逆に弾かれて、この有様さ。こうなったら、時間をかけて少しずつ解析していくしかない。
vo_adv_5085002_094.m4a|それができればよかったんだけどね。さっきも言った通り、彼の精神のある場所がとらえられないのさ。
vo_adv_5085002_095.m4a|それに……向こうが今どうなってるかは分からないけど、キミたちを送ることが逆効果になるかもしれない。最悪、キミたちに深刻な危害が及ぶ可能性も十分にある。
vo_adv_5085002_097.m4a|そういうことになる──
vo_adv_5085002_106.m4a|……いい覚悟だ。起きている事態を最も波立たない形で収めようとするのは、大人の悪い癖かな。……はは、思い知らされるね。
vo_adv_5085002_107.m4a|じゃあ、キャルちゃん。キミに一つ、頼もうかな。
vo_adv_5085002_109.m4a|さっきも言った通りアタシには今、少年の精神がどこにあるのかとらえきれていない。フィオとも連絡が取れないしね。手を打とうにも情報が足りない。
vo_adv_5085002_110.m4a|そこで……会ってきてほしいんだ。この世界のあらゆる事象を見通す権能をもったヤツに──
vo_adv_5085002_131.m4a|……無理言って悪いね。どう考えたって王宮内外誰一人納得させられないだろうから、力を借りることになっちゃったけど。
vo_adv_5085002_134.m4a|ひどいなー、人が何か企んでるみたいに。いや、今回の事に関しては、正直アタシも困ってたんだよ。
vo_adv_5085002_135.m4a|彼がああなってしまったのは、アタシが彼の進化を見誤ってしまっていたところにある。本当に……人の可能性は、予測できるものじゃないね。
vo_adv_5085002_137.m4a|……そうだね。
vo_adv_5085005_031.m4a|──みんな、そうみたいだよ。
vo_adv_5085005_087.m4a|……まったく真那のやつ、無茶な手を打つなぁ。
vo_adv_5085005_089.m4a|いいや。これはそう『単純な罠』じゃないよ。
vo_adv_5085005_090.m4a|このソルの塔は色々と、不安定な状態でね。彼が今いる世界に干渉するなら、ここが一番いいんだ。
vo_adv_5085005_091.m4a|ただ、不安定なものにさらに負荷をかけるってやり方は、真那らしいというか、アタシじゃ選ばないやり方だ。それで予期せぬことが起きたら……それこそ、取り返しがつかない。
vo_adv_5085005_093.m4a|真那の気持ちがどうかは知らないけどさ。少なくとも、キミの願いに背くことはしてないんじゃないかな。
vo_adv_5085005_095.m4a|まぁ使った手は一番最後の最後に破れかぶれで選ぶような、乱暴極まりないものだけどね。半分、いや９割はいやがらせかな～ってアタシ的には思うところだけど。
vo_adv_5085005_096.m4a|だけどほら、感じるかな。真那のプリンセスナイトの力による負荷の増大。そして彼のために集まってきたみんなの決死の戦い。
vo_adv_5085005_097.m4a|それらが今、閉じた向こう側に干渉しようとしている。あと一歩、あと一手が必要だ。
vo_adv_5085005_099.m4a|──繋ぐのさ。届けてあげてほしい、キミの思いを。閉じた向こうの世界へと。
vo_adv_5085005_106.m4a|繋がった……！
vo_adv_5085005_111.m4a|隔離していた力があふれだしている……！まずいね、これじゃ全員、思うように動けない……！
vo_adv_5085005_117.m4a|ふふ……すごいね。これだけの力を、受け止めるなんて……！だったらアタシも、気合を入れようかな……！
vo_adv_5085005_121.m4a|世界よ、変われ──！
vo_adv_5085005_133.m4a|暴走した力の奔流が、写し身となって主のところに帰ろうとしているんだね。興味深い、って言いたいところだけど……
vo_adv_5085005_134.m4a|空間を占めるあの球体……あれが『彼の力』かな。今にも破裂しそうな風船のようにも見えるし、噴火寸前のマグマのようでもある……凄まじいね。
vo_adv_5085005_135.m4a|あれだけの力を受け入れるには、まだ早い。過ぎた力によって身を滅ぼすことも、大切にしている誰かの身を滅ぼすことも……アタシがさせない。
vo_adv_5085005_138.m4a|ペコリーヌちゃん、キャルちゃん。アタシやキミたちのこの姿は、少年の力をより強く受け入れてしまった結果だよ。
vo_adv_5085005_139.m4a|今はここに集まってくれたみんなのおかげで、力を安定させられてはいるけど、それも長くはもたないだろう。
vo_adv_5085005_142.m4a|……うん。少年、どうすればいいか分かってるね？
vo_adv_5085005_148.m4a|アタシは外に漏れだした力の安定と、空間の修復にとりかかるから、あとはみんな……任せたよ。
vo_adv_5085005_155.m4a|うん、暴走していた力は収束した。これでもう大丈夫だよ。
vo_adv_5085005_163.m4a|うれしそう、か……アレは少年の『強さを求める願い』から生まれたものだ。
vo_adv_5085005_164.m4a|それが満足し、喜んでいたのだとしたら……少年、キミはちゃんと手に入れた……ううん、持っていたってことだ。……求めたものを。
vo_adv_5085005_165.m4a|おっと……少し派手にやりすぎたね。空間が消えちゃいそうだ。
vo_adv_5085005_167.m4a|ここに集まってくれたみんなー！みんなで勝利の喜びをわかち合いたいのはやまやまだけど、宴会できるほど時間はないみたいだ！
vo_adv_5085005_168.m4a|悪いけど、強制的に追い出させてもらうよ！
vo_adv_5085005_170.m4a|無理やり押しかけてきたアタシたちとは違って、少年たちは別ルートからだからね。少しばかり時間にズレは出るかもしれない。
vo_adv_5085005_171.m4a|慌ただしくて悪いけど、使った手が手だからね。復旧を急がないと、後が大変だ。
vo_adv_5085006_027.m4a|──そうだね。今回起きた全ての問題は片付いた。
