vo_adv_1067001_000.m4a|……？
vo_adv_1067005_046.m4a|さっきのボスなんてNPCだし、次があればどうせまたみんなリスポーンするのにね……
vo_adv_1067005_048.m4a|……へぇ～、これが認識阻害……意地悪なことするなぁ～☆
vo_adv_1067005_050.m4a|まあいいや。こほん、というわけであなたたちは、今日から私の部下です♪　組織は解体。幹部以外はみ～んな下っ端からやり直してもらいま～す☆
vo_adv_1067005_051.m4a|ああそれと、あなたたちが捕まえてるドラゴン族の子は、そのままでいいよ。処遇は私が決めるから♪
vo_adv_1067005_053.m4a|ん～？　どうしたの～？
vo_adv_1067005_055.m4a|そっか～。教えてくれてありがとう～☆そっちはお金でなんとかするから大丈夫♪
vo_adv_1067005_057.m4a|うん。これからよろしくね～♪
vo_adv_1067005_058.m4a|……ファミリーのみんな、また驚くだろうな～♪それに、また一人で組織を潰しに行っちゃったって、怒られるの間違いなしだ☆
vo_adv_1067005_059.m4a|ふふっ……♪
vo_adv_1067005_060.m4a|さてとっ、カヤちゃんとイノリちゃん……今回はどうやって仲間になってもらおうかな～♪
vo_adv_1067006_000.m4a|いらっしゃ～い♪今日は来てくれてありがと～
vo_adv_1067006_001.m4a|喉乾いてない？はい、どうぞ～。口の中がすっきりする飲み物だよ。
vo_adv_1067006_002.m4a|飲み終わるまでの間に、君に頼みたいお仕事について説明するね。
vo_adv_1067006_003.m4a|今日はここにある絵の、下塗りをお願いしたいの。一枚ずつ塗ってほしい色の指定があるから、間違えないように☆
vo_adv_1067006_004.m4a|塗り漏らしがないように丁寧に塗ってね。全部終わったら、私が戻ってくるまで待っててくれるかな？
vo_adv_1067006_005.m4a|君には色々とお仕事をお願いしてきたけど、覇瞳皇帝を倒したり、エルピス島を行き来したりするよりは、楽なお仕事でしょ？
vo_adv_1067006_006.m4a|やっぱりそう思ってたの？残念～……なのかな、この場合って。
vo_adv_1067006_007.m4a|私は奥の部屋でちょっとやることがあるから、後はよろしくね～☆
vo_adv_1067006_008.m4a|あ、そうだ。間違ってもイノリちゃんみたいに、壺は壊さないように♪
vo_adv_1067006_009.m4a|……
vo_adv_1067006_010.m4a|タイムラーベ、起動。
vo_adv_1067006_012.m4a|タイムゲート、オープン。ゲート内の時間経過はこっちと同期しておいて。
vo_adv_1067006_014.m4a|……考え事をするなら、やっぱりここだね♪特定範囲の時空間における全データを元に、変化した事象の検証を開始して。
vo_adv_1067006_016.m4a|時間は覇瞳皇帝が倒された日から今日まで。空間は、アストライア大陸全土でお願い。
vo_adv_1067006_019.m4a|結果が出るまで暇になっちゃった～……今度は落書きセットでも持ち込もうっと。
vo_adv_1067006_020.m4a|暴走してたのを停止させるためとはいえ、バラバラになるくらい壊しちゃったのを頑張って修復したんだから、こんな時くらいはしっかり働いてね☆
vo_adv_1067006_021.m4a|アップデートで色々と手を入れた今のバージョンのシステムなら、こうして機能を限定利用すれば、暴走する危険もなくなった……負荷をかけない分、演算処理に時間が必要なのは要改善だ♪
vo_adv_1067006_023.m4a|……！
vo_adv_1067006_026.m4a|後で見るから、データは保存で。そっか～。ということはあっちの本拠地は、エルピス島か、それ以外……
vo_adv_1067006_027.m4a|おまけに距離を考慮しなくていい移動手段がありそうだね。仕掛けてくるとしたら、意外と早いのかも？
vo_adv_1067006_028.m4a|こっちの流してる噂にも勘づいてる節があるし、そろそろ対策を考えておかないとだめっぽい。
vo_adv_1067006_029.m4a|せっかくあの子とまた仲良くなれたのにすぐこれだ……今のうちに、できるだけのことはしておこうっと。
vo_adv_1067006_030.m4a|タイムラーベ、終了。データを映写魔法の式に変換しておいて。
vo_adv_1067006_032.m4a|さて……お仕事は順調かな～？
vo_adv_1067006_033.m4a|ただいま～☆上手に塗り塗りできましたか～？
vo_adv_1067006_034.m4a|わぁ～！　ばっちりキレイに塗れてるね～☆細かいところもはみ出してないし、これなら文句なし！
vo_adv_1067006_035.m4a|はいこれ、お仕事の報酬♪でも今回はすっごく頑張ってくれたし、報酬以外にもご褒美をあげちゃおうっと☆
vo_adv_1067006_036.m4a|いいからいいから！疲れたでしょ？　お礼に肩揉んであげる☆
vo_adv_1067006_037.m4a|人の好意は素直に受け取ること。分かった？あれ？　私の好意が受け取れないのって、ひょっとして嫌われちゃってる……？
vo_adv_1067006_038.m4a|……そうじゃないよね～？
vo_adv_1067006_039.m4a|……そうそう、こういう時は大人しく施されちゃえばいいの♪
vo_adv_1067006_040.m4a|むむむ……なにこれ～、ガチガチだ～♪君、自分の体のことちゃんと労わってる？
vo_adv_1067006_041.m4a|いっつも無茶ばっかりしてるから、ダメージが体に蓄積しちゃってるよ？
vo_adv_1067006_042.m4a|よろしい。よく謝れました♪こういうのは隠しパラメータみたいなものだから、自分じゃ気づけない人も多いけど、君はもう覚えたでしょ？
vo_adv_1067006_043.m4a|こうして背中をほぐすだけでもかなり違うはず……これでよし♪　まだ若いから軽くで十分だね。
vo_adv_1067006_044.m4a|どうかな？　体が軽くなった感じがしない？
vo_adv_1067006_045.m4a|そうでしょ～？　時々でいいから、今みたいにマッサージを受けて体の調子を整えるように☆ただでさえ君は、他の人より頑張りすぎちゃうしね。
vo_adv_1067006_046.m4a|よ～し、それじゃあ次はお買い物に行こっか♪何か欲しいものはない？
vo_adv_1067006_047.m4a|何もしてない、なんて言うつもり？残念、それくらいはお見通しだよ～♪
vo_adv_1067006_048.m4a|君にはカヤちゃんやイノリちゃんもお世話になってるし、お仕事をお願いするだけじゃお礼としては足りてないって、いつも思ってるの。
vo_adv_1067006_049.m4a|ちょうど私も買い物に行こうと思ってたし、荷物持ちをしてもらうお返しってことで、どうかな？
vo_adv_1067006_050.m4a|それなら君も後ろめたさは感じないでしょ？
vo_adv_1067006_051.m4a|ううん、気にしないで。私が君に色々してあげたいって勝手に思ってるだけだから。
vo_adv_1067006_052.m4a|今日は何を買おう……？魔道具の材料も欲しいのがあったし、画材も切れてるのがあったっけ。それとあとは～……
vo_adv_1067006_053.m4a|そんなことないってば～！ひどいこと言うなぁ、もう～……
vo_adv_1067006_054.m4a|私はただ、君とお買い物がしたかっただけ♪
vo_adv_1067006_055.m4a|……もしかして、信じてもらえてない？悲しいな～。本当のこと言ったのに～……
vo_adv_1067006_056.m4a|あ、新しい製造元の絵の具だ～☆緑と青……影用の紫も結構使っちゃってるし、試しに買っちゃお～っと。
vo_adv_1067006_057.m4a|えっとね～、黒だけど黒じゃないよ。言っちゃえば影の色は、絵においては黒じゃなくてもいいの。描くものをどんな色にするかは、描く人の自由だよ。
vo_adv_1067006_058.m4a|でもそうだな……人の目に見える影って確かに黒っぽいけど、黒にしないほうがいいこともあるんだよ？
vo_adv_1067006_059.m4a|たとえば床の上を歩く時、足が着くところに影ができるよね？じゃあ足を上げた時にできる影って、真っ黒に見える？足を上げてみて？
vo_adv_1067006_060.m4a|君の足の影と、床の色が混じってるように見えない？こんなふうに影の色って、影ができる場所で変えていいんだ。
vo_adv_1067006_061.m4a|むしろその方が自然に見えることもあるから、もし自分で絵を描く時があったらそう塗ってみて。影のできかたによって色を使い分けるのも面白いよ～♪
vo_adv_1067006_062.m4a|以上、ホマレさんのお絵描きトークでした～☆君も欲しいものがないか探してきたら？
vo_adv_1067006_063.m4a|おお～！　そうきたか～☆じゃあ初心者用のセットと、おすすめの教本もつけてあげる♪
vo_adv_1067006_064.m4a|絵が描けるときっと色んな場面で助かるよ～逃げた人を見つける時の人相書きにも使えるし、私みたいに暗号を仕込んだりもできちゃうからね～……☆
vo_adv_1067006_065.m4a|……ふふっ、そんな用途じゃ使わないよ～って顔してるな～♪
vo_adv_1067006_066.m4a|荷物持ってくれてありがと～！お絵描きセットと教本、大事にしてもらえるとうれしいな♪
vo_adv_1067006_067.m4a|あとは何をしてあげられるだろ～……君が手伝ってほしいことって、何かある？
vo_adv_1067006_068.m4a|課題！　懐かしい響き～♪そっか。君ってルーセント学院に通ってるんだよね？何の課題？　体育以外なら協力してあげられるよ～
vo_adv_1067006_069.m4a|今日だけこのホマレ先生が、君の特別家庭教師に就任しま～す♪　体育はだめでも、保健体育なら満点とらせてあげる☆
vo_adv_1067006_070.m4a|どんな課題なのかな～？　私にも見せてみて♪ギルドハウスに置いてるの？ここで待ってるから、取ってきていいよ。
vo_adv_1067006_071.m4a|ふ～む、どれどれ～……？ああ～、なるほど～☆
vo_adv_1067006_072.m4a|この計算式の問題は、まずこういう公式を習ったよね？たとえばこういう問題があったとしたら、その時はこれを応用すればよくて、こっちはこうする……分かった？
vo_adv_1067006_073.m4a|そうそう！　考え方はそれであってるよ☆あとは同じやり方でこの問題から解いてみよっか。
vo_adv_1067006_074.m4a|……全問正解～♪　課題無事終わり～！人に物を教えるのって、ものすごく楽しいね～！
vo_adv_1067006_075.m4a|ちょっと頭がスッキリする感じ。自分で何かをやってる時とは違うところを使ってる感覚なのかな？
vo_adv_1067006_076.m4a|君に色々してあげられたし、今日はもう大満足だ～♪君もそうだとうれしいな～……
vo_adv_1067006_077.m4a|……一つ聞いてもいい？君はこの先、どうしたいの？
vo_adv_1067006_078.m4a|今日より後のこと。……私はただ君と、カヤちゃんとイノリちゃん……それにファミリーのみんなと、この間違った世界を正したい。
vo_adv_1067006_079.m4a|全部が終わったあとは、毎日をただ楽しく過ごせたら、それでいいって思ってる。
vo_adv_1067006_080.m4a|君には悪いことをたくさん覚えてもらって、ファミリーの幹部になってもらわないといけないし☆
vo_adv_1067006_081.m4a|……でもきっとそうはならないし、どこかの誰かさんがそうさせてくれない。
vo_adv_1067006_082.m4a|私もやることがあるから基本は傍観してるけど、君に対してつまらないことを考える相手が現れたら、その時は一緒に頑張ろうかな～……♪
vo_adv_1067006_083.m4a|君は一人で背負うには大変な運命を背負ってる。でもそれを私にどうにかすることはできない。
vo_adv_1067006_084.m4a|君が君らしく、君のままで頑張って。そんな君を見てるのが、今の私にとっては一番楽しいの♪
vo_adv_1067006_085.m4a|世界がどんなに狂っても、君の希望も絶望も……何もかも全て、私が見てるから……☆
vo_adv_1067006_086.m4a|……という冗談でした～♪今日は長い時間ありがとう。お仕事がある時はまた連絡するから、無視しないでね？
vo_adv_1067006_087.m4a|ばいば～い☆
vo_adv_1067006_088.m4a|……
vo_adv_1067006_089.m4a|……よ～し、転移魔法の妨害術式、そろそろ完成させないと……♪
vo_adv_1067007_000.m4a|どちらさまですか～？
vo_adv_1067007_002.m4a|は～い、間に合ってま～す！
vo_adv_1067007_004.m4a|そんなに食べてほしいなら、鍵を開けて入ってきたらいいのに～
vo_adv_1067007_007.m4a|もう、しょうがないなぁ～……
vo_adv_1067007_008.m4a|鍵は開けたから、入りたい人だけ入って～☆
vo_adv_1067007_010.m4a|うわぁ～、わざとらしい～☆それで？　用件はなにかな、クレープ屋さん？
vo_adv_1067007_012.m4a|ありがと～♪あとでみんなに分けさせてもらうね。
vo_adv_1067007_014.m4a|ふふっ、あの迷宮女王が私を訪ねてきた理由がまさか本当にクレープのためってことはないよね～？
vo_adv_1067007_017.m4a|──模索路晶。またの名を迷宮女王。ああ、そっか。こっちではラビリスタって呼んだほうがいい？
vo_adv_1067007_019.m4a|ふ～ん……それで？七冠がわざわざ私に会いに来てくれるなんて、何事なの～？気になっちゃうな～☆
vo_adv_1067007_021.m4a|ああ～！　あの人たちのこと？
vo_adv_1067007_023.m4a|残念ながら門前払いで～す☆
vo_adv_1067007_025.m4a|そうなんだ～。跳躍王が行方不明になっちゃったら、たしかに行動を起こさないとだよね～☆
vo_adv_1067007_031.m4a|……う～ん、どうしよっかな～？正直に言っちゃうと、乗り気にはなれないな。
vo_adv_1067007_032.m4a|何度か戦ったけど、あの人たちはもういいかなって。今はその後ろにいる本命……諸悪の根源とどう戦うかが大事だし。
vo_adv_1067007_033.m4a|大事の前の小事って言葉があるけど、今の王女さまたちやユイちゃんたちがいれば大丈夫じゃないかな？
vo_adv_1067007_036.m4a|……
vo_adv_1067007_037.m4a|ふふっ、あははっ♪あの七冠に頭を下げられちゃった～☆
vo_adv_1067007_038.m4a|でもさ～……とっくに壊れてるよ、この世界。歪んでて、偽りだらけ……あなたは当然、分かってるよね☆
vo_adv_1067007_039.m4a|これまでに色んな遺跡や場所を調べてきたけど、データの構造がどこもぐちゃぐちゃだった。
vo_adv_1067007_040.m4a|でもエルピス島なんかには、確かに残ってた。ぐちゃぐちゃにした犯人の痕跡が。
vo_adv_1067007_041.m4a|あれは犯人以外だと、私と覇瞳皇帝……そして、オブジェクトの情報を感知できるあなたにしか分からない。
vo_adv_1067007_042.m4a|今この世界では、そういう新たに生成されたオブジェクトや、元からあった物質に起きてる変化が読み取りやすくなってる。
vo_adv_1067007_043.m4a|そういう痕跡から得た情報を元にして、ユイちゃんに目星をつけてたんだけど……空振りでした～☆
vo_adv_1067007_044.m4a|一応【レイジ・レギオン】のメンバーとも接触してみたけど、ただの駒に過ぎなかった。
vo_adv_1067007_045.m4a|懲役が始まってからわざわざこっちに乗り込んできたのに、大した情報も与えられてない、かわいそうな人たち……
vo_adv_1067007_046.m4a|さっきも言ったけど、私の本命は彼らのスポンサーとてつもない力を持ってるヤツが、まだ後ろに隠れてる。
vo_adv_1067007_047.m4a|そっちとやり合うのに力は温存しておきたいから、申し訳ないけど、協力は難しいの。
vo_adv_1067007_051.m4a|せいか～い♪　たしかにクライアントよりは、協力関係のほうが表現として正確だ～
vo_adv_1067007_052.m4a|ただ別に、その人のためだけに動いてるわけじゃないの。あくまでも、お互いの目的のため。その条件が成り立ってる間は、あの人が私にしてほしいことをやってあげる。
vo_adv_1067007_054.m4a|あるよ～？　私はこのゲームを、思いっきり楽しみたいの♪
vo_adv_1067007_056.m4a|うん、それだけ♪
vo_adv_1067007_057.m4a|今のアストルムは何者かに仕組まれた、新しいゲームそのもの……私はそれを、とことん遊び尽くしたい。
vo_adv_1067007_058.m4a|ここまで壊れちゃってるゲームも、これはこれで楽しいし、命を懸けてもいいって思ってる♪
vo_adv_1067007_059.m4a|でもカヤちゃんとイノリちゃん……それに他のプレイヤーのみんなも、そんなものを遊ばされてるとは思ってない。
vo_adv_1067007_060.m4a|子どもがやる劇みたいに、全員が眠り姫♪誰もが微睡みの中で、偽りを生かされてる。
vo_adv_1067007_061.m4a|そういう人たちには、別の生き方を選ぶ権利があるはずじゃない？だって「これは」人類が生きる人生じゃなくて、元はゲームなんだから。
vo_adv_1067007_062.m4a|ゲームに命を、人生を懸けるって決めた人ならともかく、そうじゃない人たちと遊ぶのは、さすがに気が引けちゃうよ。
vo_adv_1067007_063.m4a|これがゲームだって分かっても、それでもまだ命を懸けられる相手とだけ楽しみたいな～♪たとえば～……七冠とかね☆
vo_adv_1067007_065.m4a|やった～、褒められちゃった～♪『死を忘れるな』ね……ご忠告ありがと〜でもラテン語なら「カルペ・ディエム」が好きだな☆
vo_adv_1067007_068.m4a|う～ん、どうしよっかな～……
vo_adv_1067007_069.m4a|なんちゃって☆は～い、協力しちゃいま～す♪
vo_adv_1067007_071.m4a|あんなふうに褒めてくれた人のお願いなら、聞かないわけにはいかないよ～☆
vo_adv_1067007_073.m4a|それに……こっちを選んだ方が楽しそう♪
vo_adv_1067007_074.m4a|しかも他ならぬ『模索路さん』から頼まれたことだし、断りたい理由より、引き受けたい気持ちが勝っちゃった♪
vo_adv_1067007_077.m4a|え～っと、どうだったかな～？
vo_adv_1067007_079.m4a|元からそうだったでしょ？
vo_adv_1067007_081.m4a|うん、こちらこそ♪
vo_adv_1067007_082.m4a|……見～つけた♪
vo_adv_1067007_083.m4a|もしも～し。こちらホマレで～す♪模索路さんいますか～？
vo_adv_1067007_085.m4a|残念だけど、それはまた今度で。ランドソルにお客様で～す♪
vo_adv_1067007_087.m4a|表向きは一番大事なところを預けてもらっちゃったし、それなりに頑張らないといけないよね……♪
vo_adv_1067007_088.m4a|よ～し、いいとこ見せちゃお～っと☆
vo_adv_1067007_089.m4a|本日のメインディッシュは、豚の丸焼きで～す♪
vo_adv_1067007_090.m4a|ちょっと～、君たちは焼いても食べられないんですけど～？
vo_adv_1067007_091.m4a|そこまで低スペックだと、自分たちが出る幕じゃないってことも分かんないか～……
vo_adv_1067007_092.m4a|しょうがない。それじゃあ学習できるまで、殺し尽くしてあげる♪
vo_adv_1067007_093.m4a|【レイジ・レギオン】が使い物にならなくなれば、その時は必ずくる……
vo_adv_1067007_094.m4a|早く会いたいな～、諸悪の根源さん……♪
vo_adv_1067008_000.m4a|……無事でよかった。
vo_adv_1067008_001.m4a|こんなに傷だらけになって……君も急いで逃げればよかったのに。
vo_adv_1067008_002.m4a|でもそんなところが、君のいいところだもんね……私はそうは思わないんだけどな。
vo_adv_1067008_003.m4a|だって君は、こんなにボロボロになって、傷ついてる……
vo_adv_1067008_004.m4a|……今日は私から君に、とっておきのプレゼント♪
vo_adv_1067008_005.m4a|君と私のつながりを深～く、つなぎなおしてあげる……♪
vo_adv_1067008_054.m4a|はい、お疲れさま～☆
vo_adv_1067008_055.m4a|君が今見てたのは夢みたいなもの……じゃなくて、私の記憶を元に再現した映像だよ♪
vo_adv_1067008_056.m4a|ほとんどは目覚めたら忘れちゃうと思うし、今はあんまり気にしなくてもいいよ。
vo_adv_1067008_057.m4a|……って言っても、眠ってる君には届かない言葉なのかな？
vo_adv_1067008_058.m4a|あ～あ、本当はこんなふうに漫画を一緒に作ったり、買い物したり、ゲームしたり……色んなことを君としたいのにな～
vo_adv_1067008_059.m4a|状況が許してくれないよね～……あ～あ、つまんないな～
vo_adv_1067008_060.m4a|いつか必ず、もっと楽しいことしちゃおうね……♪
vo_adv_1067008_061.m4a|んん……
vo_adv_1067008_062.m4a|ふわぁ～……そっか～、こういう仕組みなんだ～♪
vo_adv_1067008_063.m4a|……夢の中ではあんなこと言ってたけど、君は君の思う通りに頑張って。
vo_adv_1067008_064.m4a|はぁ～、なんだかんだで私って、君にはつい甘くなっちゃってるな～……
vo_adv_1067008_065.m4a|君の見せてくれる景色が面白いから？それとも～……なんだろうね？　分かんないや☆
vo_adv_1067008_066.m4a|あのエリスとかっていうのと、正面からやり合ってもいいって思えるような勝ち目を見つけて……また一緒に戦えるのを楽しみにしてるね。
vo_adv_1067008_067.m4a|それまでに、たくさん辛いことが待ってるかもしれない……だとしても、君ならきっと大丈夫……頑張って。
vo_adv_1067008_068.m4a|またね……♪
vo_adv_1165003_029.m4a|イノリちゃーん。早くこっちへおいでよ～
vo_adv_1165003_031.m4a|それで、何か用事でもあるのかな？
vo_adv_1165003_033.m4a|あたしたちのシマ？　ああ、子供たちが集まっている場所だよね。あの土地は売却することになったんだよ～
vo_adv_1165003_036.m4a|ごめんね、全部奪うことになるかな。ただ分かってほしいのは、うちもギリギリの資金で回してる中、子供たちが増えたり、予定外の出費が重なったり、家計がピンチなの☆
vo_adv_1165003_038.m4a|みんなが大人になるまでの衣食住、もちろん病気になったら病院へ。それが面倒を引き受けた、ボスの責任なんだよ。だからその責任を果たすために、あの土地を売る必要があるんだ～
vo_adv_1165003_039.m4a|そういうわけで、みんなへの説明はイノリちゃんにお任せするね。頼んだよ、ビッグボス☆
vo_adv_1165003_067.m4a|すごいすごい☆　みんなで頑張ったんだね～でも、残念。全然足りないよ～
vo_adv_1165003_069.m4a|う～ん。それじゃイノリちゃん、こっちこっち♪
vo_adv_1165003_071.m4a|そうだよね。それじゃ、このお話はおしまいだね♪
vo_adv_1165003_074.m4a|話はもういいかな？これから会食の予定があって、出かけなくちゃいけないの～
vo_adv_1165003_077.m4a|イノリちゃんは、何が言いたいのかな？
vo_adv_1165003_080.m4a|つまり、イノリちゃんたちの未来に投資して、そこで回収できるって算段か～♪大きく出たね、イノリちゃん。
vo_adv_1165003_081.m4a|でも、回収できなかったらどうするのかなぁ〜？イノリちゃん、全部一人で、責任取れる？
vo_adv_1165003_084.m4a|連帯責任ってことかぁ〜。……うん、悪くないかな。それじゃ、賭けてみようか。イノリちゃんのがんばりに♪
vo_adv_1165003_085.m4a|イノリちゃん、良かったね。ついてきてくれる仲間がいて。みんなのこと、ちゃーんと守って、大切にしてあげるんだよ☆
vo_adv_1165003_087.m4a|ふふ♪　怒ったイノリちゃんって、ほんとかわいいんだから♪そういうわけで……{player}。あの子たちのこと、これからもよろしくね☆
vo_adv_1166001_009.m4a|待ってたよ～カヤちゃん。さっそくだけど、これを見て。
vo_adv_1166001_011.m4a|そう。前にカヤちゃんが着てたのを忠実に再現したんだ～♪どう？　なかなかいい出来でしょ？
vo_adv_1166001_013.m4a|それも悪くないけど～カヤちゃんにはこれを着て、特殊任務に就いてもらおうと思って☆
vo_adv_1166001_015.m4a|心外だな～。でも厄介なのは確かかな。たぶんカヤちゃんにしかできない、高難度任務だし……
vo_adv_1166001_017.m4a|そう。難しいけど、きっとたぎるような任務だよ～？でも嫌がるのを無理にやらせるのは良くないか……それじゃあ、イノリちゃんに任せちゃおうかな～
vo_adv_1166001_020.m4a|さっすが～！　助かるよ～♪　じゃあこの場所に潜入してくれる？先に仲間を送り込んでるから、カヤちゃんも到着次第現地で適宜対応してね。
vo_adv_1166001_023.m4a|ふふっ、がんばってね～☆
vo_adv_1166004_004.m4a|そうだね～これでうまく繋がりができれば大きな利益になったかもしれないと考えると痛手だよね～
vo_adv_1166004_005.m4a|でも、これまでカヤちゃんが頑張ってくれたからこそ、事業が軌道に乗ったし今も順調に続けていられる。本当に助かったよ～☆
vo_adv_1166004_007.m4a|今までごくろうさま。後はこっちに任せてね。
vo_adv_1166004_009.m4a|カヤちゃんがこの事業を軌道に乗せてくれること、そして大きな失敗を犯すこと、ぜーんぶ想定内だし☆だ・か・ら、いくらでも対処可能だよ～♪
vo_adv_1166004_010.m4a|もう後任は決めてあるし、次の大きなチャンスも動きだしてる。カヤちゃんは何も心配せず、今まで通り頑張ってね。喧嘩屋さん☆
vo_adv_2108004_153.m4a|──しょ・あ・く・の・こ・ん・げ・ん♪
vo_adv_2109005_030.m4a|ふふっ。お節介させてもらうね～、【王宮騎士団（NIGHTMARE）】さん♪
vo_adv_2109005_032.m4a|そ♪信じてくれていいよ～？【レイジ・レギオン】と戦う間は、あなたたちの背中を撃たないって♪
vo_adv_2109008_001.m4a|ふふっ。トラブルの元は、根っこから絶つのが一番だよ～シェフィちゃん♪
vo_adv_2109008_009.m4a|ん～素直に降参して、ウチのギルドに入ってくれれば良いんだけど……
vo_adv_2109008_011.m4a|ほらね？けんもほろろって感じだし。
vo_adv_2109008_012.m4a|そもそも、この人たちってテロリストだもん。返り討ちにされても、文句は言えないはずだよ～【王宮騎士団（NIGHTMARE）】のひとたちも、そう思うよねー？
vo_adv_2109008_047.m4a|うんうん♪たっくさん被害が出ちゃったし、許すわけにはいかないよねー？
vo_adv_2109008_080.m4a|あーあ。ほんとに、お姫様はお優しいんだねー
vo_adv_2109009_038.m4a|──ふふっ……
vo_adv_2109009_039.m4a|この世でたったひとつだけ……かぁ。つれないなぁ、せっかく出てきてくれたのに……♪……ふふっ。ふふふふふっ……♪
vo_adv_2109009_042.m4a|だって、ねえ？ようやくお目に掛かれたんだもん。
vo_adv_2109009_043.m4a|私がアストルムを続けてきた理由。この世界の──……
vo_adv_2109009_045.m4a|……ッ！！？
vo_adv_2109009_047.m4a|……っとと、危ない危ない♪用心してなかったら、今ので電子の藻屑だったよ～
vo_adv_2109009_048.m4a|まだ本調子じゃなさそうなのに、こっわいな～……それじゃあ……！
vo_adv_2109009_049.m4a|──こわいから、逃げちゃおーっと♪じゃあね～♪
vo_adv_2111001_033.m4a|七冠の一人──覇瞳皇帝がいなくなったことによる、世界への影響。それはキャルちゃんたちが考えているよりも、ず〜っと大きいよ。まるで世界に見えない穴が開いたみたいにね。
vo_adv_2111001_034.m4a|その穴に、落っこちちゃわないように……もっと気を配ったほうがいいと思うな♪
vo_adv_2113010_010.m4a|……ふふっ♪
vo_adv_2113010_011.m4a|ごめんなさいね？時間をくれて、どうもありがとう。『嚮導老君』。
vo_adv_2113010_013.m4a|──ふふ。お友だちだったのは、昔の話だよ～今のあの人とは、目的が違うし。何してるかも、『こっち』からはわかんないしね～
vo_adv_2113010_015.m4a|解体……トカゲの尻尾切りってことか～国連がやりそうなことだよね～それじゃもう、『あっち』じゃ後釜の新組織でもできてるころかな～？
vo_adv_2113010_017.m4a|Conservationじゃなくて、Supervisionかぁ～規制と放任は振り子みたいに揺れるものだけど。やっぱり外は、お寒い時代になっちゃいそうだね～
vo_adv_2113010_019.m4a|わ～、達観しちゃって～実際は、そこまで老け込む歳でもないくせに～
vo_adv_2113010_020.m4a|それともやっぱり、例のウワサはホントなのかな～？12年前のあなたが……
vo_adv_2113010_022.m4a|おっと、ふふっ♪そうでした～
vo_adv_2113010_023.m4a|用件はね～？ちょっとだけね～？あなたの力を貸してほしいかなーって。
vo_adv_2113010_024.m4a|あっ。何に使うか、聞いておきた～い？
vo_adv_2113010_026.m4a|や～だって～これでもゲーマーだし～？無理ゲーって、攻略したくなっちゃうよね～
vo_adv_2113010_027.m4a|ま、単純に『アレ』が気に食わないからっていうのもあるけど～♪
vo_adv_2113010_028.m4a|お礼は、うーん……コッコロちゃんの安全な帰還、とかはどーぉ？
vo_adv_2113010_030.m4a|あはっ☆そう言うと思った～……ふふっ。過保護なんだか、厳しいんだか～♪
vo_adv_2113010_033.m4a|へーぇ。さっき、『龍眼』で覗いちゃったけど……それ実現するのって、結構大変そう～
vo_adv_2113010_034.m4a|ヘタしたら、あっちの世界をまるっと敵に回しかねないんじゃな～い？
vo_adv_2113010_100.m4a|何か困りごとがあったら、いつでも私たちを頼ってきて。ギルド管理協会で私の名前を出せば、すぐ連絡がつくようにしておくから。
vo_adv_2114001_000.m4a|～♪
vo_adv_2114001_002.m4a|やっほ～シェフィちゃん♪どうぞどうぞ、開いてるよ～
vo_adv_2114001_004.m4a|うん♪立ち話もなんだし座って座って～はい、お茶とサンドイッチ♪
vo_adv_2114001_006.m4a|若いんだし、遠慮なんかしちゃダメだよ～食後にはアイスクリームもあるからね？
vo_adv_2114001_009.m4a|これくらいのおもてなし、驚くほどのことじゃないよ。だってシェフィちゃんが来るのは、私の能力で『見えてた』からね～♪
vo_adv_2114001_013.m4a|もちろん。【レイジ・レギオン】の戦いの後のこと──ICPOの豚さんがみんなを空間跳躍させるまでは、ぜ～んぶ『見させて』もらったから。
vo_adv_2114001_017.m4a|…………
vo_adv_2114001_020.m4a|気を使ってくれて、ありがとね。でも、変貌大妃とかと違って私はそんなに一生懸命に自分のことを隠してないから。もしバレちゃったとしても、シェフィちゃんは気にしなくっていいよ～
vo_adv_2114001_022.m4a|とりあえず、事情はだいたいわかったよ。シェフィちゃんは、どうすれば『端末』じゃなくなるのか知りたくて、私のところに来てくれたんだね～
vo_adv_2114001_025.m4a|ふふっ。迷惑なんて、そんなこと言わないよ。でも～？
vo_adv_2114001_026.m4a|カヤちゃんたちに、『裏のお仕事』を手伝ってもらってるみたいに。シェフィちゃんにも、私のお手伝いをしてもらうことになっちゃうけど……その覚悟、あるかな～？
vo_adv_2114001_028.m4a|ふふっ。それじゃあ──
vo_adv_2114001_029.m4a|う～ん♪けっこう器用だねシェフィちゃん☆次はここのカケアミお願いね～♪
vo_adv_2114001_032.m4a|や～だって。締め切り、もうすぐなんだもん～
vo_adv_2114001_033.m4a|{player}くんにもね、いつもこんなふうに手伝ってもらってるんだよ～
vo_adv_2114001_034.m4a|でも最近は、とっても忙しいみたいで。原稿が溜まっちゃってたんだ。私も彼が隣にいないと、なんだか筆が乗らなくって～
vo_adv_2114001_036.m4a|ふふっ、マジメなんだから～漫画は誰かを楽しませるものだし、どうせなら、お手伝いも楽しんでいってほしいなぁ。
vo_adv_2114001_038.m4a|……ねぇねぇ、シェフィちゃん。手を動かしたままでいいんだけど、ちょっと質問させてもらっちゃうね。
vo_adv_2114001_039.m4a|シェフィちゃんは──この世界のコト、どう思ってるのかなぁ？
vo_adv_2114001_043.m4a|うんうん、それから～？
