vo_adv_1171001_000.m4a|やっぱり住むなら、海辺のおうちだよねっ。
vo_adv_2112003_095.m4a|ああっ！コッコロちゃん、ずるい～！弟くんの隣は、私なんだから～っ！
vo_adv_2112006_079.m4a|マスター、無事っ！？
vo_adv_2112006_081.m4a|マスターがこっそり枕に細工してるの、気づいちゃったもん。いい加減、付き合いも結構長いしー？
vo_adv_2112006_085.m4a|もうっ、マスターらしくないよっ！いつもなら、勝手気ままにコキ使ってくるのに～！
vo_adv_2112006_090.m4a|ああーっ！？
vo_adv_2112006_095.m4a|ペコリーヌちゃん！みんなを起こしてきてくれたんだね！
vo_adv_2112006_114.m4a|そんなの、やってみなくちゃわかんないよっ！ねっリノちゃん！
vo_adv_2112008_028.m4a|簡単だよ。こういう時は頭をポカっとやって、しばらくお休みしてもらえばいいの。
vo_adv_2112008_032.m4a|やってみなくちゃわかんないよ！さっきも言ったけど！
vo_adv_2112008_054.m4a|──……
vo_adv_2112008_056.m4a|……へいきだよ、リノちゃん。私、こう見えて……すっごくすっごくすっごく怒ってるんだから。
vo_adv_2112008_057.m4a|だって……久しぶりに弟くんと水入らずで過ごせると思ったのに。一つ屋根の下で寝られるって思ったのに。こんな邪魔をして……
vo_adv_2112008_060.m4a|もし、疲れてる弟くんがゆっくり休めなかったらって思うと……なんだかもう、怒りと力がぐんぐん湧いてきて…………お姉ちゃんは……お姉ちゃんは……！
vo_adv_2112008_061.m4a|プッツーーーン！
vo_adv_2112008_062.m4a|怒りのスーパーお姉ちゃんモード！！だよっ！！
vo_adv_2112008_066.m4a|ご意見無用っ！てえええええいっ！！！
vo_adv_2112008_070.m4a|弟くんは！絶対渡さないんだから～～っ！！！
vo_adv_2112008_090.m4a|リノちゃん！変貌大妃を片っ端から撃って詠唱ジャマして！できる！？
vo_adv_2112008_105.m4a|何か、仕掛けてくるつもり！？やらせないよ！
vo_adv_2112008_107.m4a|うぁっ！？
vo_adv_2112009_066.m4a|そーそー！夢の中でも現実でも、弟くんの面倒はお姉ちゃんがぜーんぶ見てあげちゃうんだから！
vo_adv_2112010_043.m4a|エリスにやられて追い出されても私たちを連れて、またすぐ弟くんの夢の中に入っちゃうとか。ったく、マスターも無茶するんだからー
vo_adv_5070000_022.m4a|えぇ～～！？　そこから先が聞きたいのに！私の知らない弟く……じゃなかった。エリコちゃんの知り合いのお話！
vo_adv_5070000_025.m4a|ほんとっ！？それじゃあ、ついこの間の話を聞いてほしい……って！もう騙されないよ！
vo_adv_5070000_026.m4a|いっつも私ばっかり話して全然情報を引き出せない……じゃなかった。エリコちゃんのお話を聞かせてもらえてないんだから！
vo_adv_5070000_027.m4a|この……！
vo_adv_5070000_029.m4a|こんなところで会うなんて奇遇だね！
vo_adv_5070000_031.m4a|めずらしい？　何がかな？
vo_adv_5070000_034.m4a|そうそう！　別に私が知らないキミのお話を聞くためとか、キミの自慢話をするためとかじゃないからね！
vo_adv_5070000_037.m4a|配達のバイトかな？　お姉ちゃんも手伝うよ！
vo_adv_5070000_039.m4a|しばらく学校がお休みだから大量の荷物を持ち帰ってたんだね！
vo_adv_5070000_041.m4a|抜け駆けはズルいよエリコちゃん！
vo_adv_5070000_043.m4a|それは弟くんが決めることだよ！キミは私と楽しい夏を過ごしたいよね？　ね？弟くんの夏、お姉ちゃんの夏──だよ！
vo_adv_5070000_045.m4a|せっかくの夏休みだもんね。弟くんといろんなことしたいな～
vo_adv_5070000_047.m4a|ほかにもいろいろあるよね！お祭りとか、花火とか、おいしいものもたくさん食べたいなー！
vo_adv_5070000_049.m4a|そうそう！お姉ちゃんと遊びたいって言えば何も問題はないよ！
vo_adv_5070000_051.m4a|できる人とできない人がいるんだと思うよ？あっ！　もちろん弟くんにできないって言ってるわけじゃなくてね！
vo_adv_5070000_053.m4a|やらなきゃいけないことがあるときほど掃除がはかどったりするもんね。
vo_adv_5070000_055.m4a|あれれ～？なんだかエリコちゃんとお姉ちゃんの認識の違いを感じるぞ～
vo_adv_5070000_057.m4a|そこは全部にしてほしいところだけど、確かに弟くんを誘惑から守るのは大切だよね。
vo_adv_5070000_059.m4a|どれどれ～えっと……学習ドリルに自由研究、絵日記、朝顔の観察日記、貯金箱作り……
vo_adv_5070000_061.m4a|これを全部こなしながら夏を楽しむとなると、かなり計画的にやらなきゃダメだね。
vo_adv_5070000_066.m4a|さすがエリコちゃん！　考えることは同じだね！おはようからおやすみまで一緒にいれば問題解決だよ！
vo_adv_5070000_069.m4a|最高の夏休みを！
vo_adv_5070000_072.m4a|ふふっ、本当に考えてることが同じだったね。
vo_adv_5070000_074.m4a|だね、あはは！
vo_adv_5070001_001.m4a|うぅ……私が先に弟くんを楽しませたかったのに。
vo_adv_5070001_003.m4a|そうだった！はい、弟くんにプレゼント。受け取って♪
vo_adv_5070001_005.m4a|キミの最高の夏休みのために、昨日あの後エリコちゃんと二人で作ったんだ。
vo_adv_5070001_007.m4a|ほんとっ！？　よかったぁ。エリコちゃんと二人で一生懸命考えたんだよ。
vo_adv_5070001_014.m4a|せっかく海に来てるんだから、楽しまなきゃもったいないよ？
vo_adv_5070001_022.m4a|何かな、エリコちゃん。
vo_adv_5070001_024.m4a|そうだねぇ。振りかぶった拳がエリコちゃんに命中しちゃったねぇ。
vo_adv_5070001_027.m4a|やりすぎはダメだよ？　ほどほどにね。
vo_adv_5070001_032.m4a|忘れないで！　お姉ちゃんもいるよ！
vo_adv_5070001_035.m4a|なんでこの人あんなに怒ってたのかな？
vo_adv_5070001_039.m4a|さすが弟くん！　優しいね！もちろんお姉ちゃんも手を貸すよ！
vo_adv_5070001_044.m4a|それじゃあさっそく注文をさばいていっちゃおうか。お姉ちゃんは厨房に入るね。
vo_adv_5070001_047.m4a|あはは、店員らしくていい返事だね。
vo_adv_5070001_048.m4a|５番テーブル焼きそば上がったよ～！
vo_adv_5070001_055.m4a|あはは、さっきからガラの悪いお客さんがおとなしくなってるねぇ。
vo_adv_5070001_058.m4a|でも、エリコちゃんのおかげで家族連れの人たちもみんな楽しそうだよ！
vo_adv_5070001_060.m4a|命を賭けなきゃいけない敵が来たら、お姉ちゃんも助太刀するよ！
vo_adv_5070001_069.m4a|ちょっとエリコちゃん、そんなの聞いてないよ！私の弟くんに酷いことしないで！
vo_adv_5070001_073.m4a|ぬ～～っ、最初からそれが目的だったんだね。
vo_adv_5070001_077.m4a|ちょっと！　それじゃあギプスの意味ないじゃん！お姉ちゃんも弟くん支えたいよ！
vo_adv_5070001_079.m4a|ぬぬぬぬ……
vo_adv_5070001_081.m4a|エリコちゃん！あと少し弟くんが泳いだら交代して！
vo_adv_5070001_083.m4a|あと少しだよ！　本当にあと少しだからね！約束だよ！
vo_adv_5070001_086.m4a|お姉ちゃんパワーの勝利だね！
vo_adv_5070001_088.m4a|がんばって！　{player}くん！
vo_adv_5070001_091.m4a|たまに手と足が一緒に動いちゃってかわいいね！
vo_adv_5070001_093.m4a|すごくかわいかったよ！
vo_adv_5070001_097.m4a|私も手伝うよ！行こう、エリコちゃん。
vo_adv_5070001_098.m4a|スイカのセット完了、っと。
vo_adv_5070001_101.m4a|さすが{player}くん！バッチリだよ！
vo_adv_5070001_103.m4a|うんうん！　ほら、スイカもおいしそうだよ。最初の一口を召し上がれ。はい、あ～ん。
vo_adv_5070001_106.m4a|ゆっくり休んでね。明日はお姉ちゃんが弟くんの夏休みをプロデュースしちゃうからね！
vo_adv_5070001_108.m4a|またね！
vo_adv_5070002_000.m4a|おはようございま～す。お姉ちゃんだよ～
vo_adv_5070002_002.m4a|弟くんにラジオ体操に参加してもらうためだよ！夏休みは楽しむだけじゃなくて健康も大事にしないとね！
vo_adv_5070002_004.m4a|まぁまぁ、細かいことは気にせずさっそく行こうよ！
vo_adv_5070002_005.m4a|肩を大きく回しながら深呼吸～すぅ～はぁ～……はい、これで終わり。朝から体を動かすって気持ちいいね！
vo_adv_5070002_010.m4a|まぁまぁエリコちゃん。カブトムシは男の子のロマンだから仕方ないよ。
vo_adv_5070002_013.m4a|{player}くん、カブトムシ欲しいの？
vo_adv_5070002_014.m4a|それじゃあこれから捕まえに行こう！カブトムシ捕りも夏休みの定番だもんね！
vo_adv_5070002_017.m4a|え？　そうなの？それじゃあ道具を揃えて夜に行こう！一緒に最高のカブトムシを捕まえようね！
vo_adv_5070002_018.m4a|お姉ちゃんがバッチリプロデュースしちゃうから楽しみにしてて！
vo_adv_5070002_020.m4a|でしょでしょ！　きちんと調べてきたんだから。ただこの森、カブトムシ以外も出るって噂もあるんだけどね～
vo_adv_5070002_022.m4a|でもそういう噂があるなら人も来てないだろうし、たくさんカブトムシ捕まえられると思うんだよね。
vo_adv_5070002_023.m4a|たくさんのカブトムシを観察すれば自由研究の題材にもできるんじゃないかな？楽しんだ上に宿題も片づけられるよ！
vo_adv_5070002_025.m4a|弟くん！　そっちに行ったよ！
vo_adv_5070002_026.m4a|あ～逃げられちゃった！　でも惜しかったね。次はお姉ちゃんと一緒に網を振ろう。そうすればきっと捕まえられるよ！
vo_adv_5070002_027.m4a|ほら、こうやって柄を握……
vo_adv_5070002_029.m4a|なんで止めるのかな？私は弟くんがきちんと捕まえられるようにフォローしようとしてるだけだよ？
vo_adv_5070002_031.m4a|え～そんなことないよ～？
vo_adv_5070002_036.m4a|……え？　今女の人の笑い声が聞こえなかった？
vo_adv_5070002_038.m4a|そんなことないよ！　確かに聞こえたもん！
vo_adv_5070002_048.m4a|お姉ちゃんだよ！
vo_adv_5070002_051.m4a|妄言じゃないよ！　この上ない真実だよ！というか、この子たちはエリコちゃんの知り合い？
vo_adv_5070002_058.m4a|弟くんにカブトムシバトル用のカブトムシを捕まえてあげるためだよ！
vo_adv_5070002_061.m4a|だから妄言じゃ、もがっ。
vo_adv_5070002_066.m4a|あーその笑い声が聞こえてきてたんだね。私たちも一瞬幽霊が出たのかと思っちゃったよ。
vo_adv_5070002_073.m4a|他の虫はチラホラ掛かってるんだけどね～というか、さっきからエリコちゃんが一言も喋ってないんだけど、どうしたのかな？
vo_adv_5070002_080.m4a|だね！　弟くんを手ぶらで帰すわけにはいかないもん！
vo_adv_5070002_084.m4a|邪魔だよ！
vo_adv_5070002_087.m4a|これより強いカブトムシを捕まえられれば弟くんは無敵だよね！
vo_adv_5070002_092.m4a|ふ～……だいぶ奥まで来たね。
vo_adv_5070002_097.m4a|薬草？　何に使うの？
vo_adv_5070002_102.m4a|わ～～おっきなカブトムシだね～
vo_adv_5070002_106.m4a|このカブトムシなら負け知らずだね！飼いならすのは大変そうだけど、お姉ちゃん負けないよ！
vo_adv_5070002_110.m4a|う～ん、でも普通の網じゃ捕まえられないかな？
vo_adv_5070002_113.m4a|ふっふっふ。お姉ちゃんを甘く見てもらっちゃ困るよエリコちゃん。こんなこともあろうかと……
vo_adv_5070002_114.m4a|巨大虫とり網～～！
vo_adv_5070002_118.m4a|お姉ちゃんの巨大な愛の前にはあまりに無力だよ！
vo_adv_5070002_122.m4a|これで弟くんもカブトムシバトルができるね！
vo_adv_5070002_131.m4a|金色のカブトムシが鳴いてる……？
vo_adv_5070002_139.m4a|はぁ～～弟くんは本当に優しいね！うん！　逃がしてあげよう！
vo_adv_5070002_141.m4a|あ、でもそうなると自由研究の題材がなくなっちゃうな。親子一緒ならちょうどいい観察日記になったのに……
vo_adv_5070002_147.m4a|大丈夫だよエリコちゃん！私たちが代わりにカブトムシと戦えばいいんだよ！
vo_adv_5070002_151.m4a|夜更かししたら夏休みを楽しめないからね！それじゃあ、また明日！
vo_adv_5070003_001.m4a|活きがいい？　森？　狩って？嫌な予感しかしないけど……って！これ朝顔じゃなくて食虫植物だよ！
vo_adv_5070003_003.m4a|その時点で朝顔じゃないってわかってるよね？
vo_adv_5070003_005.m4a|そんな反応されたら何も言えなくなっちゃうじゃない！ずるいよエリコちゃん！
vo_adv_5070003_006.m4a|弟くん！　読書感想文用の本持ってきたよ！
vo_adv_5070003_008.m4a|私がこれまで弟くんについて書き溜めてたノートだよ！
vo_adv_5070003_010.m4a|あ～持ってかないで～！
vo_adv_5070003_012.m4a|さすが弟くん！　準備万端だね！よ～し！　お姉ちゃん心を込めて朗読しちゃうよ！
vo_adv_5070003_015.m4a|……！！　弟くんに読み聞かせてもらえるなんて最高だね！さすがエリコちゃん！
vo_adv_5070003_016.m4a|今日は貯金箱を作ろう！材料は紙粘土と絵の具だよ！
vo_adv_5070003_018.m4a|７分の１スケール弟くんだよ！
vo_adv_5070003_020.m4a|そんなことないよ！確かに箱じゃないけど、お金は貯まるよ！
vo_adv_5070003_023.m4a|弟くん！？
vo_adv_5070003_025.m4a|弟くん、今日まで宿題がんばってたよね。本当にすごいと思う。
vo_adv_5070003_027.m4a|だからね。弟くんにもう一度泳ぎの特訓をしてもらおうと思うんだ。
vo_adv_5070003_028.m4a|そんなことないよ！ちょっとは、ううん、かなり、いや、やっぱりちょっとは上手になってたと思うよ！
vo_adv_5070003_029.m4a|でももうちょっと上手になった方がいいんじゃないかな～って。本当にもうちょっと、もうちょっとだけね！
vo_adv_5070003_031.m4a|夏休みの間はルーセント学院のプールが市民プールになってるんだよ。よく知ってる場所なら弟くんも安心でしょ？
vo_adv_5070003_032.m4a|そんな不安そうな顔をしないで！私たちだって本当は弟くんとただただ楽しく夏休みを満喫したいんだから！
vo_adv_5070003_034.m4a|心を鬼にして特訓するよ！
vo_adv_5070003_037.m4a|覚悟はしてきたけど……うぅ……みんな楽しそうだよ……
vo_adv_5070003_041.m4a|もしかして弟くんのお友達かな？
vo_adv_5070003_044.m4a|他人じゃないよ！　お姉ちゃんだもん！
vo_adv_5070003_047.m4a|お姉ちゃんをよろしくね、スズナちゃん。
vo_adv_5070003_050.m4a|えっと～読書感想文と朝顔の観察日記と貯金箱作りは終わったよね？
vo_adv_5070003_081.m4a|……ハッ！出遅れちゃった！　待って待って！お姉ちゃんも今お手本見せるから～！
vo_adv_5070003_084.m4a|弟くん！　今お姉ちゃんが捕まりに行くね！
vo_adv_5070003_086.m4a|でも～～！
vo_adv_5070003_111.m4a|弟くんが手伝うならもちろん私たちも手伝うよ！
vo_adv_5070003_116.m4a|わ～花火だ～こんなところから見られるんだね。
vo_adv_5070003_128.m4a|エリコちゃん？　ボーっとしてどうしたの？
vo_adv_5070003_130.m4a|……？　そう？
vo_adv_5070003_134.m4a|弟くんと過ごすのが楽しすぎて忘れてたけど、確かにもうそろそろ……ううん！私たちのやることは変わらないよ、エリコちゃん！
vo_adv_5070004_001.m4a|なのにやりたいことはどんどん出てきちゃうし……
vo_adv_5070004_003.m4a|もう弟くんと会えない日なんて考えられないよ……
vo_adv_5070004_005.m4a|弟くんとずっと楽しい夏休みを過ごすには……
vo_adv_5070004_007.m4a|弟くんと終わらない夏休みを……ハッ！　その手があったね！
vo_adv_5070004_009.m4a|今日は弟くんに、
vo_adv_5070004_011.m4a|さぁ、エリコちゃん！あとは打ち合わせ通りに！
vo_adv_5070004_014.m4a|楽しみにしててね！
vo_adv_5070004_016.m4a|それじゃあ目隠しを外すね。いくよ～～～
vo_adv_5070004_017.m4a|じゃ～～ん！！
vo_adv_5070004_019.m4a|この島ではおはようからおやすみまでずっと一緒だよ！
vo_adv_5070004_021.m4a|でしょでしょ！弟くんに終わらない夏休みをお届けしちゃうからね！
vo_adv_5070004_023.m4a|エリコちゃん、すぐにご飯の準備だよ！
vo_adv_5070004_025.m4a|食材確保だよ！
vo_adv_5070004_027.m4a|きちんとレシピ本を読んだから大丈夫だよ。お肉がとってもおいしいんだって。
vo_adv_5070004_028.m4a|弟くん？　魔物を抱えてどこ行くの？
vo_adv_5070004_031.m4a|そうだったの！？ご、ごめんね。お姉ちゃんそこまで調べてなかったよ。
vo_adv_5070004_034.m4a|待ってエリコちゃん。逆に考えてみて。弟くんの手料理が食べられるんだよ？
vo_adv_5070004_036.m4a|こ、これが弟くんの手料理……
vo_adv_5070004_039.m4a|あむあむ……ん～～～～っ！すごくおいしい！
vo_adv_5070004_041.m4a|弟くんにおいしい料理を食べさせてもらったから何百倍にもしてお返ししないとね！
vo_adv_5070004_043.m4a|簡単には思いつかないよね……
vo_adv_5070004_045.m4a|愛の……
vo_adv_5070004_048.m4a|だよね！私たちはここで弟くんと暮らすんだもん！
vo_adv_5070004_050.m4a|私たちのおうちだよ！
vo_adv_5070004_053.m4a|そうと決まればやることは一つ！！
vo_adv_5070004_055.m4a|おかしいな～さっきから全然上手に切れないよ……
vo_adv_5070004_056.m4a|お、弟くん！？手を握ってくれるのはお姉ちゃんとってもうれしいんだけど、これじゃうまく斧が握れないよ！
vo_adv_5070004_057.m4a|でも、共同作業は素敵だね。お姉ちゃんがんばる！！
vo_adv_5070004_058.m4a|えいっ！
vo_adv_5070004_059.m4a|切れた！いつの間にこんなことできるようになってたの？
vo_adv_5070004_060.m4a|相変わらず弟くんにはいろんな知り合いがいるね。
vo_adv_5070004_061.m4a|……えっと、なんだかエリコちゃんの方も大変みたい。行ってあげて。お姉ちゃんは弟くんに教わったやり方でやってみるから。
vo_adv_5070004_070.m4a|ごめんね弟くん！もう夜なのに骨組みまでしか進められなくて！
vo_adv_5070004_074.m4a|焦る必要なんかないよね！それに、簡単にできちゃったらつまんないもん！
vo_adv_5070004_076.m4a|お姉ちゃんたちが準備するから弟くんは休んでて。
vo_adv_5070005_000.m4a|かんせ～い！！
vo_adv_5070005_002.m4a|愛だね！
vo_adv_5070005_004.m4a|うんうん。手抜きは許されないよね！
vo_adv_5070005_006.m4a|ごめんね、弟くん。
vo_adv_5070005_008.m4a|おうちも完成したし、もっと楽しくなるよ！
vo_adv_5070005_010.m4a|そうだ！　おうちの完成を祝ってパーティーしちゃおう！
vo_adv_5070005_012.m4a|ちょっと待っててね！
vo_adv_5070005_014.m4a|エリコちゃんこそ。私より立派じゃないかな？
vo_adv_5070005_017.m4a|私に任せて！お姉ちゃんチョ～～ップ！
vo_adv_5070005_020.m4a|最高のご馳走だよ！
vo_adv_5070005_021.m4a|お姉ちゃんからは海の底でたくさん採ったおっきな貝！！
vo_adv_5070005_023.m4a|あはは、さすがエリコちゃんだね。貝じゃイノシシには勝てないかなー
vo_adv_5070005_025.m4a|そういうエリコちゃんだって、まだ見せてないのがあるよね？
vo_adv_5070005_027.m4a|ちょっと待っててね、弟くん。
vo_adv_5070005_028.m4a|お姉ちゃんからは海で捕まえた超巨大ロブスター型の魔物だよ！！
vo_adv_5070005_030.m4a|最高の食材で最高のご馳走を作るからね！
vo_adv_5070005_033.m4a|召し上がれ！
vo_adv_5070005_035.m4a|やった！　やったよエリコちゃん！
vo_adv_5070005_037.m4a|私も私も！ほら、これ作るのすごくがんばったんだよ！あ～ん。
vo_adv_5070005_038.m4a|それは……
vo_adv_5070005_040.m4a|こんな幸せなことがあっていいのかな？　エリコちゃん！
vo_adv_5070005_042.m4a|生きてエリコちゃん！死んだらもうあ～んしてもらえないよ！
vo_adv_5070005_044.m4a|はぁ～、一口ごとにおたがい励まさなきゃ天国に行っちゃってたね。
vo_adv_5070005_046.m4a|私たちの目的はただ一つ。
vo_adv_5070005_049.m4a|それは……
vo_adv_5070005_052.m4a|弟くんに最高の夏休みをプレゼントしなきゃいけないのに、私がこんなんじゃダメだよね。
vo_adv_5070005_053.m4a|気持ちを切り替えて弟くんに最高の夏休みをプロデュースしてあげないと……
vo_adv_5070005_054.m4a|私たちの目的は弟くんに最高の夏休みをプロデュースすること。
vo_adv_5070005_056.m4a|あ、ごめんね弟くん。起こしちゃったかな？
vo_adv_5070005_058.m4a|おうちを壊したんだよ！
vo_adv_5070005_060.m4a|私たちが大好きな、いろんな弟くんを見せてくれる、みんなが居るランドソルに！
vo_adv_5070005_062.m4a|嘆いてる暇はないよエリコちゃん。スクラップ＆ビルドの精神だよ。
vo_adv_5070005_065.m4a|途中でサメの魔物に襲われたりしたけど、私たちの敵じゃなかったね。
vo_adv_5070005_067.m4a|だね！それじゃあさっそく弟くんの楽しい夏休みを再開しよう！
vo_adv_5070006_001.m4a|そんなこと言っちゃダメだよエリコちゃん！今やってるのはドリルだったよね？私たちが手伝えば間に合うよ！
vo_adv_5070006_003.m4a|うぅ～品行方正な弟くんですごくうれしいけど、でもお手伝いしたいよ。何かないのかな……
vo_adv_5070006_007.m4a|終わらせなければいいんだ……
vo_adv_5070006_009.m4a|やろう。
vo_adv_5070006_010.m4a|ううん、何でもない！それより私たちが居たら邪魔しちゃうよね。
vo_adv_5070006_012.m4a|じゃあね、弟くん。
vo_adv_5070006_013.m4a|覚悟はいいね、エリコちゃん。
vo_adv_5070006_018.m4a|お姉ちゃんはいつでも弟くんのことを想ってるからね……
vo_adv_5070006_022.m4a|私たちがいる限り夏休みは終わらない！！　終わらせない！！
vo_adv_5070006_026.m4a|私たちの要求はただ一つ。始業式を始めないこと！
vo_adv_5070006_041.m4a|お姉ちゃんチョ～～ップ！
vo_adv_5070006_054.m4a|今ので何人倒したかな？エリコちゃんは何人？
vo_adv_5070006_056.m4a|私も～でもちょっとしんどくなってきたかな？
vo_adv_5070006_058.m4a|ふふ、そう言えば私が張り合うって分かってるんでしょ？エリコちゃんほんとはやさしいもんね。
vo_adv_5070006_061.m4a|夏休みを終わらせないためだよ！！
vo_adv_5070006_064.m4a|この……！
vo_adv_5070006_067.m4a|弟くん！
vo_adv_5070006_070.m4a|無事に夏休み終了だね！
vo_adv_5070007_000.m4a|えっと、それじゃあただいまより宿題お疲れさまと……
vo_adv_5070007_014.m4a|せっかくだからってことで、今回のパーティーにも呼んだんだよ。
vo_adv_5070007_022.m4a|あはは、もちろん……って、ああ！？もうあっちお肉なくなりそう！補充しに行くよ、エリコちゃん。
vo_adv_5070007_034.m4a|見て。みんなすごく楽しそう。
vo_adv_5070007_036.m4a|おかげで私たちだけじゃ見られない弟くんの笑顔が見られてるよね。
vo_adv_5070007_038.m4a|嘆くことじゃないよ、エリコちゃん。まだまだたくさんの弟くんが見られるってことだからね！
vo_adv_5070007_040.m4a|これからもっともっといろんな弟くんを見てみたいな。
vo_adv_5070007_042.m4a|一番近くで見る弟くん！
vo_adv_5070007_044.m4a|たまには、ね。
vo_adv_5070007_046.m4a|呼ばれちゃったら仕方ないよね？
vo_adv_5070007_048.m4a|負けないよ！
vo_adv_5070101_000.m4a|弟くんの学校が夏休みだって！つまり！　弟くんとずっと一緒にいられる！楽しい！　最高！
vo_adv_5070101_001.m4a|な、はずなのに……
vo_adv_5070101_003.m4a|全部こなしながら夏を楽しむとなると、かなり計画的にやらなきゃダメだね。
vo_adv_5070101_008.m4a|最高の夏休みを！
vo_adv_5070203_001.m4a|でも弟くんの戦いは始まったばっかりなんだよね……私もまだまだ休んでられない！
vo_adv_5070204_001.m4a|真剣な顔の弟くんも素敵！
vo_adv_5070301_000.m4a|う～弟くんの宿題を手伝ってあげられないなんて辛すぎるよ！
vo_adv_5070302_000.m4a|弟くんの手が止まっちゃった……かなり難しい問題みたいだね……
vo_adv_5070302_002.m4a|宿題は手伝えなくても、集中させてあげることはできるよ。
vo_adv_5070308_001.m4a|弟くんの成長を間近で見られるなんて……こんなに幸せなことはないよ……
vo_adv_5070308_003.m4a|その気持ち、痛いほどよく分かるよ。でも……
vo_adv_5070321_000.m4a|弟くんが頭を抱えてる！
vo_adv_5070321_002.m4a|宿題が終わったら、弟くんにおいしいご飯をご馳走しちゃう！弟くんが好きなもののフルコースだよ！
vo_adv_5070321_004.m4a|それじゃあ私はおなかいっぱいになって眠くなった弟くんに膝枕してあげちゃう！
vo_adv_5070321_006.m4a|ぬ～～それじゃあ私は……って、ダメダメ。今は目の前のことに集中しないと！
vo_adv_5070322_001.m4a|代わってあげたい……弟くんもう十分がんばったよね……
vo_adv_5070322_003.m4a|夏休みなんだもん……楽しいことだけしてもいい、よね……
vo_adv_5070323_000.m4a|お、弟くんが頭を抱えて机に突っ伏しちゃったよ……！！
vo_adv_5070323_002.m4a|うん。でもここまでの弟くんのがんばりを見ちゃったら、そんなことは絶対に言えないよね。
vo_adv_5070323_004.m4a|すべては弟くんのために！行くよ、エリコちゃん！
vo_adv_5070402_000.m4a|あ！　弟くんが鉛筆を置いたよ！
vo_adv_5070402_002.m4a|夏休み初日の弟くんとはもう別人みたいな顔つき……
vo_adv_5070402_004.m4a|弟くんのためになるものに悪いものはないもんね！
vo_adv_5070403_000.m4a|ていっ！　や～っ！
vo_adv_5070405_000.m4a|さすが弟くん！もうあんなに宿題を片付けてるよ！
vo_adv_5070411_000.m4a|楽しかった夏休みももう終わっちゃうね。
vo_adv_5070411_002.m4a|待ってエリコちゃん！もうすぐ終わっちゃうけどまだ夏休みは終わってないよ！最後まで楽しみ尽くそう！
vo_adv_5078003_112.m4a|──お姉ちゃんだよっ！
vo_adv_5078004_000.m4a|待たせたね、弟くん！
vo_adv_5078004_002.m4a|お姉ちゃんセンサーが反応して全力で駆けつけてみれば、やっぱり弟くんのピンチだったね……！
vo_adv_5078004_005.m4a|お礼なんて言わないで。お姉ちゃんはお姉ちゃんとして、当たり前のことをしてるだけなんだから。
vo_adv_5078004_006.m4a|そこに弟くんがいるから、かなっ♪
vo_adv_5078004_007.m4a|それにしても弟くん、大丈夫っ？なんか黒いオーラが出てるけど……これのせいで苦しいの？
vo_adv_5078004_008.m4a|安心してね、今お姉ちゃんが治してあげるから！……ぎゅ～っ！
vo_adv_5078402_003.m4a|大勝利っ♪
vo_adv_5078402_008.m4a|弟くん、お姉ちゃん頑張ったよ！だからね、ほら……ご褒美に、弟くんが欲しいな～？くれなかったら……闇の力が溢れちゃうぞ♪
vo_adv_5078411_002.m4a|お姉ちゃんの愛と希望、みんなにも届いたかな。えっ？　届いてない？　大変！弟くん、もっとお姉ちゃんとなかよししよっ♪
vo_adv_5078411_006.m4a|バッチリ決めちゃうよ♪
vo_adv_5084645_000.m4a|弟くん♪　おなかすいてない？　すいてるよね！そんな弟くんのために、お姉ちゃんが手作りクレープを用意してきたよ！マスターと一緒に、お姉ちゃんパワーと愛情を込めて作ったんだ☆
vo_adv_5084645_001.m4a|あれ、その顔は……もしかして体がかゆいのかな？それじゃあ、お姉ちゃんが一緒にお風呂に入って、洗ってあげるね！気にしないで！　弟くんのお世話をするのは、お姉ちゃんの役目だもん♪
vo_adv_5084645_002.m4a|はあ……さみしくって、弟くんぬいぐるみを作って話かけたけど……やっぱりいろいろ足りなくって、余計につらくなってきちゃうよ……
vo_adv_5084645_003.m4a|ううん、こんなんじゃダメだよね……！一番つらいのは弟くんだし、キミは今、目覚めようと必死なんだもん！なのに、お姉ちゃんが弱気になってちゃ、きっとダメ！
vo_adv_5096001_067.m4a|弟くん！　やっぱり弟くんだー！お姉ちゃんの勘に間違いはなかったね！どうかなエリコちゃん、これで信じてくれる気になった？
vo_adv_5096001_097.m4a|はい、は～い！！私たちチーム内助の功の愛はズバリ、弟くんへのラブ！そのためだけに結成されたチームです！
vo_adv_5096001_103.m4a|えー！　マコトちゃんは弟くんラブ勢じゃないの？エリコちゃんから聞いた話と違うよ？
vo_adv_5096001_109.m4a|弟くんへの愛のため、お姉ちゃんはたとえ火の中水の中、ソルの塔でも南の島でも頑張っちゃうんだから！
vo_adv_5096001_113.m4a|え～～！？せっかく弟くんがいるんだから宣言したいよ～
vo_adv_5096001_142.m4a|そうなんだ～！　じゃあせっかくだし、お姉ちゃんも弟くんと一緒の船に乗っちゃお～っと♪
vo_adv_5096001_181.m4a|うーんとね、ユイちゃんはともかく……って感じかな？ところで！　誰が相手であっても不純異性交遊なんて、お姉ちゃんはまだ認めないよ！　弟くん！
vo_adv_5096002_040.m4a|……
vo_adv_5096002_049.m4a|弟くん……お姉ちゃん、どんな手を使ってでも必ず弟くんを迎えにいくからね！
vo_adv_5096002_052.m4a|お姉ちゃんも頑張るね、弟くん！ヒヨリちゃんたちには負けないよ！弟くんへの愛を証明するのは、お姉ちゃんたちなんだから！
