vo_adv_1211001_007.m4a|こんにちは。あの、{player}くんはいるかしら？
vo_adv_1222003_084.m4a|昨日の夜はかっこつけてキミが心配なんて言ったけど、本当は私が不安だったの……
vo_adv_1222003_085.m4a|でも、キミのゆる～い感じを見たら安心して眠れちゃった。
vo_adv_1222003_086.m4a|よく考えてみたら、今日だけじゃなくて、いっつもそんな感じでキミには安らぎをもらってるのよね。
vo_adv_1222003_087.m4a|大人の私がもらってどうするの、って感じだけど……でも、うん、キミの前で無理にかっこつけなくてもいいのかな、って。
vo_adv_1222003_088.m4a|だから、これからも一緒にこうやって、最高の一杯を飲んでいけたらうれしいわ。
vo_adv_1222003_089.m4a|いつか一緒に麦しゅわも、ね？　ふふっ。
vo_adv_1222004_000.m4a|……テントよし、調理器具もよし。キミの方も、片付けはおおむね終わったみたいね。
vo_adv_1222004_001.m4a|ふふ、ずいぶん手際がよくなったわよね。前はテントを畳むのも一苦労だったけど……
vo_adv_1222004_002.m4a|これだけ早く撤収できるなら、朝までキャンプして、その足で仕事だって行けちゃいそうね。次から考えてみましょ♪
vo_adv_1222004_003.m4a|それじゃ、あとは……あれ？たき火ってさっき消したわよね……？
vo_adv_1222004_004.m4a|なんかすごくまぶしいんだけど……ま、まさかたき火が燃え上がって……？いえ、違うわ！　光ってるのはキミ！？
vo_adv_1222004_064.m4a|……ううん、片付けの途中に寝ちゃった……？不思議な夢も見ていたような……あはは、早起きしすぎたかしら……
vo_adv_1222004_065.m4a|でも、なんだかすっきりした気分……胸のつかえが取れたような、晴れ晴れした心地だわ。
vo_adv_1222004_066.m4a|これも、キミと飲んだ「本当の最高の一杯」のおかげかしらね。
vo_adv_1222004_067.m4a|キャンプを始めたきっかけは、麦しゅわをただただ飲むためだけだったけど……
vo_adv_1222004_068.m4a|純粋に自然を楽しんだり、料理にこだわってみたり……誰かと普段は話せないことも語り合ったり……
vo_adv_1222004_069.m4a|そんなふうに過ごす楽しさにも気付けたの。思い切ってキャンプに挑戦しなければ、絶対にできなかったわ……
vo_adv_1222004_070.m4a|それに、キャンプにハマってから、仕事がとっても順調なのよ。この前、財団の業績が上がってるって褒めてくれたわ。
vo_adv_1222004_071.m4a|きっと平日と週末のメリハリがついたのかしらね。前みたいにせかせかすることも減ったし……
vo_adv_1222004_072.m4a|アキノさんってあんな感じの人だけど……やっぱり上司に褒められるって、うれしいことなのね。
vo_adv_1222004_073.m4a|あはは……この話、キミにはちょっと早かったかな？でも、社会人になったらこの気持ちが理解できると思うわ。
vo_adv_1222004_074.m4a|だから……キミももう少し大人になったら……いつかその時は、麦しゅわでキャンプ飲みをしましょう。
vo_adv_1222004_075.m4a|大人の味を一緒に味わえるのを、お姉さんは楽しみに待ってるからね♪
vo_adv_5074002_047.m4a|お、お願いしまーす……え？　{player}くん！？こんなところで何してるの！
vo_adv_5074002_048.m4a|そ、そうなの。ここのところ仕事が忙しくて、ついつい飲む量も……ってヤダ、何言わせるのよもう！
vo_adv_5074002_051.m4a|ど、どうも。【メルクリウス財団】のユカリです。オーエド町に名医がいるって噂を聞いて来たけど、たしかに雰囲気あるわね。
vo_adv_5074002_052.m4a|{player}くん、こんなすごい人とどういう関係なの？
vo_adv_5074002_053.m4a|そうなのね。医療に従事するなんて立派だわ。もしかして将来は君もお医者さんに？
vo_adv_5074002_054.m4a|だったら今のうちに……ご、ごめんなさい、何でもないわ！
vo_adv_5074002_055.m4a|えぇ！　……ああ、もしかして治験とかのことかしら？もう、ビックリさせないで。
vo_adv_5074002_056.m4a|でも、あなたのことどこかで見かけたことあるような……もしかして有名人だったりします？
vo_adv_5074002_058.m4a|そ、そうね、仕事の合間に来てるから、あまり時間はとれないんだった。さっそくだけど診察してもらえるのかしら？
vo_adv_5074002_060.m4a|そ、それってどういうこと？
vo_adv_5074002_063.m4a|うぅ、耳が痛いわ……でも、先生の言うとおりね。飲んでる時は楽しいけど、飲み過ぎて苦しむのは自分だし、周りに迷惑かけちゃうのも違うものね。
vo_adv_5074002_064.m4a|ありがとう。これからは自分も、そして周りも楽しい飲み方を心掛けるわ。
vo_adv_5074002_065.m4a|あとはまあ、仕事のストレス自体が減ってくれれば一番なんだけど、それも難しいわよね……
vo_adv_5074002_067.m4a|そう、かしら……
vo_adv_5074002_069.m4a|……そうね。やっぱり私色々背負いすぎてたみたい。先生とお話したら、なんだか肩の荷が下りたみたいよ。
vo_adv_5074002_070.m4a|噂にたがわぬ名医ね、ミツキ先生。ランドソルに戻ったら先生のこと宣伝しておくわね。それと無事に仕事を終えたら、ぜひ一杯やりましょう。
vo_adv_5074002_072.m4a|それじゃあ二人とも頑張ってね。またランドソルで会いましょう。
vo_adv_5080004_090.m4a|あ、やっぱりいた！{player}くん！
vo_adv_5080004_092.m4a|マヒルさん！　お久しぶりです。
vo_adv_5080004_094.m4a|え？　妹？{player}くんの？
vo_adv_5080004_096.m4a|ちょ、ちょっと、私の疑問には答えてくれないの？……落ち着いたときにゆっくり聞かせてもらうわね。
vo_adv_5080004_097.m4a|えっと、今年のこのコンテスト、【メルクリウス財団】が協賛してるのよ。私が担当だったから、スタッフとしても働いてるってわけ。
vo_adv_5080004_098.m4a|今年のクリスマスは休むつもりだったんだけどね。まあ、暇するよりはいいかなって……あはは……
vo_adv_5080004_099.m4a|けど、みんなで出店してたなんて今さっきまで知らなかったわ。会場を見渡したら、{player}くんがいるんだもの。
vo_adv_5080004_100.m4a|このコンテスト、ものすごくレベルが高いのよ？毎年、決勝に出るお店は有名店ばかりなんだから。
vo_adv_5080004_104.m4a|きゃっ！？　え……宙に浮いてる！？もしかして話題になってた『空飛ぶ売り子』って、あなたのこと？
vo_adv_5080004_108.m4a|決勝戦、応援してますね。運営スタッフだから陰ながらですけど。
vo_adv_5080004_109.m4a|ふふ、仕事だらけのクリスマスだと思ってたけど、楽しみができちゃった♪
vo_adv_5080005_000.m4a|この線より前には入らないでくださいね。マナーを守っての観戦にご協力くださーい！
vo_adv_5080005_002.m4a|マヒルさん、みんなも。決勝戦、がんばってね♪
vo_adv_5080005_109.m4a|あの～、運営なんですが……ただ事じゃない感じですけど、どうしたんですか？
vo_adv_5080005_111.m4a|待ってください。決めてかかるのはちょっと……とにかく状況を詳しく教えてもらえますか？
vo_adv_5080005_113.m4a|え？　盗み、ですか？でも、これだけ観客に囲まれてて、そんなことできるわけが……
vo_adv_5080005_119.m4a|え？　ええっ！？
vo_adv_5080005_125.m4a|待ってください！この子はそんなひどい事をするような子じゃありません！まずは話を──
vo_adv_5080005_129.m4a|お願いします、待ってください！事実確認をせずに決めつけるのは間違ってます！！
vo_adv_5080005_131.m4a|あ、キミ！お願い、ちょっと手伝って！
vo_adv_5080005_132.m4a|食材やケーキが盗まれたって騒ぎになってて。ミヤコちゃんが疑われてるの。でも話を聞いてもらえなくて……！
vo_adv_5080005_133.m4a|それになんだか、どんどん被害にあったって人が増えてきてるの。一体なにが起きてるのかしら……！？
vo_adv_5080005_156.m4a|じゃあ、手分けして対応しましょう！ここはみんなにお願いするわね。私は向こうの騒ぎをなんとかしてくるわ。
vo_adv_5080006_018.m4a|クリームを狙ってるみたいだけど、この、えいっ、ダメだわ……全然捕まえられない。
vo_adv_5080006_036.m4a|どのみち捕まえられないわよ！？いったいなんなの！？
vo_adv_5080006_039.m4a|今こそ空飛ぶ売り子の出番よ！
vo_adv_5080006_052.m4a|で、でも、何を捕まえたの……？ミヤコちゃんが一人で暴れてるようにしか見えないわ。
vo_adv_5080006_066.m4a|わかったわ！って、このやりとり前にもあったような……私のクリスマスはいつもこんななの……
vo_adv_5080006_067.m4a|さぁ、皆さん！　こっちよ！　ついてきて！
vo_adv_5080006_084.m4a|助太刀に来たわよ！……って、あら？　小さい姿に戻ってる。もう片付いてたのね。
vo_adv_5084633_000.m4a|{player}くん、まだ眠ってるのね。
vo_adv_5084633_001.m4a|酷い麦しゅわ酔いの私でもさすがにもう起きてるわよ？{player}くんが居ないと安心して麦しゅわが飲めないわ。なんて茶化してみても、さみしくなるだけね……
vo_adv_5084633_002.m4a|って、落ち込んでてもなんにもならないじゃない！私がおいしい麦しゅわを飲むためにも絶対目を覚ましてもらわないと！
vo_adv_5084633_003.m4a|いつか……もっと先のいつか、笑って一緒においしい麦しゅわを飲むんだから。
vo_adv_5085002_002.m4a|私からはこれ。起きたらパーッと飲みましょ。
vo_adv_5085002_004.m4a|さすがにジュースよ！？なんで私がお土産持ってきただけで麦しゅわって決めつけるの！？
vo_adv_5094001_000.m4a|うっひゃははは～～～っ！！やっっっぱ、麦しゅわって最高だわ～～～～～！！！！
vo_adv_5094001_001.m4a|あくせく働いてかいた汗……！緊張と不安で乾いた喉……！
vo_adv_5094001_002.m4a|カラッカラになった体を潤すには、この麦しゅわしかないわ～～～～！！
vo_adv_5094001_003.m4a|麦しゅわはうまいし、おつまみもうまいし、飲み仲間とのおしゃべりも楽しいし！これ以上なにを望めばっていうのかしら！
vo_adv_5094001_004.m4a|ごくっ……！　ごくっ……！　ごくっ……！
vo_adv_5094001_005.m4a|………………ひっく。
vo_adv_5094001_006.m4a|働いて、飲んで……働いて……飲んで……はたらいて…………のんで…………
vo_adv_5094001_007.m4a|も～～！　ここ最近ずっとそんな感じだわ～～！！毎日毎日同じことの繰り返しよ～～！！
vo_adv_5094001_009.m4a|ううん、いつも変わらず最高よ。だって麦しゅわだもん。それは間違いないわ。
vo_adv_5094001_010.m4a|でも、近頃なんだか……本当に「とりあえず麦しゅわ」……って感じなのよね。
vo_adv_5094001_011.m4a|私の生活の一サイクルといえば聞こえはいいけど、反面、流れ作業になっているところがあるの。
vo_adv_5094001_012.m4a|だからこう、なんていうか……麦しゅわを初めて口にした時のような感動を、今もう一度味わいたいのよ～～！
vo_adv_5094001_015.m4a|……それは？
vo_adv_5094001_017.m4a|……はい？
vo_adv_5094001_020.m4a|キャンプ飲み……？それって野外で飲むってことよね？
vo_adv_5094001_024.m4a|キャンプ飲み、かぁ……そもそもキャンプなんてやったことないけど……大丈夫かしら……？
vo_adv_5094001_028.m4a|最高の一杯は、キャンプ場にある、か……
vo_adv_5094001_029.m4a|うだうだ言ってても麦しゅわのマンネリは解消されないし……ダメ元で試してみるのも悪くはないよね……
vo_adv_5094001_030.m4a|ごくっ……！　ごくっ……！　ごくっ……！　ごくっ……！　ぷはっ！
vo_adv_5094001_031.m4a|分かったわ……！ソロキャンプで麦しゅわ……やってやろうじゃない！
vo_adv_5094001_090.m4a|ぜえ……ぜえ……！
vo_adv_5094001_091.m4a|や、やっと……着いたわ……！　なんて遠いのよ……！荷物も重いし、来るだけで一苦労じゃない……！
vo_adv_5094001_092.m4a|でも……いい眺めね。空気もおいしいし、いい麦しゅわが飲めそうだわ！
vo_adv_5094001_093.m4a|さて、麦しゅわ麦しゅわ～～……じゃなくて、まずはキャンプの準備！
vo_adv_5094001_094.m4a|確か……最初にテントを設営するんだったわよね。んーと……まずは広げて……
vo_adv_5094001_095.m4a|ああーーっ！テ、テントがーーっ！！
vo_adv_5094001_096.m4a|もー！　全っ然うまく張れないじゃない！このロープは一体なんなわけ？　どこに結べばいいの！？
vo_adv_5094001_097.m4a|はあ……ちゃんと店員さんから教えてもらえばよかったわ……なんかつい見栄張っちゃって、キャンプ慣れてますふうで一式揃えるんじゃなかった……
vo_adv_5094001_098.m4a|キャンプなんて飲食店で聞きかじった知識しかないのに……どうして見栄なんか張っちゃったんだろう……
vo_adv_5094001_099.m4a|うーん、うまくテントが張れないのは、きっとあれよね。着いたばっかりで、移動の疲れがまだ残っているから、うまくできないんだわ。そうよ、そうに違いないわよね。
vo_adv_5094001_100.m4a|なにも目的はキャンプを楽しむことじゃなくて、私の場合は、キャンプ飲みだし……
vo_adv_5094001_101.m4a|キャンプ場に来てるんだもん。準備ができてなくてもキャンプ飲みって言えるよね。だから……もう飲んじゃおうかしら……？
vo_adv_5094001_102.m4a|でも、ダメ……！　私は、最高の一杯を求めているの……！
vo_adv_5094001_103.m4a|しっかりとキャンプの準備をしてから、心置きなく飲むのが、きっと正しいキャンプ飲みのはずだわ！
vo_adv_5094001_104.m4a|さあ、頑張るわよ！！
vo_adv_5094002_010.m4a|ごくっ……ごくっ……ごくっ……！
vo_adv_5094002_011.m4a|ぷっは～～～～！！もう飲んじゃったもんね～！　あっははは～～！！
vo_adv_5094002_012.m4a|テントなんかもうポイよ～～～！！あんな難しいの無理～～～！！　どーやったって張れないも～～ん！！
vo_adv_5094002_013.m4a|だーかーらー、こーゆー時は…………ごくっ！　ごくっ！　ぷはっ！えっへへへ～、やっぱり麦しゅわに限りゅわ～～！
vo_adv_5094002_014.m4a|しかも、キャンプ場で飲んでるのよ～～！これが、人生が変わる最高の一杯……って、あっれ～？
vo_adv_5094002_015.m4a|ほんとに最高の一杯ってこれなのかしら……？いつもの飲食店よりも解放的だから、気分はいいけど……
vo_adv_5094002_016.m4a|なんかパッとしないっていうか、物足りないっていうか……う〜〜〜〜ん……
vo_adv_5094002_017.m4a|……あっ、分かったー！まだまだ麦しゅわが足りないのねー！
vo_adv_5094002_018.m4a|あはは～！　私ってば、冴っえてる～～～！！いっぱい飲んで、最高の一杯にたどり着いてみせるわ～～～！！
vo_adv_5094002_019.m4a|それじゃ、おっかわり、いっただっきま～～す！！
vo_adv_5094002_041.m4a|すぴ～……すぴ～……
vo_adv_5094002_042.m4a|じゃんじゃん注いで～～！！最高の一杯はどこ～～！？　まだまだ飲むわよ～～！！
vo_adv_5094002_043.m4a|……むにゃ……
vo_adv_5094002_057.m4a|むにゃ……ふわぁぁぁ～～やだ……寝ちゃってた……？
vo_adv_5094002_058.m4a|えーっと……うまくテントが張れなくて……それでヤケになって麦しゅわを……って、あれ？
vo_adv_5094002_059.m4a|テントが張られてるし、他の道具も準備できてる？ど、どうして……？　まさか寝てる私が勝手に！？
vo_adv_5094002_061.m4a|草？　木？　森！？
vo_adv_5094002_063.m4a|えっ……？一気に酔いと目が覚めたわ……
vo_adv_5094002_066.m4a|あっははは……ごめんなさい、ありがとうございます、ごめんなさい……
vo_adv_5094002_067.m4a|えっと、私はユカリです。あなたは……鎧さん、でしたっけ？
vo_adv_5094002_069.m4a|ジュンさん……？　それに鎧姿……あっ！もしかして、【王宮騎士団（NIGHTMARE）】の団長さん！？
vo_adv_5094002_071.m4a|あの！　私、【メルクリウス財団】です！以前うちのギルドが企画した『アストライア大陸横断クイズ旅行』で……
vo_adv_5094002_073.m4a|あはは……お恥ずかしい限りです……あの時は、その……麦しゅわを飲んでなかったから……
vo_adv_5094002_074.m4a|それと……あれからイメチェンしたんですか？以前は黒い鎧だったと思うんですけど……今は草っぽいというか森っぽいというかなんというか……
vo_adv_5094002_076.m4a|野戦……ジュンさんもキャンプしに来たのでは……？
vo_adv_5094002_079.m4a|はあ……
vo_adv_5094002_081.m4a|え、ええ。どうぞ？
vo_adv_5094002_083.m4a|はい……立派な信念だと思います。いつもランドソルの平和を、ありがとうございます。
vo_adv_5094002_086.m4a|う〜ん……私がしたいのはキャンプ飲みであって、野営じゃないし……でも、確かにキャンプのことはよく分からないのも事実よね……
vo_adv_5094002_087.m4a|あの〜ジュンさん。ちなみに、どんなことをやるんですか……？
vo_adv_5094002_089.m4a|えっ？　いきなり運動……？心構えは……？
vo_adv_5094002_091.m4a|初心者講座っていうか、トレーニングの気配を感じるわ……私はただ、おいしい麦しゅわを飲みたいだけなのにぃ……
vo_adv_5094002_092.m4a|……あっ、でも！運動したり、働いたあとの一杯っておいしいわよね……？
vo_adv_5094002_093.m4a|薪割りも、キャンプならではな体験だし、もしかしたら「最高の一杯」につながるんじゃないかしら……！
vo_adv_5094002_094.m4a|そう考えると悪くないわ。いえ、むしろチャンス！ジュンさん、私に野営のイロハを教えてください！
vo_adv_5094002_096.m4a|では、いきます……せいっ！　せいっ！　せいっ！
vo_adv_5094002_099.m4a|せいっ！　せいっ！　せいっ！
vo_adv_5094002_101.m4a|ええっ！
vo_adv_5094003_001.m4a|ぜえ……ぜえ……
vo_adv_5094003_002.m4a|二時間の間、一秒も休憩なしで薪割りして、息が乱れてない……？鎧の中に本当に生身の人間が入っているのかしら……？……それはそうと……
vo_adv_5094003_003.m4a|あー、喉が乾いた……
vo_adv_5094003_005.m4a|ごくっ……ごくっ……ごくっ……ごくっ……！
vo_adv_5094003_006.m4a|……ぷっはーーーっ！！
vo_adv_5094003_007.m4a|あ～～、体に染みるわ～～やっぱ運動したあとの一杯は格別だわ～～
vo_adv_5094003_008.m4a|これが最高の──いえ、なんかまだ違う気がする……アキノさんに振り回された後に飲む一杯と同じ味だわ……
vo_adv_5094003_009.m4a|どうやったら最高の一杯が飲めるのよ～～！！今日はもう動きたくな～～い！！
vo_adv_5094003_013.m4a|ん～？　だんちょーさーん？どーしたのよ、黙って突っ立っちゃって～？その兜をとって、お水飲んだら～？
vo_adv_5094003_015.m4a|おっ！　麦しゅわの席にもってこいのおつまみね！今日は無礼講よ！　なんでも話しちゃって！
vo_adv_5094003_018.m4a|あの時の団員さんたちが、そんなことを……なんて上司思いのいい部下なの！
vo_adv_5094003_020.m4a|だったら！ちゃんと！休むわよ！
vo_adv_5094003_022.m4a|大体ね、堅すぎるの。鎧の話じゃないわ。その性格のことよ。
vo_adv_5094003_023.m4a|キャンプ場に来ただけで、リフレッシュできると思ってるわけ？TPOって知ってる？
vo_adv_5094003_024.m4a|キャンプ場はレジャー施設よ。楽しんでなんぼの世界のはず。それなのにずっとトレーニング、トレーニングって……
vo_adv_5094003_025.m4a|ジュンさんは上司として、トモちゃんとマツリちゃんの気遣いを全力で受け止めなくちゃ。
vo_adv_5094003_027.m4a|それにジュンさんがそんなふうだと、士気にも影響あるんじゃないかしら？休まない上司がいると、その下にいる部下って休めないのよ。
vo_adv_5094003_028.m4a|だからこそ！休める時にはしっかりと休んでほしいの！
vo_adv_5094003_031.m4a|そんなあなたに朗報でーーっす！いいリラックス方法をおっしえちゃいまーっす！
vo_adv_5094003_032.m4a|大事なのはメリハリをつけること！自分でコントロールが難しいなら、道具の力を借りちゃえばいいの！
vo_adv_5094003_034.m4a|そ・れ・は……♪
vo_adv_5094003_048.m4a|だんちょーさんってば、いける口じゃなーい！
vo_adv_5094003_050.m4a|あー！　まだかたーい！もっとリラックス、リラックスー！
vo_adv_5094003_053.m4a|いーよー！　その調子ー！今の態度は、素敵な上司よ！
vo_adv_5094003_055.m4a|甘い！　ジュンさん、甘いわ！
vo_adv_5094003_056.m4a|あなたは、まだ麦しゅわ道の入り口に立ったばかり！麦しゅわの力は、まだまだこ～んなもんじゃないわ！
vo_adv_5094003_058.m4a|その言葉待ってました！　もちろん教えてあげるわー！設営してくれたお礼に、私が知る限りの麦しゅわの力を教えちゃう！
vo_adv_5094003_059.m4a|それに、二人で麦しゅわを飲めば、最高の一杯に近づけるかもしれないし！
vo_adv_5094003_060.m4a|さて、ジュンさん。いいかしら？麦しゅわってのはね、もちろんそれだけを飲んでもおいしいわ。
vo_adv_5094003_061.m4a|けどー？そのおいしさを引き立てる存在があるとしたらー？
vo_adv_5094003_063.m4a|ええ！それは、おつまみよ！
vo_adv_5094003_065.m4a|あっ！なんだ～、そんなことか～、って思ったでしょ？
vo_adv_5094003_067.m4a|はあぁぁ～～～～これだから麦しゅわ素人は……
vo_adv_5094003_068.m4a|ダメ、おつまみの軽視！麦しゅわとおつまみの相乗効果を舐めないほうがいいわよ。
vo_adv_5094003_069.m4a|飲食店の定番メニューで言ったら、焼き鳥でしょー？エイヒレにー、あとはポテサラってところかしら？
vo_adv_5094003_071.m4a|ふふっ。今のは、あくまで飲食店のメニューのことよ。
vo_adv_5094003_072.m4a|ジュンさん。なにも言わず、周りを見渡して。このキャンプ場がどこにあるのかを思い出すのよ。
vo_adv_5094003_074.m4a|そう！　ここは山奥のキャンプ場！そして周りには深い森！
vo_adv_5094003_075.m4a|定番メニューの食材を持ってきていなくても、あの森は、自然の食材の宝庫よ！
vo_adv_5094003_077.m4a|ええ、そういうこと！段々飲み込みが早くなってきたわね！　その調子だわ！
vo_adv_5094003_078.m4a|それじゃ、景気付けにもう一杯飲んでから行きましょう！ごくっ……ごくっ……ごくっ……ごくっ……！
vo_adv_5094003_080.m4a|ぷっは〜〜〜〜〜っ！！気ン持ちいい〜〜〜〜っ！！
vo_adv_5094004_013.m4a|ほんとだ～！　って、誰かいるわね。ジュンさん、熊だって思われてるわよ！
vo_adv_5094004_018.m4a|その通りよ！　真人間なんらからね〜！
vo_adv_5094004_020.m4a|……ぼっちのエルフ？それに、そのおもちゃ……？
vo_adv_5094004_021.m4a|あなた……もしかしてアオイちゃん？
vo_adv_5094004_024.m4a|ううん。私じゃなくて、うちのギルドメンバーたちが多分……
vo_adv_5094004_025.m4a|前にバイト先のおもちゃ工場で知り合ったって言ってた子だと思うの。そこでうちのギルドメンバーが、バイトリーダーを務めたり、たい焼きの社食販売をしていた時の……
vo_adv_5094004_027.m4a|うん、そうよ。やっぱりアオイちゃんね！
vo_adv_5094004_028.m4a|私はユカリ。ミフユさんたちと同じ【メルクリウス財団】のメンバーよ。よろしくね！
vo_adv_5094004_030.m4a|まさか、こんなところでミフユさんたちの知り合いと会うなんて……それに、子供の前だし、しっかりしないと……！ちょっと酔いが覚めてきてて、よかったわ……！
vo_adv_5094004_037.m4a|えっ？　そうやってテントを建てて、たき火をして……どっからどう見ても、キャンプじゃない。
vo_adv_5094004_040.m4a|アオイちゃんって、【フォレスティエ】だったわよね？自然の中での過ごし方が得意だから、そもそもキャンプって概念がないのかもね。
vo_adv_5094004_042.m4a|え？　まあ、うん。ぼっちって何のことかさっぱりだけど、自然派なんじゃないかしら？
vo_adv_5094004_049.m4a|だって、隣にキャンプ場があるんだもの。それで、食材を探しにこの森に入ってきたのよ。
vo_adv_5094004_052.m4a|……ジュンさん。ギルドメンバーたちから聞いてた以上に、アオイちゃんは変な子かもしれません。
vo_adv_5094004_055.m4a|確かにそうね！最高の一杯のヒントが得られるかも！
vo_adv_5094004_058.m4a|ねえ、アオイちゃん。こうして会ったのも何かの縁だし、一緒にキャンプしようよ。
vo_adv_5094004_059.m4a|こういうの、グループキャンプ……略してグルキャンって言うらしいわよ。みんなで楽しくやってみない？　どうかしら？
vo_adv_5094004_063.m4a|そうそう！　自由に過ごしちゃって！
vo_adv_5094004_081.m4a|へえ～さすが、エルフの森が産んだ天然のキャンパーね。
vo_adv_5094004_082.m4a|私はいろいろ不安で道具を買いあさったのが恥ずかしくなっちゃう……ナイフ一つで、なんでも作れちゃうなんてすごいわ！
vo_adv_5094004_092.m4a|極限のリラックス……
vo_adv_5094004_093.m4a|なるほど……確かに、麦しゅわにもリラックス効果があるけど……
vo_adv_5094004_094.m4a|それは、仕事疲れをとるためのものだって、今まではずっと考えていたわ……
vo_adv_5094004_095.m4a|でも、極限のリラックス状態で、さらにリラックス効果のある麦しゅわを飲むと……？
vo_adv_5094004_096.m4a|ふふっ……最高の一杯への道、見つけちゃったかも……！
vo_adv_5094004_098.m4a|あっ、ううん！　なんでもないの！こっちの話よ。アオイちゃんには、まだちょっと早いから……
vo_adv_5094004_099.m4a|詳しくは言えないんだけど、私は最高の一杯のために、キャンプ場に来ているの。
vo_adv_5094004_100.m4a|そのために、アオイちゃんのキャンプ術はすごく役に立つかもって……！
vo_adv_5094004_109.m4a|そうそう！『だいじょぶマイフレンドくんＶ４カスタム』って名前だったわよね。ミフユさんたちから、その子の話は聞いたわよ。
vo_adv_5094004_113.m4a|な、なんだか大変そうね……でも、最高の一杯のためよ！　自分と向き合ってみるわ！
vo_adv_5094005_005.m4a|…………
vo_adv_5094005_007.m4a|自分と向き合う、か……
vo_adv_5094005_008.m4a|麦しゅわを飲み過ぎた翌日は、昨日の自分を恨むことはあるけど……自分がどんな人間かって、しっかり考えたことはなかったわね。
vo_adv_5094005_009.m4a|本当の私か～……
vo_adv_5094005_010.m4a|そういえば、アオイちゃんにいいところ見せようと、つい無意識でお姉さんぶった態度を取っちゃったわ……
vo_adv_5094005_011.m4a|キャンプ道具を買う時も失敗したなあ～……
vo_adv_5094005_012.m4a|ブームに乗っかりました感のある客だって思われたくなくて、店員さんに通ぶった態度を取っちゃったのよね……
vo_adv_5094005_013.m4a|だから、テントの張り方も火の起こし方も、なんにも知らなくて……
vo_adv_5094005_014.m4a|麦しゅわのことで頭がいっぱいだったわ……最高の一杯のためには、まずキャンプするのが大前提なのにね……
vo_adv_5094005_015.m4a|麦しゅわも飲める歳なんだし、精神的にも大人にならないと……
vo_adv_5094005_016.m4a|はあ……
vo_adv_5094005_017.m4a|見栄っ張りなただの酔っ払い……それが私なのよね……
vo_adv_5094005_037.m4a|私……いい大人なのに……見栄っ張りなだけで、ダメダメなことに気付いちゃって……
vo_adv_5094005_049.m4a|ええ、そうしましょう……
vo_adv_5094005_050.m4a|そういえば……昨日、森の中で見つけたこのキノコ……食べられる物なのかしら？
vo_adv_5094005_052.m4a|でも、森に生えてるキノコって……なんか、ねえ……？
vo_adv_5094005_054.m4a|そうよね。やっぱり毒キノコよね……
vo_adv_5094005_057.m4a|そ、そうなの！？じゃあ、おつまみにぴったりじゃない！
vo_adv_5094005_059.m4a|えっと……ちょっと大人な食べ物のことかな……？き、気にしないでちょうたい。
vo_adv_5094005_064.m4a|ええ。私にも手伝わせて！料理はあんまり得意じゃないけど、最高の一杯のために頑張るわ！
vo_adv_5094005_070.m4a|ふふっ。さすがミフユさんの下で働いていたことはあるわ。効率を重視する手際の良さがそっくりよ。
vo_adv_5094005_077.m4a|ええ。きっと楽しいに違いないわ。
vo_adv_5094005_081.m4a|そうなのよね。彼の前なら、自分をさらけ出せるっていうか……あっ、変な意味じゃないわよ？
vo_adv_5094005_082.m4a|なんというか、肩肘張らなくていいのよね。私……その、ついつい見栄を張っちゃうところがあるから……
vo_adv_5094005_083.m4a|ふふっ、照れ臭い話をしちゃったわ。さっきまでは、こんなことバラすつもりなかったのだけど……
vo_adv_5094005_084.m4a|この気持ちの良いロケーションがそうさせるのかしら？なんだか……心が開放的になるのよね。
vo_adv_5094005_096.m4a|えーっと、ジュンさんには話したけど、アオイちゃんには……
vo_adv_5094005_098.m4a|ううん、違うのよ。ただ、ジュンさんみたいな立派な目的じゃないの……
vo_adv_5094005_099.m4a|私は、麦しゅわが好きなんだけど、飲み仲間からキャンプ飲みを勧められてね……
vo_adv_5094005_100.m4a|今までアウトドアなんてしたことなかったんだけど、最高の一杯というのが興味深くて……
vo_adv_5094005_101.m4a|本当はそんな理由で来てたの……ミフユさんたちの知り合いってこともあって、アオイちゃんの前ではお姉さんぶってたけど……
vo_adv_5094005_102.m4a|げ、幻滅しちゃったかしら……？
vo_adv_5094005_104.m4a|そ、そう……？そう言ってもらえて、すごく安心したわ……！
vo_adv_5094005_105.m4a|でも、本当はちゃんとした大人にもならないといけないって思ってるの。
vo_adv_5094005_106.m4a|麦しゅわでやらかして、いつも{player}くんには迷惑かけちゃってるし……
vo_adv_5094005_107.m4a|羽目を外さず、嗜む程度に抑えられるといいんだけど……麦しゅわを飲みに来ておいて、変な話よね。
vo_adv_5094005_116.m4a|……くんくん。
vo_adv_5094005_117.m4a|ねえ、アオイちゃん……なんだかいい匂いがしてきたわよ？
vo_adv_5094005_118.m4a|そろそろ料理できたんじゃないかしら？私、お腹も空いたし、喉も渇いてきちゃった……！
vo_adv_5094005_122.m4a|そうよ！　きっと麦しゅわに合うに違いないわ！最高の一杯を目指すわよー！
vo_adv_5094005_124.m4a|うひゃひゃひゃ……できる大人のお姉さんになっちゃった……♪
vo_adv_5094005_138.m4a|あれが……私？麦しゅわを飲んでも乱れてない……？
vo_adv_5094005_139.m4a|あんなふうに仕事でも評価されて、麦しゅわで失敗もしないなんて……！　まさに理想の姿だわ！
vo_adv_5094006_005.m4a|ふふっ……みんなから仕事も飲み方も、私の全てを憧れられて、とってもいい気分……♪
