vo_adv_1208001_000.m4a|おや、お前さん。奇遇だね。
vo_adv_5085005_038.m4a|魔物どもが雁首揃えて並んでるねぇ。ふっ、やっぱりアタシたちにはこういうのが似合ってる。気合入れてくよ、アンタたち！
vo_adv_5096001_080.m4a|こいつは驚いた。随分と便利じゃないか。ん？　ナナカかい？　こんなとこでアンタに会うとはね。
vo_adv_5096001_152.m4a|グレートトゥンヌスを一本釣りできちまうような、この世で最高の釣り道具が欲しくてね。
vo_adv_5096001_160.m4a|御覧の通り寄せ集めのメンツだが、不思議なことに目的は一致してるんだ。で、ナナカの目的はアレかい？　魔導……
vo_adv_5096001_165.m4a|……そうかい。楽しそうで何よりだよ。
vo_adv_5096001_188.m4a|待ちなエリコ。ここでおっぱじめたらアタシたちみんな泳がされる羽目になっちまうだろ。
vo_adv_5096003_031.m4a|おまけにこちらの吸血鬼さまがすっかり標的にされちまってね……あっさり敗退さ。
vo_adv_5096003_032.m4a|慰めてくれるのかい？うれしいじゃないか。お前さんたちの活躍、応援してるよ。
vo_adv_5096004_015.m4a|そんな恐ろしいものを飲ませようとするんじゃないよ。誰で確認したかは聞かないでおくけど、ミツキといいアンタといい、ほどほどにしときな。
vo_adv_5096005_012.m4a|無念ってほどのもんも、別にないけどね。こうして朝から呑めるだけで十分ってもんさ。
vo_adv_5096006_026.m4a|よくいうよ。アンタ、最初っから気づいていたんだろ？だから島についてすぐ手を抜いて負けてみせて、バカンスだけ味わう気だった。違うかい？
vo_adv_5096006_028.m4a|よしな。あの子たちみたいにアタシたちが争うなんてことになってみな。島の形が変わっちまう。それもあってこいつは手を引いたってわけさ。
vo_adv_5096006_033.m4a|そこは運営としても一番の誤算だったろうね。でもまあ、元々騙すような真似するつもりだったんだ。いい気味じゃないか。あの子たちのことだし、このままきっちり競い合っておしまいさ。
vo_adv_5096006_135.m4a|こっちが楽しく一杯やってる間に、随分と面白いことになってるじゃないか……アタシたちも交ぜてもらおうか！　せいっ！
vo_adv_5096007_064.m4a|戦ってる時から、なんとなくこうなる気はしてたよ。何から始めりゃいいんだい？
vo_adv_9004011_001.m4a|ああ、本当に美味いねえ。待った甲斐があるってもんだよ。
vo_adv_9004011_003.m4a|おや、なんのことって顔だね。お前さん、正月に買い逃した縁起物の餅が再販されるって聞きつけて来たんじゃないのかい？
vo_adv_9004011_005.m4a|ま、こうして話してる間にもどんどん行列が長くなってるけどね。ん？　あれは……
vo_adv_9004011_009.m4a|けど、最後まで諦めなければこの前のシェフィみたいに上手くいくもんだよ。だろ？　お前さん。
vo_adv_9005012_001.m4a|なに、いいってことさ。絵を描ける静かな場所が欲しかったんだろ？ウチでよければいくらでもつかってくれ。
vo_adv_9005012_002.m4a|それに、少々喧しいが暇な連中もいるからね。なにか手助けくらいにはなるだろうさ。
vo_adv_9005012_012.m4a|……すまないね、少々どころじゃなく喧しかったよ。静かな場所がいいなら、別の場所を用意してあげようか？
vo_adv_9005012_014.m4a|なるほど、ね。さて、ならアタシも少しは手助けするとしようかね。
vo_adv_9005012_016.m4a|縁起物を探しに行った旅の頃より、笑顔が増えたね。……いいことさね。
