vo_adv_1025009_048.m4a|スズメッ？
vo_adv_5088000_039.m4a|ふふっ、ひとまずお試しってところでどうかしら。ミサキちゃん、そんなに硬くならなくていいから、リラックスして楽しんでいってね。
vo_adv_5088000_041.m4a|それじゃあ今度こそあたしは行くわね。留守番よろしくね。
vo_adv_5088003_087.m4a|どう？　順調にやってるかしら。なんだか賑やかな声が聞こえるけど……
vo_adv_5088003_089.m4a|……そんなことがあったの？　大変だったわね。すぐに戻ったほうがいい？
vo_adv_5088003_092.m4a|……驚いたわ、スズメがそんなことを言うなんてね。
vo_adv_5088003_094.m4a|……あんたがそう言うなら、信じるわ。だけど、もし何かあったらすぐに教えてよ？　それだけは頼むわよ。
vo_adv_5088003_096.m4a|それにしても楽しそうな声。その場にいられなくて残念だわ。
vo_adv_5088006_091.m4a|ただいま、二人とも。留守番は大成功だったみたいね？
vo_adv_5088006_104.m4a|それにしても、みんな本当によくやってくれたわね。あたしより商才があるんじゃないかしら。
vo_adv_5088006_105.m4a|これを足掛かりに、【サレンディア救護院】のギルド活動の幅を広げていきたいわね。
vo_adv_5088006_106.m4a|それに……ミサキちゃん。せっかく来てくれたのに、ずっと留守でごめんなさいね。
vo_adv_5088006_107.m4a|勇気をだしてうちの門をたたいてくれたことも、いろんな仕事に挑戦したことも。もう十分にレディになるための糧になってるって、あたしは思うわ。
vo_adv_5088006_108.m4a|レディになるための階段を、ずいぶん上ったんじゃない？
vo_adv_5088006_109.m4a|応援してるから、いつでも遊びに来て。クルミもアヤネも、子どもたちも喜ぶと思うから。あたしも、ゆっくり話がしてみたいわ。
vo_adv_5096001_037.m4a|──よかった、ここにいたのね、モニカさん。あら、あんたじゃない。どうしてここに……
vo_adv_5096001_039.m4a|レイさん！？　珍しいこともあるのね……レイさんがこういう所に顔を出すなんて。
vo_adv_5096001_041.m4a|助っ人、というよりは目的が一致したから協力してるって感じね。
vo_adv_5096001_044.m4a|顔見知りってところが妥当じゃないかしら。サレンよ。どうぞよろしく。
vo_adv_5096001_046.m4a|そちらの方もそうなのかしら？
vo_adv_5096001_049.m4a|こちらこそ。でもそんなにかしこまらないでいいわよ。元は庶民の名ばかり貴族だから。
vo_adv_5096001_172.m4a|ええ、救護院のみんなと食べるおいしいお菓子を……ってね。クロエさんも同じなのよね？
vo_adv_5096001_177.m4a|あいつへの！？
vo_adv_5096001_184.m4a|えっ！？　その……ホマレさんはあいつのこと、そういう目で見てるんですか？
vo_adv_5096001_186.m4a|そ、そうなんですか……
vo_adv_5096002_019.m4a|心配しないで、モニカさん。チームなんだから、協力して戦えばきっとなんとかなるわ。
vo_adv_5096003_009.m4a|ふふっ。モニカさんったら、お菓子であんなにはしゃぐなんてうちの子どもたちみたいね。
vo_adv_5096003_058.m4a|このゲームだと、別に相手を倒さなくてもいいのよね？だったらそんなにお互い敵対視する必要もないんじゃないかしら？
vo_adv_5096003_090.m4a|ニノンさん。諦めるにはまだ早いわ。ギリギリまで考え抜いてから決断しましょう。
vo_adv_5096003_115.m4a|このお礼はどこかで必ずさせてちょうだい。それじゃあ、お互い無事に勝ち残りましょ！
vo_adv_5096004_020.m4a|せっかくバカンスに来てるんだし、みんな一緒に食べるのがいいんじゃないかって話になったのよ。
vo_adv_5096005_120.m4a|ここでもクールに燃え上がるわよ！あんたたちが相手だからって、手加減しないから！
vo_adv_5096005_138.m4a|体重が軽すぎてコーナリングの時に踏ん張りきれなかったんだわ……
vo_adv_5096006_141.m4a|クロエさんは危ないから下がってて。何かあったら学院の先生方に申しわけが立たないわ。
vo_adv_5096007_071.m4a|今度は子どもたちを連れてきてあげたいわね。クロエさんもよかったら、一緒にどうかしら？迷惑じゃなければだけど。
vo_adv_5100001_014.m4a|その、伝説の羊に、会いに行く必要があるってこと？世界の果てにある深い森の……大きな樹まで？
vo_adv_5100001_019.m4a|ほらほら、ちょっと落ち着いて！そんな拝まないでよ！
vo_adv_5100001_020.m4a|……ちょっと。あんたまで……もう、仕方ないわね……アヤネ、今言ったこと、忘れちゃダメよ？
vo_adv_5100001_022.m4a|……いいわ、行ってらっしゃい。あんたが自分から何かやりたいって言うこと、あんまりないものね。正直、心配だわ。あたしも聞いたことのない場所よ。
vo_adv_5100001_023.m4a|たどり着けるかどうかも分からないけど……きっとね、そこに行きたいって思う気持ちが今のアヤネにはきっと大切なものだから。
vo_adv_5100001_024.m4a|ちゃんと準備していくのよ？忘れ物しないようにね。ぷうきちも、怪我が治ったばっかりで悪いけど、この子のことよろしく頼むわね。
vo_adv_5100001_027.m4a|きゃっ！　ちょっと、抱き付くんじゃないわよ、もう。ちゃんと、楽しんでくるのよ？
vo_adv_5100001_029.m4a|……でも心配だわ。あんた、ちゃんと見ててあげてね？　絶対絶対絶対、頼むわよ。アヤネはうちの大事な子なんだから。困ったときは助けてあげて。
vo_adv_5100001_030.m4a|よかった。って……過保護かしら、あたし。でもしょうがないわ。救護院の子たちはみんな家族と同じ。
vo_adv_5100001_031.m4a|一緒に暮らすのは楽しいけど、こういう時の心配もやっぱりどうしたって出てきちゃうのよね。
vo_adv_5100001_032.m4a|それにしても、こんなアヤネは初めて見るわ。ちゃんと成長してるってことなのかしら。お土産話を楽しみにしてるから……あんたも、気を付けて行ってきてね。
vo_adv_5100001_076.m4a|マホさんすごいわね。服まで自分で作っちゃうなんて。しかも、アヤネの分まで。いいの？
vo_adv_5100001_078.m4a|うちの広間、子どもたちがあたしに服を作ってくれたこともあったし、もしかしたらお裁縫に向いてるのかもしれないわ。使ってない夜しか貸してあげられなくて申し訳ないけど。
vo_adv_5100001_079.m4a|にしても、世界の果ての森まで行くなんて、勇気あるわね。
vo_adv_5100001_081.m4a|それでもいいのよ。きっかけは、人それぞれなんだもの。そうでしょ？
vo_adv_5100001_083.m4a|それじゃあ、頑張ってね！あんまり根を詰めないようにね。
vo_adv_5100007_053.m4a|ちょっと、少し落ち着いてちょうだい。さっきからずっとしゃべり通しで疲れないの？
vo_adv_5100007_055.m4a|ちょっと一息入れて、お茶にしましょう。お土産話は、長く楽しめる方がいいもの。みんなが今日はフルーツ入りのケーキを焼いてくれたのよ。
vo_adv_9003503_011.m4a|この救護院と子どもたちは、必ず守ってみせる！行くわよ、スズメ！
vo_adv_9003507_006.m4a|ここまでよ。いくら敵だからといって、子どもの命まで取らないわ。
vo_adv_9003507_017.m4a|あんたたちはお留守番！わかったわね！
vo_adv_9003511_006.m4a|ここまでよ。いくら敵だからといって、子どもの命まで取らないわ。
vo_adv_9003511_017.m4a|後は任せたわ、あんたたち！
vo_adv_9004010_005.m4a|ええ。ここのお菓子を買いに行くっていうだけで、うちの子たちがそわそわしてついてきたがるくらい評判のお店なのよ。
vo_adv_9004010_014.m4a|ちょっと大げさすぎない？ま、よろこんでもらえたならいいわ♪
vo_adv_9004010_018.m4a|でも、そういうところがアキノさんのいいところよね。これからもああやって、いろんな騒動……じゃなくて、出会いを作っていくんじゃないかしら。
vo_adv_9005005_002.m4a|待ちなさーいっ！　アキノさん、何を考えてるのよ！ちょっと買い食いしただけのお店を丸ごと買おうとするなんて！
vo_adv_9005005_006.m4a|あなたの直感を信じてないわけじゃないけど、加減を知りなさいって言ってるの！今日これで何件目だと思ってるの！？
vo_adv_9005005_018.m4a|──とにかく、お金があればいいってものじゃないわ。なにもかもお金で解決してたら、自分自身の成長にならないわよ。
