vo_adv_1169001_000.m4a|はーい、ちょっとお待ちいただけますかー？
vo_adv_5068001_089.m4a|それじゃ、これからもよろしくね。
vo_adv_5068001_114.m4a|で……
vo_adv_5068001_117.m4a|みんなお疲れさま！納期をきっちり守って、クオリティもクリア！　効率よく働けたわね！
vo_adv_5068001_121.m4a|そういえば、次に作る商品は決まってましたっけ？
vo_adv_5068001_123.m4a|その反応……工場長、もしかして？
vo_adv_5068001_128.m4a|工場長が考えないと、私たちはどうにも……
vo_adv_5068002_024.m4a|ふふ、やる気十分ね。その調子で頼むわよ。
vo_adv_5068002_025.m4a|そうそう、あなたの頑張りに刺激されたのか、他の従業員のやる気も上がってるのよ。
vo_adv_5068002_026.m4a|アオイちゃんが入ってから、工場全体の効率が5.6ポイントも上昇してるわ。
vo_adv_5068002_029.m4a|ええ、もちろんよ。
vo_adv_5068002_041.m4a|……タマキさん？　どうしてここに……？というか、ここおもちゃ工場だから。たい焼きは作れないから……
vo_adv_5068002_043.m4a|それはこっちのセリフよ。たい焼き工場だと思って、ここに来たのね。一体どうして？
vo_adv_5068002_045.m4a|ああ、あの時の……みんなでゼロから建てたのにね……あれは思い出したくもないわ……
vo_adv_5068002_049.m4a|うーん……多分なんだけど……私、バイト先の一覧表をアキノさんに提出してるの。それにはもちろん、このおもちゃ工場も載っているわ。
vo_adv_5068002_050.m4a|だから、たい焼き工場だと勘違いして、ここに連絡しちゃったのかもしれないわ。工場って文字だけしか見てなかったのかも。
vo_adv_5068002_052.m4a|ま、経緯はどうでもいいわ。今日からよろしくね。
vo_adv_5068002_054.m4a|人員が増えたことだし、もっと工場の効率が上がりそうだわ！
vo_adv_5068002_056.m4a|タマキさんにぴったりな作業といえば……あ、そうだわっ！
vo_adv_5068002_058.m4a|当然よ。ここに来たのも何かの縁じゃない。
vo_adv_5068002_059.m4a|作ってるのはおもちゃだけど、たくさんの機械を扱って運営しているわ。たい焼き作りとは違うかもしれないけど、学べることはあるはずよ。
vo_adv_5068002_060.m4a|だから、この工場を効率よく回すためによろしくね。
vo_adv_5068002_062.m4a|優秀な人材の確保は、最高効率への近道。
vo_adv_5068002_063.m4a|タマキさんの手先の器用さは、よーく知っているわ。ここでは細かい部品を扱う部門に適性があるはず。
vo_adv_5068002_064.m4a|私の前に現れた以上、逃しはしないわよ。しっかり働いてもらいますからね。
vo_adv_5068002_065.m4a|それじゃよろしく。
vo_adv_5068002_092.m4a|私の計算によると……現在の工場の全体効率は、98.2ポイントよ！
vo_adv_5068002_093.m4a|あなたたちならもっと高められるはず！さあ最高効率を目指すわよ！
vo_adv_5068002_099.m4a|はあっ！
vo_adv_5068002_100.m4a|……ふう。間一髪ね。
vo_adv_5068002_102.m4a|あんまり一人で気負いすぎたらダメよ。工場はチームプレイなんだから。困ったことがあったらなんでも言ってちょうだい。
vo_adv_5068002_109.m4a|ちょっと見せてみて。……うんうん。いいわね、バッチリじゃない！
vo_adv_5068002_118.m4a|タマキさんは、うちのギルドの中でも一番手先が器用なの。もう少し細かいデザインのおもちゃも作れるようになるかも。
vo_adv_5068002_120.m4a|97……
vo_adv_5068002_127.m4a|ふふ。その調子よ、タマキさん。
vo_adv_5068002_131.m4a|却下よ。今からじゃ追加なんて、間に合わないわ。
vo_adv_5068002_145.m4a|まあスケジュール的にも問題ないし、たまには息抜きも必要かしらね。タマキさんとアオイちゃんの歓迎会も兼ねましょうか。
vo_adv_5068002_146.m4a|それじゃあ準備にとりかかるわよ！
vo_adv_5068003_002.m4a|ユカリさんがいなくて良かったわね。この前、冬にやったパーティーでも大変だったし……
vo_adv_5068003_003.m4a|おっと……噂をすれば駆けつけてくるかもしれないし、これ以上口にするのはやめておきましょうか。
vo_adv_5068003_006.m4a|ともかく行ってみましょう！　倉庫のほうよ！
vo_adv_5068003_008.m4a|アオイちゃん、どうしたの！？
vo_adv_5068003_010.m4a|落ち着いてちょうだい。そんなおもちゃ、あるわけ……
vo_adv_5068003_016.m4a|でも、おもちゃが動くなんて……おもちゃの姿をした魔物の一種なのかしら？
vo_adv_5068003_028.m4a|にわかには信じがたい話だけど……事実、こうして動いているものね……
vo_adv_5068003_029.m4a|まあ経緯はともかく……どうして今日まで誰にも見つからなかったのかしら？
vo_adv_5068003_030.m4a|倉庫は頻繁に出入りがあるし、すぐに気付かれそうなものだけど。奥のほうに積まれていたとはいえね。
vo_adv_5068003_036.m4a|はい？　ぼっち精神？
vo_adv_5068003_039.m4a|……？　どういうこと？
vo_adv_5068003_043.m4a|ぼっちあるある……？どういう理論か分からないけど、まあいいわ……
vo_adv_5068003_044.m4a|とにかく……あなたは元々おもちゃで、昔みたいに子どもと友達のように遊びたいって願ってたら、意志が芽生えたってことね？
vo_adv_5068003_046.m4a|昔って、一体どれくらい前なのかしら……？
vo_adv_5068003_047.m4a|あなたの持ち主は、場合によってはもう大人になっていて、おもちゃで遊ぶっていう歳でも……
vo_adv_5068003_071.m4a|ふふ、パーティーのサプライズプレゼントってところかしら。
vo_adv_5068003_072.m4a|昔人気だったおもちゃみたいだし、今の子どもだけじゃなく、レトロなおもちゃが好きな人たちも狙えそうね！
vo_adv_5068003_091.m4a|そうですね……なんとかしましょう！
vo_adv_5068003_092.m4a|欲しくても買えなかった子どもたちのためにも、最大効率のスケジュールを組みます！　腕の見せどころね！
vo_adv_5068003_093.m4a|みんな、やってやろうじゃない！気合い入れ直して、頑張りましょう！
vo_adv_5068003_120.m4a|あなたは、ただのおもちゃじゃないから……工場長も言ってたように、子どもたちが驚くんじゃないかしら？
vo_adv_5068003_121.m4a|きっといい案が見つかるから、もう少しだけ待っていてちょうだい。
vo_adv_5068003_137.m4a|これ……ペロペロ君のぬいぐるみじゃない！懐かしいわね！
vo_adv_5068003_139.m4a|これは、私がリゾートのビジネスに関わった時に、ペロペロフィッシュって魚を元に作ったぬいぐるみよ。そのリゾートのマスコットキャラなの。癒し系の顔してるでしょ？
vo_adv_5068004_001.m4a|見せてみて……うーん……これは一度ネジを外して、中のバネを新しくしたほうがいいかも。
vo_adv_5068004_008.m4a|ちょ、ちょっと落ち着いてくださいっ！一体何事ですか？
vo_adv_5068004_022.m4a|手がかりがあるとすれば、一つしか思いつかないわね……オリジナルのトイキングである彼なら、なにか知ってるかもしれないわ。
vo_adv_5068005_001.m4a|そうよ。子どもたちを襲ってるのに、それで友達になれると思っているの……？
vo_adv_5068005_026.m4a|そうよ、トイキング！　子どもたちやその親御さんたちは困っているの！遊んでるつもりなのは、あなたたちだけよ！　これ以上はやめて！
vo_adv_5068005_031.m4a|さっき回収したのも、また動きだした！？一体どういうことよっ！？
vo_adv_5068005_037.m4a|なんて大きさなの……！元々、合体機能なんてないのに……どうやって……！
vo_adv_5068005_042.m4a|おんぶなんて言ってるけど……このまま子どものところに行ったら、きっと怪我だけじゃ済まないわ。
vo_adv_5068005_077.m4a|{player}くん、力を貸して！アオイちゃんを守るわよ！
vo_adv_5068005_079.m4a|ぐっ……！
vo_adv_5068005_080.m4a|アオイちゃん、立ち上がって……！
vo_adv_5068006_005.m4a|ど、どういうこと！？　アオイちゃんのマイフレンドくんが、トイキングみたいに喋って動いてるわよ！？
vo_adv_5068006_011.m4a|そっか……！涙を流す直前に、{player}くんの力を受けたわよね？
vo_adv_5068006_012.m4a|その影響で、アオイちゃんの想いが、もっともっと強くなったのよ！マイフレンドくんが動きだすくらいにね！　素晴らしい友情の力だわ！
vo_adv_5068006_042.m4a|させないっ！
vo_adv_5068006_045.m4a|私もいるってこと、まさか忘れたとは言わせないわっ！
vo_adv_5068006_053.m4a|ううっ……なんてデタラメな強さなの……！やってくれるじゃない……さすがに今の攻撃は私でも……
vo_adv_5068006_055.m4a|{player}くん……！そうね……弟子に、恥ずかしいところ見せちゃったわね……！
vo_adv_5068006_064.m4a|鳥……？　それとも飛空艇……？
vo_adv_5068007_026.m4a|頼もしい人手が残ってくれて助かるわ。
vo_adv_5068007_027.m4a|何しろたくさんのおもちゃを一気に修理しなきゃいけないからね。アオイちゃんが抜けたら、効率がかなり下がってしまうわ。
vo_adv_5068007_028.m4a|タマキさん、あなたはどうするの？
vo_adv_5068007_031.m4a|ふふっ、ちゃっかりしてるわね。けど、頼りにしてるわ。
vo_adv_5068007_033.m4a|ええ！
vo_adv_5068007_039.m4a|待たせて、ごめんなさいね。もう暴れることはないから、安心して遊んでちょうだい。
vo_adv_5068007_042.m4a|ふう。これで最後……今の子で1100人目ね。トイフレンドくんも『トイキングJr.』も、買ってくれた全員に返し終わったわ。
vo_adv_5068007_048.m4a|かっこよく直せて、良かったわね。マイフレンドくんの顔が、なんだかうれしそうに見えるわ。
vo_adv_5068007_049.m4a|アオイちゃんに素敵な友達ができて……いいえ、旧友との友情を見ることができて、私もうれしいわ。
vo_adv_5068007_052.m4a|ふふっ、二人ともお疲れさま。まさかこんなことになるなんて思ってなかったけど、よく頑張ったわね。
vo_adv_5068007_053.m4a|バイトリーダーとしてお礼を言うわ。ありがとう！
vo_adv_5068007_055.m4a|そんなにかしこまらなくていいわよ。厳しい仕事を乗り越えたバイト仲間同士……私たちは戦友よ。
vo_adv_5068007_057.m4a|ええ！短い間だったけど、あなたとはいい関係を築けたと思うの！
vo_adv_5068007_060.m4a|ええ～～……
vo_adv_5068007_069.m4a|戦友はダメで、ビジネスパートナーはいいってこと？最後までアオイちゃんの対人価値基準が分からなかったわ……
vo_adv_5068007_070.m4a|まあ、そういうことなら【メルクリウス財団】と、あなたの【フォレスティエ】とも交流が増えそうね。
vo_adv_5068007_071.m4a|きっとまた何かの縁で会うことになるかもしれないわ。
vo_adv_5068007_073.m4a|それじゃあまたね。
vo_adv_5068101_011.m4a|さあ今日も一日、効率良く働きましょう。モットーは、事故ゼロ・怪我ゼロ・効率全開よ！
vo_adv_5068203_004.m4a|まずい、逃したか……！　子どもを探しにいったのね！
vo_adv_5068204_000.m4a|街がめちゃくちゃに……それに、この気配はなに……？まさかこれもトイキングの仕業……？
vo_adv_5068301_002.m4a|あの様子じゃ、私たちの声は届かないみたい……これ以上の口論は非効率的だわ。残念だけど、戦うしかないみたい……！
vo_adv_5068302_002.m4a|その通りよ！　私たちは、子どもたちの笑顔のために働いているの。泣いている姿を見るなんて、いやよ！
vo_adv_5068302_005.m4a|どうやらまだ頭は冷えてないみたいね……！感情的になってるから、油断は禁物よ！
vo_adv_5068308_005.m4a|けど、気をつけて……あの様子……トイキングはこれまで以上に本気よ！
vo_adv_5068322_004.m4a|あ、あれ……？タマキさん……？　工場にいるはずなのにどうして？
vo_adv_5068322_006.m4a|ううん、そんなはずはないわ……トイキングの歪んだ友情が作り出した幻ってところかしら……？
vo_adv_5068322_007.m4a|こんな芸当ができるなんて……これ以上、トイキングを暴れさせるわけにはいかないわ！もう一踏ん張りよ。さあ、モットーは……
vo_adv_5068323_000.m4a|いい動きだったわよ、アオイちゃん！見た目が同じとはいえ所詮は模造品。効率の良さで負けるはずないわ！
vo_adv_5068323_002.m4a|全く……まだ分からないの？あなたのことを……そして子どもたちのことを、本当に思っているからに決まってるじゃない！
vo_adv_5068323_006.m4a|いよいよ正念場よ……！もう一度効率を意識しましょう！
vo_adv_5068402_003.m4a|今の彼になら、きっと言葉が届くはずだわ！
vo_adv_5068404_000.m4a|これで回収20回目……っと。キミもいい働きっぷりね。師匠としても、バイトの上司としても誇らしいわ！
vo_adv_5068405_000.m4a|トイキングの回収は、これで30回目よ！アオイちゃん、お疲れさま。よく頑張ったわね！
vo_adv_5068405_002.m4a|でも、現状に満足した瞬間、成長は止まってしまうわ。貪欲さを忘れないでちょうだい。さすれば究極効率への道は開かれるの！
vo_adv_5068411_002.m4a|ふふっ。二人とも、いい働きっぷりだったわよ。みんなの頑張りが、子どもたちの笑顔やおもちゃたちの生きがいに繋がったわ。
vo_adv_5084644_000.m4a|{player}くん、眠ったままなのね……
vo_adv_5084644_001.m4a|何か私にできることはないかしら。きっとあるはずよ。こういうときこそ効率的に動かないと。
vo_adv_5084644_002.m4a|これまで彼にはいろいろなことを教えてきたじゃない。師匠として頼りない所は見せられないわよね。
vo_adv_5085002_001.m4a|そこはタダにしてあげないのね……私も、この間のおもちゃ工場みたいないいアルバイト、見つけておくわ。元気になったら、また一緒に働きましょうね。
vo_adv_5085002_003.m4a|ユカリさん！？いくらなんでも麦しゅわはダメよ！？
vo_adv_5094001_112.m4a|仕事を放っぽり出して消えるなんて、らしくないわよね。いくら酒癖が悪いとはいえ、責任感は誰よりも強いもの。
vo_adv_5094001_114.m4a|キミ！　来てくれて、ありがとう！それがね……一大事なのよ！
vo_adv_5094001_118.m4a|そういうわけだから、悪いけどユカリさんを探してくれないかしら？私たちは、仕事の穴を埋めるのに忙しくて……
vo_adv_9004004_010.m4a|相変わらずアオイちゃんは一人相撲しがちなんだから。まあ、そういうところがあなたの持ち味だと思うけど。効率的にはあんまりよくないから、一言相談してほしかったわね。
vo_adv_9004004_023.m4a|あっ、ちょっとアオイちゃん！？行っちゃったわね……みんな友達なんだから、そんなに気を遣わなくていいのに。
vo_adv_9005005_007.m4a|……７件目ですね。サレンさんがいるからか、いつもよりハイペースだわ。
vo_adv_9005005_015.m4a|こっちにも問題児がいたわね。……タマキさん、ユカリさんをお願い。私は子どもたちを避難させるわ。
