vo_adv_1021004_000.m4a|お兄ちゃ～ん……♪
vo_adv_1021012_060.m4a|……っ！みなさんにそう言ってもらえて……よ、良かったですぅ……！！
vo_adv_1021012_062.m4a|わわっ！？……え、えへへっ♪急にびっくりしちゃいますよ、お兄ちゃん……っ♪
vo_adv_1213001_000.m4a|うーん……ううーん……
vo_adv_1213001_001.m4a|ああ、ダメ。全くアイディアが浮かばないよぅ……ミサキちゃんはあんなふうに背中を押してくれたけど、本当にできるのかな。
vo_adv_1213001_002.m4a|あの場ではできそうな気がしてたけど、やっぱり、私なんかには無理……
vo_adv_1213001_003.m4a|お芝居でやりたいこと、表現したいこと……たくさんあるけど……一番やりたいのは、みんなを元気づけるお芝居。
vo_adv_1213001_004.m4a|感動して、明日から勇気を出して、頑張ろうって思えるような……！
vo_adv_1213001_005.m4a|だけど、そんなお話なんて、すぐには思いつかないし。……うぅ～
vo_adv_1213001_006.m4a|みんなが待ってくれてるんだもの。がんばら、なくちゃ……
vo_adv_1213001_007.m4a|………………すう、すう……
vo_adv_1213001_008.m4a|……すぅ、すぅ……ん……あれ、私、寝ちゃって……？
vo_adv_1213001_009.m4a|そうだ、脚本を考えながら…………この毛布、誰かがかけてくれたの……？
vo_adv_1213001_010.m4a|お兄ちゃん……？　どうしてここに……
vo_adv_1213001_011.m4a|物産展の準備が残ってたから、それを片付けに……ですか？
vo_adv_1213001_012.m4a|……こんなに遅くまで、お疲れさまですぅ。昼間もバイトして、私たちにも付き合ってくれて。
vo_adv_1213001_013.m4a|お兄ちゃん、こんなに遅くまで働いて……体を壊したりしないでくださいよぅ……？
vo_adv_1213001_014.m4a|あれ…………じゃあ、毛布もお兄ちゃんが？
vo_adv_1213001_015.m4a|そうだったんですか。ありがとうございますぅ。でも、もしかして。私の世話をするっていう、バイトじゃないですよね……？
vo_adv_1213001_016.m4a|ひゃわ！？あ、頭は撫でないでぇ……！バイトじゃないってことはわかりましたからぁ！
vo_adv_1213001_017.m4a|ひゃぁあん、髪の毛くしゃくしゃだし、これ以上はダメぇ！
vo_adv_1213001_018.m4a|でも、子供はもう寝てる時間……ですか？
vo_adv_1213001_019.m4a|確かに、そうですけど……今、お芝居の脚本を作ってて。だけどなかなかうまくいかなくて……だから、夜更かしになっちゃったんですぅ。
vo_adv_1213001_020.m4a|ううん。大丈夫ですぅ。私、もうちょっと頑張らないと。睡眠時間？　さっき寝てたから、平気ですよぅ♪
vo_adv_1213001_021.m4a|それよりお兄ちゃん。疲れてるんじゃないですか？昼のバイトから、ずうっと働きどおしなんですよね？
vo_adv_1213001_022.m4a|じゃあ、私のことより……お兄ちゃん、ここに座っていてください♪
vo_adv_1213001_023.m4a|今から、特製のココアを作ってあげますね。甘くて、ミルクたっぷりの、疲れが吹き飛ぶココアですよぅ？毛布のお礼です。ね？
vo_adv_1213001_024.m4a|えーっと、お鍋お鍋……あぅ、お鍋は行方不明になっちゃったんだっけ。予備のお鍋が、たしかこのあたりにあったような……
vo_adv_1213001_025.m4a|ありました、ありました♪お砂糖壺はこっち、ココアの粉はここ……♪
vo_adv_1213001_026.m4a|牛乳を温めて、そーっとくるくる……混ざってきたら、疲れも吹き飛ぶ甘いココアの出来上がりですぅ♪
vo_adv_1213001_027.m4a|さぁ。お兄ちゃん。美味しいココアを召し上がれ。
vo_adv_1213001_028.m4a|はい。熱いですから、やけどに気を付けてくださいね。
vo_adv_1213001_029.m4a|……っ！
vo_adv_1213001_030.m4a|違うんです……だけど、お兄ちゃんこのココア、飲んじゃダメぇ……お砂糖が足りなくて苦くなっちゃったみたい。
vo_adv_1213001_031.m4a|これじゃお兄ちゃんの疲れを吹き飛ばすのは難しいから……違うもの、作りますね……
vo_adv_1213001_032.m4a|私ったら、何をやってもうまくいかないですぅ……お兄ちゃんに、せめて元気になってもらいたかったのにな。
vo_adv_1213001_033.m4a|どうしたんですか、お兄ちゃん？　何か忘れものでも……これって、マシュマロですよね。え……これを、私に？
vo_adv_1213001_034.m4a|甘いお菓子と一緒なら、ちょうどバランスがとれるかも……ですか？なるほど！　そうですね……♪
vo_adv_1213001_035.m4a|確か、マシュマロはココアに乗せてもおいしいって聞いたことがありますぅ。やってみましょう、お兄ちゃん！
vo_adv_1213001_036.m4a|ふぁ……あつあつのココアがちょっと苦くて、溶けたマシュマロがふわふわ甘くて♪これは……大成功ですぅ。
vo_adv_1213001_037.m4a|それにしても、マシュマロ、たくさんですねぇ。もう、カップには山盛りだし。
vo_adv_1213001_038.m4a|あ、そうしたら……！ちょっと、待っててくださいね。私がおやつに焼いたクッキーが、まだ少し残ってたはず。
vo_adv_1213001_039.m4a|これで、炙ったマシュマロを挟むととっても美味しいって、クッキーのレシピの本に書いてあって、いつかやってみたいと思ってたんですぅ♪
vo_adv_1213001_040.m4a|そうだ、チョコレートも少し挟んでみたらどうかな……ふふふっ、おいしそうですぅ。
vo_adv_1213001_041.m4a|どうぞ、お兄ちゃん。熱いですから気を付けて食べてくださいね。ちょっと焦げたマシュマロと、クッキーのいい匂い……チョコレートも溶けて、つやつや……
vo_adv_1213001_042.m4a|お兄ちゃんと二人で、こんなお夜食が食べられるなんてちょっと幸せかも。あれ……お兄ちゃん？　なんですか？
vo_adv_1213001_043.m4a|お外に行くって……カップを持ったままは、お行儀が悪いですよぅ？
vo_adv_1213001_044.m4a|ま、待ってください、行くなら私も……今、トレイに載せますから。
vo_adv_1213001_045.m4a|ちょっと寒いですね、お外。でも、星はとってもキレイ……せっかくだから、ここに座りましょうか。そうしたら、お行儀も悪くないです♪
vo_adv_1213001_046.m4a|マシュマロもココアもあったかくて……お外で飲むのもいいですねぇ。ふふ、ふふっ。
vo_adv_1213001_047.m4a|なんだか、ちょっと元気が出ますぅ。
vo_adv_1213001_048.m4a|ひゃわ！？　な、悩んでたとか……っそんなこと……なくはないですけど……っなんでわかるんですか……お兄ちゃん……
vo_adv_1213001_049.m4a|顔で……？私、そんなわかりやすいですか……？
vo_adv_1213001_050.m4a|うぅん、お兄ちゃんは何でもお見通しなんですね……実は、作ろうとしているお話がうまくできなくて。
vo_adv_1213001_051.m4a|ベルルちゃんみたいに、みんなに愛されて、みんなを勇気づけられて、楽しくて、引き込まれるようなお話……
vo_adv_1213001_052.m4a|演じる人にも、観てくれた人にも、良かったって言ってもらえるようなお話を作りたかったんですけど。
vo_adv_1213001_053.m4a|私、どうしてもそういうお話が作れなくて……っ。せっかくやるなら、いいお話にしたいんですぅ。お兄ちゃん、どうしたらいいですか……？
vo_adv_1213001_054.m4a|なんて、そんなこと……聞かれても困っちゃいますよね。ごめんなさい。
vo_adv_1213001_055.m4a|世界中にはお話がたくさん、たくさんあるのに。救護院の小さな子たちに、何度も昔話や星座のお話を読んであげてるのに……
vo_adv_1213001_056.m4a|新しく作るのは、こんなにも大変だなんて。
vo_adv_1213001_057.m4a|ほら、あの空の星。全部、一つ一つにお話があるんですよぅ。私が知ってるのは、ほんの少しですけど……
vo_adv_1213001_058.m4a|お兄ちゃんも興味があるんですか？星座のお話と言えば……一番人気があるのは……やっぱり逆さキノコ座のお話ですぅ♪
vo_adv_1213001_059.m4a|ある時、男の子が森で道に迷っていると……
vo_adv_1213001_060.m4a|……というわけで、二人は空に帰ったのでした。おしまい♪
vo_adv_1213001_061.m4a|えへへ……そう言ってもらえるとうれしい……他には、ほら！　あそこにあるのは踊るゴーレム座。ゴーレムたちは、ある日……
vo_adv_1213001_062.m4a|お兄ちゃん、こういうお話、好きなんですね♪
vo_adv_1213001_063.m4a|不思議だけどちょっとへんてこなお話が星座にはたくさんあって。私も大好きですぅ。だけど、今ので私が覚えてるお話はもう……あ！
vo_adv_1213001_064.m4a|こういうのは、どうですか？昔々あるところに、記憶喪失の男の子がいました。
vo_adv_1213001_065.m4a|はい、そうです、お兄ちゃんがモデルのお話ですぅ。男の子はある時……
vo_adv_1213001_066.m4a|お兄ちゃんが、疲れを忘れて、私のお話を楽しんでくれる……♪こんな、何でもない即興のお話なのに。
vo_adv_1213001_067.m4a|ちょっと変なお話でも、何でもないような出来事でもこうして誰かを、元気にすることができるんだ……
vo_adv_1213001_068.m4a|それなら、私も……あんまり難しく考えないで……
vo_adv_1213001_069.m4a|気軽に楽しめるお話を、作ってみようかな。
vo_adv_1213001_070.m4a|ふふっ。お兄ちゃんったら、なんだか……弟みたい、ですよぅ……？ちょっと待ってくださいね。今続きを考えますから。
vo_adv_1213001_071.m4a|私、頑張ります。お兄ちゃんにも、みんなにも楽しんでもらえるように。
vo_adv_1213001_072.m4a|だから、応援していてくださいね。お兄ちゃん……
vo_adv_1213002_004.m4a|…………
vo_adv_1213002_005.m4a|……………………す、すごい……
vo_adv_1213002_006.m4a|すごい、すごい、すごかったですね……お兄ちゃん！最初からずっと、引き込まれっぱなしでした！
vo_adv_1213002_007.m4a|主役の役者さんも、相手役の人も……どうしてあんな、迫力のある演技ができるんでしょう……！？
vo_adv_1213002_008.m4a|はい！　とっても！
vo_adv_1213002_009.m4a|だけど、私にあれだけの演技ができるかっていうと……まだまだ修行が足りないって思っちゃいますぅ。
vo_adv_1213002_010.m4a|お芝居自体は、とっても参考になりました……！
vo_adv_1213002_011.m4a|私も、こんなふうに……ううん、これ以上に、みんなに楽しんでもらえる舞台にしたい！お客さんみんなを、笑顔にしたい……！
vo_adv_1213002_012.m4a|もっともっと、強い気持ちで思いました。私たちの舞台に足りないこと、もっともっと埋めていきたい……
vo_adv_1213002_013.m4a|そのためにはやっぱり練習が必要なんですぅ。絶対に、舞台は成功させなくちゃ。
vo_adv_1213002_014.m4a|みんな、私を信じて任せてくれたから……みんなに楽しんでもらいたいから……何があっても大丈夫なように！
vo_adv_1213002_015.m4a|お兄ちゃん。……私、今から牧場に戻りますね。自分にできること、全部、全部やっておきたいんですぅ……！
vo_adv_1213002_016.m4a|……はい！　ありがとうございますぅ、お兄ちゃん。
vo_adv_1213002_017.m4a|ここで……こう！
vo_adv_1213002_018.m4a|『ねえ、あなたは本当に……チーズの精なの？』
vo_adv_1213002_019.m4a|『だけど……私にできることなら……！』
vo_adv_1213002_020.m4a|『チーズとみんなの夢を、守りたい！』
vo_adv_1213002_021.m4a|……うーん……ちょっと違う……かなぁ……場所はこの辺りで……
vo_adv_1213002_022.m4a|『ねえ、ミサキちゃん。私たち……みんなのためにチーズを守ろう？私たちで……みんなの夢を、守りたいの！』
vo_adv_1213002_023.m4a|『悪いネズミがいるなら』
vo_adv_1213002_024.m4a|……っ。この位置にミサキちゃんが来たら……私はこっちに動いた方が……
vo_adv_1213002_025.m4a|少し先で私が手を取ったら……ちょうど、この位置に来れるかなぁ？最初から一度確認しないと……！
vo_adv_1213002_026.m4a|もう少しだけ上手に移動して、そこからネズミたちとのダンスバトル……！
vo_adv_1213002_027.m4a|……ダメ。ここだと動いたときに危な……きゃあ！？足元が滑って！
vo_adv_1213002_028.m4a|お、お兄ちゃん！助けてくれて、ありが……ひゃわああ……！？
vo_adv_1213002_029.m4a|お、お、お、お兄ちゃん……っ！だ、だいじょうぶ、です、けどっ、ちっ、近い……ほっぺたがくっついちゃいそうですぅ……！
vo_adv_1213002_030.m4a|お願い、おろしてぇ……っ！
vo_adv_1213002_031.m4a|ご、ごめんなさいぃ……お兄ちゃん……せっかく助けてくれたのに……私、暴れたりして……
vo_adv_1213002_032.m4a|ダメだったわけじゃ、ないんですぅ！そうじゃなくて、うれしくて、でもちょっとびっくりして……！頭が混乱しちゃって、頬っぺたが熱くて……
vo_adv_1213002_033.m4a|それで……ドキドキ、しちゃって……そのぅ……
vo_adv_1213002_034.m4a|だ、だめ。忘れてください……
vo_adv_1213002_035.m4a|あ、その……顔が赤いのは熱のせいじゃなくて……大丈夫ですっ！　気にしないでぇ……！
vo_adv_1213002_036.m4a|だけど……舞台の端から足を滑らせるなんて、ちょっと疲れてるのかも。
vo_adv_1213002_037.m4a|もう、夕方になっちゃってたんですね……あと一頑張りしたら戻りますね、お兄ちゃん。
vo_adv_1213002_038.m4a|長い時間お付き合いしてくれて……ありがとうございます……♪
vo_adv_1213002_039.m4a|……え？　お兄ちゃんどこに行くんですか？手、手……繋いだらまた熱くなっちゃう……
vo_adv_1213002_040.m4a|ま、待ってぇ……お兄ちゃん……！
vo_adv_1213002_041.m4a|お兄ちゃん、ここ、温泉ですよぅ……？
vo_adv_1213002_042.m4a|えっ？　お兄ちゃん……？
vo_adv_1213002_043.m4a|……お兄ちゃん？なんだか足元がふらついてるような……って、その桶……なんですか！？
vo_adv_1213002_044.m4a|ここに座って……？　え、お湯……！そ、そんなの重くないですか……？
vo_adv_1213002_045.m4a|足を入れ……足湯……？
vo_adv_1213002_046.m4a|疲れてるときは、体を温めるのがいい？それは、確かにそうですけど……！
vo_adv_1213002_047.m4a|はい……ありがとうございますぅ……ふあぁ……あったかい……
vo_adv_1213002_048.m4a|無理なんてしてないですよぅ？私は、必要なことをしてるだけ……ですぅ……
vo_adv_1213002_049.m4a|「チーズお守り大作戦」……この舞台をお客さんに楽しんでもらいたいのも、もちろんですけど……
vo_adv_1213002_050.m4a|ミサキちゃんの初めてのステージだから、絶対に成功させたくて。例えばどこかのセリフがわからなくても、ステップを間違っても、ちゃんと私が助けてあげられるように……
vo_adv_1213002_051.m4a|……私も、お兄ちゃんみたいになりたいから。
vo_adv_1213002_052.m4a|お兄ちゃん、前に私を助けてくれましたよね。頭が真っ白になって、台詞が出てこなかったとき。あんなふうに……私も、同じ舞台に立つ人を助けたい。
vo_adv_1213002_053.m4a|それには私が、ちゃんとしなくちゃって、そう、思って。
vo_adv_1213002_054.m4a|だからもっともっと練習して、どこでどんなトラブルが起きてもいいように、私はしっかりしなくちゃいけないから。
vo_adv_1213002_055.m4a|え？　どうして……ですか？……その時になれば一人でに体がうごくから……？
vo_adv_1213002_056.m4a|あのとき、お兄ちゃんもそうだったから、ですか……
vo_adv_1213002_057.m4a|たくさん一緒に練習してきたから、困ったときも、うまくいくときも。タイミングもきっとわかる……
vo_adv_1213002_058.m4a|大丈夫かな。楽しめるの……かな……
vo_adv_1213002_059.m4a|でも……そうでした、お兄ちゃん。私……みんなに舞台を楽しんでもらいたい……
vo_adv_1213002_060.m4a|お客さんや、牧場のみんなにもっていうのはもちろんだけど、ミサキちゃんにも。なにより……私も、楽しんで舞台に立ちたい……！
vo_adv_1213002_061.m4a|それがきっと、お客さんを一番笑顔にできることでもある……そうですよね、お兄ちゃん。
vo_adv_1213002_062.m4a|『明日はついに……悪いネズミと戦う日。ミサキちゃんは、怖いと思う？』
vo_adv_1213002_063.m4a|『チーズとみんなの夢を守るために頑張ってきたけど……私たち、本当に勝てるのかな』
vo_adv_1213002_064.m4a|…………お兄ちゃん、ミサキちゃんの次のセリフは……
vo_adv_1213002_065.m4a|えっ！？　そこは『私も不安だけど、何とかなるわ』ですぅ……！
vo_adv_1213002_066.m4a|お兄ちゃん、言い間違えたのかな……だったら、私はここで……
vo_adv_1213002_067.m4a|『ありがとう、ミサキちゃん♪一人っきりだったら不安だけど……私たち二人なら……！　手を繋いで、戦いに行こう！』
vo_adv_1213002_068.m4a|……ふふふっ、お兄ちゃん。セリフ、全然違いますよぅ♪
vo_adv_1213002_069.m4a|でも、できました！台本と違う言葉が戻ってきても、ちゃんと自分のセリフをつなげられる……！
vo_adv_1213002_070.m4a|こんなふうにやれば、きっと大丈夫……リラックスして舞台に立てば、きっと失敗なんて怖くないですぅ♪
vo_adv_1213002_071.m4a|残りの練習時間はあと少し。みんなも、私も楽しめるように頑張りますぅ。
vo_adv_1213002_072.m4a|はふぅ……お兄ちゃんの足湯、すごいですね。心も体もあったまって……悩んでたことがぜーんぶ解けて消えちゃったみたい。
vo_adv_1213002_073.m4a|とってもとっても、元気になれました！
vo_adv_1213002_074.m4a|お兄ちゃん。また、明日、練習に付き合ってくれますか？
vo_adv_1213002_075.m4a|よかった！　……ありがとうございますぅ♪
vo_adv_1213002_076.m4a|お兄ちゃんが一緒にいてくれるだけで、こんなにも心強い気持ちになるから不思議……
vo_adv_1213002_077.m4a|なんでこんなに、安心するのかな……？
vo_adv_1213002_078.m4a|……私も、いつか。お兄ちゃんが困ってるときには、助けてあげられたらいいなぁ……
vo_adv_1213002_079.m4a|そのためにも、私はこのステージを、成功させなくちゃ。
vo_adv_1213002_080.m4a|……ね、お兄ちゃん……
vo_adv_1213003_000.m4a|おはようございまーす、お兄ちゃん！こっちです！いつもお手伝いありがとう♪
vo_adv_1213003_001.m4a|品物の補充を手伝ってもらえますか？ちょっと荷物が重くって。私は接客のお手伝いに行ってきますね！
vo_adv_1213003_002.m4a|ふぇっ！？　私、いつも元気だと思ってたけど、元気なさそうでしたか？
vo_adv_1213003_003.m4a|接客だけど、珍しく緊張してなさそう……？確かにそうかもです。普段の「クルミ」とはちょっと違うから、かな。
vo_adv_1213003_004.m4a|えぇと、普段のクルミと違うっていうのは、私が、今日は「チーズお守り大作戦」のクルミだから、なんですぅ。
vo_adv_1213003_005.m4a|チーズお守り大作戦のクルミは、みんなに元気を届ける役ですから、元気いっぱい、誰と会っても緊張なんかしないんですよ♪
vo_adv_1213003_006.m4a|役になり切ると、怖いことなんて吹き飛んじゃいます。いつもの私は、内気で、すぐ緊張しちゃうけど……なんて。えへへ……
vo_adv_1213003_007.m4a|本当は、それでも緊張しちゃうことはあるんだけど、そういう時は秘密の呪文を唱えます！
vo_adv_1213003_008.m4a|お兄ちゃんにも教えてあげますね。お客さんはチーズ、お客さんはチーズ、お客さんはチーズ……♪
vo_adv_1213003_009.m4a|そう考えれば全然怖くないし、チーズはおいしい味方だから。
vo_adv_1213003_010.m4a|えぇえ！？　なな、なんですかお兄ちゃん、そんなこと急に！？
vo_adv_1213003_011.m4a|かっこいいっていうのは、商売でみんなを幸せにする！　ってバリバリ働くアキノさんや、みんなのために使命感を持って頑張ってるママ・サレンみたいな人のことで……
vo_adv_1213003_012.m4a|私は、全然そんなんじゃないですよぅ！
vo_adv_1213003_013.m4a|うう～、私はまだまだだっていうのに、お兄ちゃんが話を聞いてくれないよぅ～
vo_adv_1213003_014.m4a|あれ？　売り場の方、何かあったのかな。行きましょう、お兄ちゃん。
vo_adv_1213003_016.m4a|あの子は、ついこの前、サレンディア救護院に来た子……
vo_adv_1213003_022.m4a|あっ、待って！
vo_adv_1213003_025.m4a|どうしたの？
vo_adv_1213003_029.m4a|緊張しちゃったの？
vo_adv_1213003_031.m4a|そっか。緊張してパニックになっちゃったんだね。ちょっと前の私と、おんなじですぅ。
vo_adv_1213003_036.m4a|みんなみたいに、楽しく働いたり、遊んだり……したかったんだよね？
vo_adv_1213003_038.m4a|それじゃあ、一つおまじないを教えてあげるね。内緒だよ？
vo_adv_1213003_039.m4a|お客さんはチーズ……♪　おいしい味方♪お客さんは、チーズ……♪
vo_adv_1213003_041.m4a|よかった。これでもう、何か聞かれても怖くないですね。
vo_adv_1213003_043.m4a|もちろん。チーズとみんなの夢を守るのが、私の使命♪……ね？
vo_adv_1213003_045.m4a|うん、行ってらっしゃい。
vo_adv_1213003_046.m4a|今日は売れ行き好調でしたね、お兄ちゃん。売り切れ仕舞いで、後片付けも早かったし。みんな喜んでました！
vo_adv_1213003_047.m4a|あの子も、ちゃんとお仕事できてよかったですぅ。ちょっとだけ、きっかけがあれば、勇気が出るんですよね。
vo_adv_1213003_052.m4a|はい……そうみたいですぅ。だけど、どうして「チーズお守り大作戦」ごっこなんでしょうね？
vo_adv_1213003_053.m4a|題材なら他にもいろいろあるのに。ちょっと前までは、「魔法少女ベルルちゃん」ごっこも流行ってたし。
vo_adv_1213003_055.m4a|う、うん。いいけど……どうしてチーズお守り大作戦なの？
vo_adv_1213003_059.m4a|そ、そうなんだ……
vo_adv_1213003_063.m4a|あぅ……待って待って！クルミ役も、やりたい人がやっていいんだから……
vo_adv_1213003_064.m4a|お兄ちゃん！それじゃ、私はチーズをさらう、怖い悪いネズミの役！
vo_adv_1213003_066.m4a|いいんですよぅ。お芝居をするときはね、だれでも、なんにでもなれるんです♪
vo_adv_1213003_067.m4a|だから、お兄ちゃんがチーズになっても、私がネズミになってもいいの。
vo_adv_1213003_068.m4a|怖がりな女の子がヒーローになったって、魔法少女になったって！目いっぱい、楽しまないとね。
vo_adv_1213003_071.m4a|何かやりたい役があったら教えて？
vo_adv_1213003_076.m4a|『ふっふっふ。俺たちはうまいチーズが欲しいんだ！さあ、早くよこせ！チーズも牛乳も、チーズ温泉饅頭も全部、全部だぞ！』
vo_adv_1213003_079.m4a|ふふふっ、よかった！お兄ちゃんのチーズ役も、迫真でしたね♪
vo_adv_1213003_083.m4a|えっ！？
vo_adv_1213003_085.m4a|私、かっこいい……ですか？全然そんなことないのに……
vo_adv_1213003_086.m4a|そっそんなまっすぐ言われると、逆に不安になっちゃいますぅ！
vo_adv_1213003_087.m4a|うーん、だけど、お兄ちゃんがそう言ってくれるなら信じてもいいのかも……？
vo_adv_1213003_088.m4a|もっ、もう、お兄ちゃん！今は違う話をしてるんですよぅ！
vo_adv_1213003_089.m4a|やっぱりかっこいい……？どっちなんですかぁ……
vo_adv_1213003_090.m4a|うぅ、お兄ちゃんに聞いたのが間違いだったのかな。え？　お芝居でみんなを幸せにしようとしてる……ですか？
vo_adv_1213003_091.m4a|はい♪　まだまだ頼りないけど、いつかはそんな人になりたいな。私、もっともっと頑張りますね♪
vo_adv_1213003_092.m4a|さぁ、私たちもお片付け、手伝わなくちゃ。行きましょう、お兄ちゃん！
vo_adv_1213003_093.m4a|早く早く♪
vo_adv_1213003_094.m4a|お兄ちゃんの言葉、とってもびっくりしたけど、私のこと、認めてくれてるんだよね。それってすごく……
vo_adv_1213003_095.m4a|すごく、うれしいですぅ……！
vo_adv_1213004_000.m4a|よいしょ、よいしょっと。見ててくれましたか、お兄ちゃん！干し草運びもだいぶ板についてきました。
vo_adv_1213004_001.m4a|もう転んだりしませんよ、私。
vo_adv_1213004_002.m4a|それにしても、いいお天気……♪牧場は空気もいいし、空も高くて、いつまでもいたくなっちゃいますぅ。
vo_adv_1213004_003.m4a|今日のお仕事はこれでだいたい終わりかな。夕方になったら牛さんを牛舎に連れて……
vo_adv_1213004_004.m4a|あれ？１、２、３……
vo_adv_1213004_005.m4a|お、お兄ちゃん。牛さんが一頭足りません！さっきまでいたはずなんですけど、一番小さい子……
vo_adv_1213004_006.m4a|牛さん、牛さーん！どこに行っちゃったのかな……
vo_adv_1213004_007.m4a|見える範囲にはいないし……
vo_adv_1213004_008.m4a|もしかして、あの柵のところ……壊れてるのかな？行きましょう。お兄ちゃん！
vo_adv_1213004_009.m4a|……ここ、日当たりが良くて牧草がたくさん生えてますぅ。草を食べに来て、もっと欲しくなって移動しちゃったみたいですね。
vo_adv_1213004_010.m4a|草を食べてたとすると……こっちかな。ちょっと足跡が残ってますよ、ほら。あ！　牛さん見つけた！
vo_adv_1213004_011.m4a|よかったぁ……どこに行っちゃったのかと思いましたよぅ。ダメでしょう、いきなりいなくなっちゃったら。
vo_adv_1213004_012.m4a|ここの草が食べたかったの？ふふっ、そうですねぇ。菜の花にクローバーにタンポポに。春のお花が満開で、柔らかい牧草もたくさん。
vo_adv_1213004_013.m4a|ご馳走たくさんだったんですねぇ♪それじゃあもう少し食べていきますか？遠くに行かないようにロープは繋がせてね。
vo_adv_1213004_014.m4a|私たちも少し休憩しましょうか、って。お兄ちゃん？　どこを見て……
vo_adv_1213004_015.m4a|あっ！　本当！ここ、舞台に向かう近道だったんだ。秘密の通路みたいでうれしくなっちゃいますね。
vo_adv_1213004_016.m4a|最初に牧場のステージをやったのが、ずいぶん前のことみたいな、不思議な感じ。それほど時間は経ってないはずなのに。
vo_adv_1213004_017.m4a|そういえば、ステージには立ったけど。客席に座るのは、初めてかも。
vo_adv_1213004_018.m4a|舞台の上、こんなふうに見えてたんだ……舞台の上から見下ろすよりも、ずいぶん高く見えるなぁ。
vo_adv_1213004_019.m4a|それに、ちょっと眩しい……え……！？
vo_adv_1213004_047.m4a|ん……ここは……牧場の、舞台……？
vo_adv_1213004_048.m4a|あ。お兄ちゃんも眠っちゃってる。今日は牧場のお手伝い、ずっとやってくれてたし。疲れてるよね。
vo_adv_1213004_049.m4a|もう少しだけ、寝かしておいてあげようかな。
vo_adv_1213004_050.m4a|お兄ちゃんの、寝顔……ちょっとだけ、子供っぽく見えるかも……
vo_adv_1213004_051.m4a|お兄ちゃん……私、お兄ちゃんのことが……なんて。絶対に伝えられないって、わかってるの……まだ言えない、って。
vo_adv_1213004_052.m4a|だけど……だけど！
vo_adv_1213004_053.m4a|『ああ、あのかたの面影を想うたびに』
vo_adv_1213004_054.m4a|ふっと思い浮かんだ……この台詞。そうだ、片思いするお姫様のお話。昔何度も読んで憧れたお芝居。
vo_adv_1213004_055.m4a|嵐で流れ着いた異国の王子様に、好きですって伝えられなくて切ない思いをするお話。
vo_adv_1213004_056.m4a|……なんだか、私と……似てる？私はお姫様じゃないけど、この気持ち……昔より、よくわかるような気がします。
vo_adv_1213004_057.m4a|『私の心は、いつも揺れるのです。どこか遠い国から来たあなた。思いを決して告げてはならぬと、知ってはいるけれど……』
vo_adv_1213004_058.m4a|『けれどあなたを想うたび私の胸は高鳴るの。頬は熱くなってしまうのです。寝ても覚めても、浮かぶのはあなたのことばかり』
vo_adv_1213004_059.m4a|『この胸の内を伝えることができるならば、私はきっとあなたに花を差し出してただ一言告げるでしょう』
vo_adv_1213004_060.m4a|『私のわがままだと、わかっていても、お互いの立場が許さないとしても。私はあなたにいつか、聞いてほしいの』
vo_adv_1213004_061.m4a|『だいすきです、と……ただ、それだけを』
vo_adv_1213004_062.m4a|お……お兄ちゃん！？まさか、起きて……！？
vo_adv_1213004_063.m4a|いいい、い、今の、聞いてましたか！？聞いちゃいました……か！？
vo_adv_1213004_064.m4a|よかった……ううん、全然よくないけど！あぁ、聞かれちゃいましたぁ……
vo_adv_1213004_065.m4a|えっと、あの……今のはなかったことにしてください！
vo_adv_1213004_066.m4a|そそそ、それはっ！秘密ですぅ！　絶対の秘密、なので！内緒ですからぁ……！
vo_adv_1213004_067.m4a|わ、忘れてくださいね。お願いですぅ！
vo_adv_1213004_068.m4a|いつか……いつか、言えるようになったら、ちゃんと言いますから。
vo_adv_1213004_069.m4a|まだお兄ちゃんに言うには、準備ができてないから。でも、ちゃんと伝えるつもりです。
vo_adv_1213004_070.m4a|……！はい。お願いしますぅ。
vo_adv_1213004_071.m4a|お兄ちゃん、最後以外は聞いてなかったみたい。ほっとしたような、残念なような……ううん、残念じゃないけど！　ほっとした、けど……！
vo_adv_1213004_072.m4a|いつか、お兄ちゃんには伝えたいな。ちゃんと、私の……気持ちを。
vo_adv_1213004_073.m4a|あ！　せっかくだからお兄ちゃんも、役者さんになりませんか？そうしたら……
vo_adv_1213004_074.m4a|さっきのセリフも、お兄ちゃんが相手なら、自然に伝えられるのにな、なんて。
vo_adv_1213004_075.m4a|…………
vo_adv_1213004_076.m4a|…………私今何かすごく大それたことを考えたような！？
vo_adv_1213004_077.m4a|落ち着いて落ち着いて……っだめ、頬っぺたが熱くなってきちゃう。
vo_adv_1213004_078.m4a|あ、あの、牛さんもそろそろお腹いっぱいみたいだし牛舎に戻りましょう！ね！
vo_adv_2109001_053.m4a|今日は、ミルククッキーだよ～♪
vo_adv_2109001_057.m4a|えへへ、クッキー上手に焼けたんだぁ……♪
vo_adv_2109001_061.m4a|ふふっ、楽しみ……♪
vo_adv_2109001_069.m4a|ふふ……あれっ？クッキー、もうなくなっちゃった？
vo_adv_2109001_075.m4a|迷い込んできちゃったのっ？
vo_adv_2109001_079.m4a|ええっ！？なら、もしかして……！
vo_adv_2109003_017.m4a|そっか！スライムの水気を、小麦粉が吸っちゃったんだね！
vo_adv_2109003_023.m4a|と、止まった……！？
vo_adv_2109003_037.m4a|うんっ！
vo_adv_2109003_039.m4a|『ベル！』
