vo_adv_1029010_001.m4a|さっきから何うんうん頭抱えてるんですか、ノゾミさん？
vo_adv_5072003_008.m4a|プロデューサーってば、明らかに人選ミスじゃないですか。騎士さんのインタビューなんて、どうせ「好きなおにぎりの具は？」とかになっちゃうに決まってるのに……
vo_adv_5072003_009.m4a|ああ、聞く内容はあらかじめ用意してあるんですか。なら仕方ありませんね。どうぞ、私も忙しいんですから、さっさと始めちゃってください。
vo_adv_5072003_010.m4a|オフの日ですか？　ま～たありきたりな質問ですね……アイドル的には、お菓子作り、とか木陰で読書してます、とか言っておけば……え？　正直に？　本当に聞きたいんですか？
vo_adv_5072003_011.m4a|……ありませんよ。
vo_adv_5072003_012.m4a|あ・り・ま・せ・ん！　悪いですか？　そりゃそうでしょう？最近はライブに向けての衣装作り、レッスン、ステージ演出！そして仕立て屋の方も忙しいですし！　私はずっとオンのままですよ！
vo_adv_5072003_013.m4a|歌も踊りも、やりがいがあります。演技も悪くはないです。でもやっぱり私は、衣装を作ってる瞬間が一番好きです。私の衣装を着て、輝いている人を見るのが好きです。
vo_adv_5072003_014.m4a|アイドルの仕事じゃないって、思うかもしれませんけど。嘘はつきたくないですし。……これが私なので。
vo_adv_5072003_015.m4a|こんなところですかね。っていうか、書くの遅すぎません？今の話、ちゃんと聞いてましたよね？
vo_adv_5072003_016.m4a|ほら、次の質問どうぞ。普通、アイドルのインタビューなんて制限時間付きですよ？ありがたく思ってくださいね！　って拝まなくていいですから！
vo_adv_5072003_017.m4a|きれいなボディライン……してますよね。分かります？こう……レッスンとかで鍛えられてるのに柔らかそうで、目に優しいというか。これこそ女の子〜って感じなんです……
vo_adv_5072003_018.m4a|でもノゾミさんって結構油断しがちなところあって、たま～に、あっマシマシ！　ってときがあるんですよ。そこがまたかわいらしいというか……あれ？　趣旨あってますこれ？
vo_adv_5072003_019.m4a|そうですね……お肌がですね？　すっごいきれいなんです。あれ卑怯じゃありません？　絹みたいに白くてすべすべなんですよ？汗かいてるのに、キラキラ輝いちゃうんですもん。
vo_adv_5072003_020.m4a|だから思わず触りたくなっちゃうんです……いやぁ私、衣装作りやってて良かったです。ほら、大義名分っていうか？役得っていうか？　眼福……あの、これ二人に伝わりませんよね？
vo_adv_5072003_021.m4a|……あの〜、騎士さん。まったく止めてくれませんけど、私のインタビューってこれでいいんですか……？
vo_adv_5072003_022.m4a|なんかとんでもないものを本にしようとしてません？私、あとで怒られたりしません？
vo_adv_5072003_023.m4a|それやっぱり聞くんですね……いや、これも仕事ですし、ちゃんと答えますけど。
vo_adv_5072003_024.m4a|好きな男性のタイプ……少なくとも、レイ様を唆すようなタイプの人は絶対にありえませんね。ちょっと優しくて仕事の手伝いをしてくれたりするだけで心を許したりなんて絶対にしません。絶対にしませんから！
vo_adv_5072003_025.m4a|ちょっと聞いてるんですか騎士さん！私は絶対に騎士さんのことなんて……って、なんで私……もうっ、メモしないでいいです！　今のはNGで！
vo_adv_5072003_026.m4a|なんで私が騎士さんに告白されないといけないんですか！
vo_adv_5072003_027.m4a|えっ？　あっ……すみません。なんかおかしなこと言いました。気にしないでください忘れてください帰って布団の中で寝てください。むしろ布団に縛りつけてあげますから、どうぞ寝やがってください。
vo_adv_5072003_028.m4a|これでインタビューは終わりですか？どうも、お疲れさまでした。
vo_adv_5072003_029.m4a|というか騎士さん、それ、ちゃんとメモできてるんですか？ちょっと見せてください。
vo_adv_5072003_030.m4a|へぇ～……要点をうまく抜き出してて意外と分かりやすい……けど、字がすごくヘタ……まぁ記憶喪失だから仕方ないかもしれませんけど。
vo_adv_5072003_031.m4a|これじゃ本をまとめる人が困っちゃうでしょう。まったく……きれいに書き直しますから、ちょっと待っててください。
vo_adv_5072003_032.m4a|べ、別に騎士さんのためじゃありませんよ。私たちの本のためですから。あくまでも、私たちのためです。
vo_adv_5072003_033.m4a|……ほんっと、手間のかかる人なんですから。
vo_adv_5072003_034.m4a|ん……？これ、ノゾミさんのインタビュー……
vo_adv_5072003_035.m4a|ライブの舞台をここにしたのって、そういうことだったんですね……駆け出しの頃から、全然変わってない。アイドルになるために生まれてきたような人……
vo_adv_5072003_036.m4a|だから私は、あの時……
vo_adv_5072003_037.m4a|あっ、いえ、今のは気にしないでください。ただの独り言ですから。
vo_adv_5072003_038.m4a|よくここでグイグイ聞きこめますね……まぁ、インタビューの足しになるのなら、別に話したって構いませんけどね。
vo_adv_5072003_039.m4a|私、カルミナから離れようとしてた時期があったんですよね──
vo_adv_5072003_042.m4a|あ……ありがとうございます～♪
vo_adv_5072003_043.m4a|あ～～～～もうっ！なんなんですかこれっ！
vo_adv_5072003_044.m4a|カルミナの初ライブでステージに立ってから、急に街中で声とかかけられるようになっちゃって……！
vo_adv_5072003_045.m4a|あれから、握手会にグラビア撮影、音響盤のプロモーションイベントとかまでやらされて……！
vo_adv_5072003_046.m4a|仕立て屋の方にまで私目当てのお客さんが増えちゃってるし！……それはまぁ、いいことですけど！
vo_adv_5072003_047.m4a|でもこんなの話が違いますよ～！私は裏方の仕事だけって言ったのに～ノゾミさんめぇ～！
vo_adv_5072003_048.m4a|……ノゾミさんに押し切られるままステージに立った私も、悪いと言えば悪いんですけど……それにしたって忙しすぎます！
vo_adv_5072003_049.m4a|っと、そろそろレッスンの時間ですね。次の新曲用の歌詞と振り付け、頭に叩き込まないと……！
vo_adv_5072003_051.m4a|はーい、ありがとうございます～♪
vo_adv_5072003_052.m4a|……すっかり馴染んじゃってるじゃないですか！
vo_adv_5072003_054.m4a|いえ、時間通りのはずですよ？仕立て屋の方が混んじゃってて、出るのは少し遅れちゃいましたけど。
vo_adv_5072003_056.m4a|分かってますけど……
vo_adv_5072003_059.m4a|二人ともやる気に満ちあふれてますね……
vo_adv_5072003_061.m4a|それにしてもノゾミさんのパフォーマンスは本当にすごい。アイドルの輝きってやつなのかな……目が惹き付けられちゃう。
vo_adv_5072003_063.m4a|チカさんも、あの歌は素人が努力して追いつけるレベルじゃない。天性の声質っていうのかな、視覚じゃない、耳で心を奪われちゃう……
vo_adv_5072003_064.m4a|……どれだけ努力すれば、この二人に追いつけるんだろ。
vo_adv_5072003_065.m4a|やっとレッスン終わった～……もう、ノゾミさんってば時間ギリギリまで終わろうとしないんだから。
vo_adv_5072003_066.m4a|仕立て屋の方も、溜まってる仕事を片付けないと……
vo_adv_5072003_067.m4a|って、なにこの行列！？
vo_adv_5072003_071.m4a|は、はいぃっ！ただいま～！
vo_adv_5072003_072.m4a|ダメだ、このままじゃ……！
vo_adv_5072003_073.m4a|ただでさえあの二人のパフォーマンスはすごくて、私じゃとても追いつけない……
vo_adv_5072003_074.m4a|こんなの──
vo_adv_5072003_075.m4a|ごめんなさい、ノゾミさんっ！私やっぱり……カルミナのステージに立つことはできません！
vo_adv_5072003_078.m4a|その、仕立て屋の方が最近、ずっと忙しくて。それにやっぱり私は、衣装作りが好きで……
vo_adv_5072003_079.m4a|このままじゃアイドルのレッスンにも身が入らないし、そんな私が二人と肩を並べるのは、カルミナにとって良くないと思うんです。
vo_adv_5072003_080.m4a|どっちも中途半端になるなんて、絶対にイヤなんです。
vo_adv_5072003_081.m4a|カルミナはノゾミさんとチカさんだけでも、きっと凄いアイドルユニットになれます。二人みたいに輝く才能も自信もない私は、いなくてもいいはずです。
vo_adv_5072003_082.m4a|だから私はやっぱり、裏方として二人を支えさせてもらえれば……
vo_adv_5072003_084.m4a|ごめんなさい、チカさん……
vo_adv_5072003_089.m4a|ノゾミさん……
vo_adv_5072003_092.m4a|でも……！
vo_adv_5072003_094.m4a|それで……
vo_adv_5072003_097.m4a|どうしてこうなるんですかーっ！？
vo_adv_5072003_099.m4a|いや、だからって、私の仕事を手伝ってくれるなんて……
vo_adv_5072003_102.m4a|……！
vo_adv_5072003_103.m4a|この人、本気だ……本気で、私を必要としてくれてるんだ。
vo_adv_5072003_105.m4a|……本当に、この人は……
vo_adv_5072003_108.m4a|……あれ？　でもこれ、余計に忙しくなっちゃうんじゃ……
vo_adv_5072003_109.m4a|まぁあのあと結局、お客さんが増えすぎてお店がパンクしそうになっちゃったんで、従業員を増やす形でなんとかしたんですけど。
vo_adv_5072003_110.m4a|でもその時、思ったんです……
vo_adv_5072003_111.m4a|ノゾミさんを輝かせたい。私の持ってる衣装作りの技術で。
vo_adv_5072003_112.m4a|そしてその隣に立ちたい。ノゾミさんが言ってくれた……私の、ステージの上で輝く才能で。自信のない私を信じてくれた仲間に、もっと輝いてもらいたいから。
vo_adv_5072003_113.m4a|やっ、やめてくださいよ！別に誰かに評価されるために努力してるんじゃありませんから！
vo_adv_5072003_114.m4a|それより、これでインタビューはおしまいですよね！だったらもう行っていいですかっ？
vo_adv_5072003_115.m4a|あっ、これ、きれいに書き直しておきましたので！それ、アイドルの秘密情報の塊ですから、落としたりしないように！
vo_adv_5072003_116.m4a|まったくもう、私は忙しいのにっ！
vo_adv_5072003_117.m4a|またなにか書いたら持ってきてください。……ちゃんと書き直しますから。
vo_adv_5072004_002.m4a|ノゾミさん、張り切ってますね……いつもライブが近くなると徐々にテンション高めていきますけど、今回は初めから最高潮って感じ。
vo_adv_5072004_004.m4a|……それはついていくのが大変そうですね……
vo_adv_5072004_006.m4a|は、はいぃっ！分かりましたから、手を握って振り回さないでください！
vo_adv_5072004_015.m4a|はいっ！
vo_adv_5072004_018.m4a|私が何とかしますよ。脱がせるのも着せるのも縛るのもお手の物です。
vo_adv_5072004_020.m4a|どうです？生地とか暑くないように軽量化しましたけど、動けそうですか？
vo_adv_5072004_023.m4a|そうなんですよね～ノゾミさん、動きますもんね……動きの多くなる箇所はもうちょっと強い素材にします。
vo_adv_5072004_025.m4a|歌のボリュームだけでも、もう少し上げてもらいます？
vo_adv_5072004_030.m4a|そうですよ。そろそろ休んでください。
vo_adv_5072004_057.m4a|あの～チカさん、ノゾミさん知りませんか？さっきの衣装チェック、もう一回しておきたいんですけど……
vo_adv_5072004_059.m4a|騎士さんは見ませんでしたか？
vo_adv_5072004_061.m4a|ありえますね。休むって言ってたのに、もう……あの人は～！
vo_adv_5072004_070.m4a|ノゾミさんの～……おバカ！なにやってるんですか、たった一人で！
vo_adv_5072004_072.m4a|一番にする心配がそれですか。……特に怪我もなく、無事そうでした。むしろこれから、プロデューサーに搾り上げられるでしょうけど。
vo_adv_5072004_086.m4a|チカさん、本気で怒ってる……感情そのままに怒っちゃう私と違って、チカさんみたいに静かに怒るタイプが実は一番怖いんですよね……
vo_adv_5072004_087.m4a|そうですね……怒られて当然だと思います。ノゾミさんはなんでも一人でやろうとしすぎです。
vo_adv_5072004_089.m4a|すみません、ノゾミさん。私……騎士さんのインタビュー読んじゃったんです。
vo_adv_5072004_090.m4a|この海辺をツアーの始まりにしようとした理由。私、全然知りませんでした。
vo_adv_5072004_092.m4a|ノゾミさん、前に言いましたよね。
vo_adv_5072004_093.m4a|『困ったことがあったら、なんでも言って。私たちは同じユニットの、仲間なんだから』
vo_adv_5072004_094.m4a|うれしかったんですよ、あの言葉。この人は本気で私を必要としてくれてるんだ、って思いました。だから、私もその気持ちに応えられるよう頑張ろうって思ったんです。
vo_adv_5072004_095.m4a|でも……肝心な時に、必要としてくれないんですか？
vo_adv_5072004_100.m4a|呼吸が合わないのなら、ダンスだって踊れません。
vo_adv_5072004_101.m4a|心も、一つには……
vo_adv_5072004_104.m4a|ノゾミさん！？まさか、さっきの戦闘で……！
vo_adv_5072004_107.m4a|毒って……大丈夫なんですか！？
vo_adv_5072005_004.m4a|私たちが登場する時なんですが、もっと派手にしたいなって思うんですけど……
vo_adv_5072005_006.m4a|ですよねー……あっ、そうだ！まわりの噴水の出力弄って、虹とかって出せませんか？
vo_adv_5072005_009.m4a|衣装のパターンですけど──
vo_adv_5072005_011.m4a|はぁ～……もうすぐライブ当日だっていうのに、どうしてこんなにやることがあるんですか～
vo_adv_5072005_014.m4a|ノゾミさんの人を引っ張っていくパワーすごいですもんね。
vo_adv_5072005_016.m4a|別に疲れていませんよ。え？　タオル持ってきてくれたんですか？ありがとうござ……って拭こうとしなくていいですってば！　もう！
vo_adv_5072005_018.m4a|騎士さんに監視……看病をお願いしてましたしね。
vo_adv_5072005_020.m4a|あ、はい。こっちも準備は大体終わったので。
vo_adv_5072005_022.m4a|それにしたって、ノゾミさんには参りますよ。
vo_adv_5072005_023.m4a|ライブの主役が、一人で魔物討伐ですよ？勇ましいのは結構ですけど、ハラハラさせられっぱなしです。
vo_adv_5072005_025.m4a|そうですよね……一人で、なんでもできちゃうんですよね。
vo_adv_5072005_027.m4a|頼られないって、やっぱりきついですよね。私がノゾミさんに抱いてる信頼とか、一方通行なのかなって……
vo_adv_5072005_028.m4a|もしかしたら──
vo_adv_5072005_031.m4a|メモ帳？　インタビュー、まだ続けてたんですか？あ……これって昨晩の──
vo_adv_5072005_051.m4a|そんなこと、考えてたんですね……ノゾミさん。
vo_adv_5072005_053.m4a|……ありがとうございます。っていけない、普通に感謝しちゃってた！……よ、よくやったんじゃないですかね、騎士さんにしては！
vo_adv_5072005_055.m4a|え～っと、あ～、ところでチカさん？
vo_adv_5072005_056.m4a|私たちって今、どこに向かってるんですか？言われるがままについてきましたけど、どんどん会場から離れてません？
vo_adv_5072005_059.m4a|それって……ノゾミさんに？ゆっくり休めって言ったのに？
vo_adv_5072005_061.m4a|あ～、確かに。ふふっ、な～んだ、初めからこうするつもりだったんですね。やっぱりチカさんは優しいな～
vo_adv_5072005_063.m4a|そうですねー、これで何回目ですかね？ライブ前に気合入れすぎて、問題起こしちゃうの。
vo_adv_5072005_065.m4a|でも……だからこそ、リーダーなんですよね。
vo_adv_5072005_067.m4a|あの人と肩を並べるのって、本当に大変ですよね。
vo_adv_5072005_070.m4a|そうそう。私たちには強～い絆があるんですよ。
vo_adv_5072005_079.m4a|ノゾミさん、言い訳が強引だなぁ……
vo_adv_5072005_083.m4a|プロ根性すごいなぁ……
vo_adv_5072005_095.m4a|！
vo_adv_5072005_103.m4a|まったくです。反省はしても、改める気はないみたいです。
vo_adv_5072005_106.m4a|苦労したり、不安になったりしたこともありますけど。それを嫌だって思ったことはありませんよ、ノゾミさん。
vo_adv_5072005_109.m4a|ひゃっ！？も～、ノゾミさん、思いっきり抱きつかないでくださいよ……！ただでさえ勢いすごいんだから……
vo_adv_5072006_002.m4a|よかったですね、ノゾミさん。
vo_adv_5072006_010.m4a|魅せつけますよっ！
vo_adv_5072006_015.m4a|今日は全身で、私たちのライブを楽しんでいってくださいねっ！
vo_adv_5072006_022.m4a|はーいっ♪見えてますよーっ♪
vo_adv_5072006_026.m4a|私たちの全力を超えたパフォーマンス、見たいですよねーっ？
vo_adv_5072006_029.m4a|そんなに大きな声で呼ばなくても聞こえてますよっ！……あ。こっ、こほん。今のはナシで。
vo_adv_5072006_046.m4a|先日のお礼参り、といったところでしょうか。なら狙いはこのステージでしょうね。
vo_adv_5072006_047.m4a|……なんか、初めてのライブの時を思い出しますね。
vo_adv_5072006_057.m4a|はいっ！
vo_adv_5072006_061.m4a|ぷはぁ～……
vo_adv_5072006_064.m4a|もう、動けませんよ～……！
vo_adv_5072006_068.m4a|若干一人、リズムがずれてて、やたらと声を張り上げてますけどね。
vo_adv_5072006_070.m4a|はっ！？いや、それは……っ！チ、チカさん！　からかうのはやめてくださいよ！
vo_adv_5072007_026.m4a|それ、まだ終わってなかったんですか？っていうか私たち、ライブ終わったばかりで疲れてるんですけど。
vo_adv_5072007_029.m4a|もう、二人ともタフなんですから。じゃあ騎士さん、さっさと済ませますよ。
vo_adv_5072007_030.m4a|ライブの感想ですよね。私はまぁ、疲れたー、って感じですかね。いいライブにするため、自分にできることは全部やりましたし。
vo_adv_5072007_031.m4a|……当然、最高だったと思いますよ。
vo_adv_5072007_033.m4a|ちょっとチカさん、茶化さないでください！
vo_adv_5072007_048.m4a|いいんじゃないですか。ストレートさが、ノゾミさんらしくて。
vo_adv_5072007_052.m4a|そんなの……
vo_adv_5072101_002.m4a|今日は私たちから、発表があるんですよね？ノゾミさん。
vo_adv_5072101_005.m4a|ええ、もちろんです！私だって、今から楽しみなんですから！それじゃノゾミさん、焦らしてないで発表しちゃいましょう！
vo_adv_5072101_011.m4a|この水着は私の渾身の力作ですからね！私に感謝しながらじっくり見てくださいね！
vo_adv_5072203_001.m4a|そのはず、ですけど……ほっ、これでライブの続きができますね。
vo_adv_5072204_002.m4a|だったら、それ以上の楽しさを振りまけばいいだけです！ここからは私のパートですよ！
vo_adv_5072204_003.m4a|自慢のステージ衣装の華やかさ！夏の海を存分に活かしたステージ演出！私の努力の成果で、お客さんの不安なんて吹き飛ばしてあげます！
vo_adv_5072301_002.m4a|私たちだって、もうすっかりアイドルですよ、チカさん！
vo_adv_5072301_004.m4a|戦いだって、私たちなら最高のパフォーマンスにしてみせます！
vo_adv_5072302_000.m4a|むっ！この魔物、さっきとは一味違うって感じですね……！
vo_adv_5072308_001.m4a|さすがに歌って踊りながら相手するのは、厳しいかもしれませんよ……！
vo_adv_5072308_005.m4a|私たちのリーダーってところ、バシッと見せつけてください！ここから先はノゾミさんのパートですよ！
vo_adv_5072321_000.m4a|もうっ！　またですか！？懲りずにライブに乱入してくるなんて迷惑ですね！
vo_adv_5072321_003.m4a|あの、作戦とかは……？
vo_adv_5072321_005.m4a|……とにかく全力でぶつかっていこう、ですよね。ノゾミさんならそう言いますね。
vo_adv_5072322_001.m4a|私たちを真似するなら、ステージの邪魔なんてしないで欲しいですよね！
vo_adv_5072322_005.m4a|はい。過去の自分があるから、歩んできた歴史があるからこそ、今の私たちがある。
vo_adv_5072323_002.m4a|誰に言ってるんですかチカさん！いつもの練習量に比べれば、これくらいへっちゃらです！
vo_adv_5072323_007.m4a|全力の踊りで！
vo_adv_5072401_000.m4a|あ、騎士さん。どうです、この衣装。テーマは水着とアイドル！　なかなかいいでしょう♪
vo_adv_5072401_001.m4a|ほらほら、この布地のひらめきとか、ステージの上ですごく映えるんですよ！ふふふ、寝る間を惜しんで作った自信作なんですよね～！
vo_adv_5072401_002.m4a|……って！なんで騎士さんに自慢しなきゃいけないんですか！っていうか見過ぎです！　遠慮ってものを知らないんですか！
vo_adv_5072401_003.m4a|え？　私が見せつけてきた？そんなわけないじゃないですか！　言い訳ですか！？どうしようもない騎士さんですね！
vo_adv_5072401_004.m4a|まったくもう……え？　似合ってる？はいはい。騎士さんに褒められてもうれしくありませんよ。
vo_adv_5072402_002.m4a|ほんと、いつも順風満帆とはいきませんよね、私たちのライブって。
vo_adv_5072402_005.m4a|これだけ歌って踊って戦って、どうしてこんなに元気なんですか～！
vo_adv_5072402_007.m4a|……チカさんも元気いっぱいですね。ええいいですよ、私もまだまだ動けますし！
vo_adv_5072404_000.m4a|20体目ですよ、騎士さん。こんなに協力してくれても、何もお返しはできませんが。
vo_adv_5072411_000.m4a|あれだけ準備して、手間と時間をかけてきたライブももうすぐ終わりですね……
vo_adv_5072411_003.m4a|はい、もちろん分かってます！カルミナのライブは最初から最後までフルパワー！まばたきもできないくらい、見どころ盛りだくさんなんですから！
vo_adv_5072411_006.m4a|ちょっと下向いてたりするのも気づいてますからね！
vo_adv_5084650_000.m4a|騎士さん……あれから本当に眠りっぱなしなんですね。
vo_adv_5084650_001.m4a|ノゾミさんもチカさんも……レイ様も、みんな心配してますよ。まあべつに、私は寂しくなんてないですけど！
vo_adv_5084650_002.m4a|でも……騎士さんがいないと、みんなの元気がなくて困るっていうか、私も張り合いがなくてつまんないというか……
vo_adv_5084650_003.m4a|と、とにかく困るんですよ。女の子を困らせるなんてどうなんですか！？そんなんじゃモテませんよ？　いや、モテても困りますけど……
vo_adv_5085002_012.m4a|まったく、いつもは呼んでもいないのにフラッと現れるくせに、ちょっと見ないなって思ったらこの有様ですよ。
vo_adv_5085002_013.m4a|今をときめくアイドルがわざわざ足を運んであげてるんですから、飛び起きて泣きながら感謝するべきじゃないですか？……ほんと、乙女心が分かってないというか……
vo_adv_5085002_015.m4a|うぇっ！？あ、いや、そんな強くしてませんよ！
vo_adv_9003504_007.m4a|……い、行っちゃいました。慌ただしい人ですねー
vo_adv_9003504_013.m4a|あ、あげませんよっ？
vo_adv_9003504_016.m4a|ええっ！？そんな勝負だったんですかーっ！？
vo_adv_9003508_003.m4a|まだ立ち上がってくるんですか～っ？私たちも、結構限界っぽいんですけど……！
vo_adv_9003508_012.m4a|もしかしてさっきは、行先わからないのに駆け出していったんですか……
vo_adv_9003512_003.m4a|まだ立ち上がってくるんですか～っ？私たちも、結構限界っぽいんですけど……！
vo_adv_9003512_012.m4a|もしかしてさっきは、行先わからないのに駆け出していったんですか……
vo_adv_9003517_003.m4a|それならこっちは、【トゥインクルウィッシュ】のみなさんと大型ライブですっ！よろしくお願いしますねーレイ様♪
vo_adv_9004006_001.m4a|まったく、騎士さんくらいのものですよ？私たちのリハーサル中に時間を取ってもらえるなんて。光栄に思ってくださいね。
vo_adv_9004006_003.m4a|ちょっとチカさんっ！？
vo_adv_9004006_006.m4a|それで、曲に合わせたライブの演出を考えるためにアドバイザーの方をお呼びすることにしたんです。衣装とか演出とか、いろいろ参考にしたくって。
vo_adv_9004006_010.m4a|まあ、ノゾミさんに付き合ってきたおかげで大抵の修羅場は乗り切れるようになってきましたけど。
vo_adv_9004006_013.m4a|はい、それじゃあ騎士さんも用事が済んだでしょう？私たちはライブのリハーサルに打ち合わせと予定がてんこ盛りなので、とっとと気をつけて帰ってください。
vo_adv_9005004_004.m4a|そんなことありませんっ！ノゾミさんとチカさんに負けてられませんし……！
vo_adv_9005004_009.m4a|それでも全力になっちゃうのがノゾミさんなんですけどね。……それで、私たちになにか用ですか、シェフィさん。なんか真剣にこっち見てましたけど。
vo_adv_9005004_012.m4a|騎士さんなんて適当なものあげとけばなんだって大喜びするんだから、そんな真剣に考えなくてよくありません？あの人、何あげても喜びますよほんと。
