vo_adv_1179001_000.m4a|あっ、いたー！　ヒデサーイ！
vo_adv_5076002_060.m4a|マジ！？　超助かる～！けど……一匹だけじゃないんだけど……
vo_adv_5076002_062.m4a|んー、わかんないけど、たぶん超たくさん。
vo_adv_5076002_064.m4a|マジありがと～！捕まえるのはうちがやるね。この弓矢じゃないとダメなんだ。
vo_adv_5076002_065.m4a|だから、みんなは犬を見つけたら、うちに知らせて！すぐ駆けつけるから！
vo_adv_5076002_066.m4a|終わったらみんなでスイーツ食べて、記念撮影しよーよ！手伝ってくれるお礼にね！　そんじゃ、よろ～！
vo_adv_5076002_068.m4a|ふぅ～……こっちはなんとかなりそーだね。二ノっちはどうかなー？
vo_adv_5076002_088.m4a|おっまたせー！
vo_adv_5076002_090.m4a|ん～、そんなとこ……かな！
vo_adv_5076002_092.m4a|うちのファンのみんな！捕まえるの手伝ってくれたんだ～
vo_adv_5076002_095.m4a|あー、ねねね。聞きたいことあんだけど……わたあめちゃんって、人間の言葉は喋んないよね？
vo_adv_5076002_097.m4a|あはは、だよね～？わたあめちゃんっぽいよーま見つけたから捕まえたんだけどさ……
vo_adv_5076002_100.m4a|だって、なんかよーまとか専用の矢だし。幽霊って言ってるけど、同じようなもんっしょ？
vo_adv_5076002_101.m4a|そんでヒデサイ、一応回収しとく……？
vo_adv_5076002_104.m4a|マジごめん！　ヒデサイの知り合いだったんだ？なんか犬っぽいカッコしてるし、とりま見つけたから捕まえちゃったし！
vo_adv_5076002_107.m4a|似たようなもんっしょ？それにめっちゃプリン食べてたから、見分けつかなくて〜
vo_adv_5076002_133.m4a|ねねね、「はめつ」って、なんかヤバい系の言葉だよね？もしかして博士の言ってる「だいやくさい」ってマジのマジなのかな？
vo_adv_5076002_135.m4a|そーいえば、ニノっちってどしたの？まだ戻ってきてないっしょ？　どっかで道にでも迷ったのかな……？
vo_adv_5076002_138.m4a|やばばば！！！なにあの数！？　わたあめちゃんたちに追われてるよ！？
vo_adv_5076002_148.m4a|きゃはは！転んだあと、もみくちゃにされてたね！
vo_adv_5076002_149.m4a|それより、やっぱカオりんもだいやくさい信じてんだ？さっすが、妖怪ハンターだね！
vo_adv_5076002_152.m4a|それもそだね。もし悪い人に捕まったら、かわいそーだもんね。
vo_adv_5076003_003.m4a|今んとこは、なんとか捕まえられてるけど、もっと増えてったら、けっこーしんどくね？
vo_adv_5076003_004.m4a|これ以上増えたら、うちらでも捕まえきれないしーそしたら、ハロウィンフェスまでにスイーツ全部食べられちゃうじゃん！
vo_adv_5076003_009.m4a|わたあめちゃん以外も捕まえたほうがいいもんね！みんな、いっくよ～！
vo_adv_5076003_015.m4a|ヒデサイ、このよーまと知り合いだったんだ？友達の輪、広くね？
vo_adv_5076003_025.m4a|マジ……？
vo_adv_5076003_034.m4a|やばばば！　超あぶないって知らずに、うちら捕まえてたとか！？先に教えておいてほしいんですけど！
vo_adv_5076003_049.m4a|でも、マジでやばいっぽいよ？だいやくさい、ほんとにあるかもしんないね……
vo_adv_5076003_050.m4a|ねねね。博士って、そーなった時のことってなんか考えてんの？
vo_adv_5076003_052.m4a|え？
vo_adv_5076003_054.m4a|マジ？
vo_adv_5076003_056.m4a|なんかよくわかんないけど、テキトー感ハンパないんですけど……
vo_adv_5076003_066.m4a|なんかもう飼ってるみたいっていうか、だんだん家族みたいに見えてきたんですけど！
vo_adv_5076003_084.m4a|超ビビったんですけどー！マジやばくない？　あんな声出すよーまなんか倒せっこないし！
vo_adv_5076003_089.m4a|そなの？
vo_adv_5076004_003.m4a|うそっしょ！？　こんなおっきかったっけ！？
vo_adv_5076004_015.m4a|どゆこと？
vo_adv_5076004_024.m4a|大きくなっても、中身は一緒っぽいね！
vo_adv_5076004_034.m4a|うちら散歩するわけじゃないけど、ちょうどいいかも！わたあめちゃんも連れてこ！　役に立つと思う！
vo_adv_5076004_036.m4a|だって、これが元の姿なんでしょ？
vo_adv_5076004_037.m4a|ジャックみたいに、霊界から来てる他のよーまの中に、わたあめちゃんのこと知ってる子がいるかもじゃね？
vo_adv_5076004_038.m4a|前まではちっちゃくてすばしっこかったけど、今はめっちゃ大きくなったから、いい感じにアピれると思うんだよね。
vo_adv_5076004_047.m4a|そだよ！　だってこんなに目立つんだもん！なんか知ってるよーまの子が、わーって駆け寄ってくるっしょ！
vo_adv_5076004_053.m4a|なんか震えだしたんですけどー！ねねね、合体する前に震えてたって博士が言ってなかった？
vo_adv_5076004_058.m4a|きゃはー！じゃあ、今ちっちゃいわたあめちゃんと合体しちゃったってこと？
vo_adv_5076004_060.m4a|ねねね、あとどんくらい捕まえてないわたあめちゃんがいるのかな？合体するんだったら、残ってる子たちもみんな集めちゃわない？
vo_adv_5076004_064.m4a|ちょっとタンマ！　多すぎじゃね！？
vo_adv_5076004_067.m4a|ちょっとどころじゃないし～！ぜーんぶ合体しちゃうってことっしょ！？
vo_adv_5076004_071.m4a|街に残ってたみーんなと合体したから、朝より二倍くらいもふもふ度アップして、超もにカワ〜！
vo_adv_5076004_072.m4a|てか、こんなにおっきくなって、研究所に入るかな〜？朝の時で、けっこーギリじゃなかったっけ……？
vo_adv_5076004_075.m4a|ねねね、ヒデサ～イ！なんか新しいよーまの反応とかあったりした？
vo_adv_5076004_076.m4a|どゆこと？ヒデサイの装備で、いろいろわかるんじゃないの？
vo_adv_5076004_086.m4a|一番懐かれちゃってる分、なんかもう家族って感じじゃね？カオりんいなかったら、うちらだけじゃお世話するの大変だったし〜
vo_adv_5076004_090.m4a|やばばば！　うちら、危険人物！？
vo_adv_5076004_101.m4a|ってことはー？
vo_adv_5076004_106.m4a|超ビビったー！心臓バクドキだったし！
vo_adv_5076004_114.m4a|手がかりだけじゃなくて、よーまも見かけなかったね～ハロウィンまでもう少しだし、霊界からもっと来ててもよくね？
vo_adv_5076004_123.m4a|ちょっす！どしたの？　博士、元気なくね？
vo_adv_5076004_132.m4a|そそ。うちらが帰してあげられなかったのは残念だけど、わたあめちゃんにとってはいいことっしょ……？
vo_adv_5076004_141.m4a|……ねねね、カオりん。マジでだいじょーぶ？
vo_adv_5076004_150.m4a|え、ちょ……今のって……？
vo_adv_5076005_004.m4a|宣伝してたふわふわな犬ってのが、わたあめちゃんなのかな……？
vo_adv_5076005_008.m4a|このサーカスがお家だったんだね。ほんとはビッグスマイリーちゃんって名前なんだ？
vo_adv_5076005_017.m4a|サ、サーカスの演出なのかな……？でも、それにしたって……！
vo_adv_5076005_030.m4a|カオりん……だいじょーぶ……？
vo_adv_5076005_034.m4a|うん……サーカスのことはわかんないけど、ショーとしては、ぶっちゃけいまいち。
vo_adv_5076005_035.m4a|練習もなんかちゃんとできてなさそうじゃね？サーカスの人も焦ってたし、ギリなんとかなった感ってゆーか……
vo_adv_5076005_040.m4a|そーゆーことじゃないっしょ？ね、ニノっち？
vo_adv_5076005_045.m4a|カオりんが一番お世話してたのは知ってるけどさ、うちらだって大事に思ってたんだから！　ね、ヒデサイ？
vo_adv_5076005_057.m4a|りょ！　ウォーキングなら、うち自信あるから任せて！
vo_adv_5076005_064.m4a|い、今のって……？
vo_adv_5076005_072.m4a|やばばばばっ！　激おこプンプンじゃん！！白くてもふもふだった毛が、超逆立ってて荒れてるんですけどー！！
vo_adv_5076005_081.m4a|ゆーかい！？　ちょ、どーゆーこと！やっぱわたあめちゃんは、サーカス団の仲間じゃないんだ！？
vo_adv_5076005_089.m4a|そそ！　サーカスって人を楽しませるもんっしょ？裏でそんなことやってるとか、ありえないし！
vo_adv_5076005_104.m4a|逃げてもムダだよ！　うちの弓、ハズれないんで。あとで騎士団のとこ、連れてくし！
vo_adv_5076005_109.m4a|ねねね。わたあめちゃん……ってかそのヘルドッグって、どうやったら元のもふもふしたかわいいわたあめちゃんに戻せんの？その、前みたいにさ。
vo_adv_5076005_111.m4a|じゃあ、わたあめちゃんがあのままってことは、うちらって……？
vo_adv_5076005_113.m4a|マジ……？　超やばいんですけど……
vo_adv_5076005_119.m4a|そだね！　元はといえば、うちらが捕まえたんだし、最後まで責任持たなきゃね！
vo_adv_5076006_009.m4a|新メニューって……みんな、もしかしてスイーツのお店だったり？
vo_adv_5076006_025.m4a|カオりん……うちらはうちらでできることをやろ？
vo_adv_5076006_030.m4a|でも、うちらにとっては、わたあめちゃんだよ！白くて、ふわっふわでもにカワなわんちゃん！
vo_adv_5076006_031.m4a|いっつもスイーツばっか食べてて、わたあめに似てるから、ってカオりんがそんなあだ名つけて……
vo_adv_5076006_033.m4a|あっ、そだ……そうだよ！　やっぱわたあめちゃんは、わたあめちゃんだよ！
vo_adv_5076006_035.m4a|だって、スイーツばっか食べてるもん。街の人に怪我させてないし、屋台を襲ったのは食べるためっしょ？
vo_adv_5076006_036.m4a|ってことは、怒っててもやることは一緒じゃん！だったら、前みたいにスイーツあげれば、言うこと聞いてくれんじゃね？
vo_adv_5076006_040.m4a|二ノっち、それナイスアイデア～！
vo_adv_5076006_042.m4a|スイーツコスして、アピるのはどお？この前見かけた貸衣装屋に、でっかいケーキの被り物があったんだ。
vo_adv_5076006_043.m4a|そんで、あま～い匂いのする香水も振ってさ、そしたら動くスイーツの完成～！
vo_adv_5076006_045.m4a|っしょ？　あんなにおっきくなったんだし、やっぱアピるならこっちもおっきいスイーツになんないと！
vo_adv_5076006_049.m4a|ヒデサイなら大丈夫っしょ！ビシッと決めれるって、うち信じてるよ！
vo_adv_5076006_051.m4a|んじゃ、コスの準備しにいこ！
vo_adv_5076006_058.m4a|二ノっち〜、ケーキの被り物はあったから、香水持ってきて〜！いまヒデサイにメイクしてるから、ちょっと手離せないんでよろ〜！
vo_adv_5076006_061.m4a|……うん！　いい感じじゃね？ヒデサイ、超似合ってる！
vo_adv_5076006_066.m4a|やばばばば！　めっちゃすごい勢いでこっちきてるし！足音デカすぎじゃね？　地面も超揺れてるんですけどー！
vo_adv_5076006_069.m4a|そだね！　なんてったってヒデサイだもんね！ヒデサイの超ヒデサイなとこ、うちらに見せて！
vo_adv_5076006_072.m4a|ヒデサイ、いっけー！
vo_adv_5076006_082.m4a|なんかエリート精霊みたいだし、大丈夫じゃね？まあ、あとで追いついてくるっしょ！
vo_adv_5076006_086.m4a|派手に転んだけど、コスがダメになったくらいで済んだっぽいね。さっすがヒデサイ！
vo_adv_5076006_089.m4a|けどさ、どーすんの？うち、わたあめちゃんを攻撃したくないし！
vo_adv_5076008_010.m4a|まあいいじゃん！　元気そうだし！さすがエリート精霊って感じ？
vo_adv_5076008_033.m4a|マジー！？
vo_adv_5076008_041.m4a|ちょっとー！　だいやくさい、終わったんじゃないのー？
vo_adv_5076008_048.m4a|きゃっはー！なんかちっこくてもにカワデビルじゃん！
vo_adv_5076008_059.m4a|マジでそんなすごい人なの？もにカワ度、爆上がりしたんだけど……？
vo_adv_5076008_069.m4a|マジ？　いきなりキャラ変したんですけど！？
vo_adv_5076008_081.m4a|ねねね、ずっと気になってたんだけど、本当に王様なの？自分ではそう言ってるけど……全然そうは見えなくて……
vo_adv_5076008_089.m4a|マジ……？　王様、やばすぎっしょ……
vo_adv_5076008_101.m4a|カオりんにすっごい懐いてたんだよ！手作りのサーターアンダギーってお菓子をずっとあげてたし！
vo_adv_5076008_108.m4a|えー！　王様もう帰っちゃうの？せっかくだし、うちらと遊ぼーよ！
vo_adv_5076008_120.m4a|そいえばジャック。約束って何？　こっちに友達とかいるんだ？
vo_adv_5076008_122.m4a|確かその二人って……この前うちら会った気がする！
vo_adv_5076008_130.m4a|結局、最後までよくわかんなかったね～てか、博士もほんとに博士なのか、怪しくなってきたし……
vo_adv_5076008_135.m4a|ま、すごそうな王様とも仲良くなれたし、とりま結果オーライじゃね！
vo_adv_5076008_139.m4a|え、ろんぶんって何回も書くものなの？　超大変じゃね？うち、読書感想文ですらしんどくて、一回も出したことないし。
vo_adv_5076008_142.m4a|んじゃうちも！　なんだかんだ楽しかったし、おっけー！
vo_adv_5076008_145.m4a|んん～！　よーやく終わったね！マジでヘトヘトだけど、気合い入れて遊ぶんでよろー！
vo_adv_5076101_001.m4a|うーん……今年はどんなコスで決めよっかな〜？もー、準備する時間ないしー！　超忙しいんですけどー！
vo_adv_5076101_004.m4a|ヒッデサーイ、ちょっすー！ハロウィンの予定はどお？　うちらと一緒に遊ばない？
vo_adv_5076101_005.m4a|……え、なにそれ？
vo_adv_5076101_008.m4a|気合入れていくんでよろ！ハロウィンを楽しむために、がんばってこ！
vo_adv_5076203_000.m4a|はぁはぁ……これでどう？わたあめちゃん、おとなしくなってくれたっぽい？
vo_adv_5076204_000.m4a|もしわたあめちゃんが世界中を食べちゃったら……元に戻った時、きっとショック受けちゃうっしょ……だって、大好きなスイーツを二度と食べらんなくなるんだもん！
vo_adv_5076301_000.m4a|やばばっ！？　わたあめちゃんが暴れてるし！このままじゃジャックが言ってたみたいに、世界中が食べられちゃうかも！？
vo_adv_5076302_000.m4a|やばばばっ！　マジで激ヤバな雰囲気がプンプンするんですけど！わたあめちゃんってば、さっきのは本気じゃなかったの！？
vo_adv_5076308_001.m4a|けど、どんなに強くても……わたあめちゃんが、だいやくさいとかなんとかだとしても関係ないし！絶対に止めるんでよろ！
vo_adv_5076321_002.m4a|やばばば、わたあめちゃん！？　それに霊界の王様も！？また会えて超うれしいけど、どしたの？　わたあめちゃん……おこなの？
vo_adv_5076322_004.m4a|わたあめちゃんが丸まっちゃった！？もふもふでマジわたあめっぽいし！　超もにカワなんですけど！
vo_adv_5076323_001.m4a|やばばばば！　なんか肌が超ビリビリするんですけどー！おにヤバじゃん！？
vo_adv_5076402_001.m4a|あーっ！　わたあめちゃんが元に戻った！？マジ良かった～！　メッチャ心配したんだかんね～！
vo_adv_5076403_002.m4a|うちもニノっちの笛、好きだよ！おっきくてもにカワだし、面白い音するし！なんか聞いてたら、踊りたい気分になっちゃうんだよねー♪
vo_adv_5076404_000.m4a|えーっと……これでわたあめちゃんと何回遊んだんだっけ？……へ、20回？　ちゃんと数えててヒデサイ偉いね！
vo_adv_5076405_001.m4a|いっぱい遊んでわかったんだけどさ。ああやって大きくなっても、やっぱ、わたあめちゃんってばわたあめちゃんだよね！
vo_adv_5076411_002.m4a|だよねー……けど、ま、いつかまた会えるんじゃん？なんなら、うちらが霊界に遊びに行ってもいいし！行き方はわかんないけど、ヒデサイがいればなんとかなるっしょ！
vo_adv_5084003_011.m4a|ヒデサイー！ちょっすー！　いるー？
vo_adv_5084003_017.m4a|いやでも、逆にチャンスかも？スイミンガクシューって聞いたことない？
vo_adv_5084003_021.m4a|あ、うちもやるやる！ヒデサイは天才！　ヒデサイはおにヤバ！　ヒデサイはヒデサイ！ヒデサイは天才！　ヒデサイはおにヤバ！　ヒデサイはヒデサイ！
vo_adv_5084003_068.m4a|あんな計算分かるとか……コロっち、マジ天才だったりする？
vo_adv_5084003_075.m4a|あーミサキっちずる～い！ねぇねぇコロっち！うちも分からないとこあるんだけど～！
vo_adv_5084617_000.m4a|ヒデサイってば、マジ寝過ぎっしょ……超心配すぎて全然笑えないんですけど……
vo_adv_5084617_001.m4a|どーやったら起きてくれるんだろ……なんか眠気覚ましのツボとか、そーゆーのあるのかな……？
vo_adv_6076301_000.m4a|わたあめちゃんって、ちょーもにカワじゃん？ファッションアイテムとか作ったら絶対ウケると思うんだよね〜ねねね、ヒデサイだったらどんなの作っちゃう？
vo_adv_6076301_001.m4a|それ、いーじゃん！　シャツの真ん中にどーんって顔描いちゃお～♪ポップな感じもいいけど、ロゴっぽくカッコいい感じもアリかも！ヒデサイはどっちが好み？　とりま、両方作ってみちゃう？
vo_adv_6076301_002.m4a|マジ！？　うちもヒデサイと同じこと考えてた！初めてわたあめちゃん見たとき、アクセと思って頭に乗っけちゃったし！ふわもこで温かくてもにカワとか、最強すぎてわろ〜♪
vo_adv_6076302_000.m4a|この制服、ビシッとキマる感じでちょーカッコいいっしょ！何気にけっこー気に入ったんだけど、ヒデサイ的にはどお？うちキマってる？　好きなポイントとかあったら教えて！
vo_adv_6076302_001.m4a|きゃはーっ！　この子、カボきちっていうんだよ！博士に制服のデザイン見せてもらった時、もっと盛れないかな～ってうちがロゴ考えて入れてもらったんだ！　もにカッコカワっしょ！
vo_adv_6076302_002.m4a|これって、博士が作ったよーま用の武器なんだよね。なんかすごい機能とかついてたりするんじゃね？おっきいケーキも食べられそうなフォークに変形したりとか！
vo_adv_6076303_000.m4a|ねねね、博士ってやばいくらい頭いいんだよね。だいやくさい……？　とかけんきゅーしてるし。話聞いても、うちはよくわかんなかったけど。
vo_adv_6076303_001.m4a|ヒデサイよりもヒデサイなの？　それってすごすぎっしょ！割り算とかも楽勝的な？　もしかしてもっと難しい計算もできたり……？やばばば、博士ってマジ博士なんだね。今度勉強教えてもらおっかな……
vo_adv_6076303_002.m4a|そーなの？　うち、ちょっと安心したかも！わかんないのがうちだけだったら、どーしよ～って思ってたんだ。でもヒデサイと同じなら、なんか大丈夫そうな気がするし！
vo_adv_6076304_000.m4a|街の中もハロウィンフェスの準備でにぎわってきたし、なんかお祭りがはじまる～って感じでワクワクしてきたかも～！ちな、ヒデサイはどんなことしたいの？
vo_adv_6076304_001.m4a|ヒデサイわかってる～♪　やっぱ屋台は外せないよね～限定スイーツとかハンドメイドのアクセとか、いっぱいありそーだし！うちの気になってるとこ、全部つきあってもらうんでよろ♪
vo_adv_6076304_002.m4a|じゃあ、一緒にみんなにお菓子配ろ！　トリックオアトリートって♪……あれ？　それはもらう方だっけ？んー、わかんないけど、とりまトリックオアトリート！
vo_adv_6076305_000.m4a|わたあめちゃんもジャックも霊界から来たんだよね。霊界ってどんなとこか、ヒデサイ知ってたりする？怖いよーまだらけだったら、まじヤバなんですけど！
vo_adv_6076305_001.m4a|霊界から来てお化け屋敷やってるって……もしかして、マジなお化け？その友達、今年もハロウィンに来てるかな？　うち、会ってみたいかも！てか今更だけど、ヒデサイってどこにでも友達いるのすごすぎっしょ！
vo_adv_6076305_002.m4a|わたあめちゃんみたいなのがいっぱいとか、それって天国じゃん！あっ、もしかして霊界って天国のこと的な……？やばばば、うち天才かも！　ねね、ヒデサイどう？　当たってる？
vo_adv_9003502_002.m4a|シェフィっちー！
vo_adv_9003506_001.m4a|ミソラっち、そろそろ「まいった～」ってしよっ？
vo_adv_9003506_009.m4a|うちも居残りじゅぎょーはマジむりだけど、シェフィっち一人じゃヤババだって～！
vo_adv_9003510_001.m4a|ミソラっち、そろそろ「まいった～」ってしよっ？
vo_adv_9003510_009.m4a|うちも居残りじゅぎょーはマジむりだけど、シェフィっち一人じゃヤババだって～！
vo_adv_9004005_007.m4a|あっ、ヒデサイじゃーん♪　ちょすー！どしたのどしたの？
vo_adv_9004005_017.m4a|なにそれ、超楽しそうじゃーん！ねねね、ヒデサイも一緒に行こうよ♪
vo_adv_9004005_020.m4a|えー？　じゃあ別の場所にしよっか。どこがいいかな～？うち、ヒデサイとならどこでも楽しいけどね～！
vo_adv_9005009_004.m4a|あーっ！　シェフィっちじゃーん！ちょっすー、元気してたーっ？うちら今からエルフの森の清掃活動行くんだよねー！
vo_adv_9005009_008.m4a|マジ！？　ヤババじゃん☆毒ってどうなるの？　メイクで隠せる？
