vo_adv_1025009_000.m4a|あ、あのっ！{player}さん！
vo_adv_5088001_004.m4a|私のドジが原因だったりして……って、いくら私のドジがひどくてもこんなに食材が減るわけがないんです～～！！せっかく、救護院自慢の味をミサキちゃんにも味わってほしかったのに～
vo_adv_5088001_005.m4a|うーん……嘆いていても仕方ないです。今ある材料でできるものを作らなくちゃ！
vo_adv_5088001_006.m4a|お鍋が消えたり食材が消えたり。なんだか不気味ですけど……それどころじゃないですからね！ちょっとくらい不便でも頑張りませんと！
vo_adv_5088001_007.m4a|……？
vo_adv_5088001_009.m4a|きゃあああ！？い、いったい何なんですか！？　どうしたんですか！？おおお、落ち着いてくださいっ！！
vo_adv_5088001_011.m4a|そうですね！　深呼吸、深呼吸……どうしたんですか、みなさん。夕飯の支度ができるまで、ミサキちゃんに館内をご案内するはずだったんじゃ？
vo_adv_5088001_015.m4a|うーん……確かに、長く使ってないお部屋でしたから、傷んじゃったのかもしれないですね。
vo_adv_5088001_017.m4a|その心配はないと思いますよ。安心してください。幽霊はちょっとわかりませんけど、不安ならお部屋を変えましょうね。
vo_adv_5088001_022.m4a|ちょっと困ったことが起きてるんです。でも大丈夫！　どうにかしますから！
vo_adv_5088001_024.m4a|いけない。お客様です！はーい！　ただいま行きますね！
vo_adv_5088001_025.m4a|あっ、{player}さん！こんな時間まで、配達ご苦労さまです。
vo_adv_5088001_027.m4a|……というわけなんです。
vo_adv_5088001_028.m4a|なんでか食材が急に少なくなっていて、
vo_adv_5088001_032.m4a|それが、お嬢さまはしばらくお留守なんです。今回は事情があってしばらく戻られないご予定で。あまりお嬢さまの気を煩わせるのも……と思っていたんですが……
vo_adv_5088001_033.m4a|……やっぱりお嬢さまにご連絡したほうがよさそうですね。食糧もですが、建物の傷み、備品の紛失……これが続くと、救護院は資金繰りが悪化してしまいます。
vo_adv_5088001_034.m4a|今まで安定していた救護院の収支がいきなりおかしくなっては、きっとギルド管理協会も不審に思うでしょう。
vo_adv_5088001_035.m4a|お嬢さまの私費や私のバイト代でどうにか賄ってきたギルド運営もこのところ安定してきていたので、これから救護院の設備なんかを少しずつ良くしていこうってお話ししたばかりだったんです。
vo_adv_5088001_036.m4a|そんな中で急に持ち出しが増えたりしたら、不自然ですよね。
vo_adv_5088001_037.m4a|でも、今の状況を放置すると、最悪、ギルド認定を取り消されてしまう、なんてこともあり得るかも。実際、何度かそういった警告が来たこともありましたし……
vo_adv_5088001_038.m4a|どうしましょう、そんなことになったら……！
vo_adv_5088001_052.m4a|確かに、【サレンディア救護院】は、クルミちゃんがギルド活動の一環として役者さんをやってますけど……
vo_adv_5088001_067.m4a|ふふっ、お腹、すきましたね。心配はもちろんありますけど、ミサキちゃんの言うことも一理あります。気分が沈むときは、やっぱりおいしいものが必要ですから！
vo_adv_5088001_068.m4a|食事の支度をしましょうか。ね、みなさん！
vo_adv_5088001_071.m4a|じゃあこっちに人数分のお皿を……っと！　食器棚に引っかかって……きゃあ！？
vo_adv_5088001_072.m4a|うん、いい匂い……食材が減った分は工夫して……アヤネちゃんが見つけてくれた倉庫のお鍋も助かりました♪
vo_adv_5088002_119.m4a|お帰りなさい！　一日お疲れさまでした。クルミちゃん、ミサキちゃんも……あら？ぐっすり寝ちゃったんですね。
vo_adv_5088002_120.m4a|二人とも、頑張りすぎちゃったんですかね？あんまり無理してないといいんですけど……
vo_adv_5088002_121.m4a|そうですね。だってほら、この寝顔……とっても満足そうです。きっと、楽しかったんでしょうね♪
vo_adv_5088002_122.m4a|よかった！　楽しかったなら、それが一番です♪
vo_adv_5088002_123.m4a|はい♪　アヤネちゃんが隅々までパトロールしてくれました。私はそれを手伝いましたけど、今のところは、何も。私も一緒に、もう少し調べてみますね！
vo_adv_5088002_126.m4a|気合が入ってるのはいいことですけど、そろそろ寝る時間ですよ～？早くベッドに行かないと、魔物が出ちゃうかも……
vo_adv_5088002_127.m4a|って、きゃあ！？ななな、なんですかこの音！！まっ、まさか本当に魔物が！？
vo_adv_5088002_130.m4a|だっ、大丈夫ですよ。今までだって何もなかったでしょう？心配ないから、そろそろ寝ましょうね。明日早起きできないと、朝ごはんを食べそびれちゃいますよ。
vo_adv_5088002_132.m4a|……聞こえますか、音……？そうなんです、時々聞こえるような気がして。空耳だったら、いいんですけど……
vo_adv_5088002_133.m4a|でも、大丈夫です！　ここはサレンディア救護院。ちょっとやそっとのことでは動じませんから♪
vo_adv_5088002_134.m4a|おやすみなさい、{player}さん♪ゆっくり休んでくださいね。
vo_adv_5088002_135.m4a|ふぅ……なんだか、嫌な感じがしますね……これ以上何も起きないといいけれど。私がしっかりしなくっちゃ！
vo_adv_5088003_085.m4a|みんなの企画、楽しみですねえ。私、物産展なんて初めてです。あっ、見えましたよ、馬車！
vo_adv_5088003_088.m4a|はい、お嬢さま。みんな元気でやってます。ただ、ちょっといろいろありまして！今はお庭で、物産展を開催してるんです。
vo_adv_5088003_090.m4a|いいえ、お嬢さま。ご心配なく。あの子たち今、みんなで力を合わせて乗り切ろうって、一生懸命やってますから。
vo_adv_5088003_091.m4a|きっと……あの子たちがこれから生きていくのに大切な時間になるんじゃないかって思うんです。ミサキちゃんがみんなを引っ張ってくれてるのも。
vo_adv_5088003_093.m4a|ふふっ、私もちょっとは成長してるんですよ。それに、あの子たちは私みたいにドジじゃありませんから！きっと大丈夫です。
vo_adv_5088003_095.m4a|はい！お嬢さまも、無理はなさらないでくださいね。
vo_adv_5088006_047.m4a|ありがとうございます、{player}さん！今日もずいぶんたくさんですね……このところ、急にお手紙が増えてびっくりしてるんです。
vo_adv_5088006_048.m4a|なんでも、牧場の舞台が大評判だったみたいで、ランドソル市内でも観られないのかってお問い合わせがたくさん……
vo_adv_5088006_049.m4a|私も観てみたかったです。なんて……私は救護院の留守番をしてないといけませんからね。ほら、この手紙も……
vo_adv_5088006_053.m4a|ここ？　ここって、この救護院で、ですか？サレンディア救護院にはそんなたくさんの人を入れられるようなホールなんてありませんけど、どうやって……
vo_adv_5088006_055.m4a|なるほど、庭でしたらお客さんもたくさん入れられますね！物産展のお客さんも呼び込めますし♪
vo_adv_5088006_058.m4a|もう悪さをするネズミもいないし、安心してお客さんを呼べますね。お嬢さまにもお知らせしないと！
vo_adv_5088006_094.m4a|お嬢さまも戻られたことですし、今日は私、腕によりをかけてお料理しましたよ！
vo_adv_5088006_096.m4a|持っていった分は、ちゃーんと返してもらいましたから！やっぱりこの大なべがないと物足りないですねぇ……っととと！？足元に何かあったみたいです～！？
vo_adv_5088006_098.m4a|あ、わわ、ありがとうございます！
vo_adv_5088101_007.m4a|頑張りましょうね、みなさん！
vo_adv_7018000_000.m4a|ここにあなたの記憶の手がかりがあるんですね。でしたら──
vo_adv_7018000_001.m4a|お家へ帰るまでがなんとやらです。あなたが怪我をしないように、私も全力で奉公しますから！それでは、さっそく塔の中へ……
vo_adv_7018000_002.m4a|──ひゃわぁんっ！？
vo_adv_7018000_003.m4a|……ご、ごめんなさい！あなたを巻き込んで、一緒に転ぶなんて……！今どきますから……！
vo_adv_7018000_004.m4a|私のせいなのに……あなたってかたは。はい、おかげさまでかすり傷一つありません。
vo_adv_7018000_005.m4a|どんなに気をつけてもドジをする……情けない限りです。直せるものなら直したいですけど、こればっかりは……
vo_adv_7018000_006.m4a|……な、なんて！　反省は大事ですけど、後ろ向きは駄目ですね！さぁ、気を取り直してもう一度！…………ところで、どうやって塔の中へ入るんでしょうか？
vo_adv_7018000_008.m4a|ひゃぁ！？　いつの間に女の子が！？…………もしかして、あなたのお知り合いですか？
vo_adv_7018000_010.m4a|ええと……キレイなかたに見つめられちゃうと緊張しちゃいますね！初めまして。私はスズメといいます。
vo_adv_7018000_013.m4a|ひゃわぁあ！？　ド、ドクロがしゃべってますよ！？魔物ですか！？
vo_adv_7018000_015.m4a|ひいぃ！？こっちに近づかないでください……！
vo_adv_7018000_020.m4a|ひぁあ！？来ないでください、来ないでくださいっ！……あっ！？
vo_adv_7018000_021.m4a|手を滑らせて、ステッキが飛んでっちゃいました！！でも一体どこへ……！？
vo_adv_7018000_024.m4a|…………あっ！　私のステッキ、見つけました！でもなんで空から落ちてきたんでしょう……？
vo_adv_7018000_027.m4a|え？　お、お父さんなんですか！？ごごご、ごめんなさい……！　私のドジのせいで……！
vo_adv_7018000_032.m4a|えっ！？　このかたの身に危険が！？もしかして、ここで何か起こるんじゃ！？それなら家で大人しくしていれば大丈夫ですか！？
vo_adv_7018000_034.m4a|そうなんですか……うーん。{player}さん、どうしましょうか？
vo_adv_7018000_035.m4a|あなたの大事な記憶を、早く取り戻したいですもんね。それなら私も、最後までおそばにいます！ドジをするメイドだって、やる時はやりますよ！！
vo_adv_7018000_037.m4a|はい、なんでしょう？
vo_adv_7018000_039.m4a|はっ！？　待ってください、急に雨が降ってきましたよ！？さっきまであんなに天気がよかったのに……濡れちゃう前に塔の中へ入っちゃいましょう！
vo_adv_7018001_000.m4a|暗くてよく見えませんね……ひゃわっ！？手にネバネバしたものが……！これって魔物の……いえ、考えるのはやめておきましょう……
vo_adv_7018001_001.m4a|きゃぁ！？　今度は顔に何か絡みついて……！前がよく見えません……！　みなさんは一体どこに……！
vo_adv_7018001_002.m4a|あっ！　壁がありました……！ふぅ……目が見えない時、触れるものがあると落ち着きますね……
vo_adv_7018001_003.m4a|…………今の音は一体？
vo_adv_7018001_004.m4a|それはつまり……出られなくなったということですか！？でもどうして急に……！
vo_adv_7018001_006.m4a|もしかして、私のせいですか！？
vo_adv_7018001_009.m4a|本当にごめんなさい！　このドジを挽回できるように命を懸けて…………へ？　ついてる？
vo_adv_7018001_011.m4a|えぇええええ！？
vo_adv_7018001_012.m4a|わ、私のそばにいるんですか！？　その悪霊が！？　ずっと！？
vo_adv_7018001_017.m4a|そんな……衝撃の事実に、頭が追いつきません……！でも待ってください。その悪霊とお別れできれば、ドジをしないメイドになれますか！？
vo_adv_7018001_023.m4a|は、はい……！
vo_adv_7018001_025.m4a|ど、どうですか？なんて言ってますか！？
vo_adv_7018001_028.m4a|そ、そんなぁ……！私、長く生きられないんですか……！？
vo_adv_7018001_030.m4a|シノブさん……はい、ありがとうございます！どうかよろしくおねがいします！
vo_adv_7018001_032.m4a|手が温かく……温かいどころか……あわわわっ！　シノブさんっ！なんだか体中が熱くなってきましたよ……！？
vo_adv_7018001_035.m4a|シノブさん！？　顔が真っ青です……！私のことは構わず、手を離してください……！
vo_adv_7018001_038.m4a|あわわっ！？　大丈夫ですか！？二人ともすごい転び方をしましたけど……！そしてなんだか、すごいデジャブです……
vo_adv_7018001_042.m4a|あわわ……っ！シノブさんの服が破けていろんなところが……！
vo_adv_7018002_007.m4a|お願いします……！！
vo_adv_7018002_011.m4a|は、はい……！
vo_adv_7018002_014.m4a|私の中にいる悪霊は、どんな姿をしているんでしょうか……！見えないせいで、よけいに怖いです……！
vo_adv_7018002_015.m4a|シノブさんは、とても冷静なご様子です。怖くない……なんてことは、ないはずなのに。
vo_adv_7018002_016.m4a|私も何かシノブさんにお返しができればいいなぁ……たとえばこう……笑顔にしてあげられるような……
vo_adv_7018002_017.m4a|今のように目を閉じられていても素敵ですけど、きっと笑った顔も素敵でしょうから……
vo_adv_7018002_018.m4a|……って見惚れている場合じゃありません……！私も一生懸命お祈りしないと……！悪霊退散……悪霊退散……悪霊退散です！！
vo_adv_7018002_019.m4a|あっ！　私の中から何か黒いもやが出てきました……！！これが私に取り憑いていた悪霊？　出ていってくれるんですか！？
vo_adv_7018002_020.m4a|あれれ？このかたの周りをぐるぐると……まさか、取り憑こうとしてるんじゃ……！？
vo_adv_7018002_022.m4a|見えているのは私だけ！？取り憑かれている本人だからでしょうか！？気づいているのが私だけなら、あのかたを救えるのも……
vo_adv_7018002_023.m4a|だ、駄目です！そのかたを不幸にするのは、絶対にっ！！
vo_adv_7018002_025.m4a|え？
vo_adv_7018002_027.m4a|あいたたた……下敷きになったのがシノブさんじゃなくてよかったです……
vo_adv_7018002_028.m4a|あれ？　ほっぺたに柔らかくて温かいものが……この感触、もしかして……
vo_adv_7018002_030.m4a|だ、大丈夫ですよ！救護院の女の子からも時々、おふざけでちゅーされることもあって！そんなに気にしないでください！
vo_adv_7018003_001.m4a|シノブさんがとても落ち込んでますね……私のせいなので、なんと声をかければいいか……
vo_adv_7018003_002.m4a|いいアイデアですね！　たくさん歩きましたし、ごはんにしましょうか！ここはメイドの本分、私にお任せください！
vo_adv_7018003_003.m4a|ということで！　じゃじゃーん！　簡易ランチセットです！みなさん、どうぞ召し上がってください！
vo_adv_7018003_005.m4a|たくさん作ってきたので大丈夫ですよ！……その、味の保証はあんまりできないんですけど。ささ、ここへ座ってください！
vo_adv_7018003_007.m4a|どうですか！？ちゃんと食べられそうですか！？
vo_adv_7018003_009.m4a|シノブさん……えへへ、うれしいです♪やっぱりシノブさんは、笑った顔も素敵ですね！
vo_adv_7018003_011.m4a|いえいえ！　怖い顔というより、真剣な表情でしたよ！私がお仕えしているお嬢さまと同じで、私を心配して、案じてくれる……そんな優しい視線を感じていました。
vo_adv_7018003_012.m4a|うれしいです。私のことを真剣に考えてくださって。だから怖いなんてこと、絶対ありませんよ。シノブさんはとても優しいかたです！　間違いありません！！
vo_adv_7018003_014.m4a|はい♪あなたがごはんを食べようって、提案してくださったおかげです！
vo_adv_7018003_015.m4a|そうそう、{player}さんの好物にもチャレンジしたんですよ！よければ召し上がってくださいね♪
vo_adv_7018003_017.m4a|それなら、私も占ってくれませんか！
vo_adv_7018003_020.m4a|どきどきどき……！
vo_adv_7018003_022.m4a|ガーン……大凶……やっぱり『ドジばかりする』って意味なんでしょうかね……
vo_adv_7018003_024.m4a|分かりました！今日は絶対、火の元には近づかないようにします！
vo_adv_7018003_025.m4a|と、思った矢先に……！！
vo_adv_7018003_027.m4a|こういった場合、私はどうすれば！？
vo_adv_7018003_035.m4a|シノブさんの方へ飛ぶので、そこを空けてください！……えいっ！！
vo_adv_7018003_036.m4a|わっとっと、ふぅ……無事に着地できました！
vo_adv_7018003_038.m4a|だってシノブさんのピンチなんですよ！？せっかく占ってくれたシノブさんには申し訳ありませんが……見て見ぬふりだけは絶対に嫌なんです！
vo_adv_7018003_039.m4a|みんなまとめて、私がお掃除しちゃいます！ウィンドストリーム！！
vo_adv_7018003_040.m4a|あ、あれっ……？　なんだかいつもより威力が強い……というか強すぎませんか！？
vo_adv_7018003_041.m4a|けほっ、こほっ……！は、はい！　こっちは無事です！
vo_adv_7018003_042.m4a|シノブさんは大丈夫ですか！？
vo_adv_7018003_044.m4a|ああ。これはその……占い通りでしたね！自分が起こした爆発に巻き込まれただけで、つまり自業自得です！治療もできますから、心配しないでください！
vo_adv_7018003_045.m4a|それよりも……シノブさんが無事で良かったです！
vo_adv_7018003_047.m4a|……あれ？　なんだかお尻がすごくスースーするような……ひゃぁ！？　スカートが燃えちゃったせいで……！こっちもお直ししないと……！！
vo_adv_7018004_000.m4a|はぁ……
vo_adv_7018004_001.m4a|このかたのお手伝いをして、少しでも恩をお返ししたかったのに……結局ダメな私に付き合わせちゃって。本末転倒ですね……
vo_adv_7018004_002.m4a|それにさっきの戦い……私の魔法が暴走していたような気もします。
vo_adv_7018004_003.m4a|私の中にいる悪霊が原因なら、みなさんと一緒にいない方がいいんじゃ……
vo_adv_7018004_005.m4a|シノブさん……えへへ、ばれちゃいましたか。悩んじゃうと、後ろ向きなことばかり考えちゃって駄目ですね……でも、怖いんです……大切な人を傷つけたらどうしようって。
vo_adv_7018004_006.m4a|私、これまでたくさんのドジをしてきました。でもみなさんを危険にさらすようなドジをしたのは今回が初めてで……まるで疫病神ですよね。
vo_adv_7018004_009.m4a|シノブさん……えへへ、ありがとうございます。
vo_adv_7018004_035.m4a|ひゃあーー！？
vo_adv_7018004_039.m4a|あいたた……ごめんなさい。ちょっと色々ありまして、滑って転んじゃっただけなんです。
vo_adv_7018004_043.m4a|実は……あの悪霊が突然見えるようになって、襲い掛かってきたんです。その時に攻撃を受けちゃいまして……転んだ時にはもういなくなってたんですけど……
vo_adv_7018004_044.m4a|はっくしゅ！……ううっ、寒気がしてきました。
vo_adv_7018004_045.m4a|お気遣い、すみません……あなたはやっぱり優しいですね。
vo_adv_7018005_001.m4a|シノブさん、ありがとうございます！
vo_adv_7018005_006.m4a|はい！　みなさん、本当にありがとうございました。なんとお礼を言えばいいのか。
vo_adv_7018005_007.m4a|でも本当は、あなたの記憶の手がかりを探すはずだったのに……
vo_adv_7018005_009.m4a|キラキラ光ってますね。もしかして……あなたの言っていた記憶の鍵でしょうか！？
vo_adv_7018005_072.m4a|あれ……？　ここは……？どうして私、眠っちゃったんでしょう……？
vo_adv_7018005_074.m4a|大丈夫です。ただ、不思議な夢を見ていただけで……
vo_adv_7018005_076.m4a|これが、記憶の鍵の力……？だとすれば、あなたの目的を果たせたということでしょうか？それなら良かったです……
vo_adv_7018005_077.m4a|えへへ、ご心配をおかけしました♪あれ？　でも悪霊がいなくなったということは……
vo_adv_7018005_078.m4a|私、これでドジっ娘メイド卒業です！！！！
vo_adv_7018005_080.m4a|ひゃぁあっ！？
vo_adv_7018005_081.m4a|な、なんでまた転んじゃったんですか！？私、もうドジはしないはずなのに！？
vo_adv_7018005_084.m4a|そ、そんなぁ……！
vo_adv_7018005_086.m4a|えっ！？　このかたを狙っていたんですか！？
vo_adv_7018005_090.m4a|わわっ！？　シノブさん！？……ふぅ、ドジせずキャッチできました。
vo_adv_7018005_093.m4a|ってことは……これでみなさん、家へ帰れますね！
vo_adv_7018005_095.m4a|待ってください！その役目、私にやらせてもらえませんか！？私もシノブさんのために何かしたいんです！
vo_adv_7018005_096.m4a|もちろん、私が転ぶんじゃないかって不安に思われるかもしれません。でも、ダメダメなドジっ娘でも、やる時はやります！
vo_adv_7018005_097.m4a|ただ……シノブさんさえよければなんですけど……
vo_adv_7018005_099.m4a|任せてください♪日ごろから家事を色々やってるので、力はあるほうなんですよ！
vo_adv_7018005_100.m4a|それでは失礼して……よいしょっと！
vo_adv_7018005_102.m4a|いえいえ！　おふとんより軽いですよ♪……あわっ！？
vo_adv_7018005_103.m4a|……とっとっと～！ふぅ～やる時はやりますから！
vo_adv_7018005_105.m4a|それは私のセリフですよ。ありのままの私を肯定してくださって……うれしかったです。
vo_adv_7018005_106.m4a|これからもドジばかりしてしまうかもしれませんが、転んでもめげずに、前向きに頑張っていきます！
vo_adv_7018005_107.m4a|……あ。だからといってみなさんの厚意に甘え過ぎずドジを直そうっていう目標も、引き続き目指していきますので！
vo_adv_7018005_110.m4a|いいんですか！？　こちらこそお願いしたいです！あ、どうせなら一緒にお料理も作ってみませんか！？
vo_adv_9003503_004.m4a|みなさんも、安全なほうへ……！
vo_adv_9003507_008.m4a|で、でも……放っておくわけにもいかないですし。とりあえず、動けないようにしちゃったほうがいいですよね？
vo_adv_9003507_013.m4a|わわっ、待ってくださいキャルさん！それじゃあうちのお庭も燃えちゃいますよ～っ！
vo_adv_9003511_008.m4a|で、でも……放っておくわけにもいかないですし。とりあえず、動けないようにしちゃったほうがいいですよね？
vo_adv_9003511_013.m4a|わわっ、待ってくださいキャルさん！それじゃあうちのお庭も燃えちゃいますよ～っ！
vo_adv_9004011_006.m4a|あわわ、どうしましょう……道に迷ってる間にこんなに並んでる人が！これじゃあ、今から並んでも売り切れになっちゃいます……！
vo_adv_9004011_010.m4a|うう……この前開いていただいた新年会でふるまってもらったお餅が美味しかったから来ましたけど、こんなに人がいるんじゃ、どうしようもありません……
vo_adv_9004011_012.m4a|{player}さん！？そ、そうでした……！　最後まで諦めなければ逆転の可能性はある……！ギルドレースで身をもって経験したのに、忘れていました……！
vo_adv_9004011_015.m4a|すみません、店員さん！私たちの分は、まだ残ってますか……？え、ある？　や、やったぁ～！！
vo_adv_9004011_017.m4a|私もサレンお嬢様たちによろこんでいただけます……！諦めなくてよかったです～！
vo_adv_9004011_018.m4a|{player}さん、ありがとうございました！諦めない心で、これからも私、がんばりますね……って、あ、足がすべって……きゃああ！？
vo_adv_9005005_009.m4a|あ、ユカリさ～ん！飲み物買ってきましたよ～！
vo_adv_9005005_014.m4a|あれっ？　ええっ！？私、お茶を買ってきたはずなんですけど……あぁっ、これ、もしかして麦しゅわ！？　なんで～！？
