vo_adv_1036009_000.m4a|あ、{player}さんじゃないですか。こんにちは、今日はいいお天気ですね。
vo_adv_1227002_033.m4a|う～ん……あなたが協力してくれるのはありがたいですけど、みんなに教えてあげる魔法、どうしたらいいですかね……
vo_adv_1227002_034.m4a|攻撃魔法はケガしたら危ないし。……海で使えそうな、すごい魔法……
vo_adv_1227002_035.m4a|えっ？
vo_adv_1227002_036.m4a|……水の中で、呼吸できる魔法？
vo_adv_1227002_037.m4a|そんなの聞いたことがありませんけど……キャルさんが、オリジナルで作った！？す、すごいです……！
vo_adv_1227002_038.m4a|確かにそれなら、海で楽しめるかも……！
vo_adv_1227002_039.m4a|それで、キャルさんに魔法を教わりに行ったら……
vo_adv_1227002_040.m4a|水中呼吸は失敗すると危ないから、もっと簡単なのにしときなさいって。代わりに水中呼吸を応用した、水の上に立てる魔法を教えてもらったんだよね。
vo_adv_1227002_041.m4a|水上歩行……足元に魔法で膜を作って、水の上を歩く。ちゃんと使い方は教わったけど……大丈夫かな。
vo_adv_1227002_042.m4a|私の実力だと、同時にみんなに魔法をかけるのは難しい、から……
vo_adv_1227002_043.m4a|……お願いします、{player}さん。
vo_adv_1227002_044.m4a|んっ……きた……！これなら、できるはず……！
vo_adv_1227002_045.m4a|みんな、じゃあ、いくよ……！
vo_adv_1227002_046.m4a|えーいっ！
vo_adv_1227002_049.m4a|え、えへへ……♪
vo_adv_1227002_050.m4a|よかった～……上手くいった……！
vo_adv_1227002_051.m4a|でもやっぱり、コントロールが難しい……！あの人の力が無かったら、絶対に無理だった……！
vo_adv_1227002_052.m4a|でも私、ちゃんとリーダーできてる……よねっ。
vo_adv_1227002_054.m4a|ほ、褒めすぎだよ……！これくらい、みんなも練習したらできるようになるし……！
vo_adv_1227002_056.m4a|うんっ、私に任せてっ♪リーダーとして、みんなにしっかりと魔法を教えてあげるね！
vo_adv_1227002_057.m4a|えっ？でも、あなたは魔法使えませんよね？何もできないと思いますけど……
vo_adv_1227002_058.m4a|えっ、肩もみ？　私、こってませんし。肩車？　……不自然に触ろうとしていませんか？というか、そんな無理に手伝おうとしなくていいですから！
vo_adv_1227002_060.m4a|～～～っ！？
vo_adv_1227002_061.m4a|とっ、とにかく！あとは私がみんなに教えていくだけですから、あなたの力を借りなくても大丈夫です。
vo_adv_1227002_062.m4a|……なんですか、その心配そうな顔は。もう、また私を子供扱いしていますねっ？
vo_adv_1227002_063.m4a|もう大丈夫です！ここからは学校の課題の時間ですから、あなたはどこかで時間をつぶしてきてください！
vo_adv_1227002_064.m4a|……ふぅ、行きましたか。
vo_adv_1227002_065.m4a|悪いこと……しちゃったかな。あの人を呼んだのは私なんだけど……でも。みんなの前で、いつもみたいにされると……恥ずかしいし……
vo_adv_1227002_067.m4a|あっ、は～いっ！今行きます！
vo_adv_1227002_068.m4a|……ごめんなさい、{player}さん。あとで遊んであげますから……！
vo_adv_1227002_069.m4a|そうそう、そんな感じ！みんな良くなってきたよ！
vo_adv_1227002_073.m4a|そ、そうかな……♪
vo_adv_1227002_074.m4a|じゃあ、みんな頑張ろ～っ！わからないことがあったら私になんでも聞いてね♪
vo_adv_1227002_076.m4a|それにしても、練習のために奥の浜辺まで来ちゃったけど大丈夫かな。あの人、急に私たちがいなくなって心配したり……
vo_adv_1227002_077.m4a|ううん。いつまでも心配ばかりされてちゃダメだよね！
vo_adv_1227002_078.m4a|私はみんなのリーダーなんだから！なにが起きたって私が──
vo_adv_1227002_079.m4a|え……？
vo_adv_1227002_082.m4a|わっ、私……！？
vo_adv_1227002_084.m4a|あっ……う……うん……そうだけど……それは、その……！
vo_adv_1227002_087.m4a|う……うんっ！
vo_adv_1227002_088.m4a|や、やらなきゃ！私はリーダーだもんっ……！大丈夫、{player}さんがいなくても、できるはず……！
vo_adv_1227002_089.m4a|コスモブルー……フラーッシュッ！
vo_adv_1227002_092.m4a|ま、待って……！今度はちゃんと……コスモブルーフラッシュ！
vo_adv_1227002_093.m4a|あっ……魔法が……発動、しない……？し、失敗……しちゃった……
vo_adv_1227002_095.m4a|……っ！
vo_adv_1227002_096.m4a|ごっ、ごめんなさい……！私、本当は……！
vo_adv_1227002_097.m4a|魔物が……っ！？ダ、ダメ！　みんなだけは……！
vo_adv_1227002_098.m4a|そうだ、あの人を……！ううんダメだよ、私が向こう行ってくださいって言っちゃったから、私たちのいるところ知らないよね……？　私のバカバカッ……！
vo_adv_1227002_099.m4a|あ……防犯魔石！　これを使えば……！
vo_adv_1227002_100.m4a|こないでーっ！
vo_adv_1227002_101.m4a|──助けてくださいっ！{player}さんっ！
vo_adv_1227002_102.m4a|……！
vo_adv_1227002_105.m4a|あ、あの……
vo_adv_1227002_106.m4a|ど、どうして謝るんですか……！私、助けられちゃって……
vo_adv_1227002_107.m4a|私……あなたがいないと、なんにも、できなくて……ひっく……ぐす……っ……
vo_adv_1227002_110.m4a|……ごめんなさい……ごめんなさい……！
vo_adv_1227003_000.m4a|…………
vo_adv_1227003_001.m4a|みんなに……見られちゃった。魔法を失敗するところ……魔物に怯えて、{player}さんの助けを呼ぶところ。
vo_adv_1227003_002.m4a|私がみんなに嘘ついてたこと……バレちゃった……
vo_adv_1227003_004.m4a|あ……みんな……{player}さん。
vo_adv_1227003_005.m4a|……！
vo_adv_1227003_008.m4a|う……
vo_adv_1227003_009.m4a|ご、ごめんなさい……
vo_adv_1227003_010.m4a|私、リーダー失格です……っ！
vo_adv_1227003_014.m4a|はぁ、はぁっ……！
vo_adv_1227003_015.m4a|思わず、逃げ出しちゃった……
vo_adv_1227003_016.m4a|ひゃあっ！？つっ、ついてこないでください！
vo_adv_1227003_017.m4a|……っ！ま、まだ追いかけてきてる……！
vo_adv_1227003_018.m4a|私、このまま帰ります！みんなにはそう伝えておいてください！
vo_adv_1227003_019.m4a|って、なんで速くなってるんですか！ついてこないでくださいって言ってるじゃないですか！
vo_adv_1227003_020.m4a|女の子を追いかけまわすなんて、へんたいです！本当にへんたいふしんしゃさんになっちゃいますよ！
vo_adv_1227003_021.m4a|っ、そこまで……ですか。
vo_adv_1227003_022.m4a|でも私、みんなに合わせる顔が……ありません。とにかく、私は戻りませんから！
vo_adv_1227003_023.m4a|きゃっ！？危ない、地面が出っ張ってて……転んじゃうところだった……
vo_adv_1227003_024.m4a|ということは、あの人は……あっ、やっぱり転んだ。
vo_adv_1227003_025.m4a|今なら、引き離せるかも……
vo_adv_1227003_026.m4a|…………
vo_adv_1227003_027.m4a|……もう。
vo_adv_1227003_028.m4a|不注意な人ですね。私が避けられたのに、どうしてあなたが引っかかるんですか。
vo_adv_1227003_029.m4a|んっ……！わ、私のせいってことですか。人のせいにするの、よくありませんよ。
vo_adv_1227003_030.m4a|あ……膝をすりむいてますね。ちょっと見せてください。
vo_adv_1227003_031.m4a|……ごめんなさい。私のせいで、ケガさせてしまって。
vo_adv_1227003_032.m4a|それに、このサマーキャンプも。私が手伝ってくださいって言ったのに、あなたを遠ざけるような真似をして。
vo_adv_1227003_033.m4a|水上歩行の魔法だって、あなたの力がなければあんなふうに使えないのに。それでみんなに褒められて、いい気になって……
vo_adv_1227003_034.m4a|みんなが危ない時にも、何もできませんでした。リーダーなんて、言ってたのに……
vo_adv_1227003_035.m4a|えへへ。バチが当たっちゃいました。
vo_adv_1227003_036.m4a|みんな……私のこと、呆れて、嫌いになっちゃったと思います。
vo_adv_1227003_037.m4a|絶対なんて、そんなのあなたにわかるわけないですっ！
vo_adv_1227003_038.m4a|だって私、あんなにみんなに自慢してたのに、肝心な時に震えるだけで……怖い思いをさせちゃったんですから。
vo_adv_1227003_039.m4a|……嫌われて当然です。
vo_adv_1227003_040.m4a|……なっ？
vo_adv_1227003_041.m4a|な……なっ……！
vo_adv_1227003_042.m4a|何言ってるんですか、急にっ！
vo_adv_1227003_043.m4a|大好き？　いま、大好きって言いましたか？そんな、{player}さんが……？　私のことを？
vo_adv_1227003_044.m4a|いやでも私はまだ子供で、{player}さんは大人で……！そんなの……ダメ……ダメ？　じゃないのかな……？
vo_adv_1227003_045.m4a|……？み、みんなも……？
vo_adv_1227003_046.m4a|そ、そうですよね、そういうことですよね……！
vo_adv_1227003_047.m4a|……本当に……そう、なんでしょうか？
vo_adv_1227003_048.m4a|……は……はい。
vo_adv_1227003_049.m4a|多分、ダメだと思いますけど……みんなに、ちゃんと謝ってみようと思います。
vo_adv_1227003_050.m4a|……んっ……あれ？あ、足が……
vo_adv_1227003_051.m4a|その……ちょっとびっくりして、足が動かなくなっちゃったので……
vo_adv_1227003_052.m4a|起こして、もらえますか？
vo_adv_1227003_053.m4a|うぅ……緊張してきた。
vo_adv_1227003_054.m4a|あれ……？みんなが、いない……？
vo_adv_1227003_055.m4a|この時間は、自由時間のはず……もしかして、私に呆れて帰っちゃったのかな……
vo_adv_1227003_057.m4a|っ！？今の、悲鳴ですよね……！？
vo_adv_1227003_058.m4a|あっちです！行きましょう！
vo_adv_1227003_060.m4a|魔物……！？あれ、さっき逃げた魔物じゃありませんか！？どうしてあの子が捕まってるんです……！？
vo_adv_1227003_062.m4a|何があったんですか！？
vo_adv_1227003_064.m4a|さっき襲われたのに、どうしてまた……！？
vo_adv_1227003_066.m4a|はっ、はい！とにかく、助けなきゃ……！
vo_adv_1227003_067.m4a|お願いです。さっきは子供扱いしないで、なんて言っちゃいましたけど……私一人じゃ、何にもできなくて……
vo_adv_1227003_068.m4a|でも私は……みんなを助けたいんです。
vo_adv_1227003_069.m4a|リーダーとしてなんかじゃなくて。見栄を張って、自分を大きく見せるんじゃなくて。
vo_adv_1227003_070.m4a|私にできることを、したいんです！
vo_adv_1227003_071.m4a|力を……貸してください。
vo_adv_1227003_072.m4a|んっ……ありがとうございます……っ！
vo_adv_1227003_073.m4a|いきますっ！コスモブルーフラッシュ！
vo_adv_1227003_074.m4a|あっ……！ここからじゃ届かない……！？
vo_adv_1227003_075.m4a|もっと近づかなきゃ……！でも、魔物は海の方に……！
vo_adv_1227003_076.m4a|だったら……
vo_adv_1227003_077.m4a|……水上歩行で近づくしかありませんね。
vo_adv_1227003_079.m4a|私一人じゃ、無理だと思います。でも、今はあの人が力を貸してくれますから。
vo_adv_1227003_080.m4a|それじゃ、行ってきますね……！
vo_adv_1227003_081.m4a|すごい魔法が使えて、つよ～い魔物を倒して……本当の私は、そんなにかっこよくないけど。でも今だけは、嘘を本当にしなきゃ……！
vo_adv_1227003_082.m4a|きゃっ、こっちを狙って……！
vo_adv_1227003_083.m4a|ありがとうございます……！
vo_adv_1227003_084.m4a|……この人がいれば、できる。
vo_adv_1227003_085.m4a|──水上歩行。
vo_adv_1227003_087.m4a|少し待っててくださいね。今、助けますから。
vo_adv_1227003_088.m4a|私の友達を、返してもらいます……！
vo_adv_1227003_089.m4a|そんなの当たりませんっ！
vo_adv_1227003_091.m4a|二つの魔法を同時に使うなんて、すごく難しいことのはずなのに……なんだかすごく落ち着いてる。
vo_adv_1227003_092.m4a|みんなに全部バレちゃって……体が、軽くなったみたい。
vo_adv_1227003_093.m4a|今なら、なんでもできそう……！
vo_adv_1227003_094.m4a|いきます……っ！
vo_adv_1227003_095.m4a|サマーアクアフロック！
vo_adv_1227003_097.m4a|大丈夫だった？ケガは……してないみたい。よかった……！
vo_adv_1227003_099.m4a|そうですっ！みんな、さっき襲われて、ここは危険だってわかってましたよね！どうしてまた近づいたりしたんですか……！
vo_adv_1227003_101.m4a|え？
vo_adv_1227003_105.m4a|……そっ、そんな。私の方こそ……ごめんなさい。
vo_adv_1227003_106.m4a|私、みんなが思ってるようなしっかり者じゃないんです……ギルドは正式なものじゃないし、魔物だって、一人じゃ戦うのは怖いし。
vo_adv_1227003_107.m4a|魔法も、この人の力を借りないとうまく使えないし。あのオリジナルの魔法も、作ったのは私じゃないし……
vo_adv_1227003_108.m4a|みんなに尊敬されるのがうれしくて……みんなを、だましてたんです。
vo_adv_1227003_110.m4a|……？
vo_adv_1227003_112.m4a|みんな……
vo_adv_1227003_113.m4a|……はい……っ！みんな私のこと、嫌いになってなかったです……！
vo_adv_1227003_114.m4a|えへへ……♪
vo_adv_1227003_115.m4a|…………
vo_adv_1227003_116.m4a|いいですか、そこで見ていてくださいね。手伝っちゃダメですからね。
vo_adv_1227003_117.m4a|なんだか今なら、あなたの力がなくても魔法が使える気がするんです。もし成功したら、もうあなたに子供扱いされなくて済みますよね！
vo_adv_1227003_118.m4a|いきますよ……っ！
vo_adv_1227003_119.m4a|サマーアクア──フローック！
vo_adv_1227003_120.m4a|きゃあああっ！？
vo_adv_1227003_121.m4a|あぁ、もう……失敗しちゃいました～
vo_adv_1227003_122.m4a|えへへ、体中、びしょびしょ……
vo_adv_1227003_123.m4a|でも、もう落ち込んだりしませんよ。
vo_adv_1227004_000.m4a|全員、揃っていますか？
vo_adv_1227004_003.m4a|あ、あの……リーダーはやめてください。私もう、そういうのはいいですから。
vo_adv_1227004_004.m4a|も～！{player}さんまで～！
vo_adv_1227004_005.m4a|……こほん。それでは、今からサマーキャンプ最終日のお掃除を始めます。
vo_adv_1227004_006.m4a|私たちが来たときよりもきれいにしていい気持ちで学校に帰りましょう♪
vo_adv_1227004_007.m4a|お掃除、はじめ～！
vo_adv_1227004_009.m4a|あ！あなたはこっちですよ。私と一緒に来てください。
vo_adv_1227004_010.m4a|あなたのことだから、迷ったり、遊んじゃったりするかもしれませんからね。私がそばでしっかりと見ていてあげます。
vo_adv_1227004_011.m4a|いいですか？この海辺をピカピカと輝かせて──あれっ？なんだか、もう輝いてませんか……？
vo_adv_1227004_069.m4a|……ふぇ？
vo_adv_1227004_070.m4a|あ、れ……私……寝てましたか！？
vo_adv_1227004_072.m4a|えぇっ！？ごめんなさい、私リーダーなのに！
vo_adv_1227004_073.m4a|……ううん、そうじゃなくて。
vo_adv_1227004_074.m4a|ありがとう、みんな！
vo_adv_1227004_077.m4a|ほ、本当に……？
vo_adv_1227004_079.m4a|ふふっ、やったぁ……♪
vo_adv_1227004_080.m4a|あなたも……ありがとうございます。私の身勝手なお願いに付き合ってくれて。
vo_adv_1227004_081.m4a|あなたのおかげで、私のサマーキャンプは大成功でした。
vo_adv_1227004_082.m4a|えへへ……♪
vo_adv_1227004_085.m4a|っ！？
vo_adv_1227004_086.m4a|かか、彼氏！？ちっ、違います！全然違いますから！
vo_adv_1227004_088.m4a|通じ合ってませんっ！あ、あなたも何とか言ってください！
vo_adv_1227004_089.m4a|なんですかその含みのある答えは！？大人っぽいです！　大人って汚いです！
vo_adv_1227004_091.m4a|えっ！？ダメです！　それはいけません！ふ、ふたまた？　じゃないですか……！
vo_adv_1227004_093.m4a|ちーがーうーかーらーっ！
vo_adv_1227004_094.m4a|も～～～～～～～～～っ！みんなきらい～～～～～～～～～～～～！
vo_adv_1808001_001.m4a|ミソギは絶対、私のマネをするって思ってた。私の表情を読もうとしてもムダだよ。こうやって目をつむっちゃえば……
vo_adv_1808001_003.m4a|残念！　そっちはババのカードでした。
vo_adv_1808001_006.m4a|……ミミ。応援してくれるのはうれしいけど、どっちも負けないんじゃ勝負がつかないよ……
vo_adv_1808001_011.m4a|ちょっとミソギ！いくらあやしいへんたいふしんしゃさんだからって、人を困らせるのはよくないよ！
vo_adv_1808001_015.m4a|その……いつも助けてもらってるし、私たちでよければ、話とか聞きますけど……
vo_adv_1808001_018.m4a|お、お財布を……
vo_adv_1808001_021.m4a|それを言うなら『一文無し』です！大変じゃないですか！【王宮騎士団（NIGHTMARE）】の人に相談しましたか？
vo_adv_1808001_025.m4a|……これから雑貨屋でバイト？たしかにそれでは、探しに行けませんね。
vo_adv_1808001_029.m4a|本当はあの人だって、諦めずに探したいはずだよ。でも本当に時間がないんだと思う……
vo_adv_1808001_032.m4a|そういう驚かせ方は、私も賛成。あと、その勝負もね！
vo_adv_1808001_034.m4a|ううん。ここは分かれた方がいいと思う。つまり人海戦術ってヤツだよ！
vo_adv_1808001_036.m4a|それじゃ私は、あっちを探すから。
vo_adv_1808001_041.m4a|『ガマ口のお財布を探しています』……と。ポスターの貼り付け、終わり！
vo_adv_1808001_042.m4a|ここならいろんな人が集まるから掲示板を見てもらえるし、私も人に尋ねてまわれるし、一石二鳥だよね。
vo_adv_1808001_043.m4a|……あの人はへんたいだけど悪い人じゃないし。あんなに悲しそうな顔はもう見たくないから……だから、協力しないと！
vo_adv_1808001_060.m4a|……やっぱりそうだ。こっちのポスターにも、あっちのポスターにも『お財布を探してます』って書いてある。
vo_adv_1808001_061.m4a|聞き込みした時も、お財布を失くした人がいたし……そんなひんぱんにお財布を落とすなんてこと──
vo_adv_1808001_063.m4a|あれはミミ？　追いかけてるのって……まさか！ミミ、一人で行かないで！
vo_adv_1808001_068.m4a|あっ！　ミソギいたっ！私たちも行くよ！
vo_adv_1808001_070.m4a|ミミが追いかけてるのは、お財布ドロボーなの！あの人のも、きっとあのドロボーが盗ったんだよ！
vo_adv_1808001_075.m4a|ミミの左手は私に任せて！あともうちょっとだから、一緒にがんばろ！
vo_adv_1808001_081.m4a|ここは私に任せてっ！ええいっ！！
vo_adv_1808001_084.m4a|でもまだ動けるのは想定外だよ……！どうしよう、また離されちゃう……！
vo_adv_1808001_097.m4a|ミミ、気づいてなかったんだね……その人、ドロボーだったんだよ。
vo_adv_1808001_102.m4a|ミミがそれでいいなら。
vo_adv_1808001_104.m4a|さてと……このおじさんのこと、大人たちに知らせないと。
vo_adv_1808001_106.m4a|……ということで、{player}さんはお財布を落としたのではなく、盗まれたことが分かったんです。
vo_adv_1808001_110.m4a|えっ！？なにか買ってくれるってことですか？そ、そんなのいいですよ！
vo_adv_1808001_113.m4a|ギルド報酬？　私たち、正式なギルドじゃないのに？
vo_adv_1808001_116.m4a|わぁ～……うん。私も賛成！３人でがんばった証って感じがするしね！
vo_adv_1808001_120.m4a|かわいいって…………{player}さんはどう思います？
vo_adv_1808001_123.m4a|……宝物に、します。
vo_adv_1808002_001.m4a|ミソギ。教科書じゃなくて、横のリボンばっかり見てない？宿題、終わらないよ？
vo_adv_1808002_003.m4a|わ、私は宿題終わらせたもん！
vo_adv_1808002_005.m4a|……うん。ミミの言う通りだよ。着けるのもいいけど、飾っておきたいぐらい。
vo_adv_1808002_007.m4a|あのテントの中に？でも、穴が開いたり、破けちゃったりしてるよ。リボンがボロボロになっちゃうんじゃないかな？
vo_adv_1808002_010.m4a|わわっ！？　ミミ、大丈夫？そうだ。温かいハーブティーを持ってきたから、みんなで飲もう。ミミがまた風邪をひいたら大変だしね。
vo_adv_1808002_012.m4a|も～……ミソギはすぐくっつきたがるね。
vo_adv_1808002_015.m4a|それは無理だよ。ギルドハウスは、ギルド管理協会に登録されたギルドしか貸してもらえないんだから。
vo_adv_1808002_017.m4a|うーん……どうかなぁ。ギルド方針だってないのに……
vo_adv_1808002_019.m4a|却下。
vo_adv_1808002_021.m4a|え？　私なら……みんなで毎日勉強する、かな？
vo_adv_1808002_026.m4a|それじゃ【リトルリリカル】のギルド方針は、『みんなで毎日イタズラして勉強して冒険して、ハーブティーとカップケーキを食べながらお花を育てる』で決定ね。
vo_adv_1808002_030.m4a|話は聞いてくれたけど……登録してもらえなかったね。
vo_adv_1808002_035.m4a|そんなわけないよ！でも……なにか悪いことが起きたんだ！
vo_adv_1808002_041.m4a|服がボロボロですけど、ここで一体、なにがあったんですか？
vo_adv_1808002_046.m4a|狙いが食べ物なら、カバンはどこかに捨ててるかもしれませんよ。……うーん、こっちにはないなぁ。ミソギ、そっちはどう？
vo_adv_1808002_060.m4a|しょうがないよ。魔物に襲われたら大変だもん。
vo_adv_1808002_062.m4a|どういうこと？
vo_adv_1808002_066.m4a|もしその話が本当なら、取り戻せるかもしれないね。でもミソギ。それならそうって、おじさんに伝えれば良かったのに。
vo_adv_1808002_085.m4a|熱と冷気を魔法で合わせて……ええい……！
vo_adv_1808002_092.m4a|……ううっ！　やっぱり恥ずかしい……
vo_adv_1808002_096.m4a|魔物のフリをして人の物を奪うなんて許せません。ここにもうすぐ【王宮騎士団（NIGHTMARE）】の人が来ますからそれまでおとなしくしててください。
vo_adv_1808002_102.m4a|その……{player}さんがずっと気を張って、私たちを守ってくれてたことは知ってます。わがままを聞いてくれて、ありがとうございました。
vo_adv_1808002_105.m4a|わわっ！？　ミソギ！そんなに手を引っ張らないで！！
vo_adv_1808002_107.m4a|……？特に変わったところはなさそうだけど……
vo_adv_1808002_111.m4a|どうして{player}さんがここに……？
vo_adv_1808002_121.m4a|うん、私も。……秘密基地、大事に使いますから。
vo_adv_1808002_127.m4a|勉強だよ！
vo_adv_1808002_130.m4a|もちろん勉強ですよね！？
vo_adv_1808003_001.m4a|私は本を読んでるよ。すきま風がないから、手がかじかんで動かない……なんて心配もなくなったしね。
vo_adv_1808003_007.m4a|盗賊団……だから最近、事件が多かったんだね。
vo_adv_1808003_016.m4a|知らない人？……誰だろう？
vo_adv_1808003_030.m4a|うん。きっとあの真ん中にいる熊みたいな大男……絶対、間違いない……『大魔王』が本当にいたなんて。はやく大人たちに知らせにいこう……！
vo_adv_1808003_039.m4a|それはお小遣いを貯めて買った本なのに……！でもミソギだって耐えたんだから。がまん、がまん……！
vo_adv_1808003_046.m4a|それだけはぜったいぜったい渡せません！
vo_adv_1808003_066.m4a|その標識は書き換えてないよ。書き換えたのはその前の標識。
vo_adv_1808003_068.m4a|メモしたからね。も～ミソギ。前にも同じことやって、３人で迷子になったこと、覚えてないの？
vo_adv_1808003_070.m4a|えっ？　ミミがいない！？一緒に来てると思ってたのに！
vo_adv_1808003_072.m4a|ど、どうしよう……メモをとるのに必死で……私が後ろもちゃんと見てれば……
vo_adv_1808003_080.m4a|がまんして！ほんとに心配したんだから！
vo_adv_1808003_083.m4a|えっ！？　そのおじさんはどうしたの！？
vo_adv_1808003_099.m4a|ありがとうミミ。そうだ、はやくこの森を出て助けを呼ぼう！
vo_adv_1808003_102.m4a|だ、『大魔王』……！
vo_adv_1808003_109.m4a|それなら私の魔法で……ええいっ！
vo_adv_1808003_111.m4a|そんな……！
vo_adv_1808003_115.m4a|……そ、そんなの私だって！私もミミのこと、守りたい！
vo_adv_1808003_119.m4a|絶対あの人の力だよ！でもどうして……？
vo_adv_1808003_123.m4a|怖いけど……でもみんなと一緒なら『大魔王』だって倒せるよ！
vo_adv_1808003_130.m4a|私たち、なんで倒れてるんだろ……？
vo_adv_1808003_134.m4a|あわわわ……！へんたいです！　ふしんしゃです！
vo_adv_1808003_138.m4a|あの、言い過ぎました……心配かけてすみません…………{player}さんが来てくれて、安心しました。本当ですよ……？
vo_adv_1808003_139.m4a|……はっ！そういえば『大魔王』はどうなりましたか！？
vo_adv_1808004_002.m4a|変な事件に巻き込まれてばっかりだったからね。
vo_adv_1808004_005.m4a|思い出した。大変な一日だったけど、でも楽しかったな。
vo_adv_1808004_008.m4a|そんなわけないけど、ちょっと分かる気がする。
vo_adv_1808004_011.m4a|もう……二人とも子供なんだから…………
vo_adv_1808004_101.m4a|へ、へんたいふしんしゃです！起きてください！なんでここにいるんですか！
vo_adv_1808004_104.m4a|そういう事情ならしょうがないですね……あの、ご面倒をおかけします……
vo_adv_1808004_106.m4a|ミソギはくっつくの、ほんと好きだね。……私は、気にしないけど。
vo_adv_2107002_001.m4a|えっ？あなた……シェフィさん……？こ、言葉遣いが……普通ですよ……？
vo_adv_2109001_042.m4a|…………
vo_adv_2109001_044.m4a|っ…………
vo_adv_2109001_046.m4a|っ！？あは、あはははっ……！
vo_adv_2109001_049.m4a|ミソギってば、ズルい～っ！いきなりあんなヘンな顔するなんて～っ！
vo_adv_2109001_051.m4a|も～っ！
vo_adv_2109001_064.m4a|でも、二人とも、赤ちゃんみたいじゃなくなって……なんだか忙しそうだね。
vo_adv_2109001_071.m4a|もう、またミソギのイタズラ？
vo_adv_2109001_077.m4a|待って！この黄色いスライム……見覚えがあります！
vo_adv_2109003_009.m4a|そう来ると思ってました！ミミ、手を貸してっ！
vo_adv_2109003_011.m4a|この麻袋を、あのスライムにぶつけるの！よ……いしょっ！！
vo_adv_2109003_016.m4a|小麦粉を、どっさり食べさせてあげたんです！ちょっともったいないですけど……！
vo_adv_2109003_033.m4a|ひゃあぁっ！？
vo_adv_2109003_047.m4a|えっ！？黄色いスライム！小麦粉から逃げてたのっ……？
vo_adv_2109003_048.m4a|きゃあっ！また、ねばねばがっ……！
vo_adv_2109005_004.m4a|えっ？同じ？じゃああのおじさんも、へんたいふしんしゃさん？
vo_adv_2109005_022.m4a|ラビリスタさん？あのクレープ屋さんがっ？
vo_adv_2109008_037.m4a|みなさん、無事だといいですけど……
vo_adv_2109008_040.m4a|ほ、ほんとに大丈夫でしょうか……
vo_adv_2109011_002.m4a|う、うん……私たちにもハッキリ、大きな音がっ……！また、戦いになっちゃってるの……？
vo_adv_5084003_083.m4a|あの、すみません。{player}さん、いますか？
vo_adv_5084003_086.m4a|ミッ、ミソギ！私は別に、そこまでは……
vo_adv_5084003_095.m4a|いいんですか？お忙しいんじゃ……
vo_adv_5084003_116.m4a|今日はありがとうございました、キャルさん。
vo_adv_5084003_121.m4a|あの……
vo_adv_5084003_123.m4a|{player}さん……本当に大丈夫ですか？今日、来る前に街であの人の噂を聞いて……
vo_adv_5084003_127.m4a|本当ですかっ？
vo_adv_5084003_129.m4a|ええっ！？いえ、私はそういうのじゃありませんし……！あの人はへんたいふしんしゃさんだから、ちゃんと見てないと……
vo_adv_5084634_000.m4a|……いつまで寝てるつもりなんですか？
vo_adv_5084634_001.m4a|その……寝坊し過ぎです。みんな、あなたのことを心配してますよ。
vo_adv_5084634_002.m4a|……もちろん、私だって。
vo_adv_5084634_003.m4a|たしかにあなたはへんたいふしんしゃさんかもしれませんが、やっぱりお話できないのは……さみしいです。
vo_adv_5098000_001.m4a|{player}さん、ナイスです！これくらいの速さなら、私でも……トスっ！
vo_adv_5098000_006.m4a|私も次はもっとボールをよく見て……って、ちが～うっ！
vo_adv_5098000_008.m4a|こほん。二人とも……ああ、あと、{player}さんもですよ。海に何をしにきたのか、忘れてない？
vo_adv_5098000_010.m4a|ミミ、正解！
vo_adv_5098000_012.m4a|ちょ、ちょっとだけだよっ。とにかく、宿題を先に終わらせないとダメ！
vo_adv_5098000_017.m4a|ちょっと待って、すぐに調べるから。この色とハサミの形は、えっと…………
vo_adv_5098000_020.m4a|いっぱい遊んじゃったけど、ちゃんと宿題も終わったし……来てよかったねっ♪
vo_adv_5098000_023.m4a|ずっといるわけにはいかないもん。しょうがないよ。
vo_adv_5098000_025.m4a|ミミ、どうしたの？
vo_adv_5098000_029.m4a|それって……貝がら？夕陽を反射して光ってたんだね。きれい……
vo_adv_5098000_032.m4a|えっ、今から？早く帰らないと夜になっちゃうよ？
vo_adv_5098000_035.m4a|もうっ、二人して…………って、{player}さんも探しはじめてるんですか？まったく……
vo_adv_5098000_037.m4a|か、からかわないでよっ。
vo_adv_5098000_038.m4a|あ。この貝がら、かわいい♪……ん？
vo_adv_5098000_039.m4a|なんだろう、何かが埋まってる……？貝がらじゃないみたいだけど……
vo_adv_5098000_040.m4a|わぁっ、きれいな石……！形もまんまるで、手触りもいいなぁ……♪……でも、おみやげにするには大きすぎるかも？
vo_adv_5098000_041.m4a|うーん……とにかく、まずは掘り起こしてみよっと。……せーのっ！
vo_adv_5098000_042.m4a|わわっ！？きゃっ！
vo_adv_5098000_043.m4a|いたたた……尻もちついちゃった。この石、見た目と違ってすっごく軽い……
vo_adv_5098000_044.m4a|……面白いかも、この石。いい思い出になりそう。ふふ♪
vo_adv_5098000_047.m4a|さような──えっ？
vo_adv_5098000_048.m4a|今、私のバッグが動いたような……いいえ、そんなはずないですよね。きっと気のせいです。お騒がせしまし──きゃっ！？
vo_adv_5098000_049.m4a|や、やややっぱり気のせいじゃありません！バッグが……私のバッグが、確かに動きましたっ！
vo_adv_5098000_056.m4a|私のバッグの中に、いったい何が……？
