vo_adv_1226001_000.m4a|南の島、楽しかったな……
vo_adv_2109011_031.m4a|ミソラちゃんって子が言ってたこと……本当だって……そんな気がする。そう感じてる。そ、それなら……それじゃあ……
vo_adv_2109011_032.m4a|わたしが、あのエリスってひとを、生み出した原因……なの……？
vo_adv_2109011_101.m4a|…………
vo_adv_2109011_103.m4a|……えっ……
vo_adv_2109011_105.m4a|う、ぅぅっ……！でも、レイちゃんっ……
vo_adv_2109011_111.m4a|え、えっ……？わたしの、願いが……？
vo_adv_2109011_120.m4a|っ……う、うんっ……
vo_adv_2109011_121.m4a|ディ、ディバインシールドッ……！
vo_adv_2109011_123.m4a|……く、ぅ、ぅぅっ……！
vo_adv_2109011_126.m4a|あっ……！
vo_adv_2109011_127.m4a|ああああっ！！
vo_adv_2109012_112.m4a|ぅ、……ぅ……？
vo_adv_2110003_002.m4a|……ッ……！
vo_adv_2110003_003.m4a|エリ、ス……
vo_adv_2110003_004.m4a|あのひとが…………もうひとりの、わたし……？
vo_adv_2110003_005.m4a|みんなを……傷つけて。シェフィちゃんのお兄さんを……こ、殺して……
vo_adv_2110003_006.m4a|そ、それに……
vo_adv_2110003_010.m4a|……ぅ、ぅぅっ……
vo_adv_2110003_011.m4a|わたしの願ったことって……何？そういう法則の世界って……どういうこと？わたしの……わたしのせい、なの……？
vo_adv_2110003_016.m4a|やっぱり……わたしのせい、なの？ノウェムちゃんや、覇瞳皇帝さんが言っていたみたいに……
vo_adv_2110003_017.m4a|そんな……それじゃ、わたし……わたしが、この世界を……みんなを……
vo_adv_2110003_018.m4a|い、いやっ……！騎士クンっ……！
vo_adv_2110003_019.m4a|いやっ……！いやあぁっ……！！
vo_adv_2110003_022.m4a|ぅ……レイ、ちゃん……？……ヒヨリちゃん……
vo_adv_2110003_025.m4a|……ぅぅっ……
vo_adv_2110003_026.m4a|どうしよう……どうしよう……！わたしのせいで……みんなが……！
vo_adv_2110003_029.m4a|……っ……
vo_adv_2110003_030.m4a|ヒヨリちゃん……？
vo_adv_2110003_031.m4a|ヒ、ヒヨリちゃんは……知ってた、の……？わたしが、したこと……
vo_adv_2110003_035.m4a|……うん……そっか……
vo_adv_2110003_036.m4a|ミソラちゃんが言ってたこと……嘘じゃ、ないんだね……
vo_adv_2110003_037.m4a|ああ……そうなんだ…………っ。
vo_adv_2110003_038.m4a|嘘だったら……、良かった、のに……！
vo_adv_2110003_041.m4a|……騎士、クン……マコトちゃん……
vo_adv_2110003_044.m4a|…………
vo_adv_2110003_045.m4a|だ、だいじょうぶだいじょうぶ！
vo_adv_2110003_046.m4a|ごめんねみんな、心配かけて……
vo_adv_2110003_047.m4a|……本当に、ごめんね……
vo_adv_2110003_050.m4a|……
vo_adv_2110003_051.m4a|う、ん……
vo_adv_2110003_052.m4a|覚えてる、から……大丈夫だから……
vo_adv_2110003_053.m4a|……ごめんね、みんな。
vo_adv_2110003_054.m4a|ちょっとだけ……一人にしてもらえると、うれしいな……
vo_adv_2110003_057.m4a|…………
vo_adv_2110003_058.m4a|……っ……
vo_adv_2110003_059.m4a|……うん。覚えてる……思い出せる……騎士クンとの、約束……
vo_adv_2110003_060.m4a|……それだけじゃない。ちょっとずつ……思い出してきちゃった。そうだ……
vo_adv_2110003_061.m4a|……わたしたちは、もっと前から知り合いで。一緒に冒険をして。おしゃべりをして。ここじゃない世界で……
vo_adv_2110003_062.m4a|でも……ああ。もし本当に……わたしがぜんぶ、悪いなら……
vo_adv_2110003_063.m4a|わ、わたし……
vo_adv_2110003_064.m4a|なにが、できるの……？どうしたら、いいの……？
vo_adv_2110005_091.m4a|…………
vo_adv_2110005_092.m4a|……だ……
vo_adv_2110005_093.m4a|……誰……？
vo_adv_2110005_094.m4a|誰か……わたしを、呼んでる……の……？
vo_adv_2110005_095.m4a|え……
vo_adv_2110005_096.m4a|そっちにいけば……本当のことを、教えてくれるの……？
vo_adv_2110005_097.m4a|みんな、教えてくれない……本当のことを……
vo_adv_2110005_098.m4a|…………
vo_adv_2110005_099.m4a|あ、れ……
vo_adv_2110005_100.m4a|ここ、どこ……？
vo_adv_2110005_101.m4a|わたし……どうして、こんなところに……？
vo_adv_2110005_102.m4a|……そうだ……声が……聞こえた。誰かが、わたしを呼ぶような……
vo_adv_2110005_103.m4a|だれ、か……
vo_adv_2110005_104.m4a|誰か、いないの……？わたしを呼んだひと……
vo_adv_2110005_105.m4a|……わたし、来たよ……だから……
vo_adv_2110005_106.m4a|だから、お願い。教えて……本当のこと……
vo_adv_2110005_107.m4a|……お願い。お願いだから、誰か……
vo_adv_2110005_108.m4a|……！
vo_adv_2110007_000.m4a|……ぅ……
vo_adv_2110007_002.m4a|……あ、あなた……は……
vo_adv_2110007_004.m4a|ミ……ミソラ、ちゃん……？
vo_adv_2110007_009.m4a|……あ、……
vo_adv_2110007_010.m4a|あなたが……、わたしを、呼んだの……？
vo_adv_2110007_015.m4a|ぅ……
vo_adv_2110007_016.m4a|ど……、どうして……？
vo_adv_2110007_017.m4a|そんなことしてまで……わたしに、用事が……？
vo_adv_2110007_020.m4a|……っ……！
vo_adv_2110007_024.m4a|……エ……リスっ……
vo_adv_2110007_025.m4a|……っ、……ぅぅっ……！
vo_adv_2110007_030.m4a|え……？
vo_adv_2110007_033.m4a|……！
vo_adv_2110007_034.m4a|お……おしえてくれる、の……？ほんとのこと……
vo_adv_2110007_036.m4a|…………
vo_adv_2110007_037.m4a|で、でもっ……
vo_adv_2110007_038.m4a|でも、あなたは……あのひとの。……エリスさんの……仲間なんじゃ、ないの……？
vo_adv_2110007_043.m4a|…………
vo_adv_2110007_045.m4a|……そ……、それって……
vo_adv_2110007_046.m4a|エリス……さんが。『何ひとつ思い通りにならない』ひと……だから……？
vo_adv_2110007_048.m4a|……ぅ……
vo_adv_2110007_049.m4a|あ……あのとき……ミソラちゃんは……
vo_adv_2110007_050.m4a|わたしが……わたしの願いが……エリスさんを、生み出したって……そう、言ってた、けど……
vo_adv_2110007_052.m4a|で、でも……わたし……思い出せない……
vo_adv_2110007_053.m4a|だから……教えて。わたしは……何を、願ったの……？
vo_adv_2110007_054.m4a|みんなの、記憶を無くして……閉じ込めようとか……世界を、変えちゃおうとか……そんなこと……お願いしたの……？
vo_adv_2110007_056.m4a|お、思わないっ……！わたし、誰かを困らせたり、悲しませるようなこと……ぜったいに、嫌だから……！
vo_adv_2110007_061.m4a|……っ……
vo_adv_2110007_062.m4a|わ、わたしの……願い……願いは……
vo_adv_2110007_063.m4a|みんなと、アストルムで、一緒に……ずっと一緒にいたい……
vo_adv_2110007_066.m4a|ぅ……
vo_adv_2110007_069.m4a|……わたしは。わたしは……
vo_adv_2110007_070.m4a|『わたしは、騎士クンとずっと一緒にいたい！でも騎士クンが傷つく姿は、もう見たくないの！』
vo_adv_2110007_071.m4a|『騎士クンが……あなたが幸せじゃない世界なんていらない！そんなのは、わたしの願いじゃない！』
vo_adv_2110007_072.m4a|ああ……そうだ。思い出した……
vo_adv_2110007_073.m4a|あのとき。ソルの塔の庭で。覇瞳皇帝さんに、意識を奪われそうになりながら。
vo_adv_2110007_074.m4a|わたしが、ミネルヴァに願ったのは……
vo_adv_2110007_076.m4a|そ、それは……
vo_adv_2110007_079.m4a|……っ……！
vo_adv_2110007_084.m4a|そ……そんな……わたしが……悪い、の……？
vo_adv_2110007_085.m4a|で、でも……！でも、思い出したの！わたしの願いは、そんなことじゃないっ……！
vo_adv_2110007_086.m4a|誰も悲しませようなんて、わたし、これっぽっちも願わなかった……！だから……だから、わたしは……！
vo_adv_2110007_089.m4a|……！
vo_adv_2110007_090.m4a|でも……でもっ……！
vo_adv_2110007_093.m4a|……え……
vo_adv_2110007_096.m4a|そ、それは……
vo_adv_2110007_097.m4a|…………
vo_adv_2110007_100.m4a|……ぅ……
vo_adv_2110007_101.m4a|ぅ、ぅぅぅ～っ……！
vo_adv_2110007_105.m4a|……ぅ、ぅっ……、ぐすっ……
vo_adv_2110007_107.m4a|ち、違うっ……！わたし……わたしはっ……！
vo_adv_2110007_111.m4a|……！
vo_adv_2110007_113.m4a|ぅ……ぁ、で、でも……
vo_adv_2110007_114.m4a|そんな……、そんなつもりじゃ、わた、し……
vo_adv_2110010_001.m4a|…………
vo_adv_2110010_003.m4a|……ぅ……
vo_adv_2110010_004.m4a|ど……
vo_adv_2110010_005.m4a|どういう……こと、なの……？
vo_adv_2110010_006.m4a|騎士クンが……『前の』騎士クンが、もう……どこにも、いない……って……
vo_adv_2110010_009.m4a|……っ！！
vo_adv_2110010_012.m4a|しゅう、ふく……
vo_adv_2110010_013.m4a|そ、それなら……騎士クンは、元に戻ったんじゃ……
vo_adv_2110010_016.m4a|そ、それは……
vo_adv_2110010_020.m4a|っ……！……ぁ……！
vo_adv_2110010_022.m4a|そっ……それは……！……その……ぅ、ぅぅっ……
vo_adv_2110010_023.m4a|あ……ぁぁ……っ！！騎士クンッ……！
vo_adv_2110010_024.m4a|騎士クンが……わたしの、わたしのせいでっ……？
vo_adv_2110010_029.m4a|……え……、ぇ……？
vo_adv_2110010_085.m4a|シェフィ……ちゃん、が……？
vo_adv_2110010_089.m4a|そ、それじゃあ……アストルムの中に、閉じ込められなかったら……シェフィちゃんたちは……
vo_adv_2110010_091.m4a|……そ、そんな……！
vo_adv_2110010_094.m4a|ぇ……、え……？
vo_adv_2110010_096.m4a|ち、ちがう……わたし、本当に……
vo_adv_2110010_101.m4a|……っ！あ、ぁ……っ！
vo_adv_2110010_102.m4a|ああぁっ……！　そ、そんなっ！それじゃあ……わたし……！どれだけ、たくさんのっ……！
vo_adv_2110010_105.m4a|ぅ、ぅぅっ……！あぁっ……、ぅあぁぁぁぁっ……！
vo_adv_2110010_107.m4a|わたしっ……なら、わたしはっ……！
vo_adv_2110010_108.m4a|わたし……どうしたらいいの……！？どうしたら、償えるの……！？
vo_adv_2110010_111.m4a|えっ……？
vo_adv_2110010_113.m4a|……っ……
vo_adv_2110010_116.m4a|……っ、ぅっ、ぅぅっ……！
vo_adv_2110010_120.m4a|…………
vo_adv_2110010_121.m4a|……そ……そう……なの、かな……
vo_adv_2110010_122.m4a|みんな……許してくれる……かな……こんな、わたし……
vo_adv_2110010_123.m4a|……で、でも……
vo_adv_2110010_124.m4a|……そ、そうだよ……レイちゃんやヒヨリちゃん……お友達のみんなが、悪いことをしたとしても……きっと……
vo_adv_2110010_125.m4a|……うん。罪人だなんて……わたしたち、キャルちゃんをそんなふうに思ったことないよ。
vo_adv_2110010_126.m4a|それに……詳しくは聞かないけど、きっと事情があったんだと思うし。自分が悪かったって認めて、ちゃんと反省してるキャルちゃんを責めるなんてこと、できないよ。
vo_adv_2110010_127.m4a|……あ、は。
vo_adv_2110010_128.m4a|あはは……そう、そ、そうだよ……
vo_adv_2110010_129.m4a|それに……おぼえてる。……約束も、した……
vo_adv_2110010_130.m4a|あのね、騎士クン……もし……もしも、だよ。
vo_adv_2110010_131.m4a|もしも、わたしが、悪い子で。この世で、いちばん悪い子だったとしても……
vo_adv_2110010_132.m4a|それでも……騎士クンのこと、呼んでいい？騎士クンに、助けてほしいって……願っても、いい……？
vo_adv_2110010_133.m4a|……そう……
vo_adv_2110010_134.m4a|騎士クンは、あのとき……約束、してくれた……わたしの『願い』を……聞いてくれた……
vo_adv_2110010_135.m4a|……だから、大丈夫……なにが、あっても……だ、だいじょう……
vo_adv_2110010_136.m4a|…………ああ。でも……
vo_adv_2110010_137.m4a|わたしの。わたしの『願い』のせいで。騎士クンは、キャルちゃんは、シェフィちゃんたちは……ううん。
vo_adv_2110010_138.m4a|せ、世界中の、数えきれないくらいの人たちが……今も、たくさん傷ついてっ……たくさん苦しんでっ……！！
vo_adv_2110010_139.m4a|──いやっ……！
vo_adv_2110010_140.m4a|いや、いや、いやあっ！！いやあああああっ！！！！！！
vo_adv_2110010_141.m4a|ごめんなさい、ごめんなさいっ！そんなつもりじゃなかったのっ！！こんなことになるなんて、思わなかったのぉぉっ！！！
vo_adv_2110010_142.m4a|あああああっ！　ごめんなさいぃっ！！生まれてきて、ごめんなさいっ！あんなこと願って、ごめんなさいぃぃっ！！！！
vo_adv_2110010_146.m4a|……っ、……
vo_adv_2110010_149.m4a|……っ……、ぁ……？
vo_adv_2111002_042.m4a|……！
vo_adv_2111002_043.m4a|騎、士……クン……？
vo_adv_2111002_059.m4a|き、し、クン……みん、な……
vo_adv_2111002_060.m4a|……ごっ……ごめ……
vo_adv_2111002_062.m4a|あ、あ、ぁっ……！……ああぁ……
vo_adv_2111002_076.m4a|……ぅ、ぁ……
vo_adv_2111002_082.m4a|……！
vo_adv_2111004_031.m4a|…………
vo_adv_2111004_035.m4a|……フィオ、ちゃん……
vo_adv_2111004_037.m4a|…………
vo_adv_2111004_038.m4a|で、でも……フィオちゃんはっ……
vo_adv_2111004_040.m4a|……っ、ぅ……
vo_adv_2111004_043.m4a|覇瞳皇帝さん、やっつけられたのかな……？
vo_adv_2111004_050.m4a|わたしも……わたしたちの中からプリンセスが選ばれるなら、悔やんだりしない。
vo_adv_2111004_054.m4a|……っ……
vo_adv_2111004_055.m4a|そ、それで……わ……わたしの、願いの……その、せいで……
vo_adv_2111004_056.m4a|『ミネルヴァの懲役』が、起きちゃって……数え切れないひとたちが、閉じ込められて……現実では、残されたひとたちが、たくさん悲しんで……
vo_adv_2111004_057.m4a|ぅ、ぅぅぅっ……！
vo_adv_2111004_058.m4a|ぁ……、ああぁ……
vo_adv_2111004_060.m4a|でも……でも……
vo_adv_2111004_061.m4a|わたしじゃなくて、レイちゃんや……ヒヨリちゃんが、願いを叶えてもらったら……こんな、ことにはっ……
vo_adv_2111004_063.m4a|……だから。だから、そう……わたしがぜんぶ悪いんだ……ぜんぶ、ぜんぶ……
vo_adv_2111004_064.m4a|ぅぅっ……
vo_adv_2111004_069.m4a|……ぇ……
vo_adv_2111004_074.m4a|レイ、ちゃん……
vo_adv_2111004_085.m4a|…………
vo_adv_2111004_086.m4a|あぁ……
vo_adv_2111004_087.m4a|強い、なぁ……レイちゃんも……ヒヨリちゃんも……
vo_adv_2111004_088.m4a|……でも……
vo_adv_2111004_089.m4a|こんなに、励ましてもらっても……わたしは。まだ……ぜんぜん、足に力が入らない……
vo_adv_2111004_090.m4a|ああ……わたし。どうしようもない……
vo_adv_2111008_006.m4a|……っ……
vo_adv_2111008_022.m4a|……みんな…………騎士、クン……
vo_adv_2111008_023.m4a|…………良く、ない……
vo_adv_2111008_024.m4a|良くないの……騎士クン……ご、ごめんなさい……
vo_adv_2111008_025.m4a|ごめんなさい……ごめんなさい、ごめんなさい……！
vo_adv_2111008_026.m4a|わたしが……わたしの願いが、アストルムを歪ませて……！それに……き、騎士クンのことも……変えて、しまって……
vo_adv_2111008_027.m4a|知らなかったからとか、そんなつもりじゃなかったとか、言い訳したって……起きてしまったことは、やっちゃったことは……変わらない……
vo_adv_2111008_028.m4a|この世界でも、現実のほうでも……たくさんの人が、悲しんで……苦しんで……っ……
vo_adv_2111008_029.m4a|…………、ぇ……？
vo_adv_2111009_031.m4a|…………
vo_adv_2111010_012.m4a|…………
vo_adv_2111010_014.m4a|……、ミ、ソラ……ちゃん……
vo_adv_2111010_016.m4a|……ぅ……
vo_adv_2111010_017.m4a|……で、でも……きっと……今の、わたしは……
vo_adv_2111010_020.m4a|……そう…………騎士クンはさっき……ああ言ってくれたけど。でも……
vo_adv_2111010_021.m4a|後ろめたい気持ちが、消えない……素直に向き合うことなんて……できない……
vo_adv_2111010_022.m4a|わたしの、願いのせいで……みんなが。あんまりにも、たくさんのひとたちが……
vo_adv_2111010_023.m4a|……っ……
vo_adv_2111010_024.m4a|ごめん、なさい……
vo_adv_2111010_025.m4a|ごめんなさい……騎士クン。レイちゃん。ヒヨリちゃん。キャルちゃん。シェフィちゃん。ゼーンさん。たくさんのひとたち……それに、エリスさんも……ごめんなさい……
vo_adv_2111010_027.m4a|…………で……でも……
vo_adv_2111010_028.m4a|……でも。わたし、は……
vo_adv_2111010_030.m4a|……ミソラ、ちゃん。ひとつ……聞いても、いい……？
vo_adv_2111010_032.m4a|さっき……ミソラちゃんはわたしとお友だちになりたいって。そう、言ってくれたけれど……
vo_adv_2111010_033.m4a|わたし、思ったの……あれって……嘘でも、冗談でもなくて。ミソラちゃんの、本心なんだ、って……
vo_adv_2111010_035.m4a|ミソラちゃんは……過去に、きっと、とても辛いことがあって……誰かに無理やり、とても悪いことをさせられて……
vo_adv_2111010_036.m4a|そ、それで……自分と、同じように。あなたが言ったように……『罪を受け入れた』、そんな仲間が、ほしかった……って。……そう、思ったの……
vo_adv_2111010_038.m4a|ミソラちゃんは……わたしを苦しめようとしたんじゃなくて。ただ……わたしに、いろいろ教えてくれようとして……ああいう話を、してくれたんじゃないか、って……
vo_adv_2111010_040.m4a|……だ、だから……聞かせて。ミソラちゃん……
vo_adv_2111010_041.m4a|あなたの過去に、何があったの……？
vo_adv_2111010_042.m4a|……こ、こんなわたしで、よかったら……お友だちに、なれるかも……しれないから……
vo_adv_2111010_045.m4a|……さっきは……ごめんなさい。ミソラちゃんが教えてくれたこと……受け止めきれなくて。信じられなくて……わたしが、壊れてしまいそうで……
vo_adv_2111010_046.m4a|でも……うん。そう、だね……
vo_adv_2111010_047.m4a|たとえ、騎士クンたちが、庇おうとしてくれたとしても……わたしは……わたしが悪くないなんて、言えない……
vo_adv_2111010_048.m4a|あぁ……痛い……、胸が、心が……痛い……辛くて、苦しくて……泣き叫んじゃいたいくらい……わたし……みんなに、優しくしたかったのに。こんなことになって……
vo_adv_2111010_049.m4a|……で、でも……
vo_adv_2111010_050.m4a|いくら、わたしが苦しいからって。ミソラちゃんが、わたしのことを嫌いだからって……
vo_adv_2111010_051.m4a|……そんなこと。あなたに優しくしない理由には、ならないの。
vo_adv_2111010_055.m4a|ぇ……
vo_adv_2111010_058.m4a|ミソラちゃん……
vo_adv_2111010_078.m4a|光の、精よ──みんなを癒して……！
vo_adv_2111010_080.m4a|う、うんっ……
vo_adv_2111010_081.m4a|……ほんとうは──戦うどころか。立ち上がるのだって、辛くて。苦しくて……もうずっと、膝を抱えていたいくらい……
vo_adv_2111010_082.m4a|……でも。でも……わたしが、そうしていると……
vo_adv_2111010_083.m4a|レイちゃんやヒヨリちゃん、騎士クンたちを……心配させて。暗い顔にさせちゃって……苦しみを、広げてしまうから。だから……
vo_adv_2111010_084.m4a|……わたしは、立ち上がる。弱くても。苦しくても……みんなを悲しませないために。自分のために──戦う。
vo_adv_2111010_085.m4a|これが──わたしなりのワガママだよ。ミソラちゃん……！！
vo_adv_2111010_089.m4a|わたしは……わたしは、へいき、だから……
vo_adv_2111010_090.m4a|だから……みんな！街を……守って……！　これ以上、悲しみを広げないために……！それに……ミソラちゃんも……！
vo_adv_2111010_141.m4a|ぅぅっ……！
vo_adv_2111010_295.m4a|…………
vo_adv_2112001_021.m4a|……
vo_adv_2112002_008.m4a|ぅ、……ぅ……？
vo_adv_2112009_000.m4a|シェフィちゃんが、指名手配犯……！？
vo_adv_2114099_038.m4a|騎士クーーーン！！
vo_adv_5084603_000.m4a|騎士クン……どんな夢を見てるのかな？楽しい夢だったらいいな……
vo_adv_5084603_001.m4a|もうだいぶ前のことだけど、覚えてるかな？わたしのことを『大事な人だ』って言ってくれたこと。
vo_adv_5084603_002.m4a|わたしにとっても騎士クンは、大事な人だよ。ううん、大事なんて言葉じゃ足りないくらい……だから今、騎士クンとお話しできないことが、とっても寂しい……
vo_adv_5084603_003.m4a|でも……騎士クンなら、絶対に大丈夫だよね。必ずまた、笑顔でわたしたちの前に戻ってきてくれる……そう、信じてもいいよね？
vo_adv_5085004_009.m4a|大丈夫？　キャルちゃん……
vo_adv_5085004_011.m4a|ううん。騎士クンのためだもん。わたしにできることなら、どんなことだってするよ。
vo_adv_5085004_020.m4a|わたしたちはそれで何度も助けられてるけどね。レイちゃんが色々注意しててくれるから、ここまでやってこれたし。
vo_adv_5085004_029.m4a|うん、改めて登った時も無くなってたよ。
vo_adv_5085004_042.m4a|えっ！？　敵！？
vo_adv_5085004_052.m4a|それって、覇瞳皇帝さんの……？
vo_adv_5085005_001.m4a|レイちゃん！　ヒヨリちゃん！
vo_adv_5085005_009.m4a|きゃあっ！？
vo_adv_5085005_022.m4a|わたしの回復なんて後回しでいい、みんなが少しでも、長く戦えるように……！
vo_adv_5085005_086.m4a|騎士クン……！聞こえてるかな……みんなの声が……！
vo_adv_5085005_152.m4a|魔物たちが……消えていく……
vo_adv_5096000_004.m4a|えっと、あの時は前を歩いていたヒヨリちゃんが蔦の罠で転びかけて、それから……
vo_adv_5096000_007.m4a|騎士クンがヒヨリちゃんを強化してくれたから、わたしとレイちゃんが周りを警戒するだけでよかったよね。
vo_adv_5096000_015.m4a|わたしも罠に気づけなかったから、みんな同じで、浮かれちゃってたみたい。
vo_adv_5096000_019.m4a|ふふふっ。レイちゃん、ヒヨリちゃんをからかわないであげて。
vo_adv_5096000_027.m4a|それならちょうど一枚割れちゃったし、当たってほしいな。
vo_adv_5096000_041.m4a|みんなで南の島に旅行……いいなあ。
vo_adv_5096000_044.m4a|わたしはこういうの、自信がなくて……よろしくね、ヒヨリちゃん。
vo_adv_5096000_052.m4a|すごいよヒヨリちゃん！すごいすごい！
vo_adv_5096000_064.m4a|愛するもの……
vo_adv_5096000_066.m4a|な、なんでもないよ！
vo_adv_5096000_069.m4a|え、えっと……
vo_adv_5096000_073.m4a|そうだね、わたしもそれ以外は大丈夫。
vo_adv_5096000_075.m4a|はい、ありがとうございます。
vo_adv_5096000_078.m4a|さっきもらったパンフレットに書いてあるかな……ご飯とかは全部用意してもらえるみたい。特に何もいらない……あっ！
vo_adv_5096000_080.m4a|……あのね。二人にお願いがあるんだけど……
vo_adv_5096000_082.m4a|えっとね……ごにょごにょ……
vo_adv_5096000_088.m4a|そ、そうなんだ！騎士クン、今日はきてくれてありがとう！　ま、またね！
vo_adv_5096001_001.m4a|参加券はちゃんとしたものだし、大丈夫だと思う。……たぶん。
vo_adv_5096001_007.m4a|あっ！　ヒヨリちゃん！待って〜！
vo_adv_5096001_013.m4a|あの、ビーチゲーム大会って本当にあるんですよね……？
vo_adv_5096001_020.m4a|レイちゃんが心配になっちゃうのはしょうがないよ。みんなで一緒に準備してるの、わたしも楽しかったから。
vo_adv_5096001_027.m4a|ドキドキするね、レイちゃん。
vo_adv_5096001_035.m4a|モニカちゃんはヴァイスフリューゲルのみんなと参加するの？
vo_adv_5096001_047.m4a|は、はい！　ユイです！どうぞお見知りおきを……！
vo_adv_5096001_048.m4a|キレイな人……レイちゃんもそうだけど、身だしなみが整ってるし、憧れちゃうな。
vo_adv_5096001_057.m4a|ユイです。よろしくお願いします。
vo_adv_5096001_071.m4a|マコトちゃん……？
vo_adv_5096001_091.m4a|本当にいろんな人たちが参加するみたい……わたしたちも頑張ろうね！
vo_adv_5096001_101.m4a|じゃあ、マコトちゃんも……？
vo_adv_5096001_106.m4a|そ、そっか！　大変だったね！
vo_adv_5096001_116.m4a|わたしたちですか！？え、ええ～っと～ぉ……！
vo_adv_5096001_117.m4a|そういえば、まだ決められないままだった……ど、どう答えたら……
vo_adv_5096001_127.m4a|わたしも、もっと騎士クンと……この大会で……
vo_adv_5096001_141.m4a|それに騎士クン、あの支配人さんが気になってたみたい。そうだよね、騎士クン？
vo_adv_5096001_144.m4a|気にしないでマコトちゃん。旅をするなら、みんな一緒の方が楽しいよ。
vo_adv_5096001_148.m4a|大人の……
vo_adv_5096001_166.m4a|モニカちゃんたちは何のために参加してるの？
vo_adv_5096001_169.m4a|しょ、しょーぐん？　お菓子？
vo_adv_5096001_194.m4a|あっちの船から煙が！
vo_adv_5096001_209.m4a|はぁ……びっくりした。何事もなくてよかったね。
vo_adv_5096002_004.m4a|きゃっ！　もう、ヒヨリちゃん！えいっ！
vo_adv_5096002_014.m4a|まずはゲームに勝ってから、だよね。
vo_adv_5096002_036.m4a|マコトちゃんたちと家の近くで遊んだことがあるから、なんとなくは分かってると思う。
vo_adv_5096002_044.m4a|ひぅ！　あ、あの！お手やわらかにお願いします……！
vo_adv_5096002_048.m4a|マコトちゃん……こちらこそよろしく！
vo_adv_5096002_060.m4a|え、えーいっ！
vo_adv_5096002_073.m4a|お願い、届いてっ！
vo_adv_5096002_074.m4a|騎士クン！？　きゃっ！
vo_adv_5096002_077.m4a|ぶつかっちゃった……騎士クン、ごめんね。痛くない？
vo_adv_5096002_078.m4a|よかった……次からは気を付けるね。頑張ろうと思って、無理しちゃってたみたい。
vo_adv_5096002_105.m4a|わたしがっ！　やあっ！
vo_adv_5096002_106.m4a|触れた！　レイちゃんお願い！きゃあっ！
vo_adv_5096002_113.m4a|うううぅ……と、得点は……？
vo_adv_5096002_114.m4a|大丈夫……平気だよ、騎士クン……わあっ！？
vo_adv_5096002_115.m4a|き、きき、騎士クン！？か、顔が！　顔がぁ～！
vo_adv_5096002_116.m4a|そうじゃなくて、顔が近いの～！
vo_adv_5096002_124.m4a|騎士クン……？　わたしはもう大丈夫だから……！
vo_adv_5096002_126.m4a|はうっ！　ぷ、ぷ……！ぷしゅ～……！！
vo_adv_5096002_154.m4a|……わたしはレイちゃんの言う通りにやってみたいな。
vo_adv_5096002_172.m4a|そんな。思いついてくれたレイちゃんのおかげだよ。
vo_adv_5096002_175.m4a|……今のレイちゃん、なんだかいつもと、雰囲気が違うような……気のせいじゃない、よね？
vo_adv_5096003_001.m4a|おいしい～♪はいどうぞ。騎士クンも水分補給、忘れないでね。
vo_adv_5096003_011.m4a|モニカちゃんたち、すっかり打ち解けてるね。
vo_adv_5096003_041.m4a|……やっぱり騎士クンってすごいな。みんなが集まってくる。
vo_adv_5096003_042.m4a|……わたしも。ううん、わたしたち３人もみんなと同じ。みんな騎士クンに惹かれて、いつも一緒にいたくなる……
vo_adv_5096003_043.m4a|それをちゃんと自覚してるのは、３人の中だと、まだわたしだけみたい……わたしたちもあんなふうに、もっと素直になれるのかな……？
vo_adv_5096003_054.m4a|そう考えると、ビーチバレーより難しいのかも……
vo_adv_5096003_056.m4a|モニカちゃん。今回は対戦よろしくね、チームスイーツのみんな。
vo_adv_5096003_064.m4a|わたし！？　うーん……分かんないよぉ～！
vo_adv_5096003_071.m4a|考えてもしかたないし、とにかく当てにいくしかなさそうだね……
vo_adv_5096003_081.m4a|勘だけで選ばないといけないから、難しいね……うーん、でも、さっきから何か気になる気がするんだけど……
vo_adv_5096003_086.m4a|モニカちゃん、ひょっとして何か分かったの？
vo_adv_5096003_092.m4a|最初に会った時は、自分から人を遠ざけてる子なのかなって思ってたけど、違ったんだね。
vo_adv_5096003_096.m4a|暗号……ひょっとして……
vo_adv_5096003_098.m4a|実は支配人さんの言葉が、ずっと気になってて……誰かに何かを伝えようとしてるんじゃないかって思ったの。
vo_adv_5096003_101.m4a|……教えてくれてたんじゃないかな？
vo_adv_5096003_104.m4a|……声。そっか。ずっとわたしが気になってたの、声だったんだ。支配人さん、最初から答えを教えてくれてたのに、ずっと気づけなかった……！
vo_adv_5096003_105.m4a|カードの数字はきっと、最初から最後まで全部決められてたの。支配人さんはそれを、声の抑揚で教えてくれてたんだよ。
vo_adv_5096003_107.m4a|わたしもさっき気づいたけど、上と下を示してるところだけ、抑揚のつけ方が大げさになってるはずなの。だからさっき言ってたのだと……
vo_adv_5096003_108.m4a|まず下１回。次が上１回、次が下３回。その後が上１回、下２回になっているはずだよ。
vo_adv_5096003_109.m4a|それはね、支配人さんが気になりだしたのが、半分が終わったところで言ってた、「半分より下」のところからなの。
vo_adv_5096003_127.m4a|わたしも、ビーチバレーみたいなのは難しいけど、今のゲームみたいなものなら、まだちょっと頑張れそう。
vo_adv_5096003_129.m4a|うん、ありがとう。次のゲームもよろしくね！
vo_adv_5096004_006.m4a|なにか食べておかないと、明日が大変だよ？騎士クンはご飯食べられそう？
