vo_adv_1220001_000.m4a|あ、{player}さん、こんにちは。お待ちしていました。
vo_adv_5092000_022.m4a|というわけで、しばしのお別れになってしまいますが、必ずランドソルに戻ってきます。どうかその時までお元気で──
vo_adv_5092000_028.m4a|……どうも。
vo_adv_5092000_030.m4a|はじめまして、【悪魔偽王国軍（ディアボロス）】のシノブです。占い師をしています。こちらは父です。
vo_adv_5092000_032.m4a|初対面の人に失礼なこと言うのは止めて、お父さん。すみません、今父が言ったことは忘れてください。
vo_adv_5092000_036.m4a|海賊の、呪い……あの、そのお話、詳しく聞かせてもらえないでしょうか？
vo_adv_5092000_073.m4a|……あの、カスミさん。その調査、私も同行させてはもらえないでしょうか？
vo_adv_5092000_075.m4a|実は──
vo_adv_5092000_077.m4a|それは断言できません。ただ、呪われた島というなら世界各地の霊場と同等の霊力に満ちているのでは、と思うのです。
vo_adv_5092000_078.m4a|これでも占いと霊能力には自信があります。決してお二人の邪魔にはならないかと。
vo_adv_5092000_082.m4a|よろしくお願いします。よかったねお父さん。
vo_adv_5092001_003.m4a|お父さん、そういうこと言わないの。
vo_adv_5092001_022.m4a|どうしたのお父さん、具合が悪いの？
vo_adv_5092001_024.m4a|それだけ悪態つけるなら大丈夫よ。すみません、少し席を外して父を潮風に当ててきますね。
vo_adv_5092001_061.m4a|あの、どうかされましたか？
vo_adv_5092001_063.m4a|なるほど、そういうことでしたか。では、代わりに私があの方についていきます。
vo_adv_5092001_065.m4a|【悪魔偽王国軍（ディアボロス）】も個性が強い子が多いので、そこはさして問題ではありません。
vo_adv_5092001_066.m4a|問題なのは負の感情にとらわれている状態で霊的な危険性がある場所に立ち入ることです。
vo_adv_5092001_067.m4a|いかに強者でも心が弱っていれば邪悪な霊につけ込まれてしまいます。ですのであのままお一人で行動させるのは止めておきたいところです。
vo_adv_5092001_070.m4a|了解しました。それでは、{player}さんあの方の人となりを教えていただけますか？会話を円滑に進めるために情報が必要ですので。
vo_adv_5092001_071.m4a|あの、アンネローゼ・フォン・シュテッヒパルムさん。
vo_adv_5092001_073.m4a|はじめまして、私、ランドソルで占い師をやっているシノブと申します。
vo_adv_5092001_076.m4a|やめてお父さん、縁起でもない。まだ島に上陸すらしていないのに。
vo_adv_5092001_083.m4a|……そうですね、何かしらの強い念のようなものは確かに感じます。それが呪いの類かどうかまではまだ判断できませんが。
vo_adv_5092001_093.m4a|そうですね。あれは──
vo_adv_5092001_102.m4a|降霊術は霊媒師のスキルの一つですが、通常は一般霊を呼ぶ時にしか使いません。
vo_adv_5092001_103.m4a|悪霊や神の名を冠するものなど強力な霊体に迂闊に干渉すれば、霊媒師自身に危害が及びます。
vo_adv_5092001_104.m4a|件の海賊が本当に呪いをもたらすような存在ならば、絶対に呼んではいけません。
vo_adv_5092001_124.m4a|カスミさん、あそこに倒れているのは……
vo_adv_5092002_008.m4a|あの時何があったのか、私からお話しします。あれはそう、カスミさんたちがロッジを出てしばらくのことでした──
vo_adv_5092002_009.m4a|カスミさんたち、大丈夫でしょうか？
vo_adv_5092002_015.m4a|カスミさんが戻られたら現場の調査をするはずです。ですので私たちは現場の保存に努めましょう。
vo_adv_5092002_021.m4a|か、海賊……？　先程窓から飛び出たはずでは……
vo_adv_5092002_030.m4a|──というのが事の顛末です。
vo_adv_5092002_032.m4a|あなたのせいではありません。あの場にいた私たち全員海賊に目を奪われていましたから……
vo_adv_5092002_046.m4a|そうですね。私もまだ目的を達成できていませんので、できれば調査の続行をお願いしたいです。
vo_adv_5092002_057.m4a|結構歩きましたし、そろそろ最初の試練の場所に着いてもいい頃ですね。
vo_adv_5092002_059.m4a|これは……墓地ですね。それも広大な。
vo_adv_5092002_069.m4a|ざっと見ただけでも数百基はありそうですね。これを一つ一つ探していくとなると、相当な労力が必要となります。
vo_adv_5092002_076.m4a|あの、ここは私に任せてもらえませんか？
vo_adv_5092002_078.m4a|はい。海賊は強い思いを込めて、この島を海賊島として作り変えました。それはこの島のいたる所から感じとれます。
vo_adv_5092002_079.m4a|この試練の正解にもおそらく海賊の思念が残っているはずです。私の霊感でそれを探り当てます。
vo_adv_5092002_082.m4a|いいの。私はカスミさんのように推理が得意だったり、アンナさんのように強力な魔法が使えるわけじゃないから。むしろここが活躍のしどころだもの。
vo_adv_5092002_084.m4a|というわけで私は思念を探るのに集中するため、他のことに手が回りません。どうかよろしくお願いします。
vo_adv_5092002_086.m4a|……
vo_adv_5092002_105.m4a|……ここです。
vo_adv_5092002_107.m4a|いいえ、間違いありません。ここが死者の王の寝所です。
vo_adv_5092002_109.m4a|はああっ！
vo_adv_5092002_113.m4a|はい。それでは……失礼します。
vo_adv_5092002_122.m4a|それならまず私が習得して、みなさんに指南します。これでも舞は得意なので。
vo_adv_5092002_124.m4a|……ごめんねお父さん。最初は私にしかできない使命感で動いていたけど、みんなと一緒に冒険しているうちになんだか楽しくなってきちゃったの。
vo_adv_5092002_125.m4a|だからお願い、最後までやらせてほしいの。
vo_adv_5092002_131.m4a|もちろんです。このメンバーならきっと完璧に踊りきれるはずです。それでは始めていきましょう。
vo_adv_5092002_132.m4a|アンナさん、先走り過ぎですよ。一呼吸おいてカスミさんたちに合わせるようにしてください。
vo_adv_5092002_134.m4a|カスミさんは少々動きが硬いですね。もっと全身を使ってしなやかに動くことを心掛けてください。
vo_adv_5092002_140.m4a|大丈夫だよお父さん。私たちを信じて待っていてね。それでは──いきますっ。
vo_adv_5092002_144.m4a|あとはラストにフリーでポーズを決めれば終わり──
vo_adv_5092002_145.m4a|あっ、足が……
vo_adv_5092002_149.m4a|み、みなさん……ありがとうございます。ここで決めポーズです！
vo_adv_5092002_156.m4a|でも、私は最後の最後に失敗しそうになってしまいましたし……
vo_adv_5092002_158.m4a|……分かりました。それでは死霊の鍵、獲得しました。
vo_adv_5092003_017.m4a|よく見ると向こうに洞窟の入り口らしきものがありますね。この犬たちがあの洞窟を守っている、ということでしょうか。
vo_adv_5092003_023.m4a|犬がアンナさんに向かっている……魔法に反応したのでしょうか？だとすると魔法による一斉除去は無理ですね。
vo_adv_5092003_040.m4a|そう、ですね……
vo_adv_5092003_042.m4a|気がかりといいますか、第一の試練に比べ随分と簡単に思えるのですが……
vo_adv_5092003_044.m4a|っ！　アンナさん、何か来ます！
vo_adv_5092003_046.m4a|三つ首の犬……これこそが魔犬の試練の本番みたいですね。
vo_adv_5092003_049.m4a|それだけじゃありません。今の咆哮でアンナさんの魔法が掻き消されてしまいました。
vo_adv_5092003_051.m4a|ア、アンナさん、待ってください──
vo_adv_5092003_054.m4a|キャアッ！
vo_adv_5092003_056.m4a|はい、どうにか隙でも作らなければとても突破できません。
vo_adv_5092003_062.m4a|手段は分かりました。ですがご覧のとおり魔犬の反応速度は超高速、３人で挑んでも即返り討ちになり隙を作ることなどできないのでは……
vo_adv_5092003_066.m4a|３つの首がそれぞれ厳格に役割分担が決められている、ということですね。
vo_adv_5092003_070.m4a|隙は私たちにお任せください。必ずカスミさんを鍵の元へお届けします。
vo_adv_5092003_078.m4a|まだです！　代わりに後ろ足がカスミさんを狙っています！
vo_adv_5092003_089.m4a|そういえば魔犬はどうなりましたか？警戒は怠らない方がいいのでは……
vo_adv_5092003_101.m4a|カスミさん、教授は……
vo_adv_5092003_105.m4a|それに私たちは全員で試練に挑んでいました。途中で誰かが抜け出してロッジに戻ったということもありません。
vo_adv_5092004_005.m4a|待ってくださいアンナさん。そんな状態で行かせるわけにはいきません。
vo_adv_5092004_007.m4a|その気持ちは痛いほど分かります。ですが闇雲に捜し回ってもご自身を危険に晒すだけです。
vo_adv_5092004_008.m4a|それにあの二人なら大丈夫です。先程占いで無事だと出ましたから。
vo_adv_5092004_011.m4a|うん、でもまずはアンナさんの不安をやわらげたかったから。それに……
vo_adv_5092004_012.m4a|それに、私自身も信じたかった……二人が無事だって。だからこれは自分に言い聞かせた言葉でもあるから。
vo_adv_5092004_034.m4a|またお父さんはそういうこと言うんだから。
vo_adv_5092004_036.m4a|ええ、それは私も同じです。カスミさんもまた彼を信頼しているからこそ、助手としているのでしょう。
vo_adv_5092004_037.m4a|そう考えると私たち、なんだか似た者同士なのかもしれませんね。
vo_adv_5092004_039.m4a|ふふ、楽しそう。もちろん行きたいですが、ですがその前に父の問題を解決しないと……
vo_adv_5092004_042.m4a|もしかするとカスミさんたちも何かを追っているうちに遠くまで行ってしまった可能性はありますね。
vo_adv_5092004_045.m4a|なんて大きな悪魔の絵……でも、これでいったい何をするというのでしょう。
vo_adv_5092004_049.m4a|４人……となるとどうしてもカスミさんたちを見つける必要がありますね──
vo_adv_5092004_060.m4a|私たちは構いませんが、お二人は大丈夫ですか？ろくに休まれてもいないのですよね。
vo_adv_5092004_070.m4a|う、く、うぅ……
vo_adv_5092004_078.m4a|アンナ、さん……
vo_adv_5092004_080.m4a|そんなこと、ないですよ……知り合って日は浅いですが、あなたはいざという時に決められる人だと分かっています。
vo_adv_5092004_082.m4a|おかしなことを聞きますね。アンナさんなら大丈夫だと信じていますから何も心配していないだけです。
vo_adv_5092004_083.m4a|「歩く竜巻」のカッコいいところ、見せてください。
vo_adv_5092004_085.m4a|はい。どうかご武運、を……
vo_adv_5092004_096.m4a|……はい、おかげさまで。まだ少しふらつきますが……あ、見てください。杯にひびが……
vo_adv_5092004_099.m4a|私も……アンナさんたちだけでも逃げてください。
vo_adv_5092004_102.m4a|あれ、私……無事、なの？
vo_adv_5092004_106.m4a|それは私もです。とにかくお二人ともご無事でなによりです。
vo_adv_5092004_110.m4a|一仕事、ですか？
vo_adv_5092005_083.m4a|証拠を見せろとおっしゃっていましたが、こちらをどうぞ。付き人さんの部屋で見つけた霊媒師の衣装が入った鞄です。
vo_adv_5092005_106.m4a|ゴードンさん……付き人さんと偽霊媒師さんも……
vo_adv_5092005_112.m4a|お疲れさまでした。３人の様子はどうでしたか？
vo_adv_5092005_120.m4a|あの扉の向こうに海賊の財宝がある、ということでしょうね。それで、財宝はどうするのですか？
vo_adv_5092005_126.m4a|あの石板に書かれていたこと自体が嘘だった、という可能性は……
vo_adv_5092005_128.m4a|ひとまずロッジに戻りませんか？さすがにみなさんお疲れのはずですから。
vo_adv_5092006_002.m4a|でも、もしその鍵でも開かなかったら……
vo_adv_5092006_004.m4a|賛成です。これがなければあんな事件も起きなかったですから。
vo_adv_5092006_010.m4a|お父さんやめて。でも、こうなると完全に手詰まりですよね。
vo_adv_5092006_018.m4a|……にわかには信じられませんが、本当にこの方だったのですね。
vo_adv_5092006_032.m4a|それが、彼というわけですか。
vo_adv_5092006_043.m4a|それに万が一偽物の鍵でも扉が開いてしまえば財宝は手に入らない、という可能性も考慮すればやはり出ていかざるを得なかったのでしょう。
vo_adv_5092006_075.m4a|……
vo_adv_5092006_079.m4a|……開きませんね。
vo_adv_5092006_090.m4a|残念ながら、あれはあなたのご先祖さまではありません。おそらくは高度な技術で作られた自動人形かと。
vo_adv_5092006_096.m4a|くっ……
vo_adv_5092006_101.m4a|大丈夫です。私たちは勝ちますよ。
vo_adv_5092006_103.m4a|いいえ、単なる確信です。
vo_adv_5092006_108.m4a|はい。それじゃあお父さんはここで待ってて。{player}さん、父のことよろしくお願いします。
vo_adv_5092006_113.m4a|死は等しく、誰の元にも訪れます。ですがあなたの場合はまだ先です。今はただ、生き残ることを考えてください。
vo_adv_5092006_117.m4a|やだ……お父さん、お父さん！　目を、覚ましてよ……
vo_adv_5092006_119.m4a|……は？
vo_adv_5092006_121.m4a|お父さん、これはどういうこと？　まさか弱ってたのは嘘だったの？
vo_adv_5092006_123.m4a|それじゃあイリヤさんにでも頼めばすぐに解決できたってこと？なんですぐに言わなかったの？
vo_adv_5092006_125.m4a|お父さん、いったい、どれだけ心配したと思ってるの？
vo_adv_5092006_127.m4a|そうね、軽く地獄を見てきたらいいんじゃない？
vo_adv_5092006_130.m4a|……みなさんがそう言われるのでしたら仕方ありません。
vo_adv_5092006_132.m4a|かわりにランドソルに帰ったらみっちりお説教するから。
vo_adv_5092006_136.m4a|あの、ディードはなんとメッセージに残されていましたか？
vo_adv_5092006_139.m4a|これまでの試練ってたしか、４人で舞を踊ったり魔犬の気を引きましたね。
vo_adv_5092006_148.m4a|さすがの私も、少々胸が高鳴っています。大海賊の財宝とはいったい……え？
vo_adv_5092006_157.m4a|特に何もないようですね。
vo_adv_5092006_174.m4a|自画自賛している場合ではありません。早く脱出しましょう。
vo_adv_5092007_010.m4a|別の仕事？
vo_adv_5092007_012.m4a|そうですね。元々は父を治すための旅でしたが、それ以上に大きなものを得られたと思います。
vo_adv_5092007_013.m4a|ギルドメンバー以外の方と行動することがあまりなかったので、はじめての人、場所というのはとても新鮮でした。
vo_adv_5092007_014.m4a|島での日々はこの先私にとっていい変化をもたらしてくれる、そう予感させるものになりました。
vo_adv_5092007_016.m4a|お父さん、もう少し反省が必要？
vo_adv_5092007_029.m4a|あ、メッキの下が輝いてます。
vo_adv_5092007_037.m4a|いえ、とても素敵だと思います。ギルドのみんなに旅の話をするのが楽しみです。
vo_adv_5092007_041.m4a|……アンナさん、残念ですが全部却下です。
vo_adv_5092101_002.m4a|あの、{player}さん。とある場所に行きたいのですが、そこに行く手段などに詳しい方、ご存じないでしょうか？
vo_adv_5092101_005.m4a|私はある事情で霊場に行かなくてはなりません。伝説の海賊の呪いがかけられた島に行けば、きっと……
vo_adv_5092203_001.m4a|……みなさん、気を付けて。不穏な気配がまだ消えていません。
vo_adv_5092204_000.m4a|これは……守護者の気配に呼応したのか、島全体に留まっていた思念が激しく増大しています。
vo_adv_5092204_002.m4a|それだけではありません。このままでは島自体にも影響が及び最悪崩壊の危険すらありえます。
vo_adv_5092301_001.m4a|あれほどの相手を前にしてその言葉、心強いことこの上ないです。それではアンナさん、あとはよろしくお願いします。
vo_adv_5092301_003.m4a|冗談です。いくらアンナさんでも一人であれの相手は手に余りますから。
vo_adv_5092302_001.m4a|人形なのに不思議と強い念のようなものを感じます。この戦い、厳しいものになりそうです。
vo_adv_5092308_001.m4a|弱気になってはいけません。どんなものにも終わりは等しく訪れます。それは屈強な守護者も同じこと。あとは気力の勝負です。
vo_adv_5092321_001.m4a|それはお止めください。二つの強大な力がぶつかり合えば周囲にどれほど被害が出るか予想もつきません。
vo_adv_5092321_004.m4a|これは絶好の好機です。私とカスミさんの最大攻撃で先陣を切ります。そしてとどめはアンナさんで決めてください。
vo_adv_5092322_002.m4a|ですが一体一体が硬く、攻撃力も侮れません。それにあれだけの数が集まれば、強引にねじ伏せられてしまう危険性もあります。
vo_adv_5092323_000.m4a|っ！　守護者の力が増大しています。どうやらこれまではリミッターがかけられていたようですね。
vo_adv_5092323_005.m4a|すみません、遠慮させていただきます。みなさん結果が分かっているのでは占う意味がありませんから。
vo_adv_5092323_008.m4a|最悪の最終局面ですが、みなさんとなら絶対に勝てます！
vo_adv_5092402_001.m4a|……はい。財宝の守護者、完全に活動を停止しました。みなさん、本当にお疲れさまでした。
vo_adv_5092402_004.m4a|アンナさん、それは洒落になりませんよ……
vo_adv_5092404_000.m4a|これで通算20度目の勝利です。いつの間にか力を付けていたようで頼もしい限りです。
vo_adv_5092411_001.m4a|はい、決して楽しいことばかりではありませんでしたが、いざ終わりを迎えると名残惜しく感じてしまいます。
vo_adv_5092411_003.m4a|アンナさん盛りすぎ、盛りすぎですよ。
vo_adv_5092411_007.m4a|アンナさんの言うとおりです。多少離れたとしてもきっと魂で引かれ合い、再び巡り会うはずです。
vo_adv_5092422_001.m4a|……はい。財宝の守護者、完全に活動を停止しました。みなさん、本当にお疲れさまでした。
vo_adv_5092422_004.m4a|アンナさん、それは洒落になりませんよ……
vo_adv_5092424_000.m4a|これで通算20度目の勝利です。いつの間にか力を付けていたようで頼もしい限りです。
vo_adv_5092431_001.m4a|はい、決して楽しいことばかりではありませんでしたが、いざ終わりを迎えると名残惜しく感じてしまいます。
vo_adv_5092431_003.m4a|アンナさん盛りすぎ、盛りすぎですよ。
vo_adv_5092431_007.m4a|アンナさんの言うとおりです。多少離れたとしてもきっと魂で引かれ合い、再び巡り会うはずです。
vo_adv_5092442_001.m4a|……はい。財宝の守護者、完全に活動を停止しました。みなさん、本当にお疲れさまでした。
vo_adv_5092442_004.m4a|アンナさん、それは洒落になりませんよ……
vo_adv_5092444_000.m4a|これで通算20度目の勝利です。いつの間にか力を付けていたようで頼もしい限りです。
vo_adv_5092451_001.m4a|はい、決して楽しいことばかりではありませんでしたが、いざ終わりを迎えると名残惜しく感じてしまいます。
vo_adv_5092451_003.m4a|アンナさん盛りすぎ、盛りすぎですよ。
vo_adv_5092451_007.m4a|アンナさんの言うとおりです。多少離れたとしてもきっと魂で引かれ合い、再び巡り会うはずです。
vo_adv_5092601_006.m4a|……たしかに。随分と古びてはいますが、かえってそれがいかにもな雰囲気を醸していますね。
vo_adv_5092601_009.m4a|待ってください。急に宝探しといわれましても、旅の用意など全然していませんよ。
vo_adv_5092601_011.m4a|冥狂断崖……大仰な名に惑わされそうですがブリザ渓谷ですね。たしかにランドソルの地形とピッタリ一致します。
vo_adv_5092601_014.m4a|あっ！　ち、地図が飛んで行ってしまいました……
vo_adv_5092601_018.m4a|はい、おかげで汚れで見えなかった部分が見えるようになりましたね。あ、裏にサインがありますね。製作者の署名でしょうか。
vo_adv_5092601_020.m4a|ええと、何かの暗号とかの可能性は……？
vo_adv_5092601_026.m4a|大丈夫です。私も地図の出来の良さに完全に騙されてしまいましたから。
vo_adv_5092601_029.m4a|はい、私も一枚手元に置いておきたいです。そしてギルドの仲間に宝物だって見せてあげたいと思います。
vo_adv_7018000_007.m4a|なるほど。ここにある術式を使って移動するんですね。
vo_adv_7018000_009.m4a|…………
vo_adv_7018000_011.m4a|占い師をしているシノブです。そして隣にいるのが私の……
vo_adv_7018000_016.m4a|もう……恥ずかしい真似はやめて。
vo_adv_7018000_018.m4a|それはそうだけど……
vo_adv_7018000_025.m4a|スズメさんが投げ飛ばしたステッキが木に跳ね返った結果、空を飛んでいた魔物に当たりここへ落ちてきた……といったところでしょうか。つまりこれは……
vo_adv_7018000_026.m4a|天罰だよ、お父さん。
vo_adv_7018000_028.m4a|いいえ。お気になさらず。父はかつて高名な霊媒師だったのですが……
vo_adv_7018000_029.m4a|ご覧の通り、今では娘の前で堂々と醜態をさらす迷惑なドクロに成り果ててしまいました。ですので、多少痛い目に遭っても問題ありません。
vo_adv_7018000_031.m4a|実は、{player}さんの運勢を占ったところ……悪い結果が出ました。なので今日は、その忠告をしようと追いかけてきたんです。
vo_adv_7018000_033.m4a|よほどのことがない限り、出来事を変えても運命は変えられません。{player}さんの身に降りかかる不幸をそばで見張り、一緒に対処するのがよいかと思います。
vo_adv_7018000_036.m4a|あの、スズメさん。その件で少しお話が……
vo_adv_7018000_038.m4a|先ほどご自身のことを『ドジをするメイド』と言っていましたが、もしかしたらその原因は……
vo_adv_7018000_040.m4a|え？　は、はい……！
vo_adv_7018001_008.m4a|……スズメさん。実はその……非常に言いにくいのですが、憑いてます。
vo_adv_7018001_010.m4a|はい。悪霊が、あなたに憑いてます。
vo_adv_7018001_013.m4a|はい。まだ姿は見えませんが、気配を感じます。スズメさんに呪詛を与えて、様々な災いをもたらしているようです。
vo_adv_7018001_015.m4a|あのね、お父さんが言えることじゃないよ……
vo_adv_7018001_016.m4a|もしかしたらですが……これまでスズメさんが失敗ばかりしていたのは、悪霊の影響なのかもしれません。
vo_adv_7018001_019.m4a|お父さんは黙ってて。
vo_adv_7018001_021.m4a|まずは私が悪霊と交渉してみます。うまくいけば、すぐにでも出ていってくれるはずです。
vo_adv_7018001_022.m4a|ではスズメさん。私の前へ立ってください。
vo_adv_7018001_024.m4a|…………
vo_adv_7018001_026.m4a|…………すみません。この悪霊、かなり強力な力を秘めています。どうやっても姿を現さないので、会話できません。
vo_adv_7018001_027.m4a|分かることといえば……どうやら、スズメさんのマナを全て奪う魂胆のようですね。
vo_adv_7018001_029.m4a|安心してください。父ほどではありませんが、私にも霊を祓う力があります。私がスズメさんを助けますから。
vo_adv_7018001_031.m4a|では……目をつむって、両手を組んでください。そのまま意識を集中して……だんだん手が温かくなってきたはずです。
vo_adv_7018001_033.m4a|え？　熱い？まさか悪霊がスズメさんに呪詛を……！スズメさん、それは私が引き受けますね！
vo_adv_7018001_034.m4a|……うっ！？
vo_adv_7018001_036.m4a|大丈夫です……ちょっとめまいがするだけで……
vo_adv_7018001_037.m4a|体中が熱い……呪詛が強力で、浄化が間に合わない……！だめ、倒れる……！
vo_adv_7018001_039.m4a|わ、私は平気です……{player}さんが受け止めてくれたので……
vo_adv_7018001_041.m4a|お父さん、なに言ってるの？{player}さんは私を助けてくれただけで…………っ！？
vo_adv_7018002_000.m4a|あの悪霊を、祓いましょう。私たちがこの塔から出る手段はそれしかありません。
vo_adv_7018002_001.m4a|なにより……この悪霊の霊障は父以上に低劣なので早めに処理するのがよろしいかと思います。
vo_adv_7018002_005.m4a|お父さん、ここへ来たのは私の意思だよ。……だから、{player}さん。出口も協力して探しましょう。
vo_adv_7018002_006.m4a|スズメさん。もう一度最初から、儀式を始めましょう。
vo_adv_7018002_008.m4a|地面に聖水を使った魔法陣を描きました。念のため三重に作ったので、先ほどと同じことは起こらないはずです。
vo_adv_7018002_010.m4a|お父さん、心配しすぎだよ。……それではスズメさん、私の方へ来てください。
vo_adv_7018002_012.m4a|まず、私と手をつないで……そのまま体を寄せて……今、精神を繋ぎました。私たちは今、一心同体です。
vo_adv_7018002_013.m4a|つまりスズメさんが動いてしまうと、私も影響を受けてしまいます。ですから儀式を行っている間は、じっとしていてくださいね。では儀式を始めます──
vo_adv_7018002_021.m4a|……
vo_adv_7018002_024.m4a|あっ！　スズメさん、急に動いたら……！
vo_adv_7018002_029.m4a|……っ！？すみません……！　すぐ上からどきます……！！それからあのっ……
vo_adv_7018002_032.m4a|お父さん……
vo_adv_7018003_000.m4a|助けたい人さえ救えないなんて……私は霊媒師失格ですね……
vo_adv_7018003_004.m4a|私もいただいていいんでしょうか。これはスズメさんが{player}さんのために作ったんじゃ……
vo_adv_7018003_006.m4a|ありがとうございます。実はお腹がすいていたんです。いただきます……
vo_adv_7018003_008.m4a|私も大切な人のために、お菓子を作ったことがあります。だから、分かりますよ。愛情こもった、とても美味しいご飯ですね。
vo_adv_7018003_010.m4a|……あ。ごめんなさい。私、ずっと怖い顔をしてましたよね……？占いに来た方にもよく、気まずい顔をさせてしまうんです。
vo_adv_7018003_013.m4a|ふふっ……そんなに力強く言われてしまうと、落ち込む気持ちもなくなってしまいますね。スズメさん、ありがとうございます。
vo_adv_7018003_016.m4a|ごちそうさまでした。スズメさんに何かお礼ができればいいんですけれど……
vo_adv_7018003_019.m4a|お父さんは黙ってて。それじゃ、占いますね。
vo_adv_7018003_021.m4a|……出ました。結果は、大凶です。明日も、明後日も、同じ運勢が続いていきそうです……
vo_adv_7018003_023.m4a|『ドジばかりする』……とは出ていませんが、今日は特に……火の難が出ていますね。火の元には近づかないようにしてください。
vo_adv_7018003_028.m4a|スズメさんは離れていてください。ここは私が対処を……
vo_adv_7018003_029.m4a|……っ！？
vo_adv_7018003_032.m4a|心配しないで。ここは自分一人で──ケホッ、コホッ！
vo_adv_7018003_033.m4a|煙を吸い込みすぎて息が……！　早く術を展開しないと……！
vo_adv_7018003_037.m4a|スズメさん……！？どうして、来たんですか……！
vo_adv_7018003_043.m4a|私のことよりも、スズメさんです……！ヤケドしてるじゃないですか……！
vo_adv_7018003_046.m4a|スズメさん……
vo_adv_7018003_048.m4a|私もお手伝いします……！
vo_adv_7018004_004.m4a|スズメさん。絶対に一人になろうなんて、思わないでくださいね。
vo_adv_7018004_007.m4a|スズメさん、そんな悲しいことを言わないでください。私が落ち込んでいる時、スズメさんは美味しいご飯と、そして素敵な笑顔や言葉をくれました。
vo_adv_7018004_008.m4a|疫病神は、私に元気を与えたりしません。ですから、あなたは疫病神なんかじゃありません。絶対にです。
vo_adv_7018004_010.m4a|良かった、スズメさんが笑ってくれた。でも、まだ何も解決してない。スズメさんを救うには……もうこの方法だけ。
vo_adv_7018004_012.m4a|……お父さん、そんなにふてくされないで。
vo_adv_7018004_014.m4a|お父さん、お願い。スズメさんを助けるために、協力して。
vo_adv_7018004_015.m4a|あの儀式を成功させるためには……{player}さんとお父さんの力が必要なの。
vo_adv_7018004_017.m4a|……まだ何も言ってないよ。
vo_adv_7018004_019.m4a|お父さん……
vo_adv_7018004_021.m4a|ウルウルした目って……そんなつもりはないんだけど。でも、私も引けないの。
vo_adv_7018004_022.m4a|{player}さんも、お願いします。
vo_adv_7018004_023.m4a|父は『私の命がかかっている』と言いましたが、少し大げさな表現です。私のマナをギリギリまで使うという意味では危険かもしれませんが……
vo_adv_7018004_024.m4a|……あの、どうして目をそらすんですか？協力、してもらえないんでしょうか……？
vo_adv_7018004_027.m4a|必要があるかどうかなんて、関係ないよ。スズメさんは、私を助けてくれた。危険を顧みずに……
vo_adv_7018004_028.m4a|怪我を負った自分よりも無傷な私を真っ先に心配して、あなたが無事で良かったと言ってくれた。
vo_adv_7018004_029.m4a|そんな優しい人を今度は私が助けたい。ただそれだけ……それにお父さん、スズメさんは私の命の恩人なんだよ？お父さんは娘を助けてくれた恩人を見捨てたりしないよね？
vo_adv_7018004_031.m4a|{player}さんなら、私の気持ちを分かってくれるはずです。……お願いします。力を貸してください。
vo_adv_7018004_032.m4a|条件？　それはどんな…………え？　『僕のマナも使ってほしい』？
vo_adv_7018004_033.m4a|一緒に？……そうでしたね。あなたは、そういう人でした。
vo_adv_7018004_034.m4a|私があなたにお願いすべきは……『一緒に、あの悪霊と戦ってください。そして全員無事で、ここから脱出しましょう』……ですね。
vo_adv_7018004_036.m4a|スズメさんの悲鳴！？戻りましょう！
vo_adv_7018004_037.m4a|スズメさん。どうされまし──
vo_adv_7018004_041.m4a|お父さん、いい加減にして。
vo_adv_7018004_042.m4a|スズメさん、怪我をしています。まるで魔物に襲われたような傷がいくつも……これも転んだ時に？
vo_adv_7018004_046.m4a|……悪霊がスズメさんに殺意を見せた。危険な状態ですね。
vo_adv_7018004_047.m4a|みなさん。急いで広い場所を探しましょう。そこで儀式を始めます。
vo_adv_7018005_000.m4a|儀式は成功です。これで除霊は終わりました。スズメさん、あなたはもう悪霊に苦しめられることはありません。
vo_adv_7018005_002.m4a|私だけの力ではありません。{player}さんのマナを借りなければ、悪霊を引きずり出すことはできなかったでしょう。
vo_adv_7018005_004.m4a|お父さんも……助けてくれてありがとう。
vo_adv_7018005_008.m4a|待ってください。先ほど倒した悪霊が何か落としたみたいです。
vo_adv_7018005_010.m4a|徐々に光が強くなっています。これは一体……
vo_adv_7018005_073.m4a|スズメさん、気がつきましたか？どこか気分の悪いところは……？
vo_adv_7018005_075.m4a|夢、ですか……？……もしかしたら、同じ夢を見ていたかもしれません。記憶はおぼろげですが……
vo_adv_7018005_079.m4a|あ……スズメさん。そのことなんですが……
vo_adv_7018005_082.m4a|私も先ほど知ったんですが、あの悪霊は元からこの塔に棲み着いていたようです。
vo_adv_7018005_083.m4a|つまり……スズメさんがドジをすることと悪霊に因果はありません。……勘違いをしてしまってすみません。
vo_adv_7018005_085.m4a|……あの、それからもう一つ……悪霊が最初に狙っていたのは、{player}さんだったんです。
vo_adv_7018005_087.m4a|でも、憑依しようとした瞬間、スズメさんがタイミングよく転んで……そのままスズメさんに憑依するしかなかった。そのことを恨んで、悪さをしていたようですね。
vo_adv_7018005_088.m4a|前にもお話ししたように、この人の運勢は最悪でした。それはあの悪霊が憑依するはずだったからです。でもスズメさんのドジが、この人を守ったんです。
vo_adv_7018005_089.m4a|陰と陽……何事も、良い面と悪い面があって……なのでスズメさんが失敗したとしても、悪いことばかりじゃありません。つまり、何が言いたいかといいますと…………
vo_adv_7018005_091.m4a|ううっ……すみません。マナを使い果たしたようで、もう限界みたいです……
