vo_adv_1040009_000.m4a|HEY　YO！　私！　前途洋々！ニューフレンド！　自然とあがる抑揚！
vo_adv_1167003_062.m4a|けどよ、オレは気が長くねえんだ。いいか？　これが最後の忠告だぜ。大人しく言うことを──
vo_adv_1167003_064.m4a|だ、誰だっ！？
vo_adv_1167003_066.m4a|くっ……邪魔が入ったか！怖そうな見た目なのに助けようとするなんて、恐れ入ったぜ！
vo_adv_1167003_067.m4a|今日のところは、これくらいにしておいてやる！覚えてやがれー！
vo_adv_1167003_069.m4a|ふふっ。いい遊びっぷりでしたよ……！
vo_adv_1167003_070.m4a|あなたの遊び方によって、そのおもちゃは正義の味方になれましたね！悪そうな見た目をしているけど、優しい心を持っているってことです！
vo_adv_1167003_071.m4a|元々すごく悪いキャラクターかもしれませんが、あなたの遊び方によって、オリジナルの設定が加わったんですよ！
vo_adv_1167003_072.m4a|おもちゃの遊び方は自由……無限大です。私はそう思っていますよ。
vo_adv_1167003_073.m4a|元々ある設定のまま遊ぶのもいいですが、せっかく手に入れた自分だけのおもちゃです。
vo_adv_1167003_074.m4a|だから、今みたいに自分の好きなように、遊んでみてもいいんじゃないでしょうか……？
vo_adv_1167003_078.m4a|うん、いいと思います……！その調子なら、お友達とも遊べそうだね……！
vo_adv_1167003_081.m4a|た、楽しんできてねっ！
vo_adv_1167003_082.m4a|ふう……あのおもちゃを好きになれそうで良かったですね。
vo_adv_1167003_083.m4a|せっかく買ってもらった物なのに、それが原因でお友達と遊べなくなるなんて、あまりに悲しすぎますから。
vo_adv_1167003_084.m4a|あっ！　マ、マイフレンドくん、さっきはごめんね！あの子のためとはいえ、柄の悪い感じで扱っちゃって！
vo_adv_1167003_086.m4a|良かった……そ、そのようでした！怒ってたらどうしようって、不安でしたから……！
vo_adv_1167003_087.m4a|わ、私たちがヒーローですかっ！？そんな褒め言葉、マイフレンドくんはともかくとして、私にはもったいなさすぎますっ！
vo_adv_1167003_088.m4a|そ、そろそろ工場に戻らないと！休憩時間がもうすぐ終わってしまいます！
vo_adv_1167003_089.m4a|子どもたちに楽しく遊んでもらえるようなおもちゃをがんばって作りましょうっ！
vo_adv_1167004_001.m4a|ふう～……このパーツで、全て確認終わりました。今日のノルマ達成です……！　あとは工場長に報告するだけですね。
vo_adv_1167004_002.m4a|はい！　{player}さんもお疲れさまです。お互い順調そうで良かったです。ＢＢ団の大躍進ですね！
vo_adv_1167004_003.m4a|そこで今日は、問題なく仕事が片付いたので、空いた時間にマイフレンドくんのカスタマイズを進めたいと思います。
vo_adv_1167004_004.m4a|今回アルバイトを始める時に誓いましたから。傷つけてしまったおわびに、かっこよくするって……！
vo_adv_1167004_005.m4a|マイフレンドくんシリーズ史上、最高の仕上がりにしてみせますっ！{player}さんも楽しみにしててくださいね！
vo_adv_1167004_006.m4a|１号をこしらえてから早いもので、このマイフレンドくんでもう４代目かあ……
vo_adv_1167004_007.m4a|まあ２号は{player}さんにお願いしようとしましたが、即却下されたので永久欠番ということで……
vo_adv_1167004_008.m4a|うーん……何かをまねて作ってはいないはずなんですが……でも、意識した人がいたような……確かそんな気が……
vo_adv_1167004_009.m4a|あれ？　工場の明かりが急に強くなって……こここ工場長、大変ですよ～！！
vo_adv_1167004_073.m4a|……はっ！
vo_adv_1167004_074.m4a|仕事中にうたた寝をしてしまいました……！しかも、なんだか変な夢も見て……
vo_adv_1167004_075.m4a|そういえば、マイフレンドくんの元になった人の話の途中でしたよね？そのことなんですけど、今見ていた夢で……
vo_adv_1167004_077.m4a|はいっ！これから最終確認をお願いしようと思っていたところでした。
vo_adv_1167004_079.m4a|わ、分かりました……！他のみなさんも、作業は終わりですか？
vo_adv_1167004_082.m4a|お、お疲れさまでした……！
vo_adv_1167004_083.m4a|…………
vo_adv_1167004_085.m4a|え、えっと……まだ工場に残ってもいいですか？
vo_adv_1167004_087.m4a|仕事ではなくて……マイフレンドくんのカスタマイズをしたくて……工場が動かないなら、この間に空いている機械を貸してもらえませんか？
vo_adv_1167004_088.m4a|初めは工場長に作業をお願いしようと思ってましたけど、やっぱり自分自身でやりたいなって……！
vo_adv_1167004_089.m4a|もちろん、使う材料代などはしっかりお支払いします！そのために始めたバイトですから……！ただ……大事なマイフレンドくんなので、私の手で……！
vo_adv_1167004_091.m4a|あ、ありがとうございますっ！
vo_adv_1167004_092.m4a|よし、がんばってカスタマイズするぞー！かっこよくしてあげるからね、マイフレンドくん……！
vo_adv_1167004_096.m4a|あ、いえっ……機械が空いているうちに、『だいじょぶマイフレンドくんＶ４』の作業をしたくて……
vo_adv_1167004_098.m4a|お、お疲れさまでした。明日もまたよろしくお願いします……！
vo_adv_1167004_099.m4a|……人がいないと、工場ってこんなにも静かなんですね……
vo_adv_1167004_100.m4a|初めは、みなさんの掛け声が大きくてびっくりしましたけど、あと少しで離れることになると思うと、なんだか寂しく感じます……
vo_adv_1167004_101.m4a|なんて感傷に浸ってる時間はありませんね……今のうちにカスタマイズを進めますよー！
vo_adv_1167004_103.m4a|ひゃいっ！？ななな、なんですか、それ……？　すごく古そうなおもちゃですね……？
vo_adv_1167004_108.m4a|はい……！　愛着を持ってることがとっても伝わってきます……！
vo_adv_1167004_113.m4a|みなさんも、大事なおもちゃがいるから、このお仕事をしてるんですね……！　と、とっても素敵です……！
vo_adv_1167004_116.m4a|とととと、友達……！？マイフレンドくんに新しい友達が……！　す、すごいです〜！
vo_adv_1167004_117.m4a|で、では紹介させていただきますね……
vo_adv_1167004_118.m4a|こ、これは……友達作りの練習台──いえ、そうじゃありませんね……！
vo_adv_1167004_119.m4a|この子は、私の大切な友達……『だいじょぶマイフレンドくんＶ４』！
vo_adv_1167004_120.m4a|元々、友達を作る練習をするために作ったんですが、今では大事な……そして貴重な友達です。
vo_adv_1167004_122.m4a|えっと、マイフレンドくんのイメージになったのは、私の理想の友達像……だと思います。
vo_adv_1167004_123.m4a|思います、というのは……体験したことはないはずなのに、遠い昔の記憶の中にいるような人がいて……
vo_adv_1167004_124.m4a|そしてその人は、団長さんによく似ている気がしています。
vo_adv_1167004_125.m4a|ぼっちの私なんかにも優しくしてくれて、いつも友達作りの練習に付き合ってくれる思いやりのある人。
vo_adv_1167004_126.m4a|だから、団長さんみたいな人といつか友達になってみたいです……えへへ……
vo_adv_1167004_128.m4a|は、はいっ！
vo_adv_1167004_130.m4a|バ、バイト仲間……？今、私をバイト仲間と……？　そそそそ、そうおっしゃいましたかっ！？
vo_adv_1167004_133.m4a|つ、ついに……バイト仲間を作ることができました……！このバイト期間中の目標、一つ達成です……！
vo_adv_1167004_134.m4a|あとは、マイフレンドくんをかっこよくカスタマイズするだけです！が、がんばりますよ〜！
vo_adv_1221001_009.m4a|えっ？　あっ、ハツネさん！？すすすすみません！　ちょっと動揺しちゃって……！
vo_adv_1221001_012.m4a|ミ、ミサト先生まで……！あの、まさかとは思いますけど……もしかして私を迎えに……？
vo_adv_1221001_015.m4a|あわわ……！あ、ありがとうございます……
vo_adv_1221001_017.m4a|……た、ただいま……です。えへへ……♪
vo_adv_1221001_019.m4a|はいっ！……って、すみません！　私ばっかりしゃべっちゃって……！
vo_adv_1221001_023.m4a|次の企画……？あの、それって【フォレスティエ】の活動ですか？
vo_adv_1221001_027.m4a|は、はい……私なんかでも役に立つことができて……キャンプの達人とか言われちゃいました。えへへ……♪
vo_adv_1221001_031.m4a|興味を持つきっかけが、あるとないとじゃ大違いですからね……素敵なアイデアだと思います！
vo_adv_1221001_032.m4a|それで、どんなことをする予定なんですか？
vo_adv_1221001_035.m4a|なるほど……………………………………………………
vo_adv_1221001_036.m4a|……ぁ、あのっ！
vo_adv_1221001_037.m4a|その担当者……わ、私にやらせてもらえませんか……？
vo_adv_1221001_039.m4a|ああっ！　すみません、分かってますっ！私みたいなぼっちが立候補するなんて、おこがましいですよね？ずうずうしいですよね？　激おこずうずう丸ですよね？
vo_adv_1221001_040.m4a|でも、この間のキャンプのおかげで、どんな知識から教えればいいのかはなんとなく分かりました。
vo_adv_1221001_041.m4a|あとそういった講義だったら、聖テレサ女学院でも経験が一応ありますし……
vo_adv_1221001_042.m4a|前までの私なら、絶対にできないですけど……でも、今の私なら、もしかしたら……もしかするかもって。
vo_adv_1221001_043.m4a|だから……お願いしますっ！も、もちろん候補止まりでもいいです！候補者リスト入りだけでも検討してください！
vo_adv_1221001_045.m4a|はははっ、やっぱりそうですよね。私なんかが採用されるわけ……えええーーーーーー！？　採用？　即決？　いいんですかっ？
vo_adv_1221001_049.m4a|そ、そうだったんですか……結果的にウィンウィンですね。ありがとうございます！　私、がんばりますっ！それはもう徹夜だってする覚悟で！
vo_adv_1221001_050.m4a|あっ……そうだ。あの、今のうちに一つお願いしてもいいですか？ギルドメンバーじゃないんですけど……助っ人を呼びたいんです。
vo_adv_1221001_051.m4a|……というわけで、あなたをお呼びしたんです。言いだしてみたはいいですけど、非常に安定した不安感が拭えなくてっ！
vo_adv_1221001_052.m4a|もしも……もしも私が成長してるとしたら、その過程を一番知ってるのは、あなたですから。{player}さん……力を貸してもらえませんか？
vo_adv_1221001_053.m4a|だ、団長さぁ～ん！
vo_adv_1221001_056.m4a|はい！　がんばりましょうね、{player}さん！
vo_adv_1221001_057.m4a|あわわわわわわ……！
vo_adv_1221001_062.m4a|子ども、子ども、子ども……どこもかしこも子どもまみれじゃないですか……！保護者同伴じゃないのに、この人数とか……
vo_adv_1221001_063.m4a|子どもだけなら参加人数も少ないと思ったのに……いっそ厳正なる抽選の結果でチケットのご用意をしておけば……！
vo_adv_1221001_064.m4a|ううっ……早くも企画失敗の兆しが……
vo_adv_1221001_065.m4a|この間のキャンプ……
vo_adv_1221001_066.m4a|そう、ですよね……私のキャンプ術は、ユカリさんやジュンさんも褒めてくれました。人数に負けちゃいけませんよね。
vo_adv_1221001_067.m4a|ありがとうございます……思い出させてくれて。ここまで来たら、覚悟を決めます！　やってやりますよー！
vo_adv_1221001_068.m4a|……よっ！　よよ、よいこのみなさ～ん！注目してくださぁ～いっ！
vo_adv_1221001_070.m4a|あうっ、子どもたちの無垢な視線が……！未来ある若者たちのこの輝き……こんなの私には、ま……ま、まぶ、まぶ…………
vo_adv_1221001_071.m4a|まぶしてこんがり焼き太郎ーーーーーー！！！
vo_adv_1221001_072.m4a|はっ！？　つ、つい魂の叫びが……！だ、大丈夫ですよ、みなさん！今のはただの奇行ですから！　ええ、もう安心です！
vo_adv_1221001_073.m4a|改めまして、こんにちは！【フォレスティエ】のアオイです！今日はキャンプのことをいっぱい勉強しましょうねっ！
vo_adv_1221001_075.m4a|まず……キャンプで最初に重要なのは拠点づくりです。自然に優しく、それでいて快適に過ごせるような工夫が必要なんです。
vo_adv_1221001_077.m4a|ええ。では、さっそく地形別のオススメ拠点づくりを紹介しますね？まず最初に、平らなところだったら──
vo_adv_1221001_078.m4a|……よーく見ていてくださいね？こうやって枝とツタを組み合わせていくと……
vo_adv_1221001_080.m4a|ふふっ、こうやって工作をして過ごすのもキャンプの魅力なんです！待ってくださいね、すぐに材料を用意しますからっ。
vo_adv_1221001_081.m4a|こっちの薬草は、切り傷に効くんですよ。怪我をしないことが一番ですけど、覚えておいて損はありません。
vo_adv_1221001_083.m4a|おっと、お目が高い！あのお花はですね──
vo_adv_1221001_084.m4a|たき火をするときは、空気の通り道も意識して……こうやって、木を組むように置いてください。空気が入らないと、火が大きくなりませんからね。
vo_adv_1221001_086.m4a|うんうん、バッチリです！あとは、たき火の周りにも注意です。燃えやすいものは火の近くに置かないこと。約束ですよ？
vo_adv_1221001_087.m4a|さて、みなさん！すっかり日も落ちてきましたね。ですが……キャンプの魅力は昼間だけじゃありません！
vo_adv_1221001_090.m4a|いいところに気付きましたね！そう、そこなんです！　暗くなるからこそ、活きるものがあるんです！例えば……みなさんの前にあるたき火とか！
vo_adv_1221001_092.m4a|ふふ……いいリアクションですね。そして、ここまでの知識と経験を積んだみなさんなら、次なるステップに進むことができるでしょう……
vo_adv_1221001_093.m4a|そう！次なるステップにして、キャンプをする最大の魅力──語らいの時間です！
vo_adv_1221001_095.m4a|語らい──それは、おしゃべりの中でも上位に属します。親しい仲間でないと発生しない幻の演出です。あくまで主観ですけど。当たらずとも遠からずのはずです。
vo_adv_1221001_096.m4a|キャンプという非日常の空間、夜風に揺れる炎……それが普段は言えないような会話を引き出し、ぶっちゃけ本音トークを演出するのです！　分かりますか！？
vo_adv_1221001_098.m4a|…………そ、そうですよね？いきなり言われても、難しいですよね。
vo_adv_1221001_099.m4a|じ、実践っ！？　こんな大勢の前でですか？言い出しっぺは私ですが、それはちょっと自信が……
vo_adv_1221001_100.m4a|……分かりました、やりましょう！私たちＢＢ団の活動キャンプ編──略してＢＢキャン！　スタートです！
vo_adv_1221001_101.m4a|…………たき火は……いいですね。
vo_adv_1221001_103.m4a|…………前から思ってたことがあるんです。
vo_adv_1221001_104.m4a|……腹八分目ってどれくらい？　って。
vo_adv_1221001_105.m4a|…………甘い物は別腹だったりしますし……
vo_adv_1221001_106.m4a|……！よりますよね。よかった、私だけじゃなかった……
vo_adv_1221001_107.m4a|………………と、まあこんな感じです！みなさん、どうでしたか？
vo_adv_1221001_111.m4a|おおっ……なんとなく雰囲気を感じてもらえたみたいですね。それで十分です！　あとは実践あるのみ！
vo_adv_1221001_112.m4a|じゃあ次はみなさんの番です！やってみてくださいっ！
vo_adv_1221001_114.m4a|わぁ……ふふっ。
vo_adv_1221001_115.m4a|はい。……むしろ語らいの時間をマスターしているくらいに見えます。もう私が教えることは何もありませんね……ふふふ。
vo_adv_1221001_116.m4a|それにしても、よかったです。ここまで無事に講義を続けることができて……きっと私だけだったら無理だったと思います。
vo_adv_1221001_117.m4a|都会で勉強したところを見てもらいたくて、自分から立候補したくせに……情けないですけど。でも……
vo_adv_1221001_118.m4a|やれるだけのことはやったような……そんな気がします。
vo_adv_1221001_119.m4a|……って、急に何を言ってるんでしょうね、私。ふふふっ。
vo_adv_1221001_120.m4a|…………はい。そうですね。きっと……
vo_adv_1221002_028.m4a|ふわぁ……
vo_adv_1221002_029.m4a|すみません……緊張して眠るのが遅くなっちゃって……あはは。
vo_adv_1221002_030.m4a|で、でも居眠りなんかしませんよ！今日は取材がありますし、なにより自然相手に油断は禁物！なので……こういうものを持ってきました！　じゃんっ！
vo_adv_1221002_031.m4a|いろんな薬草や香辛料を煎じて作ったハーブティーです！名付けて、『眠気ぶっとび猛獣MAX』！
vo_adv_1221002_032.m4a|一口飲んだら、たちまちシャキッとする優れモノ……のはずです！作ってみたのは、はじめてですけど！とりあえず飲んでみますね……ごくごく。
vo_adv_1221002_033.m4a|～～～っ！？くうぅうう……しぶ、渋いっ！渋みと苦みがすごいっ……ああっ、あとから妙な甘さがぁ～！
vo_adv_1221002_038.m4a|こ、こんなタイミングで……！まだ舌は変な感じだけど、挨拶だけでも早くしなくちゃ！
vo_adv_1221002_039.m4a|ああ──どうも。
vo_adv_1221002_043.m4a|あわわ、やっちゃった……ヘンな声になっちゃった……！と、とりあえずフレンドリーな感じで巻き返さないと！
vo_adv_1221002_044.m4a|あ、あの～……
vo_adv_1221002_046.m4a|へ？
vo_adv_1221002_048.m4a|あれ？これって、もしかして……キャラを勘違いされてる？
vo_adv_1221002_049.m4a|た、たた大変です！今のうちに誤解を解いておかないと……！とにかく声の調子を整えて……
vo_adv_1221002_050.m4a|ん、んんん──ぬうぅん！！
vo_adv_1221002_052.m4a|ひゃあああ……！今の咳払いは、完全にアウト……！ああ、もう恥ずかしい～！！
vo_adv_1221002_055.m4a|は……ははは……あー終わった、もう終わりました、おしまいです。今日がダンディキャンパー・アオイの誕生日です。おめでとう！
vo_adv_1221002_056.m4a|ひゃいっ！？{player}さんっ？ど、どうして私の肩に手を置いたんですか！？
vo_adv_1221002_057.m4a|あ……ああー、本当ですね。気が付きませんでした。すみません。ありがとうござい……はっ！？
vo_adv_1221002_058.m4a|……違う。これは気遣いだけじゃないですね。あなたの目が語りかけている気がします。今のタイミングで行動したことの真意……それは他にある！
vo_adv_1221002_059.m4a|……ふっ、なるほど。私が怖気づいているのを見抜いたということですか。さすがはＢＢ団の団長さん……すさまじい洞察力です。
vo_adv_1221002_060.m4a|そして恐らくは、こうも言いたいのですね？きっとアオイなら乗り切れるよ……と！
vo_adv_1221002_061.m4a|────ええ。大丈夫です。
vo_adv_1221002_062.m4a|みなさん、お待たせしました。さあ、行きましょう。山が──山が、呼んでいます。私たちのことを──
vo_adv_1221002_064.m4a|──飲み水の確保は重要です。キャンプでは、常に想定外のことが起こるもの──水源の位置は必ず覚えておくとよいでしょう。
vo_adv_1221002_066.m4a|キャンプで重要なのは、敬意です。自然や生き物──あらゆる全てへの。だからこそ、好き放題にしてはいけないのです──
vo_adv_1221002_068.m4a|──んんっ？
vo_adv_1221002_070.m4a|向こうを──見てください。あの草むらの中──
vo_adv_1221002_072.m4a|キャンプでの出会いは一期一会──一つ一つの出会いを大切にしましょう──
vo_adv_1221002_073.m4a|──キャンプにおいて、大切なこと──ですか？
vo_adv_1221002_075.m4a|────
vo_adv_1221002_076.m4a|自分一人きりであれ──誰かと過ごすのであれ──大切なのは、対話をすること──でしょうか。
vo_adv_1221002_078.m4a|一人であれば自然や自分自身──そして他者といるのであれば、その方との──対話です。私の場合は──
vo_adv_1221002_079.m4a|{player}さんですね。キャンプは友情を育む絶好の機会──友人と時間を共有する喜びに勝るものはありません。
vo_adv_1221002_081.m4a|その通りです──ああ──星がきれいだ──
vo_adv_1221002_082.m4a|わー！　本当に売ってますよ！見てください、あの表紙！　あれ、私の顔ですよ！　なんか渋いけど！
vo_adv_1221002_083.m4a|はぁ……すごいなぁ……♪『孤高のキャンプマイスター　～彼女の流儀～』かぁ……かっこいいタイトルだなぁ……♪
vo_adv_1221002_084.m4a|こんなに堂々と表紙になっちゃったら、人気者だって夢じゃないかも……えへへへへっ♪
vo_adv_1221002_087.m4a|え？あ、はい。たぶん……？
vo_adv_1221002_089.m4a|そ、そんな、光栄だなんて……あれ？
vo_adv_1221002_093.m4a|い、いつの間にか注目の的になってる……？いつもだったらゾウリムシくらいの存在感なのに……これが出版業界の影響力！？
vo_adv_1221002_094.m4a|見える、見えますよ！たくさんの人に声をかけられ、握手とサインを求められる私の姿が……！
vo_adv_1221002_095.m4a|ふ、ふふふふふ……！
vo_adv_1221002_097.m4a|あっ……こほん。いいえ、なんでもありませんっ。お気になさらずっ。
vo_adv_1221002_099.m4a|はいっ。もう何もないので……えっと、いつでもどうぞっ。私は準備できてますから！
vo_adv_1221002_101.m4a|何をって……その……ほら、あの…………本ですし？　…………サ、サイン……とか？あはは、自分で言うと恥ずかしいですね……
vo_adv_1221002_103.m4a|へ……？え、あっ……えっとぉ…………あれ？あれれれれ？
vo_adv_1221002_104.m4a|なんだか思ったのと違う反応……あ、そっか！　本屋さんにサイン本を贈るときは、それなりの手順を踏まないといけないのかも。サイン会とか。
vo_adv_1221002_105.m4a|だったら……ちらっ。
vo_adv_1221002_109.m4a|……ちらっ。
vo_adv_1221002_111.m4a|…………あれー？
vo_adv_1221002_112.m4a|{player}さん、どう思いますか？私、ちゃんと人気者になりかけてるはずですよねっ？なのに……どうして、こんなに距離をとられてるんでしょうっ？
vo_adv_1221002_113.m4a|私なんかに？いやいやいやいや……ぼっちですよ？
vo_adv_1221002_114.m4a|…………！そ、そうでした……今の私はマイスターなんですよね。しかもよりによって、孤高のキャンプマイスター……
vo_adv_1221002_115.m4a|……孤高の人気者（希望的観測）と、誰にも見向きされないぼっち。正反対のようでいて、近寄りがたい存在という点では……一緒なのかもしれませんね。
vo_adv_1221002_116.m4a|……ふ、ふふふ……あっはっはっは！
vo_adv_1221002_117.m4a|あーもう！せっかくいい感じの流れだったのに！どうして、こうなるんですかぁ～！？
vo_adv_1221003_000.m4a|んー、いいお天気ですね！絶好のキャンプ日和です！
vo_adv_1221003_001.m4a|このところ忙しかったですからね……キャンプ講座とか密着取材とか。なので、今日は思いっきり楽しみましょう！
vo_adv_1221003_002.m4a|ふふっ。それにしても、あなたと二人でキャンプなんて久しぶり……あれ？
vo_adv_1221003_003.m4a|二人だけでキャンプをしたことってありましたっけ？よく考えれば、なかったような……あれれ？
vo_adv_1221003_004.m4a|まあ、いいでしょう！とにかく、準備開始です！
vo_adv_1221003_006.m4a|ペグ！　ペグ！　ペグ！ふう……もいっちょペグ！{player}さーん、こっちのペグ打ちは完了しましたー！
vo_adv_1221003_007.m4a|はーい！なんかいいなぁ……こういうの。えへへ。……ん？
vo_adv_1221003_010.m4a|そこかしこからペグる声が聞こえてくるような…………きっと気のせいですよね、うん。
vo_adv_1221003_011.m4a|いいですか？ご飯を炊くときに大切なのは、火の調節です。始めちょろちょろ中ぱっぱ、赤子泣いてもフタ取るな、ですよ。
vo_adv_1221003_012.m4a|……んん？
vo_adv_1221003_015.m4a|やっぱり、気のせいじゃなかったみたいですね……
vo_adv_1221003_016.m4a|{player}さんも気がつきましたか？……私たち、監視されてるみたいです。
vo_adv_1221003_017.m4a|どうしてでしょう……まさか臭いとか？　そんなはずは……くんくん。お風呂も入ってきましたし……くんくんくんっ。
vo_adv_1221003_018.m4a|あっ、なるほど。そうかもしれませんね。編集者さんのお世辞を鵜呑みにするなら、割と好評みたいですし……えへへ。
vo_adv_1221003_019.m4a|って、それはうれしいですけど……あんまり注目されるのも、落ち着かないですね。
vo_adv_1221003_020.m4a|それになんていうか……もうちょっと自由に楽しんでもらったほうがいいと思うんです。
vo_adv_1221003_021.m4a|ただ、その……キャンプっていろんな楽しみ方があるはずなので。ユカリさんやジュンさんとキャンプをしたときだって、そうでした。私とは違うけど、二人とも楽しそうで……
vo_adv_1221003_022.m4a|だから……私のやり方が全てで、他にはない、みたいな……そういうふうには思ってほしくないなぁって……
vo_adv_1221004_000.m4a|やっぱり…………たき火は……いいですね。
vo_adv_1221004_001.m4a|……ふふ。
vo_adv_1221004_002.m4a|あ、すみません。こんなにゆっくりするのは、久しぶりだったので……
vo_adv_1221004_003.m4a|というか……よく考えてみたら、初めてなんですよね。あなたと二人きりでキャンプをするのって。この間は、気づいたら大人数になってましたし。
vo_adv_1221004_004.m4a|なんだか逆に驚いちゃいました。ＢＢ団の活動もありましたし、初めての感じがしないっていうか。
vo_adv_1221004_005.m4a|…………
vo_adv_1221004_006.m4a|意識するとヘンな気分になりますね、あはは。
vo_adv_1221004_007.m4a|え、えーっと……早く牛乳があったまらないかな～？冷え込む前にホットチョコレート飲みたいな～
vo_adv_1221004_008.m4a|……って、あれ？急にたき火の勢いが強くなってきたような……
vo_adv_1221004_009.m4a|わわわっ、目を開けていられませ～んっ！！
vo_adv_1221004_062.m4a|う、う～ん……あれ、いつの間にか寝ちゃってたみたいですね…………えっ、あなたも？　ふふっ、お揃いですね。
vo_adv_2113003_002.m4a|ひゃあああぁっ！？
vo_adv_2113003_004.m4a|で、でもでもでも……！魔物が、こんなにたくさんっ……！！
vo_adv_2113003_012.m4a|はぁぁぁ……ふぅぅぅ…………！ごほっ、べほっ！　し、深呼吸と動悸で気道がっ……
vo_adv_2113003_015.m4a|だ、だ、大丈夫ですっ！今日は、ぼっちじゃないですから！　みなさんが一緒ですから！
vo_adv_2113003_016.m4a|エルフの里を守るため……【フォレスティエ】の一員として……私、やってみます！え、えーいっ！
vo_adv_2113003_019.m4a|ううぇっ！？あんなにボロボロなのに、立ち上がってきますよ〜っ！？
vo_adv_2113003_024.m4a|そもそもどうして、こんな襲撃がっ……？
vo_adv_2113003_031.m4a|またまた来ます～っ！私たちだけで、どうするんですかっ？
vo_adv_2113003_036.m4a|はぁ、はぁっ……ま、まだまだ！工場のアルバイトで培った根性は、こんなものじゃないですよっ……
vo_adv_2113003_037.m4a|……ひっ！ひゃあああっ！！？
vo_adv_2113003_040.m4a|魔物たち、大人しくなっちゃいました……？
vo_adv_2113003_044.m4a|け、結局、こんなにたくさんの魔物が襲ってきた理由はわからないままですけど……
vo_adv_2113003_050.m4a|は、はい……！背筋が、ゾゾゾ～ってする叫び声でした！
vo_adv_2113003_054.m4a|こここれって、さっきの変な叫び声のせいなんですか……！？状況的に……！
vo_adv_2113003_057.m4a|ひゃあぁんっ！聞く耳もたないって感じですよ～っ！？
vo_adv_2113003_060.m4a|ハツネさんっ！？
vo_adv_2113003_063.m4a|えええっ！？あなたはっ！
vo_adv_2113003_070.m4a|裏手の森から、里の中に魔物がなだれ込んじゃってて！エルフの里のみなさんが、ピンチなんです～っ！
vo_adv_2113004_002.m4a|私もへろへろで……お休みさせてもらいたいですよ～もうダメだ～ってかんじでしたし。でもでも……
vo_adv_2113004_003.m4a|今回は、【フォレスティエ】の一員として！ミサト先生やハツネさんと一緒にお役目を果たせたみたいで、本当に良かったです……！
vo_adv_2113004_009.m4a|そ、そんな……
vo_adv_2113004_014.m4a|ひっ！しししし知らない男の人がっ……！？
vo_adv_2113004_020.m4a|あわわわっ、ハツネさんハツネさん起きてくださいっ！敵の親玉っぽい人が来ちゃいましたよぉ～っ！！
vo_adv_2113004_022.m4a|それじゃミイラになっちゃいますってー！！
vo_adv_2113004_043.m4a|ひぃぃっ！？ななななんかすごそうなのが出てきたんですけどっ……！
vo_adv_2113004_057.m4a|あわわわわわっ！！ハーーツーーネーーさーーんーー！！
vo_adv_2113004_059.m4a|それじゃチリになっちゃってますってー！！
vo_adv_2113006_001.m4a|すっ、すすすごいっ……！『毒舌系巨大からくり人形』よりもおっきい魔物と、正面からぶつかりあってます……！
vo_adv_2113006_007.m4a|……なんだか、泣きたくなっちゃうような風……さびしい、ぼっち、仲間外れ……ぅぅっ……
vo_adv_2113006_040.m4a|はぅぅぅぅぅぅ……こ、この精霊の魔力を浴びるだけで、どんどん気持ちが落ち込んで……
vo_adv_2113006_041.m4a|私なんか、ミジンコみたいな……いえミジンコさんにも失礼なほどの、びびりボルボックス団です……なんだか……このまま消えてしまいそう～……
vo_adv_2113006_048.m4a|はっ！わわわ私はいったい何を！？……あ、ミサト先生の手、あったかい～……
vo_adv_2113006_052.m4a|{player}さん！お願いです、私たちに力を……！
vo_adv_2113006_060.m4a|ひょええぇっ！？まままたあのひと来ましたよっ！？！？
vo_adv_2113007_004.m4a|じ、じ、事情っ……？
vo_adv_2113007_034.m4a|えっ？えええっ！？
vo_adv_2113007_051.m4a|ひゃああぁっ！あの精霊、まだいたんですかっ！？
vo_adv_2113007_058.m4a|ハツネさんっ！あ、相打ち……！？
vo_adv_2113007_069.m4a|もっともっと、おっきくなっちゃいましたよ～っ！？
vo_adv_2113007_081.m4a|このおっきい魔物！めちゃくちゃに暴れ出しましたよ～っ！？
vo_adv_2113008_037.m4a|……コッコロさんと長老さん。何をお話ししているんでしょう……
vo_adv_2113008_056.m4a|わ、わぁ～……ハグの嵐ですね、すごくリア充っぽい……
vo_adv_2113008_058.m4a|へっ！？いいんですかっ！？で、でででは失礼してっ……
vo_adv_2113008_059.m4a|──きえええ～～～っ！！！
vo_adv_2113099_000.m4a|……も、森の外れまで来ましたけど……魔物の姿は、ないみたいですね……
vo_adv_2113099_008.m4a|そ、そうなんですか？
vo_adv_2113099_012.m4a|はっ、はい……！みなさんの足を引っ張らないように、精一杯頑張りますっ……！
vo_adv_2113099_013.m4a|あっ、あと、それと……
vo_adv_2113099_014.m4a|……シェフィさんの、ことなんですが……
vo_adv_2113099_015.m4a|ぼっち有段者の私には、わかるんです。性格とか境遇とか、ぼっちになってしまう理由はたくさんあっても。人は必ず、そこから抜け出そうとするって……
vo_adv_2113099_017.m4a|で、ですからきっと、シェフィさんも今頃。みなさんの元に帰ろうと、頑張っていらっしゃるかと……
vo_adv_2113099_018.m4a|……！すみませんすみませんっ！私なんかがこんな偉そうにっ……！！
vo_adv_5068000_000.m4a|ほ、ほほ、本日はお日柄も良くっ！
vo_adv_5068000_001.m4a|お集まりの皆々様方におかれましてはっ！ます、ますますの……ますっ……
