vo_adv_1007009_000.m4a|あー！{player}、ようやく見つけたの～！
vo_adv_1199003_002.m4a|子どもが泣いてるの。なにかあったみたいなの。けど、ミヤコたちには関係ないの～後でコイツが寝たら、またこの家にプレゼントを配りに……
vo_adv_1199003_003.m4a|って、{player}！　どうして窓開けようとしてるの！？まさかソイツを泣き止ませに行こうとしてるの？そんなのサンタのお仕事じゃないの～！
vo_adv_1199003_004.m4a|……泣いてる子を放っておけない？……むー、なら好きにするの！仕方ないから、付き合ってやるの！
vo_adv_1199003_006.m4a|ミヤコたちはサンタなの。だから騒いだりしちゃダメなの！
vo_adv_1199003_008.m4a|そうなの！サンタさんだから、こんなことだってできるの！
vo_adv_1199003_010.m4a|さっきからそう言ってるの！ミヤコたちのことを信じるの～！
vo_adv_1199003_015.m4a|そんなことより、コイツの欲しいプレゼントがわかったの。お姉ちゃんのプリンなの！　プリンが好きなんてセンスがいいの！
vo_adv_1199003_016.m4a|この魔法の袋さえあれば、なんでも取り出せるの♪オマエのお姉ちゃんのプリンだって余裕なの！
vo_adv_1199003_018.m4a|もちろんなの！魔法の袋よ、お姉ちゃんのプリンを出すの～！
vo_adv_1199003_019.m4a|……あれ？　おかしいの。プリン、出てこないの。もう一回やるの！　プリン、出てくるの～！
vo_adv_1199003_020.m4a|……ダメなの！　どうしてなの！？
vo_adv_1199003_021.m4a|そうなの？じゃあ、コイツのお姉ちゃんのプリンなんて出せないの。
vo_adv_1199003_022.m4a|オマエ、今年はプリン食べるの諦めるの。サンタでもどうすることもできないことはあるの！
vo_adv_1199003_024.m4a|そういうわけで、これ以上ここにいても意味ないの。ミヤコたちは次の子どものところに……
vo_adv_1199003_026.m4a|……あーもう、わかったの！ミヤコサンタがなんとかしてやるの！だから、メソメソ泣くのは止めるの～！
vo_adv_1199003_027.m4a|それはこれから考えるの！うーん……コイツにお姉ちゃんのプリン食べさせるには、どうすればいいの～……
vo_adv_1199003_028.m4a|……はっ！　いいこと思いついたの！二人とも、外に出るの！
vo_adv_1199003_030.m4a|オマエら、待たせたの！これを探すのにちょっと時間かかっちゃったの！
vo_adv_1199003_032.m4a|そうなの！ちょっとの間、このソリを借りるの！
vo_adv_1199003_034.m4a|サンタさんがソリをどう使うかなんて、決まってるの！オマエら、早くこれに乗るの！
vo_adv_1199003_035.m4a|……ちゃんと乗ったみたいなの。じゃあ次は、{player}！　力を貸すの～！
vo_adv_1199003_036.m4a|力が湧いてきたの～♪じゃあ、行くの～！
vo_adv_1199003_038.m4a|ミヤコがその気になれば、これくらいできるの！このまま、オマエのお姉ちゃんの寮まで飛んでくの～！お姉ちゃんにプリンを作ってもらえば全部解決なの♪
vo_adv_1199003_040.m4a|ソリを飛ばすのって結構疲れるの～……プリンを食べないと、力が出ないの～……もうそろそろ限界なの～……落としちゃったらゴメンなの～……
vo_adv_1199003_041.m4a|……へ？　{player}、こんな時にプレゼントが欲しいの？まあちょうどいいかもしれないの。冥土の土産ってやつなの。
vo_adv_1199003_042.m4a|{player}はここで死んじゃうかもしれないの。今までとっても楽しかったの。{player}が幽霊になっても、ずっと友達なの。
vo_adv_1199003_043.m4a|じゃあ、魔法の袋からプレゼントを出してあげるの。これが{player}へのプレゼントなの～！
vo_adv_1199003_044.m4a|……へ？　これって……プリン？やったの～！　よくわかんないけど、いただきますなの～♪
vo_adv_1199003_045.m4a|ん～、サンタのお仕事中に食べるプリンは特別おいしいの～♪これでまた、頑張れそうなの～！……けど、どうして魔法の袋からプリンが出てきたの？
vo_adv_1199003_046.m4a|……ふんふん。ミヤコにプリンを食べさせればなんとかなるって思ったから、プリンが欲しいって願ったの？
vo_adv_1199003_047.m4a|{player}の狙い通り、プリンのおかげで助かったの～♪よくやったの、褒めてやるの～！……あ、また疲れてきたの～……
vo_adv_1199003_048.m4a|寮まではまだ距離がありそうなの。ミヤコのためにもっともっとプリンを欲しがるの～！そうしないとソリが落ちちゃうの～♪
vo_adv_1199003_049.m4a|ちゃんと寮まで着いたの～！オマエのお姉ちゃんはどこにいるの？
vo_adv_1199003_056.m4a|オマエはよくわかってるの～♪けど、ここまで来るのに頑張ってお腹すいたから、待つだけなんてガマンできないの！
vo_adv_1199003_057.m4a|早く食べるために、特別にミヤコがプリン作りを手伝ってやるの！もちろん、{player}も手伝うの！
vo_adv_1199003_058.m4a|いつものミヤコはプリン食べるの専門だけど、今日のミヤコは違うの。自分でプリンを作っちゃうの！
vo_adv_1199003_059.m4a|{player}はプリンを入れる器とかを用意するの！ミヤコは一秒でも早くプリンを食べたいの。さっさと準備するの！
vo_adv_1199003_060.m4a|ミヤコは卵と牛乳と砂糖、それからバニラエッセンスをかき混ぜるの！プリンの材料はとってもシンプルなの。
vo_adv_1199003_061.m4a|これを焼いたらあんなにおいしくなるなんて、プリンは奇跡のデザートなの。ケーキよりクリスマスにぴったりなの～♪
vo_adv_1199003_062.m4a|それからカラメルもミヤコが作るの！カラメルはプリンにとってすっごく大事なの。ミヤコが優しく丁寧に作るの！
vo_adv_1199003_063.m4a|焼くのはアイツのお姉ちゃんの役目なの！プリンの出来を決める重要な仕事なの！どんなプリンになるのか楽しみなの～♪
vo_adv_1199003_064.m4a|……プリン、できたの～♪じゃあさっそく、いただきまーすなの～♪
vo_adv_1199003_065.m4a|あーんっ♪　もぐもぐ……
vo_adv_1199003_067.m4a|ん～……普通なの！
vo_adv_1199003_069.m4a|そんなことないの。普通の出来でもプリンはプリンだから、おいしいの！
vo_adv_1199003_070.m4a|それに……なんだかよくわかんないけど幸せな味がするの。ミヤコはこのプリン、気に入ったの～♪
vo_adv_1199003_074.m4a|……アイツ、お姉ちゃんと久しぶりに会えてうれしそうなの。プリン食べたら、こっそり出ていくの。きょうだい二人っきりにしてやるの。
vo_adv_1199003_075.m4a|アイツの親が心配しないように、後で迎えに来て、朝までに帰してやるの。面倒だけど、そういうのもサンタのお仕事なの！
vo_adv_1199003_076.m4a|それより{player}！まだまだプレゼント配りは終わってないの！このままだと朝になっちゃうの！
vo_adv_1199003_077.m4a|だからミヤコを思いっきり強化するの！ミヤコたちが本気を出せば、あっという間に配り切れるの～♪
vo_adv_1199003_078.m4a|……サンタパワーマックスなの！じゃあ、行ってくるの～♪
vo_adv_1199003_079.m4a|まだまだたくさん、プレゼントを待ってる子がいるの！
vo_adv_1199003_080.m4a|ミヤコサンタと{player}とで、子どもたちにプレゼントと笑顔を配ってやるの！みんな、楽しみにしてるといいの～♪
vo_adv_1199003_081.m4a|あ。そうそう言い忘れてたの。
vo_adv_1199003_082.m4a|ランドソルのみんな！メリークリスマスなの～！
vo_adv_1199004_000.m4a|お、終わったの～……ミヤコ、頑張ったの～……疲れたの～、お腹すいたの～、プリン食べたいの～……
vo_adv_1199004_001.m4a|……んー？　この音は……
vo_adv_1199004_002.m4a|あー、サンタさんなの！腰はもう大丈夫なの？
vo_adv_1199004_005.m4a|サンタさんもそう思うの？　ミヤコもそう思うの！えっへんなの♪
vo_adv_1199004_006.m4a|あ、この魔法の袋、サンタさんに返すの。とっても便利だったの！
vo_adv_1199004_009.m4a|わー、ありがとうなの！じゃあ、クリスマス限定プリンを一年分……
vo_adv_1199004_010.m4a|あ、でも、ハロウィンにしか食べらんないカボチャプリンもいいの～♪行列のできるお店の超激レアプリンだって食べたいし……お城くらい大きなプリンも食べてみたいの！
vo_adv_1199004_011.m4a|それからそれから……ん～……
vo_adv_1199004_012.m4a|んん～……
vo_adv_1199004_013.m4a|……やっぱり、プレゼントはいらないの！
vo_adv_1199004_015.m4a|もちろんプリンは大好きだし、食べたいけど……プリンならコイツからいつでももらえるの！
vo_adv_1199004_016.m4a|それに……プレゼントを渡したら、みんな笑顔になってくれたの。なんだか知らないけどうれしかったの！
vo_adv_1199004_017.m4a|ミヤコはもう満足なの！だからプレゼントはいらないの！
vo_adv_1199004_020.m4a|サンタさん、バイバイなの！メリークリスマスなのー♪
vo_adv_1199004_021.m4a|……サンタさん、行っちゃったの。……やっぱりプリンもらっとけば良かったかもしれないの！世界中のプリンを食べるチャンスだったの～！
vo_adv_1199004_022.m4a|……まあいいの。よくわかんないけど、いまは心がぽかぽかしてるの。それにプリンは……
vo_adv_1199004_023.m4a|{player}がよこせなの！　ミヤコは忘れてないの！サンタの仕事が終わったら、プリンをおごってくれるって言ってたの！
vo_adv_1199004_024.m4a|あのお店でプリンを買うの！ミヤコはサンタのお仕事頑張ったから、200個はよこすの！
vo_adv_1199004_025.m4a|プリン、プリン～♪……ん～？　お店の光、なんかまぶしいの……前にもこんなことあったの！　これってなんなの～！？
vo_adv_1199004_051.m4a|うーん……プリンを食べる寸前で眠っちゃうなんて、サンタのお仕事で疲れちゃったのかもなの。
vo_adv_1199004_052.m4a|……{player}も同じ夢見てたの？これもクリスマスの奇跡なのかもしんないの！
vo_adv_1199004_053.m4a|あ、そういえば夢でミヤコがプリンはいつ、どこで、誰と食べるかも大事だって言ってた気がするの！夢の中のミヤコはいいこと言うの～♪
vo_adv_1199004_054.m4a|だから今から、クリスマスらしいとこに連れてってやるの！{player}！　プリンを持ってソリに乗るの～♪
vo_adv_1199004_055.m4a|……どこに行くのか気になるの？そんなの決まってるの！　ランドソルの空なの！
vo_adv_1199004_056.m4a|あそこからなら、お城とか、ランドソルの街の灯りとかがよく見えるの♪どこもクリスマスらしく飾りつけられてて、きれいなの～♪
vo_adv_1199004_057.m4a|空でおいしいプリンを食べるの！今日は最高のクリスマスなの～♪
vo_adv_2111002_000.m4a|オマエたち、見つけたの！さぁ、プリンをよこせなのーーー！！！
vo_adv_2111002_017.m4a|そうなの～シノブはいっつもアテにならないの～
vo_adv_2111002_052.m4a|見つけられたのは、ミヤコたちのおかげなの～！お礼はプリン100個でいいの！
vo_adv_2111002_074.m4a|ミヤコたちが叩きのめしてやるの！観念してプリンになるといいの～♪
vo_adv_2111003_025.m4a|オマエたち、ミヤコを置いていくななのー！
vo_adv_2111003_050.m4a|なるほどなの！食べられるプリンの量が増えるかもなの～！
vo_adv_2111003_055.m4a|そうなの！勝ってあいつを、一生プリン奴隷にしてやるの～！
vo_adv_2111003_065.m4a|あっ！これ、ミヤコが絶対勝てるやつなの♪
vo_adv_2111003_071.m4a|ごめんなさいなの～あと、このプリンおいしいの～♪
vo_adv_2111007_003.m4a|シノブ～！　{player}～！心配させるななの！　おかえりなの！
vo_adv_2111007_026.m4a|せんとーき……？
vo_adv_2111007_045.m4a|問題ないの！ヨリがあんなやつやっつけるの！ぼっこぼこなのー♪
vo_adv_2111007_086.m4a|……？オマエ、なに言ってるの？今の勝負はどう見てもヨリの勝ちだったの。
vo_adv_2111007_088.m4a|しーらーなーいーのー！さっさと負けを認めて、賭けてたプリンをよこせなの～っ！
vo_adv_2111007_090.m4a|ツベコベうるさいの！と～りゃ～～！
vo_adv_2111007_093.m4a|ふっふーん♪　ミヤコは見てたの！コイツさっきの縄跳びのとき、このガマグチからプリン出してたの！きっとまだあるの！　もっともっとよこせなの～っ♪
vo_adv_2111008_010.m4a|『プリン♪　プリン♪　プリンをよこせなの～っ！』
vo_adv_2111008_017.m4a|も～、なんでオマエたちが出てくるの！？プリンじゃないの！
vo_adv_2111008_019.m4a|へっ？よくわからないけど……感謝はプリンで示せなの♪
vo_adv_2111008_050.m4a|よくわからないけど、オマエかわいそーなやつなの！遊びはヘタだし、きっとプリンのおいしさも知らないの～！
vo_adv_2111008_054.m4a|ひゃんっ！やめろなのぉ～っ！
vo_adv_2111008_057.m4a|なんでミヤコを狙うのっ～！こうなったら逃げてやるの～！
vo_adv_2111009_009.m4a|ぜんぶミヤコのお手柄なの！はやくプリンのお礼をするの～♪
vo_adv_2111009_073.m4a|やってられないの！また逃げちゃえばいいの～っ！
vo_adv_2111010_101.m4a|また仲間を呼ぶ気なの？懲りないやつなの～どんな助けが来たって、無敵のミヤコに勝てるはずがないの♪
vo_adv_2111010_103.m4a|──へ？
vo_adv_2111010_129.m4a|イリヤ！がんばれーなの！
vo_adv_2111010_137.m4a|ぴゃああんっ！！
