vo_adv_1168001_000.m4a|『タマキのたい焼き屋』、開店にゃ！食後のおやつに一ついかがかにゃ～？
vo_adv_1222001_012.m4a|にゃにゃにゃにゃっ！？それは勘弁してほしいにゃ！　退屈すぎて死んじゃうのにゃ！
vo_adv_1222001_014.m4a|にゃう～……やぶ蛇だったにゃ～……まあ外回りのほうがお役所に行くより、まだマシかにゃ……
vo_adv_1222001_017.m4a|慰安旅行！？　バカンス！？　な、なんて甘美な響きにゃ……それなら外回りぐらいお安い御用にゃ！　行ってくるにゃ～！
vo_adv_5068002_037.m4a|にゃっはっはーーっ！
vo_adv_5068002_038.m4a|今日からお世話になるタマキにゃ！頑張って働いて、この工場で素晴らしいたい焼きを作るにゃ～！
vo_adv_5068002_039.m4a|それじゃあ挨拶代わりに、あたしが作ったたい焼きを配るにゃ！はい、どうぞ〜！　遠慮なく受け取るにゃ〜！
vo_adv_5068002_040.m4a|ここで経験を積んだら、もっともっと改良するつもりにゃ！というわけで、みんなよろしくにゃ～っ！
vo_adv_5068002_042.m4a|にゃにゃにゃっ！？　どうしてミフユたちがいるにゃ！？それにたい焼き工場でもないにゃっ〜！？
vo_adv_5068002_044.m4a|えっと、アキノに言われて工場で働くことになったにゃ。ギルドのお金で建てたたい焼き工場が大爆発した件でちょっとにゃ……
vo_adv_5068002_046.m4a|早くリベンジしたくて、アキノにもう一回工場を作りたいって言ったにゃ！
vo_adv_5068002_047.m4a|でも、あの件で工場運営のノウハウがないってことが分かったから、まずは働いて学べって。それで技術研修の手続きをしてもらったにゃ。
vo_adv_5068002_048.m4a|そしたらたい焼き工場じゃない上に、ミフユまでいるにゃ！どうしてこんなことになったにゃー！
vo_adv_5068002_051.m4a|紙の上でも方向音痴を発揮するだなんてにゃ……
vo_adv_5068002_053.m4a|……にゃ？
vo_adv_5068002_055.m4a|……にゃにゃ？
vo_adv_5068002_057.m4a|ちょっと待つにゃ、ミフユ。あたし、30秒後にはもうおもちゃ作ってる展開かにゃ？
vo_adv_5068002_061.m4a|そんなこと言われても困るにゃ！あたしにはあたしの──
vo_adv_5068002_066.m4a|ひぃっ……
vo_adv_5068002_067.m4a|はあ〜〜……
vo_adv_5068002_068.m4a|さっきのミフユ……目の奥が笑ってなかったにゃ……ドラゴンもすくみ上がる、ドラゴンスレイヤーの睨みだったにゃ……
vo_adv_5068002_070.m4a|ん、なんだにゃ？
vo_adv_5068002_073.m4a|うん、こちらこそよろしくにゃ！アオイも、{player}の知り合いなんだにゃ？
vo_adv_5068002_075.m4a|ＢＢ団……？
vo_adv_5068002_076.m4a|ＢＢって何にゃ？　何かの略かにゃ？Ｂ、Ｂ……Ｂ……ぼったくり、ビジネス……！？
vo_adv_5068002_077.m4a|いやまさかにゃ！{player}がそんなことするわけないにゃ！
vo_adv_5068002_078.m4a|それにアオイだって、どこからどう見ても森で育った純朴エルフっ子って感じにゃ！
vo_adv_5068002_079.m4a|でも、もしぼったくりビジネス団なら、あたしは……！あたしはファントムキャッツとして、やるしかないにゃ……っ！
vo_adv_5068002_081.m4a|にゃにゃにゃっ！？　なんでもないにゃ！
vo_adv_5068002_084.m4a|にゃ？　ビジネスの話はどうしたにゃ？
vo_adv_5068002_088.m4a|分かったにゃ！おもちゃ作りの熱意、確かに受け取ったにゃ！
vo_adv_5068002_089.m4a|あたしも、最高に美味しいたい焼きを作るっていう夢があるにゃ。だから、アオイの気持ちも応援するにゃ！　勘違いしてて悪かったにゃ！
vo_adv_5068002_091.m4a|ああいや、なんでもないにゃ！　こっちの話にゃ！説明してくれてありがとにゃ！　それじゃ持ち場につくにゃ～！
vo_adv_5068002_107.m4a|うにゃっ！？　なんて細かいパーツなんだにゃ……でもこれはこうしてっと……
vo_adv_5068002_108.m4a|うん、いい感じにゃ！ミフユ、どうかにゃ？
vo_adv_5068002_110.m4a|にゃっはっは！これくらい、あたしにかかれば朝飯前にゃー！
vo_adv_5068002_112.m4a|あ～……えっと、それは～……
vo_adv_5068002_114.m4a|鍵がない金庫とかを開けたりとかしてたら、その～……
vo_adv_5068002_116.m4a|そ、そういうことにしておくにゃ！
vo_adv_5068002_117.m4a|あ、危なかったにゃ……あの純粋な瞳で見つめられたら嘘もつけないし、かといって本当のことも言えないにゃ……
vo_adv_5068002_119.m4a|どんとこいにゃ！　たい焼き工場のために、あたしも本気出すにゃ！これは猫の気まぐれじゃないにゃー！
vo_adv_5068002_121.m4a|98……
vo_adv_5068002_126.m4a|最初の一体を梱包してみたけど、なかなかいい感じにゃ！おもちゃ作りも楽しいにゃ！
vo_adv_5068002_128.m4a|たい焼き作りに応用できそうな技術もあったし、たまには違うことをやってみるのも面白いにゃ！
vo_adv_5068002_129.m4a|そうだ！このおもちゃは、実はたい焼きが好きだったってことにするにゃ。
vo_adv_5068002_130.m4a|それで、小さなたい焼きのアイテムも付属するのはどうかにゃ？
vo_adv_5068002_132.m4a|くう〜……もっと早くに思い付いておけば良かったにゃ……
vo_adv_5068002_133.m4a|まあいいにゃ。いつか絶対たい焼きのおもちゃを作ってみせるにゃ！
vo_adv_5068002_153.m4a|にゃはは！たい焼きの味はどうかにゃ？
vo_adv_5068002_155.m4a|そうにゃ、そうにゃー？ケータリングとしてたっくさん納品して正解だったにゃ！もちろん追加注文も受け付けるにゃ！
vo_adv_5068002_157.m4a|ほほ～？なら、社食のおやつとしてどうかにゃ？　毎日お昼に搬入するにゃ！
vo_adv_5068002_160.m4a|そうこなくっちゃにゃ！　今なら特別にお安くしとくにゃ～！
vo_adv_5068002_161.m4a|にゃははっ！携帯式たい焼きメーカーを持ってきて、大正解だったにゃ〜！
vo_adv_5068002_162.m4a|……けど、毎日バイトしながらみんなの分のたい焼きを作るとなると、なかなか大変だにゃ……猫の手も借りたいくらいにゃ。
vo_adv_5068002_163.m4a|……そうにゃ！工場の技術を応用して、たい焼きメーカーを改良するにゃ！
vo_adv_5068002_164.m4a|短時間でこの大人数に提供するために、もっともっと効率的に焼けるようにしてみるにゃ！もちろん、おいしさはそのままにゃ〜！
vo_adv_5068002_165.m4a|それをバイトの成果としてアキノに報告すれば、きっとたい焼き工場再建に一歩前進できるはずにゃ！
vo_adv_5068002_166.m4a|よーし、頑張るにゃ〜！
vo_adv_5068003_000.m4a|ほれほれ、もっと食べるにゃ～！追いたい焼きするにゃ～！　サービスするにゃ～！
vo_adv_5068003_018.m4a|うん。やっぱりみんなで同時に変な夢でも見てる気がするにゃ。さ、みんな。たい焼きでも食べて正気に戻るにゃ。
vo_adv_5068003_020.m4a|いやだからって、おもちゃが喋って動く理由にはならないにゃ……
vo_adv_5068003_031.m4a|たしかにそうにゃ。機械の音で聞こえなかったとかかにゃ……？でもそれならどうしてアオイだけが気付いたにゃ？
vo_adv_5068003_033.m4a|……にゃ？
vo_adv_5068003_042.m4a|ちょっと何言ってるかよく分からないにゃ。
vo_adv_5068003_073.m4a|にゃはは！　アオイのお手柄だにゃ！労いのたい焼きをあげるにゃ！
vo_adv_5068003_138.m4a|それ何にゃ？　変な名前にゃ……
vo_adv_5068003_140.m4a|ミフユの美的センスはよく分からないにゃ。あたしは、魚なら鯛一択にゃ。
vo_adv_5068004_004.m4a|さーて、そろそろ昼休みにゃ！今日もたい焼きの準備はバッチリ──
vo_adv_5068004_007.m4a|にゃにゃにゃっ！？
vo_adv_5068004_037.m4a|アオイ！　あたしのたい焼きを食べて落ち着くにゃ！
vo_adv_5068004_039.m4a|よーく聞くにゃ！
vo_adv_5068004_040.m4a|あたしは、おもちゃのことはよく分からないにゃ。けど、子どもに夢を与える物だってことくらいは知ってるにゃ。
vo_adv_5068004_041.m4a|あたしが作りたいたい焼きも同じにゃ。本物のたい焼きは、あんこじゃなく夢が詰まってるんだにゃ！
vo_adv_5068004_042.m4a|暴れてるっていう『トイキングJr.』をこのままにして、子どもたちがケガでもしたら、そんな夢が壊れてしまうにゃ……
vo_adv_5068004_043.m4a|だから、子どもたちのために早く行くにゃ！今はじっとしてても、どうにもならないにゃ！　根性みせるにゃ！
vo_adv_5068004_045.m4a|ふふん、当然にゃ！　あたしは、やればできる猫なんだにゃ！
vo_adv_5068004_048.m4a|任せたにゃ！　頼りにしてるにゃ！
vo_adv_5068004_049.m4a|さて、あたしは工場に残るにゃ。工場長も慌ててるし、押しかけてくる人もきっと増えるはずにゃ。
vo_adv_5068004_050.m4a|それに、もし『トイキングJr.』が壊れておかしくなってるなら、修理しなきゃいけないにゃ。工場はあたしが守るにゃ！
vo_adv_5068007_010.m4a|アオイ、工場はこの通りなんともないにゃ。トイキングたちの修理は今すぐにでも始められるにゃ！
vo_adv_5068007_011.m4a|もちろん、『みんなのトイフレンドくん』たちもにゃ！みんなにも、待ってる子どもたちがいるからにゃ！
vo_adv_5068007_029.m4a|あたしも付き合うにゃ！もうちょっとたい焼きメーカーの改良をしたいし、まだまだ工場で学びたいこともあるにゃ！
vo_adv_5068007_030.m4a|それに……なんてったって、たい焼きの売れ行きもいいしにゃ。にゃふふ……
vo_adv_5068007_032.m4a|き、聞こえてたにゃっ！？さ、さあ待ってる子どもたちのために、もう一踏ん張りにゃ～！
vo_adv_5068007_040.m4a|おわびにたい焼きもあげるにゃ！
vo_adv_5068007_050.m4a|あたしも工場のノウハウを学べたし、やりきったにゃ！たい焼きメーカーもアップグレードできたにゃ！
vo_adv_5068007_051.m4a|これでアキノのところに帰れるにゃー！ようやく、たい焼き工場のリベンジができるにゃーー！！
vo_adv_5068007_061.m4a|にゃはは！　ミフユがフラれたにゃ！
vo_adv_5068007_062.m4a|ねえアオイ。
vo_adv_5068007_064.m4a|あたしは、いつかでっかいたい焼き工場を作ろうと思ってるにゃ。その時には、マイフレンドくんの顔をしたたい焼きを作っていいかにゃ？
vo_adv_5068007_065.m4a|愛嬌のある顔してるし、子ども受けもいいはずだにゃ。もちろん、利益の一部はバックするにゃ。
vo_adv_5068007_066.m4a|悪い話じゃないと思うけど、どうかにゃ？いわゆる、ビジネスパートナーってやつにゃ！
vo_adv_5068007_074.m4a|気をつけて帰るにゃ！
vo_adv_5068101_012.m4a|あたしに任せるにゃ！　猫の手を貸してあげるにゃっ！
vo_adv_5068401_000.m4a|にゃはは〜ん？　キミ、猫の手も借りたいって顔してるにゃ？仕方ないにゃ〜……できる猫が、特別に協力してあげるにゃ！
vo_adv_5068411_001.m4a|いろいろあったけど、たい焼き工場の再建に一歩近づいた気がするにゃ！たまには、汗水流して働くのも悪くなかったにゃ〜！
vo_adv_5084642_000.m4a|むぅ……いつまで眠ってるつもりにゃ。猫でもさすがに寝飽きて起きてる頃にゃ。
vo_adv_5084642_001.m4a|あたしが世話するのは普通の猫だけで充分にゃ。あいつには私の世話をしてもらわないと困るにゃ。
vo_adv_5084642_002.m4a|でも……今回ばかりは{player}の世話を焼いてやるにゃ。これまでの恩返しもしなきゃいけないしにゃ。キミには返しても返し切れない恩があるし……
vo_adv_5085002_000.m4a|たい焼き、ここに置いておくにゃ。冷めてもおいしいけど、温かいのが一番にゃ。早く起きて食べるといいにゃ。……お代は後で回収にくるにゃ。
vo_adv_5085002_005.m4a|日頃の行いにゃ。
vo_adv_5090003_127.m4a|……ん？　なんか向こうが騒がしいにゃ？
vo_adv_5090003_129.m4a|……うにゃ～！？なんなのにゃ、それ！？　聞いてないにゃ～！？
vo_adv_5094001_113.m4a|……まさか、誘拐されちゃったにゃっ！？
vo_adv_5094001_116.m4a|先週までは仕事をしてたにゃ。それからユカリのことだから、仕事帰りに飲食店に寄ったと思うにゃ。
vo_adv_5094001_117.m4a|けど、そこからの足取りが掴めないにゃ！ユカリがいないせいで、あたしたちはてんてこまいにゃ！
vo_adv_7020000_000.m4a|ついに来たにゃ、ルナの塔！　この物々しい雰囲気、あたしの尻尾がここなら間違いないとビンビン反応してるにゃ！
vo_adv_7020000_004.m4a|通りすがりのとこをいきなり連れてきたのは悪かったにゃ。実はこの塔にはとんでもないお宝があるという噂を聞いたのにゃ。
vo_adv_7020000_005.m4a|それこそが究極のたい焼きの食材に違いないにゃ。でも、あたしはこの塔のことはよく知らないにゃ。
vo_adv_7020000_006.m4a|だからマヒルに塔に詳しい人知らにゃいかと尋ねたら、キミなら適任だって言われたのにゃ。
vo_adv_7020000_010.m4a|さあ、立ち話してる暇はないにゃ！こうしてる間にも食材を横取りされてしまうかもしれないにゃ。
vo_adv_7020000_011.m4a|その疑いの目は何かにゃ？もしかしてたい焼きの食材探しをするのはあたしくらいだと思ってるにゃ？
vo_adv_7020000_012.m4a|甘い甘いにゃ！　究極のたい焼きの価値は金銀財宝に等しいにゃ！世界中の盗賊や冒険者に日夜狙われてるに決まってるのにゃ！
vo_adv_7020000_014.m4a|この塔の経験者だからにゃ。塔の危なさを知ってるからだと思うけど、問題ないにゃ！
vo_adv_7020000_017.m4a|仕方のないヤツだにゃ。それじゃあ手伝ってくれた報酬に究極のたい焼きを一番に食わせてやるにゃ！
vo_adv_7020000_018.m4a|ふふん、これでやる気が出てきたにゃ？返事は聞かないにゃ。それじゃあ出発にゃ！
vo_adv_7020001_000.m4a|にゃにゃにゃ！　塔の中はさらにお宝の気配が強くなったにゃ！究極のたい焼きはもう目の前にゃ！
vo_adv_7020001_003.m4a|愚問だにゃ{player}。たい焼きに合う飲み物は何か？　答えは牛乳にゃ！それ以上の理由が必要かにゃ？
vo_adv_7020001_005.m4a|【牧場（エリザベスパーク）】の牛乳は、まさに探し求めていた逸品だったにゃ！
vo_adv_7020001_006.m4a|クリームにしておいしいのはもちろん、たい焼きと一緒に飲んでも最高にベストマッチだったのにゃ！
vo_adv_7020001_007.m4a|たい焼きの可能性を広げてくれる人は信頼できるにゃ。だから新作の試食とかをお願いするうちに仲良くなったにゃ。
vo_adv_7020001_009.m4a|そう言ってもらえるとたい焼き屋冥利に尽きるにゃ。でも、あたしはこれで満足はしてないにゃ。
vo_adv_7020001_010.m4a|カスタードのたい焼きもいいけど、【牧場（エリザベスパーク）】の牛乳に見合うオリジナリティあふれるたい焼きを作りたいにゃ！
vo_adv_7020001_011.m4a|ギルドからの出資はあっても、商品の品質に関しては全てあたしの責任だからにゃ。
vo_adv_7020001_012.m4a|普通においしいたい焼きを売るだけの時代は終わりにゃ。だから塔に登って、究極のたい焼きの食材を手に入れるのにゃ！
vo_adv_7020001_013.m4a|たい焼きのためならあたしは手段を選ばないのにゃ！
vo_adv_7020001_021.m4a|心外だにゃ！　あたしはいつも大真面目にゃ！お笑いのネタにしないでにゃー！
vo_adv_7020002_001.m4a|援護するにゃ！　はぁっ！
vo_adv_7020002_003.m4a|いいともにゃ！うにゃー！
vo_adv_7020002_004.m4a|にゃはは、大勝利にゃ♪
vo_adv_7020002_005.m4a|当然にゃ！　たい焼きと牛乳の組み合わせみたいにあたしらのコンビは最高にゃ！
vo_adv_7020002_006.m4a|マヒルもそう思うにゃ？
vo_adv_7020002_008.m4a|マヒル？も、もしかして怪我でもしたのかにゃ？
vo_adv_7020002_020.m4a|うにゃー！
vo_adv_7020002_021.m4a|頭に虫が止まってたから追っ払ったのにゃ。感謝するがいいにゃ。
vo_adv_7020002_024.m4a|にゃにゃ！　今あそこで何か動いたにゃ！あれこそ究極の食材に違いないにゃ！
vo_adv_7020002_025.m4a|絶対に逃がさないにゃー！
vo_adv_7020003_001.m4a|……ない……
vo_adv_7020003_003.m4a|にゃー！　たい焼きの食材が全然見つからないにゃー！あずきや砂糖を落とす魔物の一匹や二匹出てくるにゃー！
vo_adv_7020003_005.m4a|何の成果も上げられずに帰るなんてできないにゃ！せめてあずきや砂糖に代わる食材が見つけられれば……ん？これは……いける、かもしれないにゃ……
vo_adv_7020003_007.m4a|そのまさかにゃ。魔物を食材にしたたい焼きを作るにゃ！
vo_adv_7020003_010.m4a|キミならそう言うと思ったにゃ。たい焼きの具の可能性は無限大！　ものは試しにゃ！にゃにゃにゃにゃにゃー！
vo_adv_7020003_012.m4a|できたにゃ！　即興魔物たい焼き、めしあがれにゃ！
vo_adv_7020003_014.m4a|にゃはは！　これがたい焼きの底力にゃ！……まさか、これが探していた食材……？
vo_adv_7020003_015.m4a|にゃにゃにゃんと！究極のたい焼きはここにあったのにゃー！
vo_adv_7020003_017.m4a|……たい焼きの可能性を下方修正するにゃ！手軽に食べられるおやつ感こそがたい焼きの本質、そこだけは譲っちゃダメなのにゃ！
vo_adv_7020003_018.m4a|……でも、砂糖を足せばおやつっぽくならないかにゃ？
vo_adv_7020003_020.m4a|うぅ、仕方ない、魔物たい焼きは諦めるにゃ。けど、まだまだ塔は続いてるにゃ！こんな所で妥協してちゃいけないってことにゃ！
vo_adv_7020003_021.m4a|未知の食材があたしを呼んでるにゃー！
vo_adv_7020004_000.m4a|もう、おまえらしつこいにゃ！
vo_adv_7020004_001.m4a|まったく、襲ってくるならせめてたい焼きの材料を持って襲ってくるにゃ。
vo_adv_7020004_003.m4a|こ、これにゃ！　ピーンときたにゃ！これを使えばおいしいたい焼きが作れるはずにゃー！
vo_adv_7020004_005.m4a|──できたにゃ！　特製ナッツ入りたい焼きにゃ！ささ、熱いうちに食べるにゃ。
vo_adv_7020004_006.m4a|やったにゃ！　あたしの目に狂いはなかったにゃ！マヒル、どうかにゃ？
vo_adv_7020004_009.m4a|いや、マヒルの言う通りにゃ！さすがあの素晴らしい牛乳を作る牧場主、その言葉、心に響いたにゃ！
vo_adv_7020004_010.m4a|ここで妥協してたら究極のたい焼きなんて夢のまた夢にゃ。ナッツを落とす魔物が出てくるんだから砂糖やあずきを落とす魔物だっているかもしれないにゃ！
vo_adv_7020004_011.m4a|こんな所でぼさっとしてる暇はないにゃ！行くにゃ行くにゃ行くにゃー！
vo_adv_7020004_014.m4a|うーん、魚介系たい焼き、野菜系たい焼き、そして薬草系たい焼き。
vo_adv_7020004_015.m4a|手当たり次第試してみたけど、まだまだ究極のたい焼きには程遠いにゃ。
vo_adv_7020004_016.m4a|半端なおいしさはいらないにゃ。食べた瞬間に口から光があふれ出すようなたい焼きを目指すにゃ！
vo_adv_7020004_019.m4a|そ、そんにゃ……！ごめんにゃマヒル、あたしのせいで……
vo_adv_7020004_022.m4a|マヒル……恩にきるにゃ。それじゃあ二人の力、見せつけてやるにゃ！
vo_adv_7020004_023.m4a|やった、やったにゃー！　魔物の大群を倒したにゃ！
vo_adv_7020004_025.m4a|ギルドの仲間以外でこんなに息が合う人がいるにゃんて……やっぱり食材探しにはマヒルの力が欠かせないにゃ。
vo_adv_7020004_028.m4a|そうだにゃ、マヒル。
vo_adv_7020005_001.m4a|苦労したわりにこいつもたい焼きには使えそうにないにゃ……これじゃあ新しいたい焼きが作れない……んにゃ？
vo_adv_7020005_002.m4a|今何か光ったような……って、なんだ、ただの石にゃ。いくらキレイでも石ころじゃおいしいたい焼きは作れないにゃ。
vo_adv_7020005_003.m4a|んにゃ？　この石がどうかしたのかにゃ？
vo_adv_7020005_005.m4a|え？　な、なんなのにゃこれは！　うにゃー！
vo_adv_7020005_060.m4a|ん……にゃ……あれ、あたしたちなんでこんなところで寝てるにゃ？
vo_adv_7020005_062.m4a|にゃんと！　マヒルも見てたのかにゃ！一体何なのにゃあれは……
vo_adv_7020005_063.m4a|ど、どういうことにゃ？　詳しく話すにゃ。
vo_adv_7020005_065.m4a|うにゃー！　なんでそんな大事なことを先に言わないのにゃ！たい焼き作りよりよっぽど重要なことにゃ！
vo_adv_7020005_066.m4a|材料探しは一時中断して、記憶探しに行くにゃ！
vo_adv_7020005_068.m4a|……それもそうだにゃ。たい焼きの材料を見つけられなかったけどキミの記憶の手がかりが見つかったのはよかったにゃ。
vo_adv_7020005_069.m4a|それに、すごく楽しかったから満足にゃ！
vo_adv_7020005_071.m4a|夢の中でも言った気がするけど、お笑いはやらないにゃ！？
vo_adv_7020005_072.m4a|……でもまあ、たい焼き作りに協力してくれるなら、ネタだしくらいは付き合うにゃ。
vo_adv_9004004_009.m4a|ずっと一人でいると思ったら、そんなことで悩んでたのかにゃ？
vo_adv_9004004_012.m4a|アオイがラップしてたところからにゃ。
vo_adv_9004004_024.m4a|そうにゃそうにゃ！ここにいるみんなアオイの友達なのに、水くさすぎるにゃ！
vo_adv_9005005_008.m4a|でもあたしたちが止めなくていいからいつもより楽にゃ。アキノと視察に出ると疲れるからにゃ～
vo_adv_9005005_016.m4a|了解にゃ。とりあえず水でもぶっかけておくにゃ。
