vo_adv_1175001_003.m4a|ふぅん……こうなるとは思っていたけれど……想像以上の混雑っぷりね。
vo_adv_5074002_081.m4a|それでユキ、って言ったわね。今日はどうしたのかしら？見たところうっとうしいくらい健康的だけど。
vo_adv_5074002_083.m4a|……どうしてかしら、患者を100人診察するよりずっと疲れるわ。それで、どこが悪いのかしら。頭の悪さなら専門外だけど？
vo_adv_5074002_085.m4a|……たしかに、小さなニキビがあるけど、え？　これだけ？
vo_adv_5074002_086.m4a|なるほど。君も大変ね。
vo_adv_5074002_088.m4a|そのくらいのニキビなら、放っておくのが一番よ。注意すべきはあまり患部に触れないことね。
vo_adv_5074002_090.m4a|それは由々しき問題ね。それじゃあニキビ用の塗り薬を一月分出すわ。一日数回、適量を患部に塗りなさい。
vo_adv_5074002_091.m4a|あとはそうね、時間があるときに鏡を見ながら治れって念じなさい。昔から言うでしょ？　病は気からって。
vo_adv_5074002_093.m4a|本当は薬だけで十分だけど、ああ言っておけばここに来ないでしょ？
vo_adv_5074002_095.m4a|目の？　それは心配ね。どんな調子なの？
vo_adv_5074002_097.m4a|それは単に体調の悪い人なのでは？
vo_adv_5074002_099.m4a|よく分からないけど、診てみましょうか。……大丈夫、特に異常はないわね。もしかしたら精神的なものかもしれないから、少し様子を見ましょう。
vo_adv_5074002_100.m4a|……何か引っかかるわ。注意深く観察していった方がよさそうね。
vo_adv_5074002_103.m4a|謹んで遠慮させてもらうわ。
vo_adv_5074002_105.m4a|これはなかなか厄介な事案だわ……
vo_adv_5074002_109.m4a|……そうね。何か問題でも起きたみたい。悪いけど今日の診察はここまでよ。
vo_adv_5074002_116.m4a|これは……呪われた魔道具による呪詛汚染ね。普通の外科手術じゃ対処できないわ。
vo_adv_5074002_118.m4a|この病院で呪いの症例に対応できる医者は？
vo_adv_5074002_120.m4a|分かったわ。今すぐ手術の準備を。私が執刀するわ。
vo_adv_5074002_122.m4a|だったらその院長をすぐに呼んできてくれる？探している間も患者の命の刻限は減り続けているのよ。
vo_adv_5074002_124.m4a|患者は意識を失ってる。もう時間がないわ。全ては私が責任をとる、だから早く準備しなさい！
vo_adv_5074002_126.m4a|さあ、私たちも行きましょう。大丈夫、どんな病も私の隻眼からは逃れられないわ。
vo_adv_5074002_127.m4a|ふぅ、なかなか歯ごたえのある手術だったわね。
vo_adv_5074002_129.m4a|愚問ね。呪詛は完全に切除したわ。何日か経過観察は必要だけど、命の危機は脱したわ。
vo_adv_5074002_134.m4a|あまり彼らを責めないでほしいわね。他の大きな病院だって対応できる医者はまずいないわよ。
vo_adv_5074002_139.m4a|あらあら、二人きりにされてどんなお叱りを受けるのかしら？怖い怖い♪
vo_adv_5074002_141.m4a|はて、何のことかしら？
vo_adv_5074002_143.m4a|それで、私はクビにされちゃうのかしら？
vo_adv_5074002_146.m4a|それは研究者としてうれしい申し出だわ。でも、もし院長の不興を買ってしまったら？
vo_adv_5074002_148.m4a|そうね、気を付けるわ。
vo_adv_5074003_000.m4a|やれやれ、もうこんな時間だわ。診察室から出られるようになったのはいいけど、立て続けに手術をさせられるとはね。
vo_adv_5074003_001.m4a|あの院長、完全に私を使い潰す気みたいね。
vo_adv_5074003_002.m4a|全く問題ないわ。ギルドメンバーの相手をするのに比べたら、ここでの仕事はレジャーみたいなものよ。
vo_adv_5074003_003.m4a|ただ、問題は別にあるわね。
vo_adv_5074003_004.m4a|そう、そこがネックね。ここに来る患者から色々話は聞けたけど、肝心の親分に繋がる情報は得られてないわ。
vo_adv_5074003_005.m4a|調査に割ける人手が足りてないのが問題だけど、残念ながらこういう時に頼れる人材に当てがないのよね。
vo_adv_5074003_006.m4a|【トワイライトキャラバン】のメンバーじゃ、能力、そして人格共に極端すぎるし。最悪君の知り合いを呼んでもらうことも考えなきゃね。
vo_adv_5074003_007.m4a|……それってもしかして、君と同じオーエド町の英雄の？あの子、あまり諜報活動には向いてなさそうだけど……
vo_adv_5074003_009.m4a|この声はもしかして……そういえばまた来るとか言ってたわね。すっかり忘れてたわ。
vo_adv_5074003_010.m4a|ユキ、残念ながらあなたの相手は専門外なの。他をあたってもらえるかしら？
vo_adv_5074003_012.m4a|せっかくの申し出ありがたいけど、人手は足りてるのよ。
vo_adv_5074003_015.m4a|こちらの忙しさはバレているわけね。でも解せないわね。私を手伝うなんてどういうつもりなのかしら？
vo_adv_5074003_016.m4a|あなたのことはよく知らないけど、世のため人のため、労働に奉仕するような人間じゃないでしょ？
vo_adv_5074003_018.m4a|その欲望を隠さない裏表のなさ、嫌いじゃないわね。あなた【トワイライトキャラバン】向きよ。
vo_adv_5074003_020.m4a|あなたの目的は分かったわ。でも、私たちは別に慈善事業に来たわけじゃない。とある目的でこの病院に潜入中なの。
vo_adv_5074003_021.m4a|真相に近づけば近づくほど、危険な目に遭う可能性も十分考えられるのよ？
vo_adv_5074003_024.m4a|……いっそ清々しいわね。これ以上の問答はさすがに面倒だわ。それじゃあ一つ手を貸してもらおうかしら。
vo_adv_5074003_026.m4a|今から病室を回って入院患者にあなたの美しさを見せてきなさい。そしてついでに世間話でもしてくればいいわ。
vo_adv_5074003_029.m4a|あれしかないのよ。あの子は看護師じゃないし、あの子に一般的な看護師の仕事なんて期待していないわ。
vo_adv_5074003_030.m4a|でも、あの子にしかできないことはあるかもしれない。……まあ、過度な期待はせずに待ちましょう。
vo_adv_5074003_080.m4a|ええ、正直ここまでやってくれるとは思わなかったわ。
vo_adv_5074003_081.m4a|それが大事なの。世間話には日々の些細な気付きやうそ偽りのない本音や興味深い話題が表れるものよ。
vo_adv_5074003_082.m4a|そしてそういうものに探し求める真実が潜んでいるの。ユキがそれを上手いこと引き出してくれたわ。
vo_adv_5074003_083.m4a|それじゃあ、私たちも行きましょうか。
vo_adv_5074004_000.m4a|ここが例の部屋ね。ふーん、ぱっと見怪しいところはないわね。
vo_adv_5074004_002.m4a|その子が見たのが本当に幽霊かどうかは問題じゃないわ。重要なのはこの部屋に何かあるってことよ。
vo_adv_5074004_003.m4a|子どもの直感って案外侮れないし、些細な違和感を見逃さないのは医者の最重要スキルよ。
vo_adv_5074004_007.m4a|なるほど、これは幽霊だと勘違いもするわね。ええと、このあたりから聞こえてきたけど……
vo_adv_5074004_009.m4a|……ビンゴ。ついに見つけたわ。お手柄よユキ。
vo_adv_5074004_010.m4a|見た目はね。でもここはしっかり魔力反応があるわ。病院の、それもこんな空き室になぜ？　それはね──
vo_adv_5074004_012.m4a|隠し扉ね。魔法で巧妙に隠していたみたいだけど、子どもに見られたこと、そして私がここに居たのが運の尽きね。
vo_adv_5074004_013.m4a|さあ、入るわよ。鬼か蛇かそれとも……ふふ、何が出るか楽しみだわ。
vo_adv_5074004_014.m4a|ここは……どうやら隠し病棟みたいね。こんなの裏で何かやってますって言ってるようなものだわ。
vo_adv_5074004_017.m4a|ええ、幽霊なんかじゃない。これは人間のうめき声ね。さあ、いよいよ捜し求めた人と感動のご対面──
vo_adv_5074004_019.m4a|ビックリした……いきなり大声出してどうしたの？
vo_adv_5074004_021.m4a|私もよ。もしかして前に言っていた目の異常なの？それが親分に顕著に表れるのはいったい……
vo_adv_5074004_022.m4a|これって案外目の異常なんかじゃなくて、ユキだけが感知できる審美眼的な何か、なのかもしれないわね。
vo_adv_5074004_028.m4a|あら、まだ寝ぼけているのかしら？残念ながら人違いよ。私はミツキ、見てのとおり医者よ。
vo_adv_5074004_031.m4a|院長はいないわ。私たちはあなたの一家の人に頼まれて来たの。あなたを助けてほしいってね。
vo_adv_5074004_032.m4a|いきなり連れていかれて、会うこともできないって泣きつかれたわ。さあ、帰りましょう。
vo_adv_5074004_035.m4a|なぜ？　こんな所に隔離されて、親しい人間からも引き離されて、一体あの院長のどこを信用しているの？
vo_adv_5074004_037.m4a|まあ初対面の者をいきなり信じろっていうのも難しいわよね。それじゃあせめて体を診させてもらえないかしら？
vo_adv_5074004_038.m4a|あなたと……それと、オーエド町の人たちが院長に何かされている可能性があるから。
vo_adv_5074004_040.m4a|いいえ、残念ながらまだよ。
vo_adv_5074004_042.m4a|ずいぶんと頑固ね。困ったものだわ。
vo_adv_5074004_053.m4a|ご飯？　病院食くらい出てるでしょ。
vo_adv_5074004_055.m4a|病人に天丼なんて医者としては止めるべきなんでしょうけど、今回は仕方ないわね。それくらいの融通はきかせるわ。
vo_adv_5074004_057.m4a|あら、そうなの？　それなら話が早いわ。さっそく手配しましょうか。
vo_adv_5074004_061.m4a|白々しいわね。無理やり連れ出してやろうかしら。
vo_adv_5074004_063.m4a|親分、回診の時間よ。
vo_adv_5074004_065.m4a|あなたに頼まれたものを用意しているわ。
vo_adv_5074004_067.m4a|いちいち言わなくても、あの子はしっかりとやり遂げるわ。だからあなたもせいぜいお礼の言葉でも考えておきなさい。
vo_adv_5074004_083.m4a|そう言うわりにはちゃんと全部食べるのね。
vo_adv_5074004_091.m4a|さて、今日はこれ以上はどうにもなりそうにないし、また明日出直しましょう。
vo_adv_5074004_093.m4a|当然よ。あなたがその気になるまで何度でも、ね♪
vo_adv_5074004_095.m4a|ええ、彼らの研修として回診に行くところよ。すごく手のかかる患者さんだから、いい経験になると思って。
vo_adv_5074004_096.m4a|あ、ちゃんと通常の仕事もこなしているから安心してちょうだい。
vo_adv_5074004_099.m4a|ええ、余裕があるときにじっくりと。
vo_adv_5074004_102.m4a|そうね……今のところはね。
vo_adv_5074004_106.m4a|今日は親切に教えてくれるのね？
vo_adv_5074004_133.m4a|私が手当てしたから大丈夫よ。それより食べてもらえるかしら？あなたのためにケガしてまで用意した、最高の食事よ。
vo_adv_5074004_135.m4a|あなた、とんでもない子に目をつけられたのよ？一度助けると決めたら絶対にあきらめない、とびきりのお人よしにね。
vo_adv_5074004_143.m4a|それで、今回はどうだったのかしら？
vo_adv_5074005_000.m4a|おはよう、親分。ごきげんいかがかしら？
vo_adv_5074005_002.m4a|まあ酷い。これでもか弱い乙女なのよ？　傷付いちゃうわ～
vo_adv_5074005_010.m4a|大人しく私の治療を受けてくれるなら、この子を止めてあげてもいいわよ。
vo_adv_5074005_012.m4a|本当に強情な人ね。
vo_adv_5074005_014.m4a|仕方ないわね。私は戻るから、二人ともしばらくかわいそうな頑固老人の相手をしてあげてね。
vo_adv_5074005_051.m4a|ふぅん。親分がそんなことを。
vo_adv_5074005_053.m4a|ああいう昔気質で真っすぐな人ほど、簡単には自分の考えを変えられないものなのよ。
vo_adv_5074005_055.m4a|可能かどうかでいえばもちろん可能よ。でもそう簡単な問題でもないわ。
vo_adv_5074005_056.m4a|なにしろ魔法で隠した病棟に閉じ込めておくくらいの相手よ？当然何らかの対策をしていると考えるべきね。
vo_adv_5074005_057.m4a|下手に強行手段にでたら、これまでの成果が台無しになりかねないわ。
vo_adv_5074005_059.m4a|そうね、こうなったら私が親分の主治医になるわ。そして治療して退院させる。これが一番近道ね。
vo_adv_5074005_061.m4a|すんなりいくとは思ってないわ。まずは交渉してみましょう。
vo_adv_5074005_062.m4a|院長。少しお話し、よろしいかしら？
vo_adv_5074005_064.m4a|それじゃあ単刀直入に。私にライドウ一家の親分の主治医をやらせてもらえないかしら？
vo_adv_5074005_066.m4a|みなまで言わせる気？あなたが彼を隠し病棟に閉じ込めていたことも知っているし、もう何度も会ってるのよ。
vo_adv_5074005_070.m4a|悪いけど、あなたに付き合っている暇は──
vo_adv_5074005_072.m4a|……まさか！
vo_adv_5074005_074.m4a|……やられた。どこかに移動させられたわね。
vo_adv_5074005_075.m4a|待ちなさい。闇雲に捜したところで見つかりはしないわ。ひとまず二人で情報を集めてきて。
vo_adv_5074005_076.m4a|親分の新たな居場所なら言うことないけど、院長や親分に関する情報ならなんでも構わないわ。
vo_adv_5074005_078.m4a|物事には順序ってものがあるわ。二人とも、調査は頼んだわよ。
vo_adv_5074005_080.m4a|ふふ、院長とはじっくりお話したいと思っていたの。同類として、ね？
vo_adv_5074005_107.m4a|おかえりなさい、二人とも。なにか手がかりはあった？
vo_adv_5074005_109.m4a|ごめんなさい、ちょっと野暮用でね。さっそくで悪いけど、集まった情報聞かせてもらえるかしら？
vo_adv_5074005_111.m4a|そうね。ねえユキ、あなたが言ってた、人の顔色が変に見えるっていう話だけど。
vo_adv_5074005_113.m4a|おそらくだけど、ユキの審美眼が患者の体に起きている異常を顔色の変化として視認したのよ。
vo_adv_5074005_114.m4a|あなたが異変を感じたのはオーエド町に来てから。老婦人や親分といった入院患者にもそれが見えた。
vo_adv_5074005_116.m4a|病院の全権を支配する院長。町中に配られた試供品。町人に表れる謎の症状。隔離された親分。
vo_adv_5074005_117.m4a|これらの要素から導き出される答え、それは──
vo_adv_5074005_118.m4a|オーエド町中が院長の実験台にされている。特にひどい顔色の親分は一層念入りにね。
vo_adv_5074005_120.m4a|……ひとまず今日はここまでにしましょう。引き続きあなたたちは調査をお願いするわ。
vo_adv_5074005_122.m4a|私にはまだやることがあるの。信じてるわよ、二人とも♪
vo_adv_5074005_153.m4a|ようこそ、お二人さん♪
vo_adv_5074006_001.m4a|おめでとう、院長。歴史的瞬間に立ち会えて光栄だわ。お手伝いした時間は短かったけど、これがどれほどの時間と研究を重ねてきたのかはよく分かるわ。
vo_adv_5074006_004.m4a|お褒めにあずかり光栄だわ。ところで、ここまでの報酬をいただいてもいいかしら？
vo_adv_5074006_006.m4a|ええ、お役に立ってみせるわ、院長♪
vo_adv_5074006_008.m4a|ふふ、そのまさかよ。前々から院長には声をかけていただいてたのよ。
vo_adv_5074006_009.m4a|最初は受けるつもりはなかったんだけど、私はやはり研究者、人助けよりも自分の好きなことをしたいの。
vo_adv_5074006_010.m4a|ここ数日、院長の研究をお手伝いしてより決意が固まったわ。ガラにもない人助けはもうお終いよ。
vo_adv_5074006_012.m4a|残念だけど、これが現実よ。オーエド町の英雄と呼ばれていても、中身はただの子どもね。
vo_adv_5074006_014.m4a|おしゃべりはそれくらいにしましょうか。大人しくしてなさい。
vo_adv_5074006_017.m4a|ごめんなさい院長。はあ。くだらない邪魔が入ったおかげでせっかく歴史的瞬間に立ち会えた興奮が台無しだわ。
vo_adv_5074006_019.m4a|まあ♪　さすが院長、懐が深いわね。さすが世界の支配者になるお方だわ。
vo_adv_5074006_023.m4a|優れた知性の前に人間も魔物も関係ないわ。けれども、人間の病院に入り込むなんて、ずいぶんと手間のかかる方法を選んだのね。
vo_adv_5074006_030.m4a|残念だわ、院長の研究のすばらしさを理解できないなんて。見た目の美しさよりおつむの方を磨くべきだったわね。
vo_adv_5074006_033.m4a|世界を変える知性の結晶……ああ、科学者としてこの場に立ち会えて、私は幸せ者だわ。
vo_adv_5074006_037.m4a|そういえば病院で健康食品をもらったって患者がいたけど、町人に表れた謎の症状も、院長の研究の過程で発生した副作用なのね？
vo_adv_5074006_041.m4a|……ねえ院長。ひとつ聞きたいんだけど、どうして親分に目を付けたの？有名人に手を出したらせっかくの研究が露見する可能性も高かったはずだけど？
vo_adv_5074006_048.m4a|ユキ。とても興味深いお話だったのに、水を差して……恥を知りなさい。
vo_adv_5074006_050.m4a|あなたたちは私という人間を分かってないわね。院長についていくと決めたんだから、それ以外のものは捨てる。それだけのことよ。
vo_adv_5074006_052.m4a|……本当に、困った子たちね。
vo_adv_5074006_054.m4a|ふふ、そうね……ああ、ひらめいたわ！院長。せっかくだし、進化薬の効果の検証をするのはどうかしら。この子たちを使って♪
vo_adv_5074006_058.m4a|ああ……進化薬、やっと見せてくれたわね。──この時を待ってたわ！
vo_adv_5074006_061.m4a|全部白状してくれてありがとう。あなたの悪事は全部この魔道具に録音済みよ。絵に描いたような三流悪役で面白かったわ。
vo_adv_5074006_062.m4a|さてと。この拘束はもういらないわね。外しておくわ。
vo_adv_5074006_064.m4a|あ、そろそろ時間ね。
vo_adv_5074006_066.m4a|設備に時限式の爆破魔法を仕掛けておいたの。これでもう薬の製造も量産もできないわ。
vo_adv_5074006_067.m4a|あとは証拠をまとめて【王宮騎士団（NIGHTMARE）】に渡して終了。あなたの復讐とやらもこれでおしまいよ。
vo_adv_5074006_069.m4a|あなた、悪党のくせに私を信じ過ぎよ。裏の人間は利用こそすれ、信用するものじゃないわ。
vo_adv_5074006_071.m4a|ええ。悪かったわね、院長を出し抜くためにあなたたちにも一芝居付き合ってもらったわ。
vo_adv_5074006_072.m4a|最初は親分救出のために院長に近づいたんだけど、ろくでもない研究をしてると分かったから、いっそ全部潰すことに決めたのよ。
vo_adv_5074006_073.m4a|だけど、完成品第一号は院長が肌身離さず持っていて、どうしても手が出せなかったから……タイミングをうかがっていたの。
vo_adv_5074006_074.m4a|……辛い思いをさせちゃったわね。ごめんなさい。
vo_adv_5074006_075.m4a|さあ、親分を安全なところへ連れていきましょう。さっきあなたたちを縛った縄に回復魔法を仕込んでおいたから、少しだけなら動けるはずよ。
vo_adv_5074006_077.m4a|あら、案外怒らないのね。院長を欺くためとはいえ、かなり本気でだましたんだけど。
vo_adv_5074006_081.m4a|もちろん逃がすつもりはないわ。研究者として多少は共感もするけど、それとこれとは別よ。冷たい牢屋で罪を数えながら余生を過ごしてもらう──
vo_adv_5074006_086.m4a|あれは魔力で調整する前のいわば原液、そのままでは使えないわ。……院長、あなたまさか！　止めなさい！
vo_adv_5074006_090.m4a|院長の執念が薬の作用を上回った、ということかしら？これはさすがに想定していなかったわ。
vo_adv_5074006_093.m4a|はぁ、計画が台無しね。私一人ならあなたたちを巻き込まずスマートに片付けられたのに。
vo_adv_5074006_096.m4a|あなたたちらしいわね。いいわ、３人で院長を止めるわよ！
vo_adv_5074006_097.m4a|心だけでなく姿まで外道に堕ちたのなら、もはや手加減はいらないわね。はぁ！
vo_adv_5074006_100.m4a|……あれは。
vo_adv_5074006_103.m4a|ふむ、全身にダメージを与えてみたけど、部位による再生の違いはないみたいね。さて、どうしたものかしら。
vo_adv_5074006_105.m4a|あらら、激しいのは嫌いじゃないけど、これはちょっと大変、ね……
vo_adv_5074006_109.m4a|あなた……
vo_adv_5074006_118.m4a|カッコつけてるとこ悪いけど、勝手に死なれちゃ困るのよ。私は闇医者だけど、それでも救える命を見捨てたりはしないわ。
vo_adv_5074006_123.m4a|みたいね。各自、死ぬ気で逃げなさい。
vo_adv_5074006_128.m4a|力を手に入れて浮かれているのか、それとも怒りに駆られているのか。どちらにしろ理性がなくなってきてるみたいね。
vo_adv_5074006_130.m4a|ちょっと！　もう、ケガの手当てもろくにしてないのに、困ったものね。
vo_adv_5074006_131.m4a|そうね、町の人の避難もお願いできるかしら？その間に院長を倒す手立てを考えるから。
vo_adv_5074006_157.m4a|二人とも上手くやってくれてるみたいね。それじゃあ私たちも一仕事しましょうか。
vo_adv_5074006_159.m4a|どうにかするわ。でも、ある程度時間が必要ね。そういうわけでユキ、しばらくの間院長の相手をしてちょうだい。
vo_adv_5074006_161.m4a|誰も戦えなんて言ってないわ。時間を稼いでほしいだけよ。そうね、院長にあなたの美しさを教えてあげなさい。
vo_adv_5074007_000.m4a|はい、これでお終い、っと。
vo_adv_5074007_002.m4a|はりきり過ぎてケガしちゃうような慌て者にはこれくらいが丁度いいわ。次も同じことしたら人体実験に付き合ってもらうわよ？
vo_adv_5074007_004.m4a|やれやれ、せっかくランドソルに戻ってきたっていうのに、こうも忙しいんじゃ病院にいた時と変わらないわね。
vo_adv_5074007_005.m4a|まさか。やっぱり人助けなんてガラじゃなかったわ。私は闇医者くらいがお似合いなのよ。
vo_adv_5074007_007.m4a|その声は……
vo_adv_5074007_009.m4a|さて、それじゃあ帰りましょうか。
vo_adv_5074007_011.m4a|あなたは単なる押しかけ看護師じゃない。まあいいわ。それで今日は何の用かしら？
vo_adv_5074007_013.m4a|え、まさか了承する前提なの？
vo_adv_5074007_015.m4a|さすがに聞き捨てならない発言だわ。丁度ここに新薬があるんだけど打ってみる？
vo_adv_5074007_016.m4a|病院から押収した院長の研究資料や貴重な素材の一部から作った特製の薬よ？
vo_adv_5074007_018.m4a|安心なさい。あんな悪趣味な物、作りはしないわよ。これはただの栄養剤。効果が強すぎて３日は眠れなくなるけど。
vo_adv_5074007_020.m4a|それは早々に考えを改めてほしいところね。
vo_adv_5074007_023.m4a|私のストレスが激増するのは考慮してもらえないのかしらね。
vo_adv_5074007_027.m4a|お久しぶりね。元気そうでなによりだわ。どう？　一本打っとく？
vo_adv_5074007_029.m4a|それもそうね。それで、病み上がりでこんな所までどうしたのかしら。
vo_adv_5074007_032.m4a|律儀なことね。こっちは仕事だし、お礼ならそこの二人にどうぞ。
vo_adv_5074007_034.m4a|医者として一応聞いておくけど、その後の経過はどうかしら？といっても長い間院長の実験台にされ、その上あのケガでピンピンしてるんだから、心配はなさそうだけど。
vo_adv_5074007_039.m4a|後継者？　ということは……
vo_adv_5074007_047.m4a|それじゃあ親分の新たな旅立ちに、私からも一つ餞別を贈ろうかしら。
vo_adv_5074007_049.m4a|請求書よ。まさか踏み倒したりはしないわよね。
vo_adv_5074007_052.m4a|いいえ。依頼人にはちゃんと伝えたわよ？　私は安くないって。私とあなたの仲だから、分割払いでいいわよ。
vo_adv_5074007_054.m4a|ふふ、今後ともごひいきにお願いするわ♪
vo_adv_5074101_000.m4a|──はい、お大事に。
vo_adv_5074101_001.m4a|お大事に、ね。なんだか最近の私、普通の医者みたいじゃない。これでも一応闇医者なのにね。なんだか調子狂うわ。
vo_adv_5074101_002.m4a|ギルドの仲間にはいっそ普通の医者になれば？なんて言われてるけど、そんな気はないわよ。
vo_adv_5074101_003.m4a|私の研究は表の世界には刺激が強すぎるし、裏の世界にいた方がなにかと都合がいいもの。
vo_adv_5074101_004.m4a|本当はいい人、なんて思われるのも、私としてはちょっと心外なのよね。
vo_adv_5074101_005.m4a|ここらで一つ本来の私向きな、興味深い依頼でもあればいいんだけど──
vo_adv_5074101_007.m4a|ふふ、丁度いいところに。いらっしゃい、どんなご依頼かしら♪
vo_adv_5074101_008.m4a|次回、『イリーガルオーエドカルテ　Dr.ミツキの診察室』
vo_adv_5074203_001.m4a|……残念だけど、お風呂はもう少し後になりそうね。
vo_adv_5074203_003.m4a|デカくて硬いヤツは強い。よく考えなくても当然の話ね。さあ、第二回戦の始まりよ。
vo_adv_5074204_001.m4a|おそらく院長の仕業ね。薬の影響で魔力が増大し、それが漏れ出しているのかも。
vo_adv_5074204_002.m4a|こんなもの浴び続けたら、町人に重大な健康被害が出かねないわ。
vo_adv_5074301_000.m4a|ふーん、巨躯から繰り出される強烈な一撃、さらにどんな傷もたちどころに治る再生能力。なかなか厄介ね。
vo_adv_5074301_002.m4a|知ってるかしら？　医者は人を生かす知識と技術に長けているけど、それは同時に逆の手段にも精通しているということよ。
vo_adv_5074302_000.m4a|あらあら、さっきより力が増してるじゃない。世界の支配者を名乗るだけのことはあるわね。
vo_adv_5074302_002.m4a|ピンチ？　あなたも修羅場の一つや二つ、乗り越えてるんでしょ？この程度で音を上げているようじゃ、私を主治医にするなんて叶わないわよ？
vo_adv_5074308_000.m4a|やれやれ、まだ力が上がるというの？さすがに疲れてきたわね……
vo_adv_5074308_002.m4a|こうなってしまってはもはや野望も何もあったもんじゃないわね。哀れだわ、院長。
vo_adv_5074308_003.m4a|同情する気はさらさらないけど、同じ医者として責任をもってあなたを止めてあげるわ。
vo_adv_5074321_001.m4a|再生能力がこちらの想定以上みたいね。なかなか面白い薬を作ったものね。
vo_adv_5074321_003.m4a|ええ、とても簡単よ。動かなくなるまで倒すの！
vo_adv_5074322_000.m4a|さあ、これで終わりよ。はあっ！
vo_adv_5074322_002.m4a|あらまあ、覚醒状態ってやつなのかしら？さっきよりも威圧感がすごいわね。
vo_adv_5074322_004.m4a|心血を注いで作り上げた成果だもの、簡単に倒れるわけにはいかないわよね。
vo_adv_5074323_001.m4a|そうね、私もいい加減疲れたわ。でも、それは院長も同じみたい。
vo_adv_5074323_003.m4a|院長自身ももう限界なのよ。ろうそくが燃え尽きる前に一瞬だけ輝きを増すみたいなものね。
vo_adv_5074323_005.m4a|あら、誰よりも美しく輝いている子が、ずいぶんと弱気じゃない。あなたの輝きって、薬で無理矢理作ったものに劣るのかしら？
vo_adv_5074402_000.m4a|対象、活動停止。これにて手術完了ね。ユキもご苦労様。体は大丈夫かしら？
vo_adv_5074403_000.m4a|お疲れ様。こんなに倒すなんてやるじゃない。君、結構強かったのね。
vo_adv_5074405_000.m4a|君がここまで戦えるなんて、正直予想外だったわ。君に対する認識、改めなきゃいけないわね。
vo_adv_5074405_001.m4a|……なに、その意外そうな顔は。私だって素直に褒めることくらいあるわよ。
vo_adv_5074411_002.m4a|……まあ、あなたがそう思うのなら別に文句はないわ。その胆力だけは英雄と呼ぶにふさわしいかもしれないわね。
vo_adv_5074411_003.m4a|今回は我ながらよく働いたと思うし、まずはゆっくりと休ませてもらおうかしら。
vo_adv_5074411_006.m4a|はぁ……本当に困った子ね。でも、不思議とイヤな気はしないのよね。これも君の影響かしら。とにかく、君も最後まで付き合いなさい。
vo_adv_5084001_024.m4a|ふむ……なるほどね。
vo_adv_5084001_026.m4a|そうね。ある程度調べてみたけど、特に体に異常はないわ。
vo_adv_5084001_027.m4a|これまでたくさん調べさせてもらった彼のデータと何も変わらない……いえ、これはむしろ元気なくらいかしら。
vo_adv_5084001_030.m4a|ふふ。興味深いわね。身体は健康そのものなのに目覚めない眠り……ちょっといろいろ、試してみてもいいかしら？
vo_adv_5084001_044.m4a|うふふ……死者さえも呼び起こすといわれる魔道具……こんなところで試せるとは思わなかったわ。安心して、何かあっても、ちゃんと治療してあげるから。
vo_adv_5084647_000.m4a|そう、あの子まだ眠ったままなのね。医者として、そして科学者として何もできないこの状況、結構こたえるわね……
vo_adv_5084647_001.m4a|昔の私なら興味深い症例だって色めき立ってたのに、不思議とそんな気にならないわ。
vo_adv_5084647_002.m4a|「隻眼の悪魔」と呼ばれたこの私が、研究よりも他人の心配をするなんてね。
vo_adv_7021000_001.m4a|ふふ、探索しがいがあっていいじゃない。……あら？
vo_adv_7021000_003.m4a|強壮薬の原料になる珍しい薬草を見つけたものだから。これで試したことのない実験ができると思って……ね？
vo_adv_7021000_004.m4a|残念。それにしてもここはずいぶんと変わった植生をしているのね。
vo_adv_7021000_005.m4a|塔の中も面白い薬草がたくさんありそうで楽しみだわ。
vo_adv_7021000_010.m4a|難しい顔してどうしたの？大丈夫、{player}君の記憶の手がかりを最優先で探すから。
vo_adv_7021000_012.m4a|うかつに採っちゃダメ。汁に毒があるから。使い方次第では猛毒にもなるのよ。
vo_adv_7021000_014.m4a|あら？　ひょっとして私が悪用すると思ってる？安心して。この毒は簡単に検出されちゃうの。私ならもっとうまくやるわ。なんてね♪
vo_adv_7021000_016.m4a|なんだかトモちゃんが緊張してるみたいだからリラックスさせてあげようと思っただけよ。
vo_adv_7021000_018.m4a|そうよね、天下の【王宮騎士団（NIGHTMARE）】様がこんな塔くらいで緊張するわけないわよね。
vo_adv_7021000_020.m4a|ふふっ。それじゃあ、ひ弱な一市民の私は遠慮なくトモちゃんを頼らせてもらうわ。
vo_adv_7021000_021.m4a|さ、行きましょう。楽しい探索になりそうね。
vo_adv_7021001_001.m4a|また一撃……すごいわね。トモちゃんが強すぎて私の出る幕がないわ。
vo_adv_7021001_004.m4a|さっきから周りを見てはいるけど、目につくのは見たことのない草ばかりなのよね。採取のしがいがあって助かるけど。
vo_adv_7021001_009.m4a|ん？　そんなことないわよ。見たことがない、ってだけで実際はなんの薬効もない雑草かもしれないし。
vo_adv_7021001_010.m4a|というか、十中八九雑草でしょうね。ただの草が特殊な環境下で交配して見た目が変化しただけっていう。
vo_adv_7021001_012.m4a|もしかしたらっということがあるからよ。今まで偶然すごい薬ができたりすることもあったしね。
vo_adv_7021001_015.m4a|トモちゃんに関係ありそうなお薬といえば、そうねぇ……出回っている傷薬の数倍の速さで傷を癒す薬、とかかしら？
vo_adv_7021001_017.m4a|売り込めたらよかったんだけど、材料が貴重すぎるし量産もできないから難しいのよね。
