vo_adv_2110001_000.m4a|あ、ちなみにセントールっていうのは別名ケンタウロスとも言って──
vo_adv_5092003_075.m4a|う、うわあああー！
vo_adv_5092003_077.m4a|ひぃっ！　こ、怖い、だけど止まっちゃダメだ！振り返るな、一気に突き進め！
vo_adv_5092003_079.m4a|ひゃああ！　さ、さすがは鍵の番犬、うわあっ！そう簡単に、おっと、いかな……ああもう！　いい加減にしてくれ！ミスリードバレット！
vo_adv_5092003_081.m4a|このまま一気に、いっくよぉー！
vo_adv_5092003_084.m4a|ひっ！　職務に忠実過ぎだよもう！だが、みんなが作ってくれたチャンス、無駄にするもんかー！
vo_adv_5092003_086.m4a|ひぃ、ふぅ……走馬灯が見えかけたよ……でも……魔犬の鍵、ゲットだよ！
vo_adv_5092003_088.m4a|そ、そうかい？　スマートさに欠けるから思い返したくはないんだけど……
vo_adv_5092003_090.m4a|ああ、心配いらないよ。私が鍵をとった途端、大人しくなったから。
vo_adv_5092003_093.m4a|何もないに越したことはないさ。ひとまず帰って休みたいね。さすがに身も心もくたくただよ……
vo_adv_5092003_096.m4a|我々は教授の部屋に行こう。なんだかイヤな予感がするよ……
vo_adv_5092003_097.m4a|教授、失礼します！　ダメだ、中から鍵がかけられてる。アンナさん！
vo_adv_5092003_099.m4a|教授！　大丈夫ですか……あ、あぁ！
vo_adv_5092003_102.m4a|……大丈夫、生きてるよ。まずはベッドに運んでできる限りの処置をしよう！
vo_adv_5092003_103.m4a|ひとまず最悪の状況は脱したね。もっとも、いつ意識が戻るかは分からないけど……
vo_adv_5092003_106.m4a|つまり、誰も教授に危害を加えることはできなかったというわけだ。
vo_adv_5092003_111.m4a|私も考えをまとめたら休むとするよ。みんなおやすみ。
vo_adv_5092003_112.m4a|助手くん、あとで私の部屋に来てほしい。
vo_adv_5092003_113.m4a|……さて助手くん。今回の件、どう考える？やはり海賊の呪いだと思うかい？
vo_adv_5092003_114.m4a|勘がよくなったじゃないか。うん、今回の事件は海賊島という舞台、それに初日の消失事件や墓地での一件のせいでどうにも呪いだと思い込みがちだ。
vo_adv_5092003_115.m4a|でも、こういう場合もっと相応しい言葉があるのさ。──「密室殺人」ってね。まあ、今回は未遂だけど。
vo_adv_5092003_116.m4a|別に呪いなら呪いで構わないさ。でもね、人間の犯行の可能性を考慮しないのは思考の放棄、探偵としてあるまじき行為だよ。
vo_adv_5092003_117.m4a|だから今から教授の部屋を調べるよ。こっそりと、気付かれないようにね。
vo_adv_5092003_118.m4a|現状可能性が一番高いというだけさ。確信はまだないよ。まあ、あまり考えたくないけどね。
vo_adv_5092003_119.m4a|いや、人数が多いと察知される危険性が高まる。それに捜査は私の本業だ。彼女たちにはゆっくり休んでもらおう。
vo_adv_5092003_120.m4a|さて、私たちが部屋に入った時、教授は床に倒れていた。ドアや窓は施錠され、外傷もなし。なるほど、呪いにやられたといっても違和感はない状況だね。
vo_adv_5092003_121.m4a|──ただ一点を除いては。見てごらん助手くん。教授が倒れていた場所付近に何か落ちてるだろ？これは携帯食の欠片だね。
vo_adv_5092003_122.m4a|つまり教授は食事中に意識を失ったということさ。この場合呪いと決めつけるよりまずは毒物を疑うべきだね。
vo_adv_5092003_123.m4a|というわけでさっそくこの検査薬で毒物の反応を調べていくとしよう。助手くん、君も協力してくれたまえ。教授の持ち物や手を触れそうな場所を調べるんだ。
vo_adv_5092003_124.m4a|……うーん、教授の手、水と食べ物からも毒物は出なかったか。そもそも食べ物と水は教授の自前の物、外部から毒を仕込むことは難しかったはずだからね。
vo_adv_5092003_125.m4a|助手くん、そちらはどうだい？
vo_adv_5092003_126.m4a|……そうか。だとすると一体毒物はどこから入れられたんだ……
vo_adv_5092003_127.m4a|うわぁ！　……って、なんだ検査薬を落としただけか。気を付けてくれよ助手く……え？
vo_adv_5092003_128.m4a|なんで……なんでこんな所に毒物の反応が出るんだ？もしやこれってそういう……
vo_adv_5092003_130.m4a|なっ！　あ、あれはエドワード・ディード！
vo_adv_5092003_131.m4a|まるで私たちを誘いだそうとしているみたいだが、どうする？でも、前に取り逃がさなければ教授もあんなことには……
vo_adv_5092003_132.m4a|追いかけよう、助手くん。ここで正体を暴いて一気に事件解決だ！時間が惜しい、窓から出るよ！
vo_adv_5092003_133.m4a|待てー！　あーもう、逃げ足早いな！島に来てから肉体労働ばっかりじゃないか！　私は探偵だぞ！
vo_adv_5092003_135.m4a|なんで！　さっきまで前を走ってたのに……
vo_adv_5092003_136.m4a|消えた？　もう、いったいどうなってるんだ！本当に幽霊か何かなのか？
vo_adv_5092003_137.m4a|だとしても絶対に逃がさないよ。初日に逃がしてしまった失態、ここで晴らさせてもらうよ！
vo_adv_5092003_138.m4a|はぁ、はぁ……随分と、走らされてしまった……ここはどこだ？　それに海賊は……
vo_adv_5092003_139.m4a|本当だ。全く動く様子がない。さあ、観念するんだ大海賊。
vo_adv_5092003_141.m4a|それは警告のつもりかい？　それとも呪詛か何かかな？残念だけどそんなものに屈するほど探偵はヤワじゃ──
vo_adv_5092003_142.m4a|あぅ！　……え？　うそ、これ、穴……？
vo_adv_5092003_143.m4a|じょ、助手くん！　そんな……
vo_adv_5092004_015.m4a|助手くん、助手くん、起きたまえ助手くん！
vo_adv_5092004_016.m4a|見ての通り穴の底だ。私たちは昨晩何者かにこの穴に突き落とされた。幸い穴の底には木の葉が堆積していて、それがクッションとなったおかげで無事だったわけだ。
vo_adv_5092004_017.m4a|まあ、落下の衝撃と疲労で気を失ってしまったのだが……助手くん、本当にすまなかった。
vo_adv_5092004_018.m4a|探偵としての仕事に夢中になるあまり、注意を怠り敵の罠にはまり、君まで巻き込んでしまった。
vo_adv_5092004_019.m4a|探偵小説を読んでいて犠牲者を出してしまう探偵に納得がいかなかったが、それを私自身がやってしまうとは。私は、探偵失格だよ……
vo_adv_5092004_020.m4a|助手くん……でも……
vo_adv_5092004_021.m4a|……ははっ、本当に君は頼りになる助手だね。そうだ、私が憧れる探偵たちも幾度となく窮地に陥った。そしてその度に立ち上がり事件を解決に導いてきたじゃないか。
vo_adv_5092004_022.m4a|ありがとう助手くん。探偵カスミのこれからの活躍にこうご期待だ！
vo_adv_5092004_023.m4a|そして実は今回の事件の真相にあらかた辿り着いているんだ。それを証明するにはまず、この穴から脱出しなくてはならないが……道具もなしに登るのはちょっと無理そうだね。
vo_adv_5092004_024.m4a|葉っぱがこんなにあるんだ、長い木の枝やツルとかあるかもしれない。使えそうなものを探すんだ。
vo_adv_5092004_025.m4a|ん？　この感触……やったぞ助手くん、横穴だ！ここを通ればどこかに繋がっているかもしれない。
vo_adv_5092004_026.m4a|ついに私たちにも被害が及ぶようになった今、アンナさんとシノブさんも安全ではいられないはず。躊躇している時間はないよ、急ぎ二人と合流しよう。
vo_adv_5092004_027.m4a|うぅ、暗いし狭いし最悪じゃないか……もしこんな所で生き埋めにでもなったらと思うとぞっとするよ。
vo_adv_5092004_028.m4a|でも今はこの狭い穴だけが一縷の望みだ。信じて進むしかない──う、うわぁー！
vo_adv_5092004_029.m4a|いたたた……またどこかに落ちてしまったな……でもここは……どこかの洞窟に繋がっていたようだね。
vo_adv_5092004_030.m4a|もうさっきの穴に戻ることもできない。あとは前進あるのみだ。行こう、助手くん！
vo_adv_5092004_050.m4a|なんてことだ、行き止まりじゃないか……でもよく見るとこれ……悪魔の、壁画？ということは、ここって第三の試練なのか？
vo_adv_5092004_052.m4a|え？　ア、アンナさん！？　壁画の向こうにいるのかい？
vo_adv_5092004_055.m4a|ああ、本当にすまなかった。実は──
vo_adv_5092004_057.m4a|いや、これは秘密裏に行動した私の責任だよ。その上まんまと罠にはめられこの様だよ。情けない話だね。
vo_adv_5092004_058.m4a|でも、それなりに収穫もあったしひとまず合流したいところだけど、まずはこの悪魔をどうにかしない限り外に出られないんだ。
vo_adv_5092004_059.m4a|時間が惜しい、さっそく試練を始めようじゃないか。
vo_adv_5092004_061.m4a|お気遣いありがとう。でもいい加減暗くて辛気臭い所から出たいからね。
vo_adv_5092004_063.m4a|それじゃあもう一人は私が受け持つとしよう。助手くんとシノブさんは鎖を付けて見ていてくれ。
vo_adv_5092004_065.m4a|うわぁ！　アンナさん、多すぎ、多すぎだよ！
vo_adv_5092004_067.m4a|それなら私が微調整していこう。ほんの少しだけ……よし。この調子で続けようか。
vo_adv_5092004_068.m4a|ふぅ……次にアンナさんが魔力を送った後に、私が微調整すればピッタリ杯をいっぱいにできるはずだ。
vo_adv_5092004_072.m4a|助手くん！　顔色が悪いよ、大丈夫か……ア、アンナさん！　杯が……
vo_adv_5092004_074.m4a|魔法が使えない助手くんの突然の衰弱……ということは魔力ではない何かが吸われているのか？
vo_adv_5092004_075.m4a|そうか生命力！　おそらくある程度杯が満ちたところで鎖に繋がれた二人から生命力を吸い取る仕掛けなんだ……助手くん！　鎖を外すんだ！
vo_adv_5092004_076.m4a|くっ、なんてことだ……こうなったら早急に試練を突破するしかない。次はアンナさんの番だ、この危機を乗り越えてほしい。
vo_adv_5092004_092.m4a|杯が……ぴったり満ちているよ！
vo_adv_5092004_094.m4a|あ、助手くんの顔色が……抜かれた生命力が戻ってきたんだ。
vo_adv_5092004_098.m4a|まずい、壁まで崩れそうだ！　……急いで鎖を外して退避だ！
vo_adv_5092004_105.m4a|おーいアンナさん、シノブさん！ああ、それほど時間は経っていないのに、何十日ぶりの再会みたいな気分だよ。
vo_adv_5092004_108.m4a|アンナさんは今回の殊勲者だからね。本当に助けられたよ。ありがとう。
vo_adv_5092004_109.m4a|でも、疲れているところ本当に申し訳ないのだけど、もう一仕事手伝ってはもらえないだろうか？
vo_adv_5092005_000.m4a|いやはや、ひどい目に遭ったね……
vo_adv_5092005_003.m4a|ありがとう。でもその前にお二人に大事なお話があるので、どうか聞いていただきたい。
vo_adv_5092005_005.m4a|もちろん霊媒師消失事件、そして教授の密室昏睡事件の真相だよ。
vo_adv_5092005_007.m4a|たしかに。だが昨夜私と助手くんは何者かに穴の中に突き落とされてね。抜け出せなければ今ごろ呪いの仕業にカウントされていただろうね。
vo_adv_5092005_009.m4a|そう結論を急がないで。一つずつ解説していくので聞いてほしい。そうだね、まずは霊媒師消失事件からいこう。
vo_adv_5092005_010.m4a|発端は霊媒師が海賊の霊を呼び出したことが始まりだ。だが現れた海賊によって彼は倒され、そして消された。
vo_adv_5092005_012.m4a|うん、なんとも奇妙奇天烈な話だね。まるで呪いだよ。でも、これは呪いなんかじゃない、れっきとした人の手による犯行だ。
vo_adv_5092005_014.m4a|もちろん。それでは消失事件の方から解いていこうか。結論を言うと霊媒師は消えてないんだよ、最初から。しかしアンナさんたちは目の前にいた彼に気付けなかったんだ。
vo_adv_5092005_016.m4a|それができるんだよね。霊媒師の消失時、アンナさんとシノブさん、そしてあなたは突如現れた海賊に目を奪われていた、それは間違いないかな？
vo_adv_5092005_018.m4a|あの部屋には霊媒師が持っていた鞄があったよね？その間に彼は鞄に詰め込まれたんだよ。
vo_adv_5092005_020.m4a|だろうね、私もそう思うよ。でも、それは人だったらの話だよ。
vo_adv_5092005_022.m4a|霊媒師だと思っていたのは偽者だったんだ。おそらくは服に詰め物か何かしていたんだろうね。それならあの鞄にだって詰めることができる。
vo_adv_5092005_023.m4a|部屋が薄暗かったのも今考えれば、偽者だと気付かれにくくするための演出だったのだろうね。
vo_adv_5092005_025.m4a|ちゃんといたじゃないか。あの海賊が霊媒師だったのさ。
vo_adv_5092005_027.m4a|何者かと会話している声、ドアを開けて目にした光景のおかげで海賊と被害者の霊媒師という形に完全にミスリードされてしまったね。
vo_adv_5092005_028.m4a|というわけで、以上が第一の事件の真相だよ。そしてこの真相が以降の事件の前提を覆すことになる。
vo_adv_5092005_029.m4a|呪いと目されていた第一の試練でのゴーストの発生、そして教授を昏倒させることが海賊の呪い以外でも可能となる。
vo_adv_5092005_031.m4a|いや、可能だよ。この事件は密室と毒物を用いることで人間には不可能な呪いを演出していたんだ。
vo_adv_5092005_033.m4a|誰も食べ物に入れたなんて言ってないよ。毒を使うタイミングは教授が部屋を出た時さ。
vo_adv_5092005_035.m4a|いや、食料持参で籠城しても解決できない問題が一つある。それがトイレだ。トイレだけは部屋から出なければいけなかった。そして犯人はそこを狙った。
vo_adv_5092005_036.m4a|トイレの蛇口、タオル、あるいは部屋のドアノブ、いずれかに毒を塗って教授に触れさせたんだ。
vo_adv_5092005_038.m4a|どうせ拭き取った後だろうからね、特定は難しいよ。教授の手はもちろん、手を触れそうな場所からも反応は出なかった。
vo_adv_5092005_040.m4a|ところが意外な所から毒は検出されたんだ。
vo_adv_5092005_042.m4a|目論み通り教授は部屋に戻ると毒に触れた手で食事をして毒にやられ、同時に自身で密室を完成させてしまった。でもその前に教授はあることをして毒の痕跡を残したんだ。
vo_adv_5092005_044.m4a|筋トレだよ。教授は食事の前に運動をすると言っていた。そして腕立て伏せをしたんだろうね。床にしっかりと手形の毒の反応が残ってたよ。
vo_adv_5092005_046.m4a|教授の行動を読み切れなかったこと、教授に気付かれないように無色透明の毒を使ったことが仇となったね。以上が呪いではなく人間による犯行だということの証明だよ。
vo_adv_5092005_048.m4a|……待っていただきたい。たしかに海賊への入れ替わり、墓地での騒動、そして教授の事件は彼の犯行で間違いないはずだよ。
vo_adv_5092005_049.m4a|でも、霊媒師の消失事件だけは彼には不可能だ。あの時霊媒師の衣服を鞄に詰めることができたのは、付き人さん、あなただけだよ。
vo_adv_5092005_050.m4a|それと海賊が窓から逃げた後にあなたが森に逃げたと言いましたが、あれもミスリードだったのではないかな？
vo_adv_5092005_051.m4a|たしか霊媒師の部屋のすぐ下はあなたの部屋だったよね？そこに匿っていた、違うかい？
vo_adv_5092005_054.m4a|……もういいでしょう。たしかに彼らは実行犯だ。だが一連の事件の首謀者「海賊の呪い」、それは──
vo_adv_5092005_055.m4a|ゴードンさん、あなただ！
vo_adv_5092005_058.m4a|ふふ、逆にあなたは犯人の才能があるようだね。いいよ、続けようか。ええと、動機の話だったね。
vo_adv_5092005_059.m4a|それは私たちこそ島の調査、そして世に海賊の呪いを知らしめるための真の先遣隊なのだろう？
vo_adv_5092005_061.m4a|各分野の優秀な人材を招待した宝探しの調査隊。なるほど、そこにウソはないね。でも、やはり人員が少なすぎるよ。本気で攻略したいならこの倍の人数を招待するべきだ。
vo_adv_5092005_062.m4a|そうしなかったのはなぜか、参加者に消えてもらうつもりだったからさ。人数が多ければその分手間も増えるからね。
vo_adv_5092005_063.m4a|大海賊の財宝なら奪ってでもほしい人はいくらでもいるだろう。そういった者たちを断念、牽制させるためにありもしない呪い、そして先遣隊の全滅をでっちあげた。
vo_adv_5092005_064.m4a|そこに今回の調査で優秀な参加者たちが呪いにやられたとなれば、海賊の呪いの恐怖はいっそう強まる。
vo_adv_5092005_065.m4a|海賊の試練を攻略しながら、さらに呪いの恐怖を演出し人々を遠ざける。あなたにとって今回の調査はまさに一石二鳥だったはずだよ。
vo_adv_5092005_067.m4a|それは私が事件の真相に迫り、計画の邪魔になったからだろうね。もし今回財宝に辿り着けなくてもこの島の所有者はあなただ。次もあるし探偵が消えたとなれば呪いに箔も付くってものさ。
vo_adv_5092005_069.m4a|うむ、それはもっともな話だね。それじゃあ、呪い自身に聞いてみるとしようか。
vo_adv_5092005_076.m4a|ようやく認めたね。みんな、出てきていいよ。
vo_adv_5092005_085.m4a|みんなお疲れさま。迅速な仕事ぶり、感謝するよ。
vo_adv_5092005_087.m4a|さてゴードンさん、これだけの証拠を前にして、まだ反論はあるかな？私としてはこの辺りで幕引きとしたいところなんだけどね。
vo_adv_5092005_098.m4a|……
vo_adv_5092005_108.m4a|……アンナさん、それってどういうこと？
vo_adv_5092005_110.m4a|……いや、それは後にしよう。ひとまず３人を部屋に運ぼう。悪人とはいえどもできる限りの手は尽くしてみるよ。
vo_adv_5092005_111.m4a|ふぅ……
vo_adv_5092005_113.m4a|症状は教授と同じく昏睡状態だ。現状私たちにできることはないね。
vo_adv_5092005_115.m4a|……
vo_adv_5092005_117.m4a|独占するかはともかく、財宝の在りかに行ってみないかい？これほどの人たちを翻弄したモノの正体、興味あるだろ？
vo_adv_5092005_118.m4a|おお、これはまた雰囲気のある空間だね。それにすごく広い……いかにも最後といった感じだね。
vo_adv_5092005_121.m4a|うーん、別に財宝がほしくて来たわけじゃないからね。しかるべきところに管理をお願いしよう。
vo_adv_5092005_123.m4a|アンナさん……まあ、とりあえず現物を見てから判断しようか。
vo_adv_5092005_124.m4a|……とかなんとか言ってたのに、まさかまさかの鍵穴が４つ！？
vo_adv_5092005_127.m4a|なんとも言えないけど、事情を知っている人間がみんなやられてしまったからね。でも、もしかすると……
vo_adv_5092005_129.m4a|そうだね、４本目の鍵のことは明日また考えるとしよう。
vo_adv_5092006_001.m4a|やはり君は最高の助手だよ！こうしちゃいられない、早く大扉の間に向かおう！
vo_adv_5092006_003.m4a|その時は鍵を全て破棄してしまおう。財宝が拝めないのは残念だけど、争いの種は絶っておくにこしたとはないからね。
vo_adv_5092006_005.m4a|それでは今度こそ財宝とご対面といこうじゃないか！
vo_adv_5092006_007.m4a|いよいよだね、助手くん。それでは最後の鍵を回してくれ。
vo_adv_5092006_011.m4a|仕方ない、財宝は諦めよう。ここまで苦労してきた分、一気に疲労感が襲ってきたよ。
vo_adv_5092006_015.m4a|何事も焦りは禁物だよね。特に大きな事を成す直前は細心の注意が求められるものさ。
vo_adv_5092006_017.m4a|あなたはよくご存じだよね。そう、ロッジの鍵だよ。ちなみに本物はこちらにちゃんとあるよ。
vo_adv_5092006_019.m4a|ああ、一連の事件の犯人「海賊の呪い」の正体はあなただよ、付き人さん！
vo_adv_5092006_021.m4a|昨日の二度目の海賊出現時、他の二人が怯える中あなただけどうも落ち着き過ぎていたのが気になったんだ。
vo_adv_5092006_022.m4a|まるで裁きを下すのが自分だといいたげな余裕を感じたよ。
vo_adv_5092006_023.m4a|そして確信したのはあの海賊だよ。海賊は偽霊媒師が演じていたわけだが、どうにもその動きに違和感を覚えたんだ。
vo_adv_5092006_024.m4a|私たちが追いかけた時の人間らしい動きをする海賊に比べ、初日の夜にアンナさんたちが見たもの、そして昨晩現れたものは動きもなく、まさに亡霊といった佇まいだった。
vo_adv_5092006_025.m4a|さらにアンナさんの言葉でより違和感の正体がはっきりしたんだ。
vo_adv_5092006_027.m4a|アンナさんに詳しく聞いたら、私と助手くんが追跡した時に聞いた言葉とも全く同じだったよ。呪いや悪霊にしても、いささか機械的すぎるよね。
vo_adv_5092006_028.m4a|それにゴードンさんたちを狙いに来ていたあの場面で、今更警告なんて意味がないしね。
vo_adv_5092006_029.m4a|だとするとこれは同じ言葉を言っているのではなく、それしか言えない何かだと推測できる。
vo_adv_5092006_030.m4a|つまり海賊はもう一人いる。そしてそれはそういう幻のようなものなのだろう。
vo_adv_5092006_031.m4a|では、誰がその幻を見せていたのか。幻が現れた時必ずそばにいた人物が一人だけいたんだ。
vo_adv_5092006_033.m4a|そして確信に至ったのは昨日３人が倒れた後に介抱している時だ。ゴードンさんと偽霊媒師には極々小さな注射の痕があった。
vo_adv_5092006_034.m4a|だけど付き人さんからはそれが発見できなかった。自分に毒の注射針を刺すわけにはいかないからね。
vo_adv_5092006_036.m4a|そういうこと。でもあなたはよくやったと思うよ。注射器や明かりが消える仕掛けは前々から用意していたのだろうけど、私の帰還と推理の披露は完全に予想外だったはずだ。
vo_adv_5092006_037.m4a|そこであえて罪を認め罰を受けるふりをして表舞台から姿を消す、という方向へシフトしたのは素晴らしい機転だったね。
vo_adv_5092006_038.m4a|あのお祈りも目を閉じることで、暗さに目を慣れさせていたのだろう？ゴードンさんよりよっぽど切れ者だったわけだね。
vo_adv_5092006_041.m4a|それは消えたと見せかけ財宝を一人占めする機会をうかがうためだね。おそらくだが彼が持ってるんじゃないのかな？　最後の鍵を。
vo_adv_5092006_045.m4a|それで、あなたはいったい何者なんだ？最後の鍵を持ってるなんて、ただの付き人ではないはずだ。
vo_adv_5092006_047.m4a|その鍵……どうやら嘘じゃないみたいだね。
vo_adv_5092006_059.m4a|ふむ、それがゴードンさんに叛逆する理由なのか。
vo_adv_5092006_064.m4a|……あなたが財宝を手に入れる正当性はあると思うし、それを奪おうという気もない。ゴードン氏を許せないと思うのも理解できるよ。
vo_adv_5092006_065.m4a|でも、そのために罪を重ねたのは許されない。探偵として、見過ごすわけにはいかないんだ。
vo_adv_5092006_066.m4a|もう、これで幕引きにしないか？
vo_adv_5092006_071.m4a|っ！　みんな、気を付けて……あれ？
vo_adv_5092006_072.m4a|助手くん！
vo_adv_5092006_076.m4a|助手くん……
vo_adv_5092006_087.m4a|こいつは、驚いたね……
vo_adv_5092006_091.m4a|さしずめ財宝の守護者といったところだね。あれをどうにかしない限り財宝には辿り着けなさそうだ。ルートオブバインド！
vo_adv_5092006_092.m4a|さあ助手くん、今のうちに彼を安全な場所まで──
vo_adv_5092006_097.m4a|うーん、リーチの長い攻撃、人形ならではの高可動域、そして生半可な攻撃じゃびくともしない耐久力。最後の難関に相応しい強敵だね。
vo_adv_5092006_099.m4a|いや、あの猛攻をかいくぐり、全員で逃げ切るのは至難の業だよ。それにいいのかい？　悲願の財宝はすぐ目の前だよ。
vo_adv_5092006_105.m4a|ところでアンナさん、あなたもっと強力な魔法は使えるのかい？
vo_adv_5092006_107.m4a|了解した。それじゃあ助手くん、シノブさん、私たちでひと頑張りするとしようか。
vo_adv_5092006_110.m4a|ありがとう助手くん。ああそれと付き人さん、あなたは距離を取ってじっとしていてくれ。申し訳ないけどそちらをフォローする余裕はなさそうだからね。
vo_adv_5092006_111.m4a|でも安心してほしい。私は救える命を見捨てたりはしない。たとえ犯人だろうと救ってみせる。それが私の探偵としての生き様さ！
vo_adv_5092006_115.m4a|うそ、こんなことって……
vo_adv_5092006_128.m4a|その怒りはもっともだが、実際御父上のおかげで助かっているわけだしね。
vo_adv_5092006_135.m4a|守護者を倒しても全く開く様子もないし、おそらくなにか正しい手順があるのだろうね。
vo_adv_5092006_138.m4a|うーん、４つの力ってのが気になるね。これまでにあったこともふまえ、ちゃんと意味があるはずだ。
vo_adv_5092006_141.m4a|４人、つまり４の力、ということは……
vo_adv_5092006_142.m4a|ああ、助手くんの言うとおりだ。これまでの試練は４人での攻略を前提としていた。最後の大扉もその法則が適用されるはずだよ。
vo_adv_5092006_145.m4a|もちろんだよ。それではこの旅のクライマックス、みんなで決めよう！
vo_adv_5092006_149.m4a|……あれ？　何も、ない……？
vo_adv_5092006_151.m4a|これは……ディードのメッセージだね。
vo_adv_5092006_159.m4a|うーん、島を丸ごと使った大仕掛けを用意してこれはねぇ。あるいは最恐の大海賊の壮大な嫌がらせなのか……
vo_adv_5092006_164.m4a|そう、だね。アンナさんの言うとおりだと思うよ。うーん、そこに思い至らないあたり、私もまだまだだな……
vo_adv_5092006_166.m4a|……たしかにあなたのやったことは間違っている。でも、まだやり直せるはずだよ。
vo_adv_5092006_168.m4a|あなたは今回の事件で誰の命も奪ってはいない。その気になればいくらでもできたはずだし、その方が楽だったはずだ。
vo_adv_5092006_169.m4a|あなたは最後の一線を越えなかった。どうか罪を償い、もう一度ディードの意志に応えてほしい。
vo_adv_5092006_172.m4a|おそらく先ほどの戦闘の余波で広間が崩壊し始めたんだろうね。
vo_adv_5092006_175.m4a|うん、ここで死んだら元も子もないからね。って、助手くん！　何してるんだ、早く行くよ！
vo_adv_5092006_176.m4a|ふぅ、間一髪……みんな無事みたいだね。
vo_adv_5092006_178.m4a|言ったはずだよ、救える命を見捨てたりはしないって。それに華々しく散るなんて犯人においしい展開、私は許さないからね。
vo_adv_5092006_184.m4a|その日が来ることを祈っているよ。さあ、帰ろうか。私たちの街、ランドソルへ！
vo_adv_5092007_000.m4a|──と、いうのがあの島でのできごとだよ。
vo_adv_5092007_002.m4a|ゴードンさんはともかく、彼にはもう人を傷付けるつもりはないよ。今も船室で一人大人しく過ごしてるよ。
vo_adv_5092007_004.m4a|いいのかい？
vo_adv_5092007_006.m4a|分かった。でも、起きたばかりなんだから無理は禁物だよ。
vo_adv_5092007_008.m4a|ああ。残りの二人も直に目を覚ますだろう。もっとも彼らはランドソルまで拘束させてもらうけどね。
vo_adv_5092007_009.m4a|それにしてもなんだか久しぶりに探偵らしい仕事ができた気がするよ。最近じゃ別の仕事ばかりだったからね。
vo_adv_5092007_011.m4a|あ、いやなんでもない、こっちの話だよ……何にせよいい旅だったね。これをきっかけに探偵の仕事が増えてくれればそれが何よりの報酬なんだけどね。
vo_adv_5092007_018.m4a|アンナさんはどうだった？
vo_adv_5092007_028.m4a|……言おうかどうか迷ってたけど、まあ大丈夫だろう。見ててごらん。表面のメッキを削ると……
vo_adv_5092007_031.m4a|うん、この鍵は宝石を加工して作られているね。これ一本で相当な価値はあると思うよ。
vo_adv_5092007_033.m4a|……まさか、売ったりしないよね？
vo_adv_5092007_035.m4a|ふふ、そんなに慌てなくてもいいよ。たとえ売ったとしても私たちが過ごした日々も結んだ絆も、決してなくなることはないさ。
vo_adv_5092007_036.m4a|これこそが私たちにとっての宝物だったのさ！……うぅ、自分で言っといてなんだけど、恥ずかしいねこれ……
vo_adv_5092007_039.m4a|いいね、それは楽しそうだ。
vo_adv_5092007_042.m4a|行先は私とシノブさんで決めさせてもらうよ！
vo_adv_5092101_000.m4a|助手くん捜したよ！　実はとんでもない大きな仕事が舞い込んだんだ！助手として君にも同行してもらいたいから、さっそく準備にとりかかろう！
vo_adv_5092101_003.m4a|ご、ごめんね。うれしくて気持ちが先走っちゃったよ。いいかい？　なんと、呪われた海賊島の調査に招かれたんだよ！
vo_adv_5092203_002.m4a|……驚いたね。あれだけやられたのにピンピンしてるじゃないか。とても数百年前の技術とは思えないよ。
vo_adv_5092204_001.m4a|なるほど。先程から原生の魔物が活性化していたのはそのせいなのか。
vo_adv_5092301_004.m4a|二人とも余裕だね。財宝はもう目の前だ、気を引き締めていこう！
vo_adv_5092308_000.m4a|くっ、まだパワーアップするというのかい？ここまでの強さはちょっと想定外だね……
vo_adv_5092321_003.m4a|大丈夫、この戦いの鍵はアンナさんに他ならないよ。ほら、あれだけの高出力の攻撃をした後だから守護者の機能が低下しているみたいだ。
vo_adv_5092322_000.m4a|む、突如魔物たちが集まってきたね。これでは守護者に攻撃できないじゃないか。
vo_adv_5092322_003.m4a|占い師だけあって洞察力がすごいね、シノブさん。ならばここは私とシノブさんによる補助を駆使して、アンナさんが確実に一体ずつ仕留めるというのはどうかな？
vo_adv_5092323_001.m4a|はぁ、ここまで散々苦労したのにまだ余力があるなんてね。これは少々こたえるよ……
vo_adv_5092323_003.m4a|奇遇だね、アンナさん。実は私もなんだ。
vo_adv_5092323_007.m4a|二人とも、おしゃべりはそこまでだ。もう一仕事、お付き合い願おうか。
vo_adv_5092402_000.m4a|……止まった？　本当にこれで終わり、だよね？
vo_adv_5092402_002.m4a|ああ、よかった……すでに気力も体力も空っぽだから、これ以上の戦闘は避けたかったからね。
vo_adv_5092403_000.m4a|お疲れさま、助手くん。これで10体撃破だ。君がここまで強かったなんてちょっと意外だよ。
vo_adv_5092411_000.m4a|島での日々も今日でお終いだよ。色々なことが起きすぎて、まるで何か月も経ったみたいに濃密な数日間だったね。
vo_adv_5092411_005.m4a|でも、ランドソルに戻ったらまた別々の日常に戻ってしまうのは、ちょっとだけ寂しくもあるね……
vo_adv_5092431_000.m4a|島での日々も今日でお終いだよ。色々なことが起きすぎて、まるで何か月も経ったみたいに濃密な数日間だったね。
vo_adv_5092601_000.m4a|はぁ……海賊島での大仕事の反動か、こっちに戻ってからどうにも気が抜けちゃってるな……
vo_adv_5092601_001.m4a|仕事に優劣はつけないし手も抜いてないけど、達成感や充実感という点については物足りないよね。
vo_adv_5092601_002.m4a|それにあれ以来アンナさんやシノブさん、助手くんとも会ってないし……みんな忙しいのは承知してるけど、ちょっと寂しいな。
