vo_adv_1221001_006.m4a|どーん☆からの、ぎゅ～っとハグ！
vo_adv_7022004_004.m4a|す、すごい。一人でたくさんの魔物を倒してる……って！ボンヤリしてる場合じゃないよね！私も手伝わないと！
vo_adv_7022004_006.m4a|覚、醒……？{player}くん、ナナカちゃんに何かあったの？
vo_adv_7022004_007.m4a|そ、そっか～
vo_adv_7022004_012.m4a|大丈夫！　私に任せて！きらーんっ☆
vo_adv_7022004_014.m4a|眠ってたぶん私もがんばらないと！
vo_adv_7022004_016.m4a|わわっ！？まだ出てくるの！？
vo_adv_7022004_019.m4a|もちろん！　私にできることだったら！
vo_adv_7022004_021.m4a|うんうん。なるほど……わかった！
vo_adv_7022004_023.m4a|任せて、ナナカちゃん！
vo_adv_7022005_001.m4a|すごい！　あんなにたくさん居た魔物があっという間に！ナナカちゃんに言われた通りにしたけど、なんの魔法だったの？
vo_adv_7022005_009.m4a|でもピカピカ光ってきれいな石だね～
vo_adv_7022005_072.m4a|んんぅ……あれ？　私また寝ちゃってた？おかしいな、超能力は使ってないはずなのに……
vo_adv_7022005_075.m4a|ナ、ナナカちゃん？ひょっとしてナナカちゃんも同じ夢を……？
vo_adv_7022005_078.m4a|あっ、えっ、えっと……私ナナカちゃんに言わなきゃいけないことが……
vo_adv_7022005_080.m4a|……！ナナカちゃん！
vo_adv_7022005_083.m4a|ふふっ、そうだね。
vo_adv_9004006_008.m4a|えへへ！　みんなを元気いーっぱい応援するならこのハツネちゃんにお任せなのだー！　きらーん☆
vo_adv_9004006_016.m4a|キミに元気が出るように私も全力で応援しちゃうよー！フレーっ、フレーっ！　がんばって～♪
vo_adv_9005009_010.m4a|アオイちゃん、毒にかかるつもりで行くのはやめようね☆それに、平気だよ～♪今日行く場所は比較的安全な場所だからね！
vo_adv_9005009_015.m4a|うんうん。アオイちゃん、ちょっと向こうに行ってよっか。
