vo_adv_1053009_000.m4a|ふんふんふーん♪
vo_adv_5084649_001.m4a|……いや、悪い方に考えるのはよそう。あいつなら、きっと大丈夫だ。これまで、どんな過酷な状況でも乗り越えてきたじゃないか。
vo_adv_5084649_002.m4a|戦友を信じ、己の使命を全うすることも軍人の本分。ならば……私は私のするべきことをしよう。今この瞬間も、助けを求めている人々がいるのだからな。
vo_adv_5085005_045.m4a|ええいニノン、人が多い場所で煙玉はやめるのだ！クウカ、無駄に敵に突っ込んでいくな！　ユキ、美しいのは分かった！アユミ……アユミ？　いるよな？　なんでうちはこうなのだーーーっ！？
vo_adv_5096001_030.m4a|どうしたニノン？　知り合いか？なんだ貴公ではないか！　そちらも大会に参加するのか？
vo_adv_5096001_032.m4a|おお！　【トゥインクルウィッシュ】のみんな！久しぶりだな！　あの時以来か？
vo_adv_5096001_036.m4a|いや、ギルドが同じなのは私とこちらのニノンだけだ。今回は伝手を頼りに、助っ人を呼んできている。だが実ははぐれてしまって、ちょうど探していたところなのだ。
vo_adv_5096001_059.m4a|サレンとクロエはそれぞれ異なるギルドからチームに参加してもらっているんだ。二人とも、改めて今日はよろしく頼むぞ！
vo_adv_5096001_167.m4a|わ、私たちは……
vo_adv_5096001_170.m4a|うむ……仔細は省くが、そ、そういうことだ。
vo_adv_5096002_018.m4a|ビーチバレー！？　なんということだ……背の低い者にとって圧倒的に不利な戦いではないか！
vo_adv_5096002_022.m4a|ありがとう……みんなの言う通りだな！やってやろうではないか！
vo_adv_5096003_002.m4a|その通りだぞ！　糖分補給も怠ってはならんぞ！激しい運動の後の肉体は、エネルギーを消耗しているからな！貴公らも食べられる時に食べておくといい……あむっ。
vo_adv_5096003_006.m4a|何を言うニノン！　訓練でそう教わったのだ！別に私利私欲を満たすための方便ではないぞ！
vo_adv_5096003_008.m4a|こらクロエ！　私はハムスターではない！それにお菓子は帽子の中に……しまった！
vo_adv_5096003_010.m4a|サレン！　私は子どもではない！だが、子どもじみた真似はやめておくとしよう。
vo_adv_5096003_013.m4a|うむ。絆を深めた我々が負けることはない！たとえ貴公らのチームと戦う時が来ようともな！
vo_adv_5096003_055.m4a|ほう……それに気づくとはさすがだな、チームトゥインクル！このゲーム、いい勝負ができそうではないか！
vo_adv_5096003_085.m4a|……ほほう。貴公らは上を選ぶというのか。そうかそうか……
vo_adv_5096003_087.m4a|えっ！？　えーっと、それはだな……
vo_adv_5096003_088.m4a|……まあ待て！　焦るな貴公ら！……ニノン。ここはまかせた！
vo_adv_5096003_112.m4a|……今のを聞いたか！？今後は我々も支配人の観察を怠らないようにするぞ！
vo_adv_5096004_012.m4a|今の話は聞き捨てならないな。こちらの敵を優遇されては困る。
vo_adv_5096004_017.m4a|……なあ、エリコ。背が伸びる薬を作るのは可能だろうか？　あ、言っておくがこれはあくまで、純粋な興味からくる質問だぞ？
vo_adv_5096004_027.m4a|チビだと！？　イノリだったな！そこまで大口を叩くならば、どちらがより多く食べられるか、私と勝負だ！
vo_adv_5096005_117.m4a|──そして私たちが、勝者となる！見よ！　この訓練で培った私の操船技術！そして我がチームの愛をぉぉぉ～！！
vo_adv_5096005_128.m4a|インコースをとったこちらのほうが立ち上がりの速さでは勝る！
vo_adv_5096005_134.m4a|はっはっはっ！いいぞいいぞ！　この勝負勝っ──
vo_adv_5096005_135.m4a|たあああああぁぁぁ〜っ！？
vo_adv_5096005_140.m4a|くっそぉ〜！　体の軽さが仇になるとは……！私のお菓子がぁ〜！！
vo_adv_5096006_139.m4a|ゆくぞ、チームスイーツ！　総員突撃だ！まずは私が道を切り開く！　遅れた分を取り戻すぞ！旋風雷閃撃鎖斬！！
vo_adv_5096007_058.m4a|我々は手伝わせてもらおう！あのお菓子が食べられなくなるのは困るからな！
vo_adv_7019000_000.m4a|ここに、貴公の記憶の手がかりがあるのだな。いつも貴公には助けられているのだ。今回は私が調査を手伝おう。大船に乗ったつもりでいてくれ！
vo_adv_7019000_001.m4a|しかしその前に……
vo_adv_7019000_002.m4a|そこの木の陰にいるのは誰だっ！！姿を現し、名乗るがいい！！
vo_adv_7019000_004.m4a|そ、そんなのは些細な問題だ！それで貴様は一体何者……ん？　んん！？
vo_adv_7019000_007.m4a|……幻かと思ったが、そうではなかった。やはり、間違いない！
vo_adv_7019000_008.m4a|【王宮騎士団（NIGHTMARE）】の団長殿に出会えるとは、なんたる幸運っ！！
vo_adv_7019000_009.m4a|私はモニカ・ヴァイスヴィント！誇り高きヴァイスフリューゲルに所属する軍人だ！
vo_adv_7019000_010.m4a|武勇伝は何度も耳にしているぞ！ランドソルを守る最強の盾にして剣……それが其方なのだと！！
vo_adv_7019000_011.m4a|国は違えど、同じく民を守る同志としてよろしく頼むっ！！
vo_adv_7019000_016.m4a|おおっ……ついにジュン殿と握手したぞ！私が果たしたかった念願の一つだ！武人らしく、たくましい手だ……！！
vo_adv_7019000_017.m4a|そ、そういう情緒のない突っ込みは不要だ！……それよりも。
vo_adv_7019000_018.m4a|この塔には危険な魔物も多いのだろう？ジュン殿にも協力してもらってはどうだ？
vo_adv_7019000_019.m4a|そして私はジュン殿の剣技を拝むのだ。こんなチャンス、逃すわけにはいかん……！
vo_adv_7019000_021.m4a|ああ。この者の記憶の手がかりがあるというのでな！私は護衛のために同行するつもりだ！
vo_adv_7019001_000.m4a|さすがジュン殿だ。魔物の数などものともしない。我らの出番すらなかったな！
vo_adv_7019001_001.m4a|噂によれば団員たちも選りすぐりの戦士なのだとか。そんな猛者たちが一つにまとまっているのもひとえにジュン殿の力があってこそなのだろう。
vo_adv_7019001_002.m4a|やはり【王宮騎士団（NIGHTMARE）】こそが、我がギルドの目指すべき理想だ！
vo_adv_7019001_003.m4a|ジュン殿、上に立つ者としての心得を教えてはもらえないだろうか！？
vo_adv_7019001_008.m4a|………………ん？
vo_adv_7019001_009.m4a|大きくなったら？もしや私を子供だと思っているのでは……
vo_adv_7019001_010.m4a|いやいや！　きっと言葉のあやだ！ジュン殿は私に、人としてもっと成長するべきだと、そうアドバイスしたかったのだろう！
vo_adv_7019001_011.m4a|むっ！？また魔物の群れか！？
vo_adv_7019001_014.m4a|おおっ！　見事な剣さばきだ！！
vo_adv_7019001_015.m4a|お、こっちにもいるな。ならば私もっ！！
vo_adv_7019001_016.m4a|そこだっ！！
vo_adv_7019001_017.m4a|戦えると分かれば、ジュン殿も私を子供とは思うまい！
vo_adv_7019001_018.m4a|よし、貴公はここで待っていてくれ。私はジュン殿の助太刀に──
vo_adv_7019001_020.m4a|うお！？一人でこの魔物たちを片付けてしまったのか！？
vo_adv_7019001_021.m4a|さ、さすがジュン殿だ。私ももっと戦果を上げられるよう、見習わなければな……
vo_adv_7019001_023.m4a|ほ、本当か！？
vo_adv_7019001_026.m4a|ご、ご両親…………
vo_adv_7019001_027.m4a|もはや勘違いのしようがない……確実に子供扱いされている……
vo_adv_7019001_030.m4a|…………
vo_adv_7019001_031.m4a|いや……いつもなら言い返すところだが。相手が憧れのジュン殿かと思うと……
vo_adv_7019001_032.m4a|はぁ…………怒るに怒れん…………
vo_adv_7019002_001.m4a|軍人たるもの基礎鍛錬は日課！私も問題ないぞ！
vo_adv_7019002_003.m4a|ゆ、指切り……
vo_adv_7019002_005.m4a|ぐぅ……ジュン殿につられてつい指を伸ばしてしまったが……ジュン殿はやはり私を子供扱いしているな……
vo_adv_7019002_006.m4a|いや、この外見だ。致し方あるまい。ここは冷静に真実を伝えるのが、大人の対応というものだろう。
vo_adv_7019002_007.m4a|ジュン殿……実は大事な話がある。
vo_adv_7019002_009.m4a|そのだな……私は、子供ではないのだ。
vo_adv_7019002_010.m4a|ゆえに私のことをもう少し頼ってもらえるとありがたい。
vo_adv_7019002_013.m4a|ち……
vo_adv_7019002_014.m4a|違う！！私は立派な大人だっ！！
vo_adv_7019002_018.m4a|ジュン殿、そんなに謝らないでくれ！それに……
vo_adv_7019002_019.m4a|これぐらいで目くじらを立てるようではそれこそ大人げないというもの。今までのことは水に流そう！
vo_adv_7019002_021.m4a|過ちを認める潔さ。頭を下げてくれる誠実さ。これこそがジュン殿だ！
vo_adv_7019002_022.m4a|これでようやく私を一人前の大人として、対等に扱ってくれるだろう！
vo_adv_7019002_023.m4a|では、気を取り直して先へ進もう！！
vo_adv_7019002_024.m4a|……と思ってたのに。
vo_adv_7019002_025.m4a|ふぅ……だいぶのぼってきたな。少々暑くなってきたぞ。汗が止まらん。
vo_adv_7019002_027.m4a|ええと私は……いや、厚意を無下にするのも申し訳ない。ありがたく、お借りしよう……
vo_adv_7019002_028.m4a|ぜぇ、はぁ……なんだこの階段の数は……！いやがらせにもほどがあるぞ……！！
vo_adv_7019002_029.m4a|おっ、わわっ！？
vo_adv_7019002_031.m4a|両脇を持ち上げられ、足もつかないこの状況……屈辱的だ……！いくら尊敬するジュン殿でも、ここは私の威厳のために言わねば！
vo_adv_7019002_032.m4a|…………だ。
vo_adv_7019002_033.m4a|大丈夫だ！助けてもらって感謝する！！
vo_adv_7019002_034.m4a|はぁ……
vo_adv_7019002_036.m4a|で、では私も共に行こう！
vo_adv_7019002_038.m4a|…………
vo_adv_7019002_039.m4a|なぜだっ！？扱いがまったくもって変わってなくないか！？私は非力な子供ではない！！
vo_adv_7019002_040.m4a|おおっ！？　もらっていいのか！？
vo_adv_7019002_041.m4a|……ではなく。そ、そういう子供じみた甘味など、私は好かんのだ。一人で食べてくれ！！
vo_adv_7019002_042.m4a|……………
vo_adv_7019002_043.m4a|な、なんだこっちを見て。え？　よだれが出てる！？……って、うそをつくな！！
vo_adv_7019002_044.m4a|コホン、貴公の気遣いには感謝する。どうせ私が落ち込んでいると思っているのだろう？……その通りだ。
vo_adv_7019002_045.m4a|大人だと理解してもらっても、私はこのような姿だからな。どうしたって子供のように扱われてしまう。しかし、心は立派な大人で、誇り高き軍人なのだ。
vo_adv_7019002_046.m4a|ジュン殿に悪気がないのは分かっている。それでも……
vo_adv_7019002_047.m4a|ジュン殿に対等に扱ってもらえないのは、少し寂しいな……
vo_adv_7019002_048.m4a|……ん？　なんだ？何度差し出されても、私は絶対に食べないぞ！
vo_adv_7019002_049.m4a|……ま、まぁそうだな。甘味というのはエネルギー補給に最適だ。補給するのに、子供も大人も関係はないな！
vo_adv_7019002_050.m4a|軍人たるもの、健康管理を第一にしなくては。ちょうどお腹も空いてきたし、いただこう！
vo_adv_7019002_051.m4a|ん～～～！！　砂糖を溶かしただけのものが、どうしてこれほど人を幸せにしてくれるのだろうか！！
vo_adv_7019002_052.m4a|よし！　元気が出てきたぞ！そしてやる気もな！
vo_adv_7019002_053.m4a|このまま落ち込んでいても仕方あるまい。貴公、私はやるぞ！ジュン殿に認めてもらうために！！
vo_adv_7019003_000.m4a|これほどの数に取り囲まれては、前進も後退もできぬな……
vo_adv_7019003_002.m4a|いやしかし。流石にジュン殿一人でこの数を相手にするのは──
vo_adv_7019003_004.m4a|…………いや。杞憂であったな。ここは貴公の安全が最優先だ。悔しいが、我々は下がっていよう。
vo_adv_7019003_006.m4a|はぁ。今度こそ私の活躍を見せようと思ったのだが……そううまくはいかないな。
vo_adv_7019003_007.m4a|……っ！？
vo_adv_7019003_008.m4a|貴公！　後ろだっ！
vo_adv_7019003_009.m4a|……ふぅ。危なかった。私が奴を切り捨てていなければ、貴公は真っ二つだったな！
vo_adv_7019003_011.m4a|ああ。これぐらい問題ない。
vo_adv_7019003_013.m4a|そう言わないでくれ。確かにジュン殿にとって私は小さく頼りなく見えるかもしれないが、私も軍人だ。
vo_adv_7019003_014.m4a|軍人たるもの、国は違えど民を守るのが役目。この者が無事だったなら、この傷は私にとって勲章だ！
vo_adv_7019003_018.m4a|…………むにゃむにゃ。
vo_adv_7019004_003.m4a|『守ってあげてくれ』……？今ジュン殿はそう言ったのか！？　でもなぜ急に……
vo_adv_7019004_004.m4a|いや、そんなことはどうでもいい！ジュン殿が私を頼っている。それで十分だ！
vo_adv_7019004_005.m4a|了解した！　こちらは私に任せてくれ！！
vo_adv_7019004_007.m4a|空のことならば、私に任せてくれ！
vo_adv_7019004_008.m4a|空を舞う戦法！　受けるがいい！！
vo_adv_7019004_009.m4a|おおっ！？　空中斬りが決まったぞ！あとは華麗に着地を決めれば──
vo_adv_7019004_010.m4a|……って、わぁっ！？ジュン殿、そこをどいてくれーーー！！
vo_adv_7019004_013.m4a|や、優しく抱き留められてしまった……しかも、お姫様抱っこで……
vo_adv_7019004_014.m4a|これではますますジュン殿に頼りにされなくなってしまうのではないか……！
vo_adv_7019004_016.m4a|…………ん？今、私を強いと言ったのか？
vo_adv_7019004_020.m4a|あ、いや！　私は別に気にしてないぞ！……むろん、つっこみはするが。
vo_adv_7019004_021.m4a|だが、もうどうだっていいんだ。私は、ジュン殿に認められている。それが分かっただけで十分だ！
vo_adv_7019004_024.m4a|ああいや別にこれぐらい……うぐぐ……！
vo_adv_7019004_026.m4a|ジュン殿に悪意など一切ない。むしろ善意全開だ……なるほど……これは扱いを改めてもらうとなると、時間がかかりそうだな……
vo_adv_7019004_027.m4a|しかしジュン殿に認められるという目的は達成したのだ。付き合いはまだ続くのだし、おいおい改めてもらうとしよう！
vo_adv_7019005_000.m4a|おい、貴公。拾って大丈夫なのか？
vo_adv_7019005_002.m4a|これが本当に貴公の役に立つのか……？うわっ！？
vo_adv_7019005_003.m4a|おお～～！！ここが『遊園地』というヤツか！
vo_adv_7019005_004.m4a|悲鳴が聞こえると思えば、あれがジェットコースターだな！しかしあの程度の速度で音を上げるとは情けない！我が国の戦闘機に乗れば悲鳴も上げられんぞ！
vo_adv_7019005_005.m4a|む、なぜみんなトラタイガーのお面をつけている？工作員でもないのに、変装などして楽しいものなのか？私もつけてみれば分かるのだろうか！？
vo_adv_7019005_006.m4a|貴公！　あの店へ入るぞ！！
vo_adv_7019005_007.m4a|ふぅ～すでに土産まで買ってしまった！見ろ！　トラタイガーのお面にハンカチ、変身ベルトもあるぞ！！
vo_adv_7019005_008.m4a|ち、違う！　これは私の小さな友人たちへの土産だ！……ぜ、全部じゃないがな。
vo_adv_7019005_009.m4a|それよりも……私の荷物を貴公に持たせるなど、いささか申し訳ない気持ちになるのだがいいのか？
vo_adv_7019005_010.m4a|……う、うむ。貴公がそう言うならば。しかし楽しめというが、私は遊びに来たわけではないぞ。
vo_adv_7019005_011.m4a|トラタイガーなる者……私はその正体を見定めに来たのだ。
vo_adv_7019005_012.m4a|動画を見る限り、力を抑えている様子だったが実戦となればどれほど強いのか確かめたい。
vo_adv_7019005_013.m4a|見込みがあれば我が隊へ勧誘するつもりだ。つまりこれは、軍人としての仕事なのだ！
vo_adv_7019005_014.m4a|これで分かったか！私は決して、トラタイガーに会うのを楽しみにしているわけではない！
vo_adv_7019005_015.m4a|……って、おい！そのほほえましそうな顔はやめろ！
vo_adv_7019005_017.m4a|む？　パレードだと？軍事演習でもしているのか？せっかく来たのだし、我々も偵察に行くぞ！！
vo_adv_7019005_018.m4a|なんだこれは！？光り輝く車が列をなしているぞ！？貴公、もっと近くまで見に行こう！！
vo_adv_7019005_019.m4a|……ん？　いない。まさかあいつ、迷子になったのか！？
vo_adv_7019005_020.m4a|……いや。もしや迷子は私の方なのでは……致し方あるまい。電話して連絡を取るか。ええと、カバンは……
vo_adv_7019005_021.m4a|…………
vo_adv_7019005_022.m4a|しまった！！あいつに荷物ごと預けたままだ！！
vo_adv_7019005_023.m4a|ど、どうしたものか……
vo_adv_7019005_025.m4a|むむ、私の背後を取るとは小癪な！しかもお母さんとはぐれたのかな……だと！？私を子供扱いするのはどこの誰だ！？
vo_adv_7019005_026.m4a|……ん？　トラタイガーのお面？おお！　さては其方、トラタイガーのファンだなっ！
vo_adv_7019005_028.m4a|私はモニカだ！あと私がはぐれたのは『お母さん』ではない。私は大人で、誇り高き軍人だぞ！
vo_adv_7019005_033.m4a|今の言葉に若干ひっかかりを覚えるのだが、まぁいい。実は、とある男を捜しているのだが……
vo_adv_7019005_035.m4a|……貴公、はぐれてしまってすまない。って、なにを笑っている！？
vo_adv_7019005_036.m4a|何ぃ！？　て、手をつないでいるのは純殿が『私が迷子にならないように』と言うので致し方なくだ！
vo_adv_7019005_037.m4a|そしてこの飴は、純殿が買ってくれて…………言っておくが、物欲しそうに見ていたわけではないぞ！
vo_adv_7019005_038.m4a|そんなことより、もっと大事な話があるだろう！二人が知り合いとは初耳だぞ！？
vo_adv_7019005_041.m4a|純殿、行ってしまったな。聞けばここで働いているとか。任務中に悪いことをしてしまった。
vo_adv_7019005_042.m4a|それで貴公。ここに来ればトラタイガーに会えるのだろう！？トラタイガーはどこだ！？
vo_adv_7019005_043.m4a|……え？
vo_adv_7019005_047.m4a|そこだっ！　よしよし、負けるなーっ！！
vo_adv_7019005_048.m4a|軽やかな身のこなしながら、なんと重そうな拳……！まさか純殿がトラタイガーだったとは……！
vo_adv_7019005_049.m4a|しかし惜しいな。力を抑えているのが分かる。
vo_adv_7019005_050.m4a|あのような部下がいてくれたら心強いのだろうな。是非とも一度、純殿と背中合わせで戦ってみたいものだ……
vo_adv_7019005_051.m4a|……なに？　できるのか？どうすればいい！？
vo_adv_7019005_055.m4a|ぬわっ！？貴公、なぜ私の手を持ち上げるのだ！？私はお友達とやらではないぞ！？
vo_adv_7019005_057.m4a|私か！？　くっ、貴公のせいだぞ……！……まぁ、選ばれてしまったのなら致し方あるまい！誇り高き軍人らしく、腹をくくろう！
vo_adv_7019005_059.m4a|この場を盛り上げて、子供らを楽しませればよいのだな。演習の時を思い出せばなんてことはない……よし！
vo_adv_7019005_061.m4a|トラタイガー！私が来たからにはもう安心だ！！
vo_adv_7019005_063.m4a|とぅっ！！
vo_adv_7019005_066.m4a|まだまだ！モニカサイキョーパーンチッ！！
vo_adv_7019005_070.m4a|おお、盛り上がっているではないか！これは楽しいな！！
vo_adv_7019005_072.m4a|何をしているのだ、トラタイガー！共に正義のために戦おう！ウルトラハイパードロップキーック！！
vo_adv_7019005_075.m4a|いや、私の方こそ感謝している。ショーとはいえ、其方と一緒に戦えて光栄だった！
vo_adv_7019005_079.m4a|も、もちろんだっ！……ははっ！　貴公、聞いたか！？私が、トラタイガーと戦えるのだ！　今から鍛え直さねばな！！
vo_adv_7019005_080.m4a|……はっ！？今の光景は？　夢、だったのだろうか？
vo_adv_7019005_083.m4a|つまり、これでジュン殿との合同作戦は終わりか……
vo_adv_7019005_085.m4a|……え？
vo_adv_7019005_087.m4a|……っ！　ならば私も、誇り高きヴァイスフリューゲルの軍人として全力で挑ませてもらおうっ！
vo_adv_7019005_089.m4a|ジュン殿……
vo_adv_7019005_090.m4a|あとはこうやって無意識に頭を撫でるのをやめてくれれば文句はないのだがな……
vo_adv_7019005_091.m4a|まぁ、致し方あるまい。
vo_adv_9005013_001.m4a|──助けを求めている者とは其方か！
vo_adv_9005013_003.m4a|先ほどルカ……【トワイライトキャラバン】の者たちと会ってな。助けを必要としている者がいるから、ここに向かえと言われたのだ！あいつへのプレゼントを作っているのだろう？
vo_adv_9005013_017.m4a|うむ！　そんな気はしていたが、やはりこういった作業には向かないな、私たちは！
