vo_adv_1224001_002.m4a|はい、これ。キミのサンダルかな？
vo_adv_2107004_033.m4a|あっ、ソルオーブ！そっかぁ、クリスさんがさっそく見つけてくれたんだね！ムイミちゃんもありがとうっ──
vo_adv_2107004_035.m4a|あ、あれっ？ムイミちゃん、渡してくれるんじゃなかったの……？
vo_adv_2107004_037.m4a|えーっと、ムイミちゃん……？
vo_adv_2107004_039.m4a|あれっ？そう、だよね……ごめんねノウェムちゃん！
vo_adv_2107004_041.m4a|ノウェムちゃん、ノウェムちゃん……うん、こっちのほうがずっとしっくりくるみたい。
vo_adv_2107004_042.m4a|それに……さっき、あたしたちとソルオーブを獲り合ったことがある、みたいなお話してたけど。あれって、どういう意味なの……？
vo_adv_2107004_045.m4a|……！ノウェムちゃん……ひょっとして、何か知ってるの？あたしたちも、すっごく気になってることがあって……！
vo_adv_2107004_047.m4a|えっとえっと、変なコト言っちゃうかもだから笑わないでほしいんだけど……！
vo_adv_2107004_048.m4a|──『現実』っていう世界が、ほんとにあるかどうか……！
vo_adv_2107004_050.m4a|あっ、ちゃんと思い出せたわけじゃなくて！フィオちゃんが、もう一つの世界を夢の中で見せてくれて、教えてくれたって感じなんだけど……！
vo_adv_2107004_052.m4a|えっ！？消えちゃったかもって、どういうことっ……？
vo_adv_2107004_056.m4a|えっ、えええっ……？世界って創ったり、創りなおしたりできるの……？
vo_adv_2107004_060.m4a|はず、って？
vo_adv_2107004_062.m4a|そ、そうなんだ……？
vo_adv_2107004_065.m4a|ユイちゃん……あっ……！
vo_adv_2107004_066.m4a|フィオちゃんも、ユイちゃんのことをすっごく気にしてたんだよ！でもレイさんもあたしも、それがどうしてなのかぜんぜんわかんなくってっ。
vo_adv_2107004_067.m4a|……それにフィオちゃん、あたしたちの知ってるフィオちゃんじゃなくなってたし。また話を聞きたくても、いなくなってるみたいだったし……
vo_adv_2107004_068.m4a|ねぇノウェムちゃん、お願いっ。知ってること、教えてほしいんだっ。
vo_adv_2107004_069.m4a|ユイちゃんに何があったの？あたしたちは、どうすればいいの？『前の世界』とか、『現実』とか……もう、モヤモヤしたくないから！
vo_adv_2107004_074.m4a|でも？
vo_adv_2107004_076.m4a|…………
vo_adv_2107004_077.m4a|……うん。
vo_adv_2107004_078.m4a|ノウェムちゃんがそこまで言うってことは、きっと本当に、つらいお話なんだって思うけど。だからこそ、逃げないで、ちゃんと向き合いたいんだっ！
vo_adv_2108001_010.m4a|……うーん……
vo_adv_2108001_011.m4a|……うぅぅーん……
vo_adv_2108001_012.m4a|…………
vo_adv_2108001_013.m4a|……はぁ……
vo_adv_2108001_015.m4a|あっ……レイさん……
vo_adv_2108001_017.m4a|……その、えーっと……
vo_adv_2108001_018.m4a|……うん。
vo_adv_2108001_019.m4a|実は……この前ね。ノウェムちゃんと、お話……したんだけど……
vo_adv_2108001_021.m4a|そ、それは……
vo_adv_2108001_023.m4a|……うん。
vo_adv_2108001_024.m4a|ノウェムちゃんがそこまで言うってことは、きっと本当に、つらいお話なんだって思うけど。だからこそ、逃げないで、ちゃんと向き合いたいんだっ！
vo_adv_2108001_025.m4a|…………
vo_adv_2108001_026.m4a|……「逃げないで、向き合いたい」…………あの時は、たしかにそう思ってたけど……
vo_adv_2108001_027.m4a|でも……あんなお話。どうやって、レイさんたちに伝えればいいのかな……
vo_adv_2108001_029.m4a|レイさん……？
vo_adv_2108001_030.m4a|あっ。そういえばレイさん、実家の『お父さん』のところに行ってお願いしてるんだっけ……魔族の人たちをまとめて、ペコさんに協力してくれるように。
vo_adv_2108001_033.m4a|えええっ！？　あとあとあと、跡取り……！？
vo_adv_2108001_035.m4a|レイさん……
vo_adv_2108001_039.m4a|レイさん……その……
vo_adv_2108001_040.m4a|…………
vo_adv_2108001_042.m4a|……あのね、レイさん。えっと、えっと……
vo_adv_2108001_043.m4a|……その、『お父さん』って。本当の、レイさんのお父さんなのかな……
vo_adv_2108001_048.m4a|レイさんっ？
vo_adv_2108001_052.m4a|……わ、わかんない。わかんないけど、でも、ノウェムちゃんが言うには……
vo_adv_2108001_053.m4a|この世界は、一回作り直されたもので。でもその『再構築』っていうのがうまくいかずに、歪んじゃって……
vo_adv_2108001_054.m4a|その歪みを、矛盾を、みんなに気づかせないための魔法みたいなものが、世界そのものにかかってるんだって。あたしもみんなも……レイさんも、やっぱりそうなのかも……
vo_adv_2108001_057.m4a|レ、レイさん……大丈夫？
vo_adv_2108001_060.m4a|……う、うん……
vo_adv_2108001_062.m4a|あっ、コッコロちゃん？
vo_adv_2108001_066.m4a|でも、何があったの？コッコロちゃん。
vo_adv_2108001_078.m4a|ええっ！？マサキさん、大丈夫なのっ？
vo_adv_2108001_083.m4a|そうだよね。それにマサキさんだっていたのに、二人ともやっつけられちゃうだなんて……
vo_adv_2108001_088.m4a|仮面なんて、誰でもつけられるもんね。
vo_adv_2108001_097.m4a|えぇっ！？それじゃあ、クリスさんも捕まっちゃってるかも、ってこと……！？
vo_adv_2108002_004.m4a|ひょっとして、ネネカさんが？
vo_adv_2108002_030.m4a|……う、うんっ……もちろんだよっ！　レッツゴーゴー！
vo_adv_2108002_036.m4a|準備っていえば……目的地って、すっごく遠い海の上なんだよね。どうやって行くの？
vo_adv_2108004_043.m4a|さっき中を探検してみたんだけど寝るところ以外の船室に、木箱がたっくさん詰まってたよ。【メルクリウス財団】さんの荷物かなぁ？
vo_adv_2108004_056.m4a|……うん。島に着いたら、どうなるかわからないもんね。
vo_adv_2108004_118.m4a|…………
vo_adv_2108004_120.m4a|う、うん。なに、ユイちゃん。
vo_adv_2108004_122.m4a|だ、大丈夫だよ？夕方にたっくさん寝たし、さっきはコーヒーも飲んだし。
vo_adv_2108004_124.m4a|うん……
vo_adv_2108004_126.m4a|…………
vo_adv_2108004_129.m4a|ぅ……
vo_adv_2108004_130.m4a|えっと、それは……それはっ……
vo_adv_2108004_131.m4a|……そんなことないよ？　あたしは元気、ぜんぜん元気っ！【レイジ・レギオン】のひとたちも、「えーいっ！」って、やっつけちゃうんだから！
vo_adv_2108004_133.m4a|うん……
vo_adv_2108004_135.m4a|…………
vo_adv_2108004_136.m4a|……うぅ……
vo_adv_2108004_137.m4a|ユイちゃん……本当はもっと、あたしに色々聞きたそう。たぶん、あたしが何か知って、抱え込んでること……気づいてるんだ。そうだよね……仲間だもんね……
vo_adv_2108004_138.m4a|で、でも……ユイちゃんには前に、あたし、「準備ができたらちゃんとお話しするから」って言っちゃったから。ユイちゃん、聞きたい気持ちをガマンして待ってくれてるんだよね……
vo_adv_2108004_139.m4a|でも……言えない…………まだ、言えないよ。
vo_adv_2108004_140.m4a|だってだって。……もし……もし、ノウェムちゃんの言ってたことが、ぜんぶ本当だったとしたら……
vo_adv_2108004_141.m4a|ユイちゃんが、騎士くんに…………としたら。それが本当なら……あたしは……あたしは……
vo_adv_2108004_143.m4a|……っ！
vo_adv_2108004_144.m4a|ご、ごめん！あたし、朝ごはんの準備してくるね！何かあったら呼んでっ！
vo_adv_2108005_001.m4a|なんとか、島の端っこの浅瀬に船を降ろせたけどっ……！
vo_adv_2108005_010.m4a|でも、魔物たちの数が多かったから結構騒ぎになっちゃったかも……
vo_adv_2108005_026.m4a|うん……！そのときは全力で、速攻でやっつける！
vo_adv_2108005_034.m4a|そう聞くと、なんだかとっても大変そうだけど……！
vo_adv_2108005_038.m4a|また魔物っ……！？
vo_adv_2108005_042.m4a|しかもまだ全然、本気って感じじゃないし……！
vo_adv_2108005_079.m4a|魔法でぱーっと引き返しちゃおう、ってことだね……！
vo_adv_2108005_082.m4a|ま、待っててくれたの……？
vo_adv_2108006_006.m4a|ありがと、コッコロちゃんっ！
vo_adv_2108006_020.m4a|それに、あたしたちもいるんだからっ！降参するなら、今のうちだよ！【レイジ・レギオン】さんっ！
vo_adv_2108006_022.m4a|えっ！？消えっ──
vo_adv_2108006_024.m4a|──わわっととと！ありがとシェフィちゃんっ！
vo_adv_2108006_033.m4a|霧っ？
vo_adv_2108006_036.m4a|オッケー、レイさんっ！
vo_adv_2108006_040.m4a|てえーいっ！
vo_adv_2108006_045.m4a|！いったったあ～～っ！！！
vo_adv_2108006_047.m4a|ありがと、ユイちゃんっ！
vo_adv_2108006_053.m4a|うっ、うんっ！まだまだ、戦えるよっ……！
vo_adv_2108007_001.m4a|うにゃああーーーっ！
vo_adv_2108007_013.m4a|うん……！押してる、押してるんだけど……！
vo_adv_2108007_037.m4a|レイさんっ！
vo_adv_2108007_060.m4a|そうだよっ！あたしたち、平和に過ごしたいだけだもんっ。降参してくれるなら、これ以上戦う必要なんて……！
vo_adv_2108007_078.m4a|とにかく、ランドソルが狙われてるかもってことなら……急いで戻らなくちゃだよね！
vo_adv_2108008_021.m4a|！みんな、あぶないっ！
vo_adv_2108008_023.m4a|あああっ……！！
vo_adv_2108008_067.m4a|う、うん……！まだ、終わらない、よ……！
vo_adv_2108008_069.m4a|だいじょぶユイちゃん、ありがとっ。それに……
vo_adv_2108008_070.m4a|あたし……ちゃんと、ユイちゃんと話したいことがあるから。こんなところで、倒れてなんかいられないもん……！
vo_adv_2108010_015.m4a|！隙アリだよっ！
vo_adv_2108010_016.m4a|ヒヨリブレイジングインパクトーッ！！
vo_adv_2108010_058.m4a|ヒヨリブレイジングインパクトッ！三段打ちだああああっ！！
vo_adv_2108010_071.m4a|あとちょっと……ほんの少しのはず、なのに……
vo_adv_2108010_082.m4a|騎士くん！が、頑張って……！！
vo_adv_2108010_096.m4a|騎士くん、押してるっ！？すごい！
vo_adv_2108010_106.m4a|騎士くんっ！
vo_adv_2108099_030.m4a|ごほっ、ごほっ……！
vo_adv_2108099_032.m4a|だめ、見つかんない……！海の中の視界が、悪すぎて……！
vo_adv_2108099_048.m4a|ど、どうしたのユイちゃんっ？
vo_adv_2108099_075.m4a|そんなすごい精霊さまが……どうして、騎士くんを助けてくれたのっ？
vo_adv_2109004_006.m4a|もうあんなムチャしないでね、騎士くん。
vo_adv_2109004_012.m4a|うん！他の【レイジ・レギオン】のひとたちは、街へ向かったって言ってたし……！
vo_adv_2109004_018.m4a|ユイちゃんっ？
vo_adv_2109004_027.m4a|じゃあじゃあ、あたしたちランドソルに戻れないってこと！？船も壊されちゃったし……！
vo_adv_2109004_032.m4a|でもでも、こうしてる間にも街のみんなが……！
vo_adv_2109004_097.m4a|そっか！ノウェムちゃんや、ダイコンさんが来てくれたんだね！
vo_adv_2109004_105.m4a|プリンセスフォームで戦った後だもん。栄養補給、しなくっちゃねっ。
vo_adv_2109004_114.m4a|肩透かし……って言ったらヘンかもだけど。ソルの塔とか、ルナの塔とか。塔の中って、魔物でぎっしりなイメージだもんね。
vo_adv_2109004_135.m4a|え、えーとっ……！それにしても見つからないね、ネネカさんやクリスさん。
vo_adv_2109004_142.m4a|えっ！？ねぇ、あの人って──まさか……！！
vo_adv_2109006_003.m4a|あっ！ラジラジさん、目が覚めたみたいだよ！
vo_adv_2109006_022.m4a|キャルちゃんっ、それはダメだよ～っ！
vo_adv_2109006_031.m4a|あっ……えっとえっと！ラジラジさんの言う通り、ゼーンさんはほんとにほんとに、すっごい強かったよ！
vo_adv_2109006_035.m4a|……ラジラジさん、落ち込んじゃった。
vo_adv_2109006_040.m4a|えーっと、っていうことは……
vo_adv_2109006_043.m4a|そうそう！ダイゴロウさんもラジラジさんを心配してるだろうし、無事だって知ったら絶対喜ぶよ！
vo_adv_2109006_047.m4a|そ、それじゃあ……一生懸命、泳いで帰る！　っていうのは？
vo_adv_2109006_049.m4a|ぅっ……
vo_adv_2109006_059.m4a|そ、そっか。そうだよね……
vo_adv_2109006_069.m4a|ええっ！？ラジラジさんっ！？
vo_adv_2109006_085.m4a|いやいやいやいやいや！ラジラジさん、思いっきり騎士くんをぎゅーってしてたし！
vo_adv_2109006_094.m4a|えっと……ラジラジさんが、騎士くんをパワーアップさせたとか、そういう感じ？
vo_adv_2109008_052.m4a|う、うんっ！きっと何か、事情があったんだと思う！
vo_adv_2109008_071.m4a|それじゃあ……やっぱり、記憶を無くす前の二人は知り合いだったかも、なんだね！
vo_adv_2109009_000.m4a|ユイちゃん、ユイちゃんしっかり！
vo_adv_2109009_056.m4a|ユイちゃん！良かった、気が付いた……！
vo_adv_2109009_119.m4a|そ、それって、どういう……？
vo_adv_2109010_002.m4a|あれって……
vo_adv_2109010_012.m4a|ユイちゃんにお姉さんがいるなんて、聞いたことないけど……
vo_adv_2109010_048.m4a|う、うん……あたしも、知らない…………それに……
vo_adv_2109010_069.m4a|じゃあ、『皇帝』と戦った『正義のヒーロー』って、あたしたち【トゥインクルウィッシュ】と……騎士くん……なの？
vo_adv_2109010_139.m4a|黙ってそれを見過ごすわけには、いかないよ……！！
vo_adv_2109011_044.m4a|ノウェムちゃーんっ！
vo_adv_2109011_100.m4a|ユイちゃん、防御の魔法でなんとかできそうっ！？
vo_adv_2109011_113.m4a|……や、やっぱり……そうなの……ノウェムちゃんが、言ってた通り……
vo_adv_2109011_161.m4a|逃げて、シェフィちゃんっ！！
vo_adv_2109012_004.m4a|そ、そんな……
vo_adv_2109012_034.m4a|ね、ねえ！羽の生えた、仮面の女の子たち……って、もしかして……！
vo_adv_2109012_083.m4a|ネネカさん！返事をして！あたしたちが、わからないの！？
vo_adv_2110003_021.m4a|ユイちゃん……！
vo_adv_2110003_023.m4a|えっと……ユイちゃん、ずっとうなされてて……
vo_adv_2110003_028.m4a|うんっ……！あたしこそ、ユイちゃんを傷つけちゃった……！ごめんね、ごめんね……！
vo_adv_2110003_032.m4a|……！ぜ、全部じゃないよっ！全部じゃないけど、でも……
vo_adv_2110003_033.m4a|こ……この世界が、作り物かもしれなくて。みんな、閉じ込められちゃってるかもしれなくて。それで……
vo_adv_2110003_034.m4a|……ユイちゃんの願いが、叶った場所だって……ことは……
vo_adv_2110003_039.m4a|……ユ、ユイちゃん……
vo_adv_2110003_056.m4a|隣の部屋にいるから、何かあったらすぐ声をかけてね。
vo_adv_2110004_067.m4a|騎士くーーーんっ！
vo_adv_2110004_072.m4a|ちょ、ちょっと目を離したあいだに、ユイちゃんいなくなっちゃって……！
vo_adv_2110004_078.m4a|えっと……カスミちゃん、ユイちゃんは、それじゃあ……
vo_adv_2110004_081.m4a|とにかく、捜さなきゃ！今のユイちゃんを、一人にしてはおけないよっ！
vo_adv_2110005_000.m4a|コッコロちゃん！そっちはどう！？ユイちゃんいたっ？
vo_adv_2110005_004.m4a|う、うん……
vo_adv_2110005_008.m4a|う、ぅぅっ……
vo_adv_2110005_010.m4a|……ユイちゃんが、どこかに行っちゃったのって。やっぱり……やっぱり……あたしが、ちゃんとユイちゃんに話さなかったから……
vo_adv_2110005_011.m4a|もし、もうちょっと早く……ノウェムちゃんから聞いたお話や、フィオちゃんのこと……伝えてあげられてたら。きっとユイちゃんは、あんなに傷つかないで……済んだのに……
vo_adv_2110005_014.m4a|レイさん……
vo_adv_2110005_053.m4a|ま、魔物の声っ！？
vo_adv_2110005_073.m4a|……ユイちゃん……！
vo_adv_2110005_089.m4a|マホさんたち、ありがとう……！
vo_adv_2110006_054.m4a|たああーっ！
vo_adv_2110006_060.m4a|コッコロちゃん、どうだった……？
vo_adv_2110006_063.m4a|そ、そっか……
vo_adv_2110006_068.m4a|う、うん……
vo_adv_2110006_070.m4a|…………
vo_adv_2110006_071.m4a|……ユイ、ちゃん……
vo_adv_2110006_072.m4a|ユイちゃんを、助けるためには……
vo_adv_2110006_073.m4a|エリスさんを、やっつけなくちゃいけない……のかな。覇瞳皇帝さんのときみたいに……
vo_adv_2110006_077.m4a|……う……、うん……
vo_adv_2110006_081.m4a|【レイジ・レギオン】との戦いがあったから、まだ全部揃えられてないんだよね……
vo_adv_2110006_084.m4a|これって……『前の世界』の記憶……なのかなぁ。はっきりしなくて、もやもやしちゃうんだけど……
vo_adv_2110006_091.m4a|ど、どうしようっ？こうなったら、みんなで手分けしてみる？
vo_adv_2111002_001.m4a|えぇっ！？プリンっ？
vo_adv_2111002_012.m4a|ね、ねぇレイさん。占いであたしたちの場所がわかるんだったら、ユイちゃんのことも……？
vo_adv_2111002_021.m4a|うわわっ！ドクロがしゃべったぁ！？
vo_adv_2111002_028.m4a|わわっ！レイさん、落ち着いて！
vo_adv_2111002_048.m4a|ユイちゃん……！
vo_adv_2111002_063.m4a|ユイちゃん……！
vo_adv_2111002_089.m4a|わわっ！？囲まれちゃった……！？
vo_adv_2111004_023.m4a|少しずつ……少しずつだけど……
vo_adv_2111004_026.m4a|あたしとユイちゃん、レイさん、それに騎士くん……４人で、たくさん冒険したよね。
vo_adv_2111004_027.m4a|それに……『あっち』の……現実のほうで、一緒に過ごした、おんなじ思い出がある、ってことは……
vo_adv_2111004_029.m4a|でも……どうしてかなぁ。これまで、『認識の修正』？　っていうののせいで、現実のこと、なかなか思い出せなかったのに……
vo_adv_2111004_032.m4a|……うん、それに……
vo_adv_2111004_033.m4a|きっと、あの子のおかげかなって……思うんだ。あたしたちの、もう一人のお友だち……フィオの。
vo_adv_2111004_034.m4a|フィオが、何度も何度も、夢で『あっち』の景色を見せてくれたから……
vo_adv_2111004_041.m4a|……ミネルヴァが、覇瞳皇帝さんに乗っ取られちゃいそうになって。ああ、そうだ、そうだったよね。それに、あのときは……
vo_adv_2111004_042.m4a|はぁ、はぁ……
vo_adv_2111004_046.m4a|ミネルヴァ！？
vo_adv_2111004_051.m4a|あたしも二人と同じ気持ちだよ！　だから騎士くんに選んでもらいたい。大事な仲間に決めて欲しいんだ！
vo_adv_2111004_052.m4a|ミネルヴァを、覇瞳皇帝さんに乗っ取られそうになっちゃって。それで……対抗するために……
vo_adv_2111004_059.m4a|ユ、ユイちゃんっ！　ユイちゃんのせいじゃないよ……みんなを閉じ込めちゃうなんて、ユイちゃんは願わなかったはずだもん！
vo_adv_2111004_067.m4a|レイさんっ……？
vo_adv_2111004_075.m4a|レイさん……うん。そうだね……
vo_adv_2111004_076.m4a|もしも……あたしが、願いを叶えてもらうなら。世界中のひとが、笑顔でいられるようにお願いしてたと思う。それを、ミネルヴァに手伝ってもらいたいって。
vo_adv_2111004_077.m4a|でも……でも。ユイちゃんの願いが、歪められちゃったみたいに。あたしの願いだって、歪められちゃって……
vo_adv_2111004_078.m4a|みんなが無理やりでも笑顔じゃないといられないような、そんな世界になっちゃってたかもしれない……
vo_adv_2111004_081.m4a|……うん。あたしたちも……ユイちゃんと、おんなじだよ。だから……「わたしのせい」なんて、言わないで。
vo_adv_2111004_084.m4a|うん、レイさん……！
vo_adv_2111008_001.m4a|たぁっ！とりゃとりゃとりゃ～っ！
vo_adv_2111008_002.m4a|……っ、だめだ～！この檻ぜんぜん壊せないよレイさん～っ！
vo_adv_2111008_004.m4a|で、でもでも！騎士くんたちも心配しちゃってるだろうし……諦めてなんか、いられないよね！　早くここから出なきゃ！
vo_adv_2111008_008.m4a|……あっ！？な、何！？檻の向こうから……！
vo_adv_2111008_015.m4a|あいったたぁ……
vo_adv_2111009_012.m4a|ああっ！もう来ちゃった！？
vo_adv_2111009_035.m4a|ご、ごめん！ありがと、みんな！
vo_adv_2111009_082.m4a|うん……！じっとしててね、ユイちゃん……！
vo_adv_2111010_001.m4a|でもレイさん！あたしたちが攻撃しまくってれば、このへんてこロボだって街に魔法は──うわわっ！？
vo_adv_2111010_064.m4a|っ！レイさん、後ろ！
vo_adv_2111010_067.m4a|あああっ……！！
vo_adv_2111010_075.m4a|……く、ぅぅ～っ……まだ、まだっ…………えっ！？
vo_adv_2111010_077.m4a|これって……ユイちゃん！？
vo_adv_2111010_091.m4a|……うんっ！
vo_adv_2111010_167.m4a|わわっ！骨のドラゴンさんが、紫のロボットさんを攻撃しちゃったよ！？この魔物って、ランファさんが使ってた……
vo_adv_2111010_235.m4a|押されてる……！あ、あのままじゃ……！
vo_adv_2111010_242.m4a|行かせないよっ！ヒヨリブレイジングインパクト！！！
vo_adv_2111010_263.m4a|う、うん……
vo_adv_2111010_278.m4a|ネネカさん……クリスさん……
vo_adv_2111010_294.m4a|ユイちゃん……
vo_adv_2111099_006.m4a|気絶しちゃってるユイちゃんは、あたしがおんぶしていくね！騎士くんと交代で！
vo_adv_2112001_001.m4a|ランドソルの地下深くに、こんな道を作っちゃうなんて。やっぱりラビリスタさん、すごいね！
vo_adv_2112001_007.m4a|えっ、そうなの！？
vo_adv_2112001_013.m4a|うん。あたしたち、みんな傷だらけだもん。ここで戦うなんて、ちょっとムリだよね。ユイちゃんとシェフィちゃんも、まだ寝ちゃってるし……
vo_adv_2112001_015.m4a|……うん。お願い、レイさん。
vo_adv_2112001_027.m4a|うん。それに……エリスさんとも、ちゃんとお話し合いをしたいって思うんだ。
vo_adv_2112001_035.m4a|プリンセスフォームで戦ったこともあるけど。お夕飯の時間は、とっくに過ぎちゃってるもんね。
vo_adv_2112001_040.m4a|ひょっとして、ラビリスタさんかな？
vo_adv_2112001_054.m4a|わぁ！ほんとにエリザベスパークに着いちゃってる！
vo_adv_2112001_072.m4a|そうだね、レイさん。獣人族の国のときみたいに、ユイちゃんが狙われちゃうかもしれないし。
vo_adv_2112001_073.m4a|あっ、ついでって言っちゃったら良くないけど。シェフィちゃんのことも、寝てるあいだはあたしたちで様子を見ておくから！
vo_adv_2112008_050.m4a|ネネカさん、クリスさん！今度こそ助けるよ！とりあえず、そのヘンな仮面を取っちゃうんだから！
vo_adv_2112008_096.m4a|うん！ネネカさんもクリスさんも、仲間だもん！　絶対助けるよ！とりゃとりゃとりゃ～っ！！
vo_adv_2112008_136.m4a|ダイコクさん！？
vo_adv_2112009_071.m4a|わぁ～♪それ、とっても良さそうだね！
vo_adv_2112010_049.m4a|ええっ、温泉を！？
vo_adv_2112010_053.m4a|なぁに、クリスさん？
vo_adv_2112010_055.m4a|わっ！？こ、これって……！
vo_adv_2112010_057.m4a|で、でもどうしてっ？
vo_adv_2112010_065.m4a|これで、ソルオーブはあと１つだね！……あ、でも……レイさん……
vo_adv_2114002_016.m4a|もしも……あたしが、願いを叶えてもらうなら。世界中のひとが、笑顔でいられるようにお願いしてたと思う。それを、ミネルヴァに手伝ってもらいたいって。
vo_adv_2114002_017.m4a|でも……でも。ユイちゃんの願いが、歪められちゃったみたいに。あたしの願いだって、歪められちゃって……
vo_adv_2114002_018.m4a|みんなが無理やりでも笑顔じゃないといられないような、そんな世界になっちゃってたかもしれない……
vo_adv_2114002_026.m4a|──イさん！レイさ～んっ！
vo_adv_2114002_029.m4a|ううん。もうちょっとだけど……レイさん、なんだか寝苦しそうで。
vo_adv_2114002_030.m4a|それにランドソルに着いたら、戦いになるかもって。だからその前に、騎士くんたちと街の近くで合流したほうがいいって、たしか、そういう作戦……だったよね？
vo_adv_2114002_033.m4a|……レイさん？
vo_adv_2114002_036.m4a|えっ？えーっと……？
vo_adv_2114002_038.m4a|う、うん。
vo_adv_2114002_040.m4a|……あ……
vo_adv_2114002_047.m4a|レイさん……
vo_adv_2114002_049.m4a|……ううん。あたしも……レイさんほど、うまく言葉にできないだけで。胸がもやもやしちゃうのは、おんなじだよ。
vo_adv_2114002_050.m4a|困っている誰かを助けたいって、いつも思うのに。自分のもやもやは、解決できないなんて……
vo_adv_2114002_051.m4a|もし、あたしがマンガとか、お芝居の主役だったら。困ってる人は全員助かって、悪い人はどかーんってして……最後にはきっと願いも叶って、ぜーんぶ解決しちゃうけど。
vo_adv_2114002_052.m4a|でも……きっとそんなに、上手くいかないんだよね。みんな、自分の人生の主役で。自分だけの、大事な願いをもっているから……
vo_adv_2114002_053.m4a|……な、なんだかあたしらしくないこと言っちゃった！ごめんねレイさん！
vo_adv_2114002_056.m4a|そろそろ、ランドソルのお城が見えてくる頃だけど……って、今度は通信魔法っ！？
vo_adv_2114002_058.m4a|キャルちゃんっ？どうしたの！？
vo_adv_2114002_061.m4a|ええっ！？襲われる、って一体何に──
vo_adv_2114002_064.m4a|キャルちゃんが慌ててたのは、このせいだったんだ……！
vo_adv_2114002_066.m4a|うん、レイさん！
vo_adv_2114002_074.m4a|騎士くん……
vo_adv_2114002_079.m4a|う、うん！そうだねペコさんっ──
vo_adv_2114002_087.m4a|えっ？だ、だれっ？
vo_adv_2114004_018.m4a|よーしっ、到着～！
vo_adv_2114004_021.m4a|うんっ。そういえば……揃っちゃったんだよね、ソルオーブ。
vo_adv_2114004_027.m4a|うん！フィオちゃんを助けて、ミロクをやっつけちゃえば。塔の頂上でラビリスタさんの計画を実行できるかもだね！
vo_adv_2114004_036.m4a|……！あれが、フィオちゃんを捕らえてる魔物……！
vo_adv_2114004_045.m4a|フィオちゃんっ……！今、助けてあげるからね……！
vo_adv_2114004_049.m4a|わあぁっ！？違う魔物になっちゃった！？
vo_adv_2114004_054.m4a|わわっ、もうバレちゃってるの！？ニセのソルオーブ大作戦っ……！
vo_adv_2114004_058.m4a|ラビリスタさんにもらったニセオーブが見破られちゃったから……それじゃあ次の作戦は、強行突破だぁーっ！
vo_adv_2114004_061.m4a|ゼーンさんっ！？
vo_adv_2114004_068.m4a|ひゃあああっ！
vo_adv_2114004_070.m4a|フィ、フィオちゃんっ……！
vo_adv_2114004_082.m4a|そっか！歌声そのものは、魔力とかじゃないから……！
vo_adv_2114005_008.m4a|カリザくんとランファさんと……誰っ？そっちのひとは、初対面……だよねっ？
vo_adv_2114005_012.m4a|えっと、えっと……つまり、このお姉さんはもともと、カリザくんの飼ってたスライムさんで……
vo_adv_2114005_025.m4a|でもでも！みんなで協力するって、とっても良さそう！これなら街もフィオちゃんも、なんとかなるかもっ──
vo_adv_2114005_050.m4a|んっと……ど、どうかなぁ？　レイさん……
vo_adv_2114005_064.m4a|必ずフィオちゃんを救い出して、ペコさんたちの助けに向かうから！
vo_adv_2114005_069.m4a|まずはあの魔物の動きを止めよう！騎士くん、コッコロちゃん！
vo_adv_2114005_097.m4a|わっ！？ネアちゃんのスライムが、バラバラにっ……！？
vo_adv_2114005_109.m4a|えっ？あたしたちの他に、ソルの塔をっ？
vo_adv_2114006_025.m4a|う、うん！それに、ネアちゃんがミロクをジャマしてくれてる今なら……！
vo_adv_2114006_030.m4a|フィオちゃん！待ってて……！
vo_adv_2114006_051.m4a|カ、カリザくんっ！？生きてたっ！
vo_adv_2114006_056.m4a|ランファさんっ？
vo_adv_2114006_058.m4a|──うんっ！あたしも……がんばるっ！！
vo_adv_2114006_059.m4a|レイさん！あと、お願いっ！
vo_adv_2114006_061.m4a|いま行くよ！フィオちゃあぁんっ！！！
vo_adv_2114006_063.m4a|どいてええぇっ！！！
vo_adv_2114006_064.m4a|……！！か、かった～いっ！！！
vo_adv_2114006_065.m4a|どうなってるのっ！？このひとの身体っ……！！
vo_adv_2114006_069.m4a|たああああっ！ヒヨリバーニングラッシュ！！
vo_adv_2114006_071.m4a|ラッシュ！　ラッシュ！　ラッシュ！　ラッシュ！
vo_adv_2114006_073.m4a|ラッシュ！ラッシュ！！ラアアアアアアァッシュ！！！！
vo_adv_2114006_076.m4a|吹っ飛んじゃえ！ヒヨリ胴回し回転蹴りだぁーーーっ！！！
vo_adv_2114006_078.m4a|ごめん！でも邪魔しないでっ！
vo_adv_2114006_079.m4a|──フィオちゃああんっ！
vo_adv_2114006_080.m4a|う、うぅっ……
vo_adv_2114006_084.m4a|え、へへ……身体が、勝手に動いちゃった……
vo_adv_2114006_085.m4a|……うまく、言葉にできないこととか。胸がもやもやしちゃうこと、いっぱいあるけど……でもあたしは、困ってるひとを助けたいから……
vo_adv_2114006_086.m4a|……ううん。そのために、がんばってるときが……あたしだって、感じがするから。お話の主役なんかじゃ、なくっても……
vo_adv_2114006_123.m4a|じ、地震っ……？
vo_adv_2114008_008.m4a|なんとか……走るくらいなら……！
vo_adv_2114008_013.m4a|誰かが、そんなに正確にイバラをあやつってるってこと……？
vo_adv_2114008_027.m4a|エリスさんの、願い……
vo_adv_2114008_054.m4a|えっ……？
