vo_adv_1015009_000.m4a|「こわ～い魔物の大きな口が、お姫様を飲み込んでしまいそうになったその時──」
vo_adv_5066000_079.m4a|ふふ、カヤちゃんが言っていたとおりの子ね。私は【フォレスティエ】でギルドマスターをしているミサトです。ミサト先生って呼んでね？
vo_adv_5066000_085.m4a|あらあら。
vo_adv_5066000_090.m4a|誘ってもらえたのはとってもうれしいけれど、ごめんなさいね、これからギルド管理協会で用事があるの。
vo_adv_5066000_094.m4a|ハツネちゃん、そんなに急がなくても大丈夫よ。イノリちゃんも、またゆっくりお話しましょうね？
vo_adv_5066000_096.m4a|うふふ、そうね。それじゃあ、３人ともまたね。
vo_adv_5066001_050.m4a|もう、いきなり走りだすから何かあったのかって……あら、カヤちゃんとあなたも。
vo_adv_5066001_052.m4a|あら、どうしてわかったの？
vo_adv_5066001_059.m4a|ふふ、元気そうでよかったわ。あら、この子は……
vo_adv_5066001_067.m4a|ふふ、カヤちゃんが言っていたとおりの子ね。私は【フォレスティエ】でギルドマスターをしているミサトです。ミサト先生って呼んでね？
vo_adv_5066001_071.m4a|ふふ、また会いましょうね、イノリちゃんも。
vo_adv_5066007_025.m4a|あら、こんにちは。
vo_adv_5066007_032.m4a|あら、そうなの。引き止めてごめんなさいね。もしよかったら一緒にお茶でもと思ったのだけど……
vo_adv_5066007_036.m4a|ふふ……子どもたちの成長を見るのって、いつもドキドキするものね。
vo_adv_5084001_068.m4a|ええ。眠ったまま起きないなんて心配だもの。なにか私にできることがあればと思って……
vo_adv_5084001_091.m4a|さすがハツネちゃんの不思議なおまじないね～♪
vo_adv_5084001_101.m4a|ハツネちゃん、どうかしたの……？
vo_adv_5084001_109.m4a|……面白いこと？
vo_adv_5084001_115.m4a|アオイちゃん。彼のためにやってあげてくれないかしら。マヒルさんと、漫才を……！
vo_adv_5084616_000.m4a|あらあら〜……どうしましょう〜……寝る子は育つって言うけど、ちょっとお寝坊さんね……
vo_adv_5084616_001.m4a|いつも頑張っているあなたのことだから、少し疲れが溜まっていたのかしら……？きっとそうだと思うけど、先生やっぱり心配だわ……
vo_adv_5085005_035.m4a|アオイちゃん？　どこなの～？　あっ、そこにいたのね。ハツネちゃんも。着いたからそろそろ起きてね。さぁ、彼のために、力を尽くしましょう。
vo_adv_5094002_030.m4a|あらあら～……お知り合いが失踪？　大変だわ～……
vo_adv_5094002_031.m4a|ユカリさん、だったわよね？聖騎士の格好をしたエルフさん……ハツネちゃん、どうかしら？
vo_adv_5094002_033.m4a|そうよね……ごめんなさい。力になれなかったみたい。でも、きっと大丈夫よ。だって、あなたが一生懸命探してるんですから。
vo_adv_5094002_036.m4a|今までは毎日５通は手紙を送ってくれていたの。でも、急になくなってしまったから寂しいわ～
vo_adv_5094002_037.m4a|聖テレサ女学院や工場に連絡をしてみたら、しばらく休みを取るとだけ言っていたそうなのだけれど……
vo_adv_5094002_038.m4a|お休みにランドソル観光をしているなら、手紙をもっと送ってくると思うの……とっても心配だわ……
vo_adv_5094002_039.m4a|だから、アオイちゃんのことも探してもらえないかしら？頼れるのは、あなただけなの。お願いね？
vo_adv_9004006_007.m4a|それで先生たちが呼ばれたの～私たちでお役に立てるといいんだけど。
vo_adv_9004006_015.m4a|{player}くんはがんばり屋さんだから、無理しないよう気をつけてね。疲れたらちゃんと休憩するのよ～？
vo_adv_9005009_002.m4a|あら、なんだか悩んだ顔をしているわね～？もしよかったら、先生たちとお話ししてみない？
vo_adv_9005009_017.m4a|──それはあなたの答えじゃない。きっと、あなたの中にも正解があるはずよ。
vo_adv_9005009_018.m4a|だからそこに辿り着けなければ、いつまでも答えは出ないわ。
