vo_adv_1209001_000.m4a|──な、なんじゃ、お主。もう来たのか？
vo_adv_1209003_137.m4a|ふふ、そうかの？まあ、あやつが立ち直るきっかけとなれたなら、この姿に戻った甲斐もあったというものじゃ。
vo_adv_1209003_138.m4a|これもまた、世界征服の第一歩……子供らのわだかまり一つ解消できぬようでは、民草を導くことなぞ夢のまた夢じゃからな。
vo_adv_1209003_139.m4a|さて……支配者の務めも果たしたことじゃ。わらわたちも古城へ帰ろうではないか。我が眷属よ。
vo_adv_1209004_000.m4a|ふぅ、やっと我が城へ帰り着けたのじゃ。やはりこの姿じゃと歩幅が狭くて、帰り道がやけに遠く感じるのう。
vo_adv_1209004_001.m4a|まあ、おかげでこやつとより長く時を過ごせたと思えば、この姿も捨てたものではないが……
vo_adv_1209004_002.m4a|しかし未来ある民草のためとはいえ、真の姿は手放してしまった……また元に戻る方法を考えなければならぬな。
vo_adv_1209004_003.m4a|……ほれ、お主、なにを満足げに突っ立っておる。わらわがこの姿に戻ったのは、お主の提案の結果じゃろ？
vo_adv_1209004_004.m4a|引き続きエスコートじゃ、エスコート。向こうしばらくは、わらわのそばから離れるでないぞ。
vo_adv_1209004_005.m4a|……ん？　なにやら部屋が妙に明るいような……どこぞのカーテンが開けっ放しになっておらぬか？
vo_adv_1209004_006.m4a|うぅっ、ま、眩しいのじゃ……！──って、光っているのはお主かっ！？
vo_adv_1209004_007.m4a|ふむ。どうりで街がどことなく閑散としておったわけじゃ。……もう年が明けておったのじゃな。
vo_adv_1209004_008.m4a|はぁ、憂鬱じゃ。この時期の肌寒さは、なぜだかいつにも増して骨身に染みる。
vo_adv_1209004_009.m4a|……長命ゆえの人恋しさなぞ、とうに忘れたつもりじゃったが。毎年毎年、忘れたそばから帰ってきおって。まるでわらわの家族気取りじゃなぁ……孤独というやつは。
vo_adv_1209004_010.m4a|あるいはこれも、あやつと出会って心を許してしまったせいか。柄にもなく感傷的になってしまうのう……
vo_adv_1209004_011.m4a|ぎゃああぁっ！？な、ななな、なんじゃっ！？──お主かっ！！
vo_adv_1209004_012.m4a|人が黄昏れておるときに……きゅっ、急に話しかけるでないわっ！
vo_adv_1209004_013.m4a|し、しかも、よりにもよってこやつのことを考えておったところに……ええい、どんな顔をしたらいいのじゃ……
vo_adv_1209004_014.m4a|……み、耳ざといやつじゃの。普段はボケっとしておるのに、こういうときだけは……
vo_adv_1209004_015.m4a|まあ、わらわはお主よりよっぽど長い時を生きておるからな。それだけ振り返ることが多いのじゃ。
vo_adv_1209004_016.m4a|そんなことより……お主にも家で帰りを待つ家族がいるのであろう？
vo_adv_1209004_017.m4a|もうとっくに日も落ちておるし、空気も冷える一方じゃ。このような場所をうろついてないで、早く帰ったほうがよかろう。
vo_adv_1209004_018.m4a|わ、わらわは……この展望台からの夜景が気に入っておってな。
vo_adv_1209004_019.m4a|特にこの季節に眺める街明かりは、空気が澄んでおって格別な味わいがあるからのう。
vo_adv_1209004_020.m4a|世界征服に先立って、まずはこの絶景を独り占めしてやろうというわけじゃ。
vo_adv_1209004_021.m4a|これを見納めたら、わらわも帰る。お主も気兼ねなく家族のもとへ帰るがよい。……ほら、さっさと行かぬか。
vo_adv_1209004_022.m4a|なんじゃと？　ここで待てとは、どういう……──お、おい、お主！
vo_adv_1209004_023.m4a|ええい、相も変わらず落ち着かんやつじゃのう。せめてなにをするかぐらい伝えたらどうなのじゃ……
vo_adv_1209004_024.m4a|あっ、お主！どこへ行っておったのじゃ？それにその大荷物はいったい……
vo_adv_1209004_025.m4a|背負っておるのは……正月飾り、か？玩具のたぐいと思しきものもあるようじゃが……
vo_adv_1209004_026.m4a|それになんじゃ、その……手に持った鍋は？
vo_adv_1209004_027.m4a|ぞ、雑煮じゃと？民草がこの時期に、こぞって食うておるやつか？……まだ温かい、どころかアツアツではないか。
vo_adv_1209004_028.m4a|まさか、お主……一度家へ帰って、戻ってきたのか？
vo_adv_1209004_029.m4a|………………くっ、ふふっ──はっはっはっ！
vo_adv_1209004_030.m4a|おっ、お主というやつは、つくづく型破りじゃな！いつなんどき、なにをしでかすか知れたものではないのう！
vo_adv_1209004_031.m4a|夜景見たさに雑煮の入った鍋を抱えて、年明け間もない街を走り回っておるやつなぞ……はははっ、わらわも初めて見たのじゃ。
vo_adv_1209004_032.m4a|お主のような面白おかしい者と出会えようとは……ふふ、長生きはするもんじゃのう。
vo_adv_1209004_033.m4a|……よかろう。初笑いをもらった礼じゃ。お主にだけ特別、わらわとこの絶景を眺める栄誉にあずからせてやろう……ただし条件がある。
vo_adv_1209004_034.m4a|その雑煮、冷めぬうちにわらわにもよこすがよい。ここから見える景色はいずれわらわが支配するのじゃから、見物料の先払いというわけじゃ。特別に一杯でよいぞ。
vo_adv_1209004_035.m4a|──ふあぁ……温かいのじゃ。まるでうまい血を吸ったときのような……体が芯から温まっていく心地がするぞ。
vo_adv_1209004_036.m4a|うむ、うむ。旨味が染みわたっておる。実に美味じゃの。お主の母君か父君か知れぬが、よい腕をしておる。
vo_adv_1209004_037.m4a|いずれわらわが世界征服をなした暁には、専属の料理人として雇ってやってもよいぐらいじゃ。
vo_adv_1209004_038.m4a|そんなものまで……わざわざそのポットに入れてきたのかの？また手の込んだことを。しかし、気が利いておるな。褒めてやろう。
vo_adv_1209004_039.m4a|……ふぅ。やはりよい眺めじゃな。何度となく見てきた夜景も、こうしてお主とともに見やると、また違った趣があるのう。
vo_adv_1209004_040.m4a|街明かりの一つ一つが、とても暖かい色に見える……遠くで輝いておると思っておったものが、今日になって急に近しくなったように感じるのじゃ。
vo_adv_1209004_041.m4a|不思議なものじゃの。今は気に入っておるとしても、いずれは見飽きると思っておったのに。お主がそばにおれば……退屈せぬ。
vo_adv_1209004_042.m4a|ふふ、ほんとうに愉快なやつじゃ。今年もとくとわらわを楽しませるがよいぞ。願わくば来年も、そのまた次も。
vo_adv_1209004_043.m4a|……期待して待っておくからのう。
vo_adv_1209004_049.m4a|う、うん……？なんじゃ、気づかぬ間に寝てしまったようじゃな。
vo_adv_1209004_050.m4a|しかし……なんだか良い夢を見た気がするのう。胸の奥がじんわり温まったような心地なのじゃ。
vo_adv_1209004_051.m4a|こやつも幸せそうな顔で寝こけておる。……これ、お主、起きぬか。こんなところで寝たら風邪をひくぞ。
vo_adv_1209004_052.m4a|まだ寝ぼけておるのか？わらわの体は縮んでしまったじゃろう……に……？ん？　んん～？
vo_adv_1209004_053.m4a|お、おお……！　どうしたことじゃ！わらわの体が……真の姿に戻っておるではないか！
vo_adv_1209004_054.m4a|なんという僥倖じゃ！これも良い夢を見たおかげかのう？
vo_adv_1209004_055.m4a|なんにせよ、今しばらくはこの幸せを堪能させてもらうとしよう。
vo_adv_1209004_056.m4a|うむうむ、そうじゃろうそうじゃろう♪すかさずその言葉が出てくるとは、お主、寝起きの割に冴えておるな。
vo_adv_1209004_057.m4a|せっかくわらわの真の姿に再びまみえたのじゃから、この機会に余すことなく褒め称えるがよいぞ。なんなら年中そうしてもよい。
vo_adv_1209004_058.m4a|ふふ、お主といるとやはり退屈せぬな。……わらわがいつぞや抱えていた湿っぽい気持ちなぞ、どこかへ吹き飛んでしまったわ。
vo_adv_1209004_059.m4a|今年と言わず、来年も、そのまた来年も……末永くよろしく頼むぞ。わらわの一番の眷属よ！
vo_adv_1223002_011.m4a|ぜぇはぁ……ぜぇはぁ……
vo_adv_1223002_012.m4a|み、見つけたぞ！！
vo_adv_1223002_013.m4a|同族の気配が気になって探してみれば……{player}！！　分かっておるのか！？
vo_adv_1223002_014.m4a|そこにいるのは……わらわと同じ吸血鬼なのじゃぞっ！！
vo_adv_1223002_015.m4a|そんな気がしてたじゃとー！？わらわというものがありながらお主はー！！
vo_adv_1223002_016.m4a|なんだその棒読みは！おいこら、こっちを見るのじゃ！！
vo_adv_1223002_017.m4a|お主、真の眷属に……互いの血を交換する『絆の契約』は結んでないだろうな！？
vo_adv_1223002_018.m4a|わらわとてまだそこまでの契約は結んでおらぬのに！ちょっと首を見せろ！！
vo_adv_1223002_020.m4a|わらわの名は、イリヤ・オーンスタイン！伝説の吸血鬼にして、夜を統べる者じゃ！
vo_adv_1223002_022.m4a|ええい！　くっつくな！　わらわは子供ではないぞっ！今は訳あってこのような姿だが、真の姿は──
vo_adv_1223002_023.m4a|んん？　お主のその魔力……もしや真祖の系譜を継ぐ者か！？
vo_adv_1223002_024.m4a|…………つまり。わらわに匹敵しうる力を、いずれ持つやもしれぬ稀有な存在ということじゃ！
vo_adv_1223002_025.m4a|童ゆえに道理が分かっておらぬようじゃが、この際はっきり弁えさせてやろう！
vo_adv_1223002_026.m4a|よいか？　この者はわらわの一番の眷属じゃ！眷属の横取りはマナー違反じゃ！
vo_adv_1223002_028.m4a|ベス？　誰だそれは。探しているのか？
vo_adv_1223002_029.m4a|……ではなく！　わらわの話を──
vo_adv_1223002_031.m4a|…………聞いておらぬな。今時の吸血鬼というやつは……
vo_adv_1223002_032.m4a|おい。　{player}。代わりに説明するのじゃ……
vo_adv_1223002_033.m4a|……なるほど。ならばわらわも、そのベス探しに協力してやらんでもない。
vo_adv_1223002_035.m4a|厚意で手を貸すわけではないぞ。問題は早めに対処しておきたいだけじゃ。
vo_adv_1223002_036.m4a|本来、真祖に連なる者は宝のように秘匿され、血族に守られて暮らす。……姫君の家出など、洒落にならぬ騒ぎのはずじゃ。
vo_adv_1223002_039.m4a|……どういうことじゃ？
vo_adv_1223002_042.m4a|そ、それで！？
vo_adv_1223002_048.m4a|ば、ばかものっ！お主、誘拐されておいてなにを呑気な！……酷い目に遭わなかったか？
vo_adv_1223002_050.m4a|……こんな童と言い争いをしている場合ではなかった。やはりわらわもベス探しに参加する。見つけたら、己が領地を探して帰るがよい。
vo_adv_1223002_053.m4a|こ、こら！　なにをそやつに甘えておるのじゃ！こやつはわらわの眷属だと言うておろうに！
vo_adv_1223002_055.m4a|わらわの眷属じゃ！！！！
vo_adv_1223002_057.m4a|少しは年長者の話を聞けー！！
vo_adv_1223003_000.m4a|プニプニ？　おでぶ？　ピンク色のドラゴン？……それがお主の探すベスとやらか？
vo_adv_1223003_006.m4a|こやつにそっくり……？それほど弱いドラゴンがこの世に存在するのか？
vo_adv_1223003_008.m4a|なるほど……それほど奇妙なドラゴンなら噂の一つや二つでも聞こえてきそうじゃが、それもなしか。
vo_adv_1223003_009.m4a|こっそり抜け出したと言うが……お主を誘拐した連中は、逃げたことに気づいているやもしれぬ。
vo_adv_1223003_010.m4a|ヴァンピィはともかく、その気弱なベスが見つかるのはまずい。……むしろすでに捕まっている可能性もありそうじゃが。
vo_adv_1223003_011.m4a|このあたりには隠れ家になりそうな洞窟が数多くある。迷子か誘拐かは分からんが……探してみる価値はありそうじゃ。
vo_adv_1223003_014.m4a|お主、コウモリの眷属はおらぬのか？
vo_adv_1223003_016.m4a|……お主、変わっておるのぉ。仕方あるまい、ここはわらわが引き受けよう。いでよ、我が眷属たち！
vo_adv_1223003_018.m4a|ハッハッハ！素直な称賛は心地がよいのぉ！
vo_adv_1223003_019.m4a|さぁ、眷属たちよ！　わらわが命ずる！ベスがどこにいるのか……あいたっ！
vo_adv_1223003_020.m4a|あいたたたたぁー！？くっ……今日はずいぶんと機嫌が悪いではないか……！
vo_adv_1223003_021.m4a|従わぬというならば、真の姿になって──
vo_adv_1223003_025.m4a|おぬし……もしや吸血鬼の力を……『魅了』を使ったのか？
vo_adv_1223003_027.m4a|無意識に使っておったのか！？恐ろしい娘じゃ……
vo_adv_1223003_028.m4a|しかし、惜しいな。ヴァンピィを我が軍に迎え入れれば、世界征服の夢も近づくというのに……
vo_adv_1223003_031.m4a|やれやれ……欲のないことだ。
vo_adv_1223003_034.m4a|うむ。捕まっている可能性が高いようじゃな。
vo_adv_1223003_045.m4a|うーむ。ベスはあの袋の中か。……ってヴァンピィ、その岩場から出るな……！そのまま隠れておれ……！
vo_adv_1223003_048.m4a|気持ちは分かるが、慎重に動いた方がよい。連中はこれから移動するようじゃ。隙を狙えば、そうじゃの……
vo_adv_1223003_049.m4a|待て、まだ考え中じゃ。ん？　……ヴァンピィはどこじゃ？
vo_adv_1223003_057.m4a|おい！　{player}！
vo_adv_1223003_062.m4a|それが{player}の力じゃ！ヴァンピィ、存分に力を振るうがよい！
vo_adv_1223003_071.m4a|ピンク色のドラゴン……これがベスか。お主に似ているという話だったが……
vo_adv_1223003_073.m4a|フフ……なるほど、確かに似ておる。
vo_adv_1223003_074.m4a|さて。あの二人は『伯爵』に雇われて、お主らを探していたらしいのぉ。
vo_adv_1223003_075.m4a|同族を利用しようという不届き者の正体……王たるわらわが直々、奴等に聞いてこよう。お主らはそこで休んでおれ。
vo_adv_1223005_010.m4a|うう……疲れた…………
vo_adv_1223005_011.m4a|ヴァンピィのやつがな……城で世話になっている礼だと、家事を始めたのじゃが……
vo_adv_1223005_012.m4a|余計な荷物ばかりひっぱりだしては、部屋中を散らかし……挙句の果てには、悪霊ばかり現れ……結局、わらわが掃除をする羽目になったのじゃ。
vo_adv_1223005_013.m4a|出てきた悪霊がこう……生理的に受け付けないタイプだったんでな…………おかげで苦労したわい。
vo_adv_1223005_014.m4a|そうそう。ヴァンピィがくる前に少し話しておきたいことがあるのじゃ。
vo_adv_1223005_015.m4a|ヴァンピィに、故郷のことを聞いてみたのじゃが……
vo_adv_1223005_016.m4a|よーくこの地図を見てみろ。自分の故郷がある場所は分かるか？
vo_adv_1223005_021.m4a|どれほど眠っていたのかは知らぬが、記憶があいまいになっているようでな。ベスも同様のようじゃ。
vo_adv_1223005_022.m4a|ヴァンピィを帰すには、誘拐した張本人『伯爵』を捕まえて、問いただすより他ないじゃろ。
vo_adv_1223005_023.m4a|伯爵の居場所は、コウモリたちが探っている。今日のところは、ヴァンピィの作ったごちそうを堪能してゆけ。
vo_adv_1223005_029.m4a|ふむ。いただこう。
vo_adv_1223005_035.m4a|うむ……掃除はひどいものじゃったが料理はまずまずのようじゃな。
vo_adv_1223005_038.m4a|どうした？
vo_adv_1223005_040.m4a|……焦らずゆっくり思い出していけばよい。
vo_adv_1223005_041.m4a|お主らが帰れるように、こやつが共に故郷を探してくれる。そうじゃろ？　{player}。
vo_adv_1223005_046.m4a|ひぃ……！？まだおったのか……！？
vo_adv_1223006_000.m4a|{player}。待っておったぞ。
vo_adv_1223006_002.m4a|まさにそれじゃ！その話をしようと思っておった！
vo_adv_1223006_003.m4a|まずは事の経緯じゃが……
vo_adv_1223006_004.m4a|ヴァンピィを故郷の地よりさらった『伯爵』の居場所が分かった。『呪われた館』と呼ばれる、曰く付きの屋敷じゃ。
vo_adv_1223006_005.m4a|ついでに本人についても調べてみたのじゃが……伯爵は人嫌いだと有名で、魔族に並々ならぬ感心を寄せているらしい。
vo_adv_1223006_006.m4a|怪しい魔術に手を出し、魔物を傍に置き、さらには──
vo_adv_1223006_007.m4a|私財のすべてを投げうって、遺跡の発掘調査を行っているそうじゃ。それもかつて魔族が拠点としていた場所ばかり。
vo_adv_1223006_008.m4a|もしや奴はそこでヴァンピィを…………いや、まだそうと決まったわけではないな。
vo_adv_1223006_009.m4a|ひとまずお主にだけは先に報告しようと待っておったのじゃが……
vo_adv_1223006_010.m4a|ヴァンピィが先にコウモリたちから聞き出してしまったのじゃ。それで……
vo_adv_1223006_012.m4a|……と。わらわが止める間もなく、出かけていったわ……
vo_adv_1223006_014.m4a|ベス。そうじゃのぉ。お主らも置いていかれて、嘆いているやもしれぬが……
vo_adv_1223006_015.m4a|あの娘なりに考えて、わざと置いていったのかもしれぬぞ。ヴァンピィにとって、お主らは特別じゃからな。
vo_adv_1223006_017.m4a|まぁ、そう言うと思ったわ。仕方あるまい。乗り掛かった舟じゃ。わらわも力になろう。
vo_adv_1223006_018.m4a|そうと決まれば、久しぶりに転移魔法でも使ってみるかの。……ただし、三人分は厳しい故、二人だけで行くのじゃ。
vo_adv_1223006_019.m4a|……というわけで。{player}……こ、こっちへ来い……
vo_adv_1223007_003.m4a|それがよい。むろん二人も連れてゆくのじゃろ？
vo_adv_1223007_062.m4a|まぁ、我が城には空き部屋が多くある。好きに使うがよい。
vo_adv_1223007_064.m4a|覇者たる力を秘めながら、その覚悟も心得もない未熟者を放置するのは、王として容認できぬ。
vo_adv_1223007_065.m4a|また伯爵のような輩に狙われるやもしれぬし、当分の間、目の届くところで監視しておきたいのじゃ。
vo_adv_1223007_067.m4a|それに……掃除はともかく、あのスープは気に入っておる。……それが理由では不満かの？
vo_adv_1223008_030.m4a|ちょっと待てぇい！！！！
vo_adv_1223008_032.m4a|見つかっちゃった、ではない！そやつはわらわの眷属じゃ！
vo_adv_1223008_033.m4a|{player}！すまぬが、邪魔するぞ！
vo_adv_1223008_034.m4a|ヴァンピィ、よいか。ここはお主の生まれ育った城ではない。夜遅くに、他人の部屋へ侵入してはならん。
vo_adv_1223008_035.m4a|しかも、そんな大きなぬいぐるみを連れ出しおって……『ベスちゃんが空を飛んでいる』と巷で騒ぎになっておるぞ！？
vo_adv_1223008_036.m4a|人の世では、正体を隠してひっそりと暮らすのがマナーじゃ。騒動が大きくなる前に帰るぞ。
vo_adv_1223008_038.m4a|色々と事情があってな、このわがままなお姫様を預かっておるのじゃ。保護者というよりも、お目付け役じゃな。
vo_adv_1223008_039.m4a|お主も明日は学校じゃろう？詳しいことはまたアストルムで話そう。
vo_adv_1223008_041.m4a|そういえば……コラボをしているとかなんとか言っておったな……
vo_adv_1223008_043.m4a|こら、騒ぐでない……！話がしたいなら帰ってからにしろ……！
vo_adv_1223008_045.m4a|ヴァンピィ……
vo_adv_1223008_050.m4a|ぬわっ！？引っ張るでないっ……！
vo_adv_2111002_003.m4a|お主ら、無事であったか！まったく心配かけおって。
vo_adv_2111002_014.m4a|ふむ通信魔法でも言っておったが。お主ら、はぐれた仲間を捜しておるのだったな。
vo_adv_2111002_032.m4a|ぬ？
vo_adv_2111002_035.m4a|ぬぉっ！！？
vo_adv_2111002_039.m4a|道すがら、聞かせてもらうぞ。ランドソルに突如現れた、覇瞳皇帝以上の魔力の持ち主──その正体を。お主らが、一体何と戦っているのかをな。
vo_adv_2111002_051.m4a|ふぅ。間一髪だったようじゃの。
vo_adv_2111002_069.m4a|気に食わんのぅ、お主。誰ぞ知らぬが、お主が悪玉というわけかぇ？
vo_adv_2111002_078.m4a|ぬおっ！？
vo_adv_2111002_091.m4a|あの檻、なんという密度の魔力じゃ！わらわですら、打ち破ることはそう敵わんぞ……！？
vo_adv_2111003_004.m4a|っぴょ、ぴょんじゃっ……！
vo_adv_2111003_005.m4a|くっ……！わらわたちは、いったい何をさせられておるのじゃ……！？
vo_adv_2111003_008.m4a|いやだから、なぜっ……！？
vo_adv_2111003_019.m4a|皆の者、迂闊にあの魔法陣に飛び込んでは──
vo_adv_2111003_026.m4a|くっ……お主ら！罠かもしれんというのに……！
vo_adv_2111003_033.m4a|我々をゲームとやらから降ろさないための人質、ということかの。
vo_adv_2111003_042.m4a|フン！上等じゃ。やってやろうではないか。
vo_adv_2111003_044.m4a|さきほどコッコロや{player}から、聞いたであろう？この世界が、仮初のものかもしれんと。
vo_adv_2111003_046.m4a|わらわとて、未だ驚きが抜けぬ。{player}らを疑うわけではないが、やすやすと飲み込めん話じゃ。
vo_adv_2111003_047.m4a|……じゃが、もし本当だというなら。これは、実に……
vo_adv_2111003_048.m4a|実に、喜ばしい話ではないか！わらわに──否、わらわたちに征服されるべき領土が、新たに増えたということなのじゃからの！
vo_adv_2111003_053.m4a|それに、じゃ。もし本当に、この世にエリスなる黒幕がいるのなら。世界征服を志すわらわたちは、そやつを倒さねばならぬ。
vo_adv_2111003_054.m4a|その先鞭として。まずは配下であるそやつ、ミソラを叩きのめしてやろうではないか！
vo_adv_2111003_062.m4a|フン、細かい話は良い。
vo_adv_2111003_063.m4a|それよりも、いかなる遊戯にて勝負をつける気じゃ？魔法の技比べか？　それとも互いの眷属を戦わせるか？なんであれ、わらわに勝てると思うなよ！
vo_adv_2111003_066.m4a|ぬ？
vo_adv_2111003_069.m4a|くっ……ほ、ほどけぬ……！
vo_adv_2111003_074.m4a|ええい……なんと不甲斐ない！このわらわが、こうもあっさり敗れ去るとは……
vo_adv_2111007_018.m4a|壁面へ、魔法の映像を投射しておるのか。……なんじゃあの、空飛ぶ鉄の鳥は……？
vo_adv_2111007_043.m4a|くっ。やつめ、好き放題言いおってからに……！
vo_adv_2111007_052.m4a|ヨリ！何をしておる、もう勝負は始まっておるぞ！？
vo_adv_2111007_076.m4a|じゃがお主の活躍で、世界の破滅は食い止められた……胸を張るのじゃ、ヨリ！
vo_adv_2111008_014.m4a|ミソラのやつめ。まさか、あのガマグチの中に隠しておったとはの……！
vo_adv_2111008_052.m4a|ぬおおおっ！？なんじゃあやつ、いきなり攻撃してきおってからに！
vo_adv_2111008_060.m4a|あれは……シノブたちがランドソルに飛んだときの、転移魔法陣か。ミソラのやつ、制御を忘れていると見える。
vo_adv_2111009_025.m4a|おお、キャルにシェフィも！
vo_adv_2111009_039.m4a|フフッ、ハハハハッ！さきほどの縄跳びでの鬱憤、晴らさせてもらったぞ！……っと……
vo_adv_2111009_063.m4a|フン。自信過剰な女じゃな。貴様ひとりで、わらわたちに敵うと思っておるのか？
vo_adv_2111010_088.m4a|……じゃ、じゃが。人の身で、これほど魔力を絞り出しては……そう持たんぞ！？
vo_adv_2111010_096.m4a|フンっ……！このようなシャドウごときでわらわたちを止められるものかよ！
vo_adv_2111010_111.m4a|変貌大妃、ネネカ……！よもや敵に回っておったとはの……！
vo_adv_2111010_113.m4a|お主が相手とあらば、本気を出すほかあるまいて……！{player}、ありったけの強化を頼むぞ！
vo_adv_2111010_128.m4a|ぬっ、ぐぐぐっ……！
vo_adv_2111010_132.m4a|フン！『七冠』とやらは、どいつもこいつも傲慢極まりないものじゃな……！
vo_adv_2111010_133.m4a|夜を統べる者を！我ら【悪魔偽王国軍（ディアボロス）】を！舐めるでないわぁっ！
vo_adv_2111010_135.m4a|何っ！？
vo_adv_2111010_139.m4a|くっ、お前たち……！
vo_adv_2111010_245.m4a|……フ、フフ。わらわたちを置いて……どこへ行こうというのじゃ、お主ら。
vo_adv_2111010_285.m4a|洗脳のせいか、力を出し切れていないようじゃったしの。さすがは『七冠』、といったところか……
vo_adv_2111010_298.m4a|ふむ……わらわたちは古城へ戻るが。お主らもどうじゃ？
vo_adv_2111099_031.m4a|……さて。我らも古城へ戻り、傷を癒すとするか。
vo_adv_5082001_001.m4a|こうして二人で話したのはついさっきが初めてじゃがのう！ヨリに正月に詳しい者がおると聞いたのじゃ。
vo_adv_5082001_005.m4a|お主たちも晴れ着姿ということは……もしや……わらわと同じく正月を制覇するつもりか？
vo_adv_5082001_007.m4a|なんじゃと！　わらわの前に立ちふさがるというのか。そうとなればいくら【美食殿】とはいえ容赦はできんぞ！
vo_adv_5082001_010.m4a|なんじゃ、違うのであればよいが……して、おせちとはなんじゃ？
vo_adv_5082001_014.m4a|縁起物、か……ふむ。それは特別な力がある料理、ということでよいのかの？
vo_adv_5082001_016.m4a|つまりそれを食べると失った力も戻るかもしれんということじゃな……面白い！　その旅、わらわも同行しようぞ！
vo_adv_5082001_026.m4a|ならばルカもついてきてはどうじゃ？
vo_adv_5082001_033.m4a|ふむ、そうじゃの。今回はあくまで【美食殿】の活動じゃ。
vo_adv_5082001_037.m4a|最初に神殿に向かうのは、旅の無事を祈るためかの？わらわがついておるのじゃ。無事は保証されておるようなものじゃがのう。
vo_adv_5082001_039.m4a|おお、縁起物か！　それは大切じゃの！なにせわらわの力の復活の鍵となるやもしれぬもの……
vo_adv_5082001_041.m4a|ふうむ。思えばお主、いつも大変なことに巻き込まれておらんか？
vo_adv_5082001_047.m4a|そうじゃ！　わらわはお年玉をもらっておらんぞ！なぜなのじゃ！？
vo_adv_5082001_062.m4a|なるほどのう。シェフィはもらえてわらわはもらえぬわけじゃ……
vo_adv_5082002_000.m4a|どうしたのじゃ？このまま道なりに行けば神殿なんじゃろ？
vo_adv_5082002_003.m4a|そういえば聞いたことがあるのう。新年にやるギルド対抗レースじゃったか。
vo_adv_5082002_023.m4a|ふむ……どうしたのじゃ、シェフィ？
vo_adv_5082002_026.m4a|よし！　わらわが一番乗りじゃー！
vo_adv_5082002_038.m4a|むむむむむ～……！
vo_adv_5082002_040.m4a|なんとしても我が力を～……！む？　どうしたシェフィよ。お主は祈らんのか？
vo_adv_5082002_045.m4a|悩みがあるなら聞いてやるぞ？同じギルドならばこそ話せぬ悩みというものもあるじゃろう。
vo_adv_5082002_051.m4a|ふむ……シェフィよ。わらわが永い眠りから目覚めたという話は知っておるか？
vo_adv_5082002_053.m4a|目が覚めた時は知った者など一人もおらぬでなあ。しかもかつての力をほとんど失っておった。
vo_adv_5082002_054.m4a|この時代からすればわらわは過去の存在。一人取り残された迷子のようなものじゃと思っておったが……
vo_adv_5082002_055.m4a|気が付けば【悪魔偽王国軍（ディアボロス）】の者たちだけではなくお主たちも含めた多くの者たちに囲まれておる。今となっては、皆のおらぬ生活の方が考えられぬくらいじゃ。
vo_adv_5082002_058.m4a|そうじゃのう。実際に繋がってみて初めて分かることもある。わらわも最初は不安がなかったわけではない。
vo_adv_5082002_059.m4a|わらわの過去のことはわらわ以外は皆知らぬ。だが、それでも皆はわらわについてきておるのじゃ。それはシェフィも同じであろう？
vo_adv_5082002_063.m4a|はっはっは！　なかなか良いことを言うではないか！そうじゃのう、せっかくの皆の好意がもったいないわ。
vo_adv_5082002_064.m4a|今は、向けられた気持ちに素直に応えればよいだけじゃろう。
vo_adv_5082002_066.m4a|なあに、構わぬ。迷えるものを導くのも支配者の役目じゃ！
vo_adv_5082002_076.m4a|そうじゃ！　縁起物の餅を早く手に入れねば！わらわの完全なる復活のためにはいくらあってもよい！いっそ買い占めてやるのじゃ！
vo_adv_5082002_084.m4a|おのれ～！　どこのどいつがそのような非道なことを～！
vo_adv_5082002_090.m4a|そうじゃの……次はどこに行くんじゃ？
vo_adv_5082003_001.m4a|ほほう……なんとも見事な港町ではないか。
vo_adv_5082003_019.m4a|わらわは【悪魔偽王国軍（ディアボロス）】のマスター、イリヤじゃ。縁起物のおせちの材料集めのため【美食殿】に同行しておる。
vo_adv_5082003_024.m4a|ふむ、まあよかろう。やるからには最上級の獲物を狙うぞ！
vo_adv_5082003_039.m4a|ほほう、これが海釣りというやつか。なかなか面白いものじゃのう。
vo_adv_5082003_041.m4a|わらわはそんじょそこらの吸血鬼とは違うからのう。この程度ならば何の問題もないわ。
vo_adv_5082003_067.m4a|わらわが手を出すまでもなかったの。では、続きをしようではないか。
vo_adv_5082003_078.m4a|わらわも平気じゃったぞ！荒れた海も空を飛んでおるようでなかなか乙じゃのう。
vo_adv_5082003_098.m4a|しかし、買い占めとは迷惑じゃのう。縁起物が足りぬとわらわの復活のための力が足らなくなるではないか。
vo_adv_5082003_103.m4a|働いた後は腹ごしらえじゃな！
vo_adv_5082003_106.m4a|そうじゃろうそうじゃろう。
vo_adv_5082003_116.m4a|わらわはそうは思わんがのう？
vo_adv_5082003_132.m4a|話だけでは伝わらぬこともある。【悪魔偽王国軍（ディアボロス）】の皆も、かつてのわらわの偉大なる活躍をいくら話しても一向に覚えようとはせぬ……
vo_adv_5082003_136.m4a|それは言えぬな。シェフィがわらわたちを頼ってしてくれた相談じゃ。
vo_adv_5082003_143.m4a|そういうところじゃよ。
vo_adv_5082003_149.m4a|そうじゃのう。
vo_adv_5082003_155.m4a|うむ、わらわに任せるがよいぞ。
vo_adv_5082003_164.m4a|わらわもじゃ。そろそろ戻ってやらねばならぬ。
vo_adv_5082004_010.m4a|まあ、少々わざとらしかったがよい作戦ではないか。頼られる経験はなによりも自立心を育てるからのう。
vo_adv_5082004_014.m4a|うむ、おつかいとやらも果たせぬぞ？
vo_adv_5082004_025.m4a|バレとらんようじゃの……
